Serial No. Of Polling Station,AGARWAL KANAIALAL,CHURKA iVIURMU,DEEPA DASMUNSi,DEBASREE CHAUDHUR 1,MD. SALIM,AKIK HOSSAIN CHOWDHU RY,UKSHMA N MURMU,SANTHAPA N HASDAK,SUJAN KRISHNA PAUL,ADVOCATE ANJAY DEBSARMA,KUMARESH SARKAR,BINOY KUMAR DAS,MD. SAHAJAN BADSHA,RAJU PAUL,Total valid votes,No. of rejected votes,NOTA,Total Votes,Unnamed: 20
151,307,3,44,507,15,0,1,1,21,2,0,7,4,2,914,0,17,931,0
152,302,1,64,340,43,1,0,1,1,3,0,2,3,1,762,0,9,771,0
153,187,2,42,284,13,0,0,0,1,0,1,1,0,1,532,0,10,542,0
154,154,0,37,234,39,0,0,0,1,1,0,0,0,2,468,0,5,473,0
155,106,1,144,498,109,0,0,0,0,0,1,1,0,3,863,0,5,868,0
156,74,2,83,385,84,1,2,0,2,0,0,2,3,4,642,0,9,651,0
157,127,0,79,580,64,2,0,0,0,0,1,4,2,4,863,0,4,867,0
158,182,4,34,317,28,0,0,0,0,0,2,6,2,1,576,0,10,586,0
159,158,2,23,353,30,0,1,1,0,2,0,3,2,0,575,0,8,583,0
160,159,2,39,330,39,2,0,0,3,0,0,3,0,2,579,0,5,584,0
161,135,1,40,292,20,0,1,0,0,0,1,1,0,0,491,0,6,497,0
162,261,0,42,207,22,0,0,0,0,0,0,1,0,1,534,0,7,541,0
163,267,3,62,320,41,1,0,0,0,0,0,1,0,0,695,0,7,702,0
164,323,0,68,266,52,0,0,0,0,0,1,0,0,0,710,0,4,714,0
165,147,1,25,187,29,0,0,0,0,0,0,0,0,0,389,0,2,391,0
166,499,2,36,352,165,1,4,0,0,1,2,7,10,3,1082,0,16,1098,0
167,173,0,6,612,19,1,5,0,0,3,4,14,6,5,848,0,22,870,0
168,263,1,29,366,59,1,7,1,0,0,2,12,12,3,756,0,26,782,0
169,111,2,22,639,10,0,2,0,2,1,9,5,3,1,807,0,8,815,0
170,201,1,27,701,34,0,2,0,0,1,2,6,4,1,980,0,11,991,0
171,214,1,23,358,18,1,2,0,1,2,1,2,2,1,626,0,11,637,0
172,99,0,10,301,14,0,0,0,0,0,2,6,1,0,433,0,6,439,0
173,172,0,18,553,7,0,0,0,1,0,0,2,5,0,758,0,8,766,0
174,492,6,76,193,105,1,4,0,2,1,4,6,3,4,897,0,35,932,0
175,223,4,37,547,99,0,1,1,0,1,1,5,1,1,921,0,5,926,0
176,120,1,12,388,8,0,0,0,0,1,2,8,3,1,544,0,5,549,0
177,116,2,7,484,7,0,1,2,0,1,2,5,2,2,631,0,11,642,0
178,41,5,17,263,46,2,0,0,1,0,0,3,0,2,380,0,9,389,0
179,145,2,30,902,32,2,2,3,2,3,2,15,1,1,1142,0,12,1154,0
180,72,5,30,474,28,0,2,1,0,0,1,2,1,0,616,0,6,622,0
181,186,2,33,657,63,1,2,1,0,1,2,2,4,0,954,0,18,972,0
182,117,5,88,694,69,1,2,0,0,0,1,2,4,0,983,0,7,990,0
183,113,0,36,557,41,2,1,0,2,0,0,4,2,1,759,0,3,762,0
184,186,4,32,628,27,0,0,1,0,1,1,7,3,2,892,0,24,916,0
185,90,0,31,596,60,1,1,0,0,0,1,3,1,1,785,0,2,787,0
186,222,0,8,397,6,1,2,1,0,1,1,3,2,3,647,0,9,656,0
187,74,2,19,485,15,1,4,1,1,0,12,5,4,4,627,0,4,631,0
188,96,4,31,646,11,0,3,1,1,5,2,11,8,2,821,0,8,829,0
189,90,2,21,932,37,2,3,0,4,2,3,11,5,4,1116,0,7,1123,0
190,64,2,46,231,12,1,3,3,0,1,0,3,4,0,370,0,4,374,0
191,181,3,74,538,23,3,1,3,2,2,1,15,5,2,853,0,16,869,0
192,279,3,147,533,25,0,1,3,0,0,1,1,4,3,1000,0,7,1007,0
193,123,3,55,670,30,1,0,10,1,3,4,5,4,10,919,0,5,924,0
194,92,8,29,508,25,0,0,1,1,0,2,7,0,2,675,0,7,682,0
195,239,1,35,722,61,1,3,0,0,0,2,8,9,2,1083,0,16,1099,0
196,222,0,60,794,70,2,6,1,0,1,5,14,6,3,1184,0,10,1194,0
197,135,5,12,603,18,0,2,3,0,3,3,3,4,1,792,0,4,796,0
198,357,0,27,341,23,1,1,7,0,1,0,3,0,2,763,0,17,780,0
199,288,3,53,682,76,2,3,4,1,1,6,9,6,3,1137,0,9,1146,0
200,81,2,50,473,7,0,4,0,0,2,2,5,6,4,636,0,5,641,0
201,48,0,32,492,13,0,2,2,1,4,0,1,6,2,603,0,4,607,0
202,163,1,60,748,16,1,4,1,1,4,2,6,3,0,1010,0,5,1015,0
203,281,2,27,404,29,1,1,1,0,1,2,2,2,0,753,0,7,760,0
