Serial No. Of Polling Station,AGARWAL KANAIALAL,CHURKA iVIURMU,DEEPA DASMUNSi,DEBASREE CHAUDHUR 1,MD. SALIM,AKIK HOSSAIN CHOWDHU RY,UKSHMA N MURMU,SANTHAPA N HASDAK,SUJAN KRISHNA PAUL,ADVOCATE ANJAY DEBSARMA,KUMARESH SARKAR,BINOY KUMAR DAS,MD. SAHAJAN BADSHA,RAJU PAUL,Total valid votes,No. of rejected votes,NOTA,Total Votes,Unnamed: 20
30,230,3,65,231,136,1,1,0,0,1,3,7,7,1,686,0,13,699,0
31,147,0,35,0,34,0,0,1,0,0,0,0,1,0,218,0,8,226,0
32,346,4,35,5,177,0,0,0,0,1,0,0,1,1,570,0,16,586,0
33,579,4,224,33,33,1,5,0,2,2,2,4,6,6,901,0,16,917,0
34,183,0,13,325,19,0,0,0,1,1,1,3,3,0,549,0,8,557,0
35,358,3,14,371,11,0,0,2,0,2,0,5,5,0,771,0,14,785,0
36,171,1,48,657,23,0,3,0,1,3,1,7,3,1,919,0,1,920,0
37,124,1,17,561,11,1,1,0,0,2,2,15,1,2,738,0,6,744,0
38,398,4,321,13,103,2,3,0,0,1,3,6,11,5,870,0,18,888,0
39,517,2,20,7,94,0,1,0,1,0,1,1,2,0,646,0,20,666,0
40,205,0,37,201,169,2,4,0,0,1,1,1,2,0,623,0,11,634,0
41,236,0,7,11,258,1,2,3,0,0,1,0,0,1,520,0,3,523,0
42,233,1,88,13,173,1,1,1,1,0,3,2,6,2,525,0,4,529,0
43,249,2,106,29,138,1,3,0,0,1,1,1,2,2,535,0,10,545,0
44,163,4,28,831,19,2,5,2,1,7,7,11,1,3,1084,0,14,1098,0
45,359,4,225,216,28,0,5,0,0,2,1,9,13,7,869,0,11,880,0
46,111,4,4,594,4,3,6,2,2,4,1,2,5,0,742,0,3,745,0
47,414,0,136,24,185,3,0,2,0,0,3,0,3,1,771,0,5,776,0
48,421,2,37,32,260,4,2,2,0,0,1,1,2,3,767,0,12,779,0
49,166,3,53,442,32,0,4,0,1,2,0,3,3,0,709,0,3,712,0
50,119,1,26,532,13,2,3,3,1,0,4,9,5,3,721,0,6,727,0
51,333,2,114,123,144,0,3,1,1,2,0,0,4,1,728,0,13,741,0
52,126,1,28,95,85,2,2,1,0,0,1,1,1,0,343,0,3,346,0
53,438,2,72,278,19,0,1,0,0,0,0,3,2,0,815,0,8,823,0
54,494,0,33,216,41,0,0,0,1,0,0,3,0,1,789,0,0,789,0
55,125,0,4,196,172,1,1,2,0,2,0,2,2,0,507,0,5,512,0
56,362,1,80,439,62,0,1,3,2,3,0,4,5,1,963,0,11,974,0
57,155,0,43,506,39,0,0,0,0,0,0,7,4,2,756,0,7,763,0
58,306,1,11,144,33,1,0,1,0,0,3,5,2,1,508,0,12,520,0
59,146,3,26,719,43,0,2,0,0,3,2,5,2,2,953,0,8,961,0
60,82,2,19,430,7,1,2,0,1,4,6,12,2,0,568,0,8,576,0
61,61,0,42,766,102,0,1,0,0,1,8,26,7,0,1014,0,7,1021,0
62,61,2,100,773,103,1,1,0,0,0,2,16,6,1,1066,0,5,1071,0
63,107,2,8,569,24,1,1,0,0,0,1,16,6,3,738,0,6,744,0
64,83,3,116,670,30,1,1,3,2,2,6,24,7,2,950,0,11,961,0
65,244,4,76,493,113,3,1,1,1,2,5,12,5,1,961,0,21,982,0
66,439,3,79,139,187,1,0,4,0,0,0,7,0,2,861,0,12,873,0
67,229,1,66,385,78,2,1,0,1,0,0,11,2,0,776,0,15,791,0
68,124,2,36,610,25,1,4,3,1,1,4,12,3,3,829,0,6,835,0
69,118,0,14,519,16,0,1,0,1,0,3,12,4,0,688,0,6,694,0
70,147,0,24,564,12,0,0,0,0,1,3,17,5,4,111,0,15,792,0
71,160,1,15,731,32,0,2,1,2,5,2,11,3,1,966,0,5,971,0
72,155,0,43,614,19,0,1,0,1,1,0,3,2,0,839,0,5,844,0
73,117,2,38,564,57,0,2,0,1,1,0,6,2,0,790,0,3,793,0
74,136,6,59,757,58,1,1,1,0,0,1,7,5,1,1033,0,9,1042,0
75,139,2,25,566,5,0,0,1,0,2,2,24,3,0,769,0,11,780,0
76,126,4,13,469,3,0,2,1,1,1,2,14,6,4,646,0,13,659,0
77,172,1,16,569,85,1,0,0,1,1,2,13,5,5,871,0,21,892,0
78,31,0,4,225,14,0,1,0,0,0,0,2,1,0,278,0,1,279,0
79,266,6,12,837,24,1,1,0,0,0,3,16,10,2,1178,0,18,1196,0
80,138,0,10,270,9,0,0,0,0,1,0,0,0,0,428,0,3,431,0
81,170,1,53,386,131,0,0,0,         o|,0,1,0,0,1,743,0,3,746,0
82,212,1,33,575,62,1,1,0,1,0,1,10,3,5,905,0,18,923,0
83,90,4,25,631,21,0,6,1,2,5,5,40,12,6,848,0,13,861,0
84,194,1,42,546,62,1,0,1,1,0,1,3,4,0,856,0,7,863,0
85,128,1,46,660,76,1,2,1,2,0,6,14,1,0,938,0,11,949,0
86,60,3,50,761,44,2,0,1,1,3,9,16,6,3,959,0,4,963,0
87,131,2,54,749,102,0,0,1,1,2,5,24,9,4,1084,0,10,1094,0
88,171,1,35,396,103,1,0,0,0,0,0,0,0,1,708,0,4,712,0
89,167,2,49,425,157,0,0,0,0,0,1,0,1,0,802,0,8,810,0
90,248,2,7,494,42,1,0,0,0,1,4,17,6,2,824,0,17,841,0
91,194,6,11,414,42,0,2,1,0,0,3,5,2,3,683,0,8,691,0
