Unnamed: 1,ARPITA,ABDUS SADEK,NALIN CHANDRA,RANEN,DR. SUKANTA MAJUMDA,NARAN,NUBASH CHANDRA,BIREN,MANAS CHAKRABO,RANJIT KR.,RANENDRA,BIBHUTI,MUSLIMA,Total of valid,No. of rejected,NOTA,Total no. of votes,No. of Tendered,Unnamed: 20
146,171,3,0,30,784,3,1,0,2,3,1,3,3,1004,0,5,1009,0,
147,354,8,5,12,602,7,1,1,2,7,3,4,2,1008,0,22,1030,0,
148,205,2,1,11,446,4,1,1,0,7,1,0,4,683,0,6,689,0,
149,212,3,0,29,350,3,1,0,0,3,0,4,1,606,0,6,612,0,
150,231,6,2,19,387,2,1,1,1,0,0,1,3,654,0,11,665,0,
151,307,3,3,13,593,14,0,0,3,4,2,0,6,948,0,15,963,0,
152,246,6,2,71,524,9,3,0,2,2,2,4,1,872,0,14,886,0,
153,239,9,1,23,472,8,0,2,1,2,4,2,5,768,0,13,781,0,
154,110,1,2,16,341,7,1,0,0,1,0,0,0,479,0,5,484,0,
155,346,10,4,22,618,7,1,1,4,5,2,6,4,1030,0,15,1045,0,
156,117,111,2,20,154,3,0,0,0,1,3,1,4,416,0,9,425,0,
157,367,8,3,21,657,6,0,2,0,3,1,3,4,1075,0,9,1084,0,
158,363,5,0,30,459,2,0,0,1,7,2,2,4,875,0,8,883,0,
159,297,17,2,17,320,5,0,0,1,0,38,0,0,697,0,4,701,0,
160,375,22,4,45,554,6,0,2,3,7,2,2,8,1030,0,16,1046,0,
161,493,38,3,267,29,3,0,0,1,1,2,4,7,848,0,21,869,0,
162,312,5,5,12,579,7,3,1,4,2,2,3,3,938,0,8,946,0,
163,618,65,4,78,231,6,0,2,0,3,3,7,12,1029,0,17,1046,0,
164,219,7,2,16,524,8,0,0,0,2,3,4,2,787,0,5,792,0,
165,131,0,1,8,217,3,0,0,0,1,0,1,3,365,0,4,369,0,
166,493,40,5,46,27,2,0,0,0,1,0,2,3,619,0,11,630,0,
167,450,35,4,34,72,                                      ?    1,0,0,1,1,0,0,1,599,0,11,610,0,
168,240,6,0,14,536,8,1,0,2,3,1,3,8,822,0,8,830,0,
169,218,3,0,6,415,4,1,1,0,3,1,3,2,657,0,6,663,0,
170,151,3,3,13,537,3,0,1,4,3,0,2,5,725,0,3,728,0,
171,189,5,2,9,755,9,2,0,1,4,1,1,7,985,0,8,993,0,
172,573,25,3,27,129,0,2,1,1,1,0,3,2,767,0,6,773,0,
173,674,24,5,6,64,1,0,0,0,0,0,0,2,776,0,8,784,0,
174,375,20,3,14,283,9,1,0,1,3,0,2,3,714,0,7,721,0,
175,413,6,0,8,134,1,0,0,0,0,1,1,2,566,0,8,574,0,
176,747,18,2,20,59,0,0,1,0,1,0,2,0,850,0,1,851,0,
177,473,38,2,11,233,1,0,0,0,1,0,2,2,763,0,3,766,0,
178,206,3,2,2,217,2,2,0,0,1,1,2,0,438,0,5,443,0,
179,641,14,4,20,318,4,2,1,1,1,1,6,7,1020,0,5,1025,0,
180,355,232,6,30,422,4,2,3,1,2,2,12,3,1074,0,9,1083,0,
181,400,130,3,11,258,7,1,1,0,2,1,1,7,822,0,8,830,0,
182,97,11,1,53,427,7,1,0,2,3,0,1,2,605,0,4,609,0,
183,93,6,0,26,471,3,1,3,0,3,2,0,3,611,0,10,621,0,
184,134,9,2,15,448,5,2,0,1,4,0,1,2,623,0,8,631,0,
185,302,7,2,15,274,3,0,1,0,2,0,1,2,609,0,11,620,0,
186,227,6,0,23,467,2,0,0,0,11,1,2,3,742,0,6,748,0,
187,177,1,4,25,447,4,1,0,0,3,1,5,3,671,0,5,676,0,
188,196,16,2,20,402,7,1,0,0,2,0,0,3,649,0,5,654,0,
189,309,6,1,16,263,1,0,0,0,6,1,5,0,608,0,3,611,0,
190,208,13,1,82,611,6,1,0,2,4,2,2,2,934,0,18,952,0,
191,578,24,2,161,172,1,3,1,1,4,1,3,5,956,0,14,970,0,
192,457,34,0,28,485,4,0,0,2,1,2,2,1,1016,0,6,1022,0,
193,498,20,3,109,184,2,0,1,1,0,3,0,4,825,0,4,829,0,
194,293,19,1,21,327,2,1,1,0,2,0,1,2,670,0,7,677,0,
195,173,6,0,14,411,2,1,0,0,3,0,2,3,615,0,4,615,0,
196,291,16,2,46,736,6,3,1,2,5,0,5,4,1117,0,12,1129,0,
197,400,19,2,30,424,3,1,0,3,4,0,6,5,897,0,13,910,0,
198,284,255,7,34,506,3,1,1,2,1,1,4,10,1109,0,10,1119,0,
199,167,93,4,11,468,3,0,0,3,3,1,2,4,759,0,5,764,0,
200,144,64,3,10,600,9,1,1,1,3,1,0,2,839,0,2,841,0,
201,424,18,4,30,394,9,2,1,1,3,4,0,4,894,0,13,907,0,
202,300,9,2,7,360,7,2,1,0,5,1,3,4,701,0,5,706,0,
203,522,20,3,26,206,3,0,0,2,1,1,1,3,788,0,11,799,0,
204,361,6,3,7,624,13,1,0,2,3,2,3,2,1027,0,8,1035,0,
205,219,5,2,3,396,2,2,1,2,4,1,3,5,645,0,8,653,0,
206,264,14,0,8,425,4,3,1,2,3,4,1,1,730,0,6,736,0,
207,463,5,5,                                     ?   34,552,13,5,0,1,2,5,6,6,1097,0,15,1112,0,
208,398,9,2,11,514,8,2,1,2,3,2,3,4,959,0,10,969,0,
209,165,2,0,6,204,2,0,0,0,1,1,1,3,385,0,5,390,0,
210,339,2,3,7,240,4,1,0,0,0,0,1,4,601,0,4,605,0,
211,652,14,0,9,499,2,0,1,1,1,0,4,2,1185,0,9,1194,0,
212,304,5,1,8,239,5,0,0,3,3,0,1,0,569,0,11,580,0,
213,364,18,0,17,230,1,0,0,0,1,0,0,1,632,0,6,638,0,
214,652,15,0,4,382,3,0,1,0,3,0,1,2,1063,0,10,1073,0,
215,434,15,0,                                         IS,211,4,0,0,1,3,2,2,5,692,0,13,705,0,
216,398,11,4,17,302,2,1,0,1,3,1,0,2,742,0,9,751,0,
217,333,1,1,7,503,7,1,0,0,1,0,2,5,861,0,9,870,0,
218,244,1,3,1,113,2,0,0,1,0,0,1,2,368,0,7,375,0,
219,398,6,2,17,262,11,0,                                    ?      0,0,1,0,1,9,707,0,4,711,0,
220,426,11,1,13,155,5,0,0,1,1,0,0,1,614,0,5,619,0,
221,257,33,2,37,205,5,1,0,0,4,1,0,,546,0,5,551,0,
222,320,9,9,76,363,5,0,1,0,2,1,4,,794,0,12,806,0,
223,257,52,2,45,135,0,1,0,0,2,1,1,,497,0,7,504,0,
224,393,16,5,297,219,5,3,,0,4,1,3,,957,0,20,977,0,
225,431,13,6,4,545,1,1,,0,4,3,2,,1015,0,7,1022,0,
226,263,13,0,36,330,5,1,,1,0,3,1,,656,0,12,668,0,
227,207,15,3,22,315,5,0,,2,1,                                       ?   1,2,,575,0,4,579,0,
228,128,1,1,10,244,1,0,,0,1,2,1,,391,0,2,393,0,
229,123,4,5,29,433,8,0,,1,1,0,3,0,608,0,5,613,0,
230,281,4,2,60,261,1,1,,1,1,0,0,1,614,0,7,621,0,
231,211,12,3,41,533,0,1,,1,7,1,4,6,821,0,17,838,0,
232,248,21,1,82,335,5,1,,0,2,1,1,3,701,0,12,713,0,
233,262,59,1,70,326,5,1,,0,1,3,0,3,733,0,8,741,0,
234,143,21,3,22,277,6,0,,0,2,0,3,6,484,0,7,491,0,
235,406,                                        U,9,98,478,10,2,,4,5,3,3,5,1042,0,19,1061,0,
236,252,20,2,34,431,5,0,0,4,1,1,1,1,752,0,                                         S,757,0,
1,306,27,0,12,359,10,0,0,1,2,1,2,4,724,0,10,734,0,
2,172,3,2,11,725,12,0,1,1,4,3,2,4,940,0,10,950,0,
