Unnamed: 1,ARPITA,ABDUS SADEK,NALIN CHANDRA,RANEN,DR. SUKANTA MAJUMDA,NARAN,NUBASH CHANDRA,BIREN,MANAS CHAKRABO,RANJIT KR.,RANENDRA,BIBHUTI,MUSLIMA,Total of valid,No. of rejected,NOTA,Total no. of votes,No. of Tendered,Unnamed: 20
43,317,4,2,19,241,0,0,1,1,3,0,3,            .  5,596,0,8,604,0,
44,296,4,1,37,234,4,1,0,1,1,0,0,2,581,0,4,585,0,
45,96,6,1,14,385,16,1,1,3,4,4,5,5,541,0,14,555,0,
46,205,5,1,6,291,6,0,1,1,1,2,38,2,559,0,6,565,0,
47,96,3,0,11,414,5,1,0,2,4,0,2,0,538,0,3,541,0,
48,337,7,4,15,270,4,0,0,0,0,1,1,0,639,0,2,641,0,
49,607,25,4,26,136,5,2,1,1,2,0,9,1,819,0,11,830,0,
50,408,21,3,17,355,        _    _ 1,              a,1,1,0,0,5,3,827,              Q,10,837,,
51,426,27,3,28,197,5,2,0,0,4,0,8,5,705,0,8,713,0,
52,456,33,3,87,240,4,2,2,2,2,2,2,6,841,0,17,858,0,
53,306,11,3,12,472,5,5,3,3,3,5,28,12,868,0,13,881,0,
54,709,12,2,20,217,5,4,5,2,0,0,7,6,989,0,6,995,0,
55,400,79,5,10,101,2,1,0,0,0,0,0,2,600,0,4,604,0,
56,460,24,4,15,83,2,2,0,0,0,0,2,0,592,0,2,594,0,
57,307,3,1,15,482,3,0,0,0,0,2,1,5,819,0,8,827,0,
58,584,58,1,18,266,5,3,0,1,2,3,0,4,945,0,13,958,0,
59,463,22,1,12,496,5,3,0,0,2,1,5,4,1014,0,5,1019,0,
60,583,22,1,13,268,10,0,1,1,2,9,54,9,973,0,23,996,0,
61,503,23,5,12,331,11,0,1,0,5,3,17,3,914,0,7,921,0,
62,641,15,2,28,197,3,0,1,0,2,0,1,4,894,0,15,909,0,
63,317,21,1,15,47.6,3,0,0,4,4,1,9,4,855,0,8,863,0,
64,734,45,4,139,26,0,2,3,0,1,2,0,4,960,0,11,971,0,
65,699,27,1,21,91,1,0,1,1,0,0,0,3,845,0,9,854,0,
66,648,29,1,22,369,6,0,0,1,1,1,1,3,1082,0,19,1101,0,
67,513,15,1,26,64,3,0,0,0,1,1,0,0,624,0,5,629,0,
68,840,15,3,17,122,5,1,0,0,1,1,0,4,1009,0,19,1028,0,
69,303,8,1,19,231,6,0,0,1,0,1,0,2,572,0,1,573,0,
70,255,7,2,14,290,4,1,1,1,1,1,3,2,582,0,6,588,          Q,
71,432,28,3,43,129,1,1,0,1,0,1,2,3,644,0,9,653,0,
72,378,17,4,24,260,4,3,1,1,5,0,4,3,704,0,8,712,0,
73,417,12,2,23,219,4,0,1,1,0,0,5,0,684,0,4,688,0,
74,541,76,1,44,96,3,1,0,0,0,1,2,0,765,0,10,775,0,
75,495,20,1,43,275,0,1,1,1,6,1,3,3,850,0,14,864,0,
76,325,16,0,28,330,12,3,1,2,3,10,78,8,816,0,15,831,0,
77,503,15,0,69,21,1,1,0,0,0,1,2,4,617,0,7,624,0,
78,498,15,4,38,202,8,1,2,1,0,2,22,1,794,0,14,808,0,
79,443,3,6,38,288,8,4,1,3,1,1,1,7,804,0,18,822,0,
80,323,5,0,34,5,0,0,0,0,2,0,1,1,371,0,7,378,0,
81,316,11,3,74,167,3,3,1,0,1,0,1,3,583,0,7,590,0,
82,530,16,2,28,299,5,0,0,0,2,2,5,7,896,0,9,905,0,
83,681,           .  23,2,18,11,0,0,1,0,1,0,0,1,738,0,3,741,0,
84,48,1,2,20,577,5,4,0,3,0,1,2,0,663,0,3,666,0,
85,134,2,3,35,625,2,0,1,1,3,2,0,2,810,0,1,811,0,
86,54,4,0,15,570,2,1,0,1,1,0,0,0,648,0,2,650,0,
87,490,12,1,19,411,7,1,1,1,6,1,2,0,952,0,0,952,0,
88,444,19,1,11,272,5,1,3,1,2,6,13,3,781,0,14,795,0,
89,242,12,1,15,392,2,0,0,0,2,0,0,0,666,0,6,672,0,
91,124,5,0,14,566,4,0,0,1,1,1,3,1,720,0,7,727,0,
92,85,6,0,15,516,4,0,0,0,2,0,0,0,628,0,3,631,0,
93,252,2,1,10,442,6,2,1,0,5,2,0,1,724,0,6,730,0,
94,198,4,5,17,444,3,2,0,0,2,0,3,5,683,0,4,687,0,
95,76,2,1,17,747,14,0,0,1,3,1,3,1,866,0,5,871,0,
96,647,27,1,68,10,0,0,0,0,0,1,1,2,757,0,7,764,0,
97,488,13,1,97,166,3,1,1,0,3,2,2,5,782,0,12,794,0,
98,344,9,1,90,184,3,0,3,2,2,3,11,1,653,0,6,659,0,
99,267,10,10,39,562,6,3,4,3,1,3,1,4,913,0,3,916,0,
100,200,15,2,41,529,4,0,0,1,3,4,28,7,834,0,11,845,0,
101,180,11,1,17,607,10,0,1,4,3,3,7,5,849,0,11,860,0,
102,254,6,1,24,686,3,1,2,0,4,4,29,6,1020,0,17,1037,0,
103,247,21,1,72,680,11,7,             .  7,2,1,3,12,7,1071,0,18,1089,0,
104,641,18,2,102,261,3,5,2,1,0,0,22,2,1059,0,3,1062,0,
105,440,27,4,40,341,7,3,1,3,1,0,2,2,871,0,19,890,0,
106,266,13,3,10,243,9,0,0,3,0,0,14,4,565,0,9,574,0,
107,152,3,2,33,480,2,1,1,1,5,4,1,3,688,0,7,695,0,
108,260,9,1,16,565,9,2,2,2,6,3,5,3,883,0,10,893,0,
109,649,56,8,85,156,2,4,0,2,0,1,4,6,973,0,14,987,0,
110,443,13,            7:,             1&,525,12,7,0,2,              8?,1,28,9,1065,0,20,1085,0,
111,425,54,1,9,46,0,0,0,0,1,0,1,4,541,0,8,549,0,
112,474,24,3,17,244,2,2,1,0,1,0,0,6,774,0,5,779,0,
113,533,106,4,16,53,4,1,0,0,2,0,2,1,722,0,8,730,0,
114,425,47,2,34,160,9,0,3,0,3,0,42,5,730,0,12,742,0,
115,287,13,2,9,258,5,1,0,1,0,5,27,6,614,0,8,622,0,
116,435,3,1,56,599,8,1,5,0,3,2,3,6,1122,0,8,1130,0,
117,151,6,2,174,333,15,3,1,4,4,3,18,3,717,0,12,729,0,
118,349,8,4,51,539,10,10,5,3,9,3,5,11,1007,0,19,1026,0,
119,304,55,6,55,752,5,1,2,2,5,1,2,10,1200,0,19,1219,0,
120,65,5,0,13,221,2,1,4,0,1,3,2,0,317,0,3,320,0,
121,121,7,2,62,695,16,4,1,1,5,2,2,6,924,0,8,932,0,
122,127,23,5,57,707,15,1,4,4,5,3,32,15,998,0,7,1005,0,
123,144,12,1,89,887,6,5,3,1,2,2,4,0,1156,0,21,1177,0,
124,187,9,2,22,372,6,0,2,0,2,1,25,4,632,0,9,641,0,
125,708,60,1,125,79,3,2,2,1,2,1,1,1,986,0,14,1000,0,
126,355,3,1,38,560,2,2,0,1,5,1,1,3,972,0,8,980,0,
127,314,15,0,179,377,11,4,4,0,0,3,3,6,916,0,9,925,0,
128,197,4,0,39,557,10,7,0,1,6,1,6,5,833,0,10,843,0,
129,452,51,2,27,189,3,2,3,1,3,0,0,5,738,0,13,751,0,
130,514,36,1,,154,3,2,0,0,               O,0,0,4,773,0,11,784,0,
131,253,6,4,116,521,7,4,0,3,9,4,10,2,939,0,22,961,0,
132,135,5,2,4,234,1,1,0,0,0,2,0,0,384,0,5,389,0,
133,152,3,2,154,432,6,3,1,2,5,1,2,2,765,0,12,777,0,
134,353,7,2,84,204,1,2,2,1,3,1,0,2,662,0,8,670,0,
135,475,15,5,101,427,6,2,3,2,3,4,12,10,1065,0,20,1085,0,
136,312,5,2,95,370,6,1,1,0,3,4,3,2,804,0,9,813,0,
137,615,20,1,129,76,2,1,0,0,0,0,2,2,848,0,7,855,0,
138,425,21,3,30,444,4,1,0,0,2,0,2,10,942,0,7,949,0,
139,566,87,2,106,26,2,0,1,0,1,0,1,1,793,0,15,808,0,
140,659,43,5,201,161,0,3,0,1,1,1,0,3,1078,0,8,1086,0,
141,557,22,2,158,287,7,0,1,0,3,1,4,5,1047,0,17,1064,0,
142,443,10,3,61,240,3,2,1,0,0,1,1,5,770,0,9,779,0,
143,278,17,5,30,369,3,1,1,2,1,"            ,   2",2,0,711,0,11,722,0,
144,359,6,1,74,79,1,0,0,0,0,1,0,1,522,0,3,525,0,
145,439,22,4,66,225,1,2,0,2,1,0,5,0,767,0,13,780,0,
146,364,25,0,55,112,0,1,1,0,0,0,2,2,562,0,2,564,0,
147,251,9,3,76,174,2,2,0,2,2,0,8,2,531,0,4,535,0,
148,152,0,0,14,249,1,0,1,0,1,1,3,0,422,0,6,428,0,
149,534,20,1,128,22,0,3,0,0,1,1,1,3,714,0,8,722,0,
150,442,20,4,             4S,527,            &,5,0,              S,6,6,2,6,1096,0,11,1102,0,
151,598,19,3,57,201,4,0,1,0,2,1,2,3,891,0,8,899,0,
152,241,6,2,25,584,3,0,0,0,0,0,1,3,865,0,7,872,0,
153,417,8,2,20,455,4,1,0,1,3,0,3,1,915,0,3,918,0,
154,417,30,2,30,307,5,1,0,0,1,1,2,5,801,0,10,811,0,
155,286,16,5,82,595,8,0,4,0,1,1,14,5,1017,0,6,1023,0,
156,444,11,3,11,555,6,0,1,1,5,1,3,5,1046,0,7,1053,0,
157,457,7,0,26,323,3,2,0,0,2,1,4,1,826,0,7,833,0,
158,129,1,1,8,247,1,0,0,0,2,0,1,1,391,0,0,391,0,
159,171,3,0,15,331,2,0,0,1,3,0,2,2,530,0,8,538,0,
160,329,4,3,48,256,4,1,2,3,4,0,2,4,660,0,10,670,0,
161,228,12,2,35,839,4,2,0,1,2,1,3,1,1130,0,6,1136,0,
162,330,4,4,25,724,2,3,0,1,10,2,0,5,1110,0,10,1120,0,
163,197,3,             . 0,13,569,5,1,0,0,2,1,1,1,793,0,5,           .   798,0,
164,602,5,3,12,422,4,1,1,1,5,2,4,3,1065,0,22,1087,0,
165,668,22,1,32,139,4,0,1,1,0,1,0,1,870,0,5,875,0,
166,357,9,2,10,490,8,3,2,1,3,2,6,10,903,0,10,913,0,
167,379,10,3,48,449,11,6,0,2,15,2,12,17,954,0,27,981,0,
168,242,15,3,25,489,5,5,5,0,1,2,4,2,798,0,4,802,0,
169,364,14,7,23,702,11,9,3,0,5,4,15,4,1161,0,8,1169,0,
170,345,10,3,-11,762,11,4,1,3,5,2,4,9,1170,0,9,1179,___0,
171,141,9,4,24,707,6,3,0,0,2,1,0,0,897,0,4,901,0,
172,246,8,1,30,535,4,0,1,2,1,1,1,4,834,0,7,841,0,
173,178,12,2,15,484,1,2,0,1,1,1,4,2,703,0,11,714,0,
174,149,1,0,28,633,1,0,0,0,3,0,0,2,817,0,4,821,0,
175,235,6,0,11,606,3,1,1,0,1,1,0,1,866,0,3,869,0,
176,162,10,1,14,620,8,1,1,0,5,2,3,1,828,0,12,840,0,
177,230,19,1,9,703,1,2,1,2,12,0,1,2,983,0,4,987,0,
178,237,4,0,13,367,3,0,1,1,3,3,2,2,636,0,7,643,0,
179,572,36,3,49,357,3,2,0,2,4,0,3,2,1033,0,12,1045,0,
180,457,6,1,8,706,9,9,11,2,8,3,4,3,1227,0,4,1231,0,
181,204,4,1,74,444,8,4,1,0,3,5,1,3,752,0,13,765,0,
182,259,10,2,8,815,7,1,0,1,6,0,2,5,1116,0,4,1120,0,
183,253,7,3,14,721,4,0,3,3,2,0,6,3,          .  1019,0,14,1033,0,
184,307,9,2,25,580,6,1,2,1,5,1,21,2,962,0,7,969,0,
185,161,4,2,28,862,14,1,2,2,6,2,2,3,1089,0,4,1093,0,
186,195,1,3,1,385,5,0,0,1,1,1,4,5,602,0,6,608,0,
187,394,12,2,19,232,4,2,1,1,0,3,30,4,704,0,12,716,0,
188,336,22,3,14,371,1,1,1,0,1,0,2,3,755,0,7,762,0,
189,426,11,3,33,582,4,2,1,1,1,0,1,0,1065,0,2,1067,0,
190,637,10,2,36,186,2,5,0,1,1,0,2,2,884,0,15,899,0,
191,391,10,3,41,351,13,3,2,0,3,0,4,2,823,0,9,832,0,
192,336,6,1,54,276,15,3,1,1,5,1,0,1,700,0,9,709,0,
193,191,4,1,3,373,5,3,1,1,1,0,10,5,598,0,11,609,0,
194,228,5,3,18,744,4,0,1,3,2,1,1,7,1017,0,7,1024,0,
195,481,16,0,20,28,0,0,0,0,0,0,1,1,547,0,5,552,0,
196,549,16,0,82,381,4,5,5,3,3,1,5,4,1058,0,31,1089,0,
197,199,1,2,12,337,2,2,1,1,1,1,2,3,564,0,6,570,0,
198,216,2,1,6,371,1,0,0,0,4,2,3,5,611,0,5,616,0,
199,438,3,0,12,427,3,0,2,1,3,0,0,6,895,0,11,906,0,
200,646,15,0,34,334,7,0,1,2,3,0,7,6,1055,0,18,1073,0,
201,312,18,3,28,662,2,0,2,0,3,1,8,1,1040,0,10,1050,0,
202,146,1,4,19,454,4,1,1,1,2,0,1,1,635,0,3,638,0,
203,271,3,0,8,350,            .   3,1,0,2,3,1,2,1,645,0,10,655,0,
204,397,9,3,10,349,1,1,1,1,1,0,1,1,775,0,3,778,0,
205,164,43,2,3,196,2,0,0,0,1,0,2,1,414,0,7,421,0,
206,348,8,0,13,427,1,0,0,1,4,1,7,3,813,0,3,816,0,
207,240,6,1,34,303,8,4,3,1,1,1,29,4,635,0,4,639,0,
208,343,24,4,9,284,5,1,0,0,1,15,39,1,726,0,10,736,0,
209,595,35,2,31,289,4,0,1,3,0,6,47,6,1019,0,12,1031,0,
210,460,17,2,34,320,3,3,               e,0,0,2,26,               a,870,0,12,882,0,
211,212,0,0,10,330,3,1,1,1,0,0,0,1,559,0,4,563,0,
212,235,1,0,4,351,0,0,0,0,0,0,0,2,593,0,2,595,0,
213,306,11,0,5,469,11,2,1,2,1,1,18,1,828,0,9,837,0,
214,447,10,0,10,360,6,1,1,1,2,1,17,3,859,0,14,873,0,
215,293,6,1,6,374,4,0,0,1,4,0,2,1,692,0,2,694,0,
216,245,7,3,8,405,5,2,0,0,1,1,4,1,682,0,9,691,0,
217,273,2,2,46,427,4,0,0,0,0,0,4,2,760,0,7,767,0,
218,173,0,3,17,293,2,0,0,0,0,1,3,2,494,0,2,496,0,
219,667,18,2,27,182,5,0,1,2,2,0,0,5,911,0,11,922,0,
220,341,6,0,17,544,7,2,1,1,1,0,10,7,937,0,12,949,0,
221,881,20,2,17,67,0,0,0,1,1,0,2,1,992,0,3,995,0,
222,280,3,0,23,501,8,1,0,1,0,2,2,4,825,0,3,828,0,
