pc_id,pc_name,ac_id,ac_name,Serial No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,No.of rejected votes,NOTA,Total,No.of tendered votes
12,Nabarangpur,83,Malkangiri,123,,,,,,,,171.0,2.0,305.0,194.0,4.0,7.0,10.0,0.0,10.0,703.0,0.0
12,Nabarangpur,83,Malkangiri,124,,,,,,,,148.0,2.0,66.0,144.0,4.0,1.0,2.0,0.0,3.0,370.0,0.0
12,Nabarangpur,83,Malkangiri,125,,,,,,,,230.0,0.0,38.0,123.0,7.0,2.0,1.0,0.0,1.0,402.0,0.0
12,Nabarangpur,83,Malkangiri,126,,,,,,,,213.0,3.0,84.0,171.0,13.0,3.0,5.0,0.0,2.0,494.0,0.0
12,Nabarangpur,83,Malkangiri,127,,,,,,,,126.0,2.0,58.0,236.0,4.0,3.0,1.0,0.0,2.0,432.0,0.0
12,Nabarangpur,83,Malkangiri,128,,,,,,,,90.0,1.0,43.0,116.0,7.0,1.0,3.0,0.0,3.0,264.0,0.0
12,Nabarangpur,83,Malkangiri,129,,,,,,,,120.0,5.0,69.0,234.0,13.0,2.0,8.0,0.0,3.0,454.0,0.0
12,Nabarangpur,83,Malkangiri,130,,,,,,,,154.0,8.0,108.0,461.0,11.0,4.0,5.0,0.0,7.0,758.0,0.0
12,Nabarangpur,83,Malkangiri,131,,,,,,,,140.0,7.0,37.0,395.0,14.0,4.0,9.0,0.0,8.0,614.0,0.0
12,Nabarangpur,83,Malkangiri,132,,,,,,,,60.0,4.0,71.0,226.0,4.0,1.0,5.0,0.0,6.0,377.0,0.0
12,Nabarangpur,83,Malkangiri,133,,,,,,,,132.0,2.0,73.0,385.0,5.0,2.0,25.0,0.0,6.0,630.0,0.0
12,Nabarangpur,83,Malkangiri,134,,,,,,,,117.0,5.0,173.0,389.0,4.0,8.0,13.0,0.0,11.0,720.0,0.0
12,Nabarangpur,83,Malkangiri,135,,,,,,,,163.0,7.0,91.0,333.0,11.0,3.0,6.0,0.0,2.0,616.0,0.0
12,Nabarangpur,83,Malkangiri,136,,,,,,,,120.0,5.0,69.0,234.0,13.0,2.0,8.0,0.0,3.0,454.0,0.0
12,Nabarangpur,83,Malkangiri,137,,,,,,,,86.0,7.0,202.0,131.0,2.0,4.0,3.0,0.0,1.0,436.0,0.0
12,Nabarangpur,83,Malkangiri,138,,,,,,,,326.0,4.0,45.0,294.0,4.0,3.0,3.0,0.0,1.0,680.0,0.0
12,Nabarangpur,83,Malkangiri,139,,,,,,,,331.0,7.0,139.0,278.0,14.0,7.0,14.0,0.0,3.0,793.0,0.0
