pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of Valid votes,No. of rejected Votes  (Test votes),Votes for NOTA option,Total,No of tendered votes
3,Sambalpur,15,Kuchinda,159,,,,,,,,248,7,218,60,6,1,2,542,0,5,547,0
3,Sambalpur,15,Kuchinda,160,,,,,,,,286,8,265,72,5,3,2,641,0,3,644,0
3,Sambalpur,15,Kuchinda,161,,,,,,,,154,2,210,111,4,0,3,484,0,26,510,0
3,Sambalpur,15,Kuchinda,162,,,,,,,,488,8,307,117,1,2,3,926,0,20,946,0
3,Sambalpur,15,Kuchinda,163,,,,,,,,187,11,268,55,4,2,1,528,0,6,534,0
3,Sambalpur,15,Kuchinda,164,,,,,,,,459,18,328,78,4,3,5,895,0,5,900,0
3,Sambalpur,15,Kuchinda,165,,,,,,,,233,10,286,44,3,2,5,583,0,13,596,0
3,Sambalpur,15,Kuchinda,166,,,,,,,,358,6,359,72,5,4,1,805,0,10,815,0
3,Sambalpur,15,Kuchinda,167,,,,,,,,371,15,326,63,4,5,2,786,0,9,795,0
3,Sambalpur,15,Kuchinda,168,,,,,,,,289,9,182,41,1,4,2,528,0,6,534,0
3,Sambalpur,15,Kuchinda,169,,,,,,,,214,11,339,42,4,3,5,618,0,10,628,0
3,Sambalpur,15,Kuchinda,170,,,,,,,,267,7,342,27,5,1,4,653,0,8,661,0
3,Sambalpur,15,Kuchinda,171,,,,,,,,405,7,321,92,5,3,4,837,0,15,852,0
3,Sambalpur,15,Kuchinda,172,,,,,,,,187,3,115,54,1,0,1,361,0,3,364,0
3,Sambalpur,15,Kuchinda,173,,,,,,,,471,9,313,47,0,0,2,842,0,1,843,0
3,Sambalpur,15,Kuchinda,174,,,,,,,,400,24,344,87,4,5,13,877,0,17,894,0
3,Sambalpur,15,Kuchinda,175,,,,,,,,232,3,227,43,1,0,1,507,0,6,513,0
3,Sambalpur,15,Kuchinda,176,,,,,,,,243,6,273,21,0,6,3,552,0,9,561,0
3,Sambalpur,15,Kuchinda,177,,,,,,,,130,3,301,12,0,4,1,451,0,5,456,0
3,Sambalpur,15,Kuchinda,178,,,,,,,,204,7,115,18,1,1,2,348,0,5,353,0
3,Sambalpur,15,Kuchinda,179,,,,,,,,246,6,238,43,1,2,1,537,0,12,549,0
3,Sambalpur,15,Kuchinda,180,,,,,,,,291,17,180,24,5,2,0,519,0,7,526,0
3,Sambalpur,15,Kuchinda,181,,,,,,,,301,5,241,16,1,1,2,567,0,2,569,0
3,Sambalpur,15,Kuchinda,182,,,,,,,,637,12,240,40,1,4,8,942,0,8,950,0
3,Sambalpur,15,Kuchinda,183,,,,,,,,276,12,417,42,0,6,5,758,0,13,771,0
3,Sambalpur,15,Kuchinda,184,,,,,,,,307,12,294,29,2,0,3,647,0,4,651,0
3,Sambalpur,15,Kuchinda,185,,,,,,,,482,11,359,63,2,5,8,930,0,28,958,0
3,Sambalpur,15,Kuchinda,186,,,,,,,,54,2,223,24,1,0,1,305,0,0,305,0
3,Sambalpur,15,Kuchinda,187,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
3,Sambalpur,15,Kuchinda,188,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
3,Sambalpur,15,Kuchinda,189,,,,,,,,419,7,209,265,8,3,7,918,0,21,939,0
3,Sambalpur,15,Kuchinda,190,,,,,,,,369,12,105,46,8,1,10,551,0,27,578,0
3,Sambalpur,15,Kuchinda,191,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0
3,Sambalpur,15,Kuchinda,192,,,,,,,,143,2,205,28,1,1,2,382,0,3,385,0
3,Sambalpur,15,Kuchinda,193,,,,,,,,99,6,281,122,5,4,3,520,0,5,525,0
3,Sambalpur,15,Kuchinda,194,,,,,,,,476,11,325,140,7,2,8,969,0,18,987,0
3,Sambalpur,15,Kuchinda,195,,,,,,,,156,7,117,60,1,1,1,343,0,0,343,0
3,Sambalpur,15,Kuchinda,196,,,,,,,,177,15,280,59,3,0,2,536,0,11,547,0
3,Sambalpur,15,Kuchinda,197,,,,,,,,159,11,210,164,7,1,1,553,0,4,557,0
3,Sambalpur,15,Kuchinda,198,,,,,,,,189,34,295,48,2,1,3,572,0,8,580,0
3,Sambalpur,15,Kuchinda,199,,,,,,,,389,50,358,94,5,1,9,906,0,27,933,0
3,Sambalpur,15,Kuchinda,200,,,,,,,,334,17,362,101,5,0,2,821,0,3,824,0
3,Sambalpur,15,Kuchinda,201,,,,,,,,235,15,445,67,1,1,3,767,0,9,776,0
3,Sambalpur,15,Kuchinda,202,,,,,,,,327,6,367,16,0,1,1,718,0,4,722,0
3,Sambalpur,15,Kuchinda,203,,,,,,,,261,9,197,85,1,1,0,554,0,2,556,0
3,Sambalpur,15,Kuchinda,204,,,,,,,,194,2,341,11,1,3,3,555,0,5,560,0
3,Sambalpur,15,Kuchinda,205,,,,,,,,222,3,224,58,3,3,2,515,0,6,521,0
3,Sambalpur,15,Kuchinda,206,,,,,,,,249,5,332,57,1,2,2,648,0,21,669,0
3,Sambalpur,15,Kuchinda,207,,,,,,,,289,8,338,69,0,1,0,705,0,11,716,0
3,Sambalpur,15,Kuchinda,208,,,,,,,,214,4,189,65,5,4,5,486,0,9,495,0
3,Sambalpur,15,Kuchinda,209,,,,,,,,316,2,215,44,3,3,3,586,0,11,597,0
3,Sambalpur,15,Kuchinda,210,,,,,,,,168,17,350,35,2,1,5,578,0,16,594,0
3,Sambalpur,15,Kuchinda,211,,,,,,,,144,6,377,33,3,5,1,569,0,12,581,0
3,Sambalpur,15,Kuchinda,212,,,,,,,,235,12,624,47,1,2,4,925,0,8,933,0
3,Sambalpur,15,Kuchinda,213,,,,,,,,342,6,483,127,7,1,5,971,0,18,989,0
3,Sambalpur,15,Kuchinda,214,,,,,,,,197,14,293,87,3,4,10,608,0,10,618,0
3,Sambalpur,15,Kuchinda,215,,,,,,,,307,5,206,57,1,4,0,580,0,10,590,0
3,Sambalpur,15,Kuchinda,216,,,,,,,,518,6,205,258,7,1,0,995,0,7,1002,0
3,Sambalpur,15,Kuchinda,217,,,,,,,,106,7,310,154,3,0,5,585,0,6,591,0
3,Sambalpur,15,Kuchinda,218,,,,,,,,261,5,305,60,1,6,3,641,0,4,645,0
3,Sambalpur,15,Kuchinda,219,,,,,,,,176,7,343,104,2,0,2,634,0,6,640,0
3,Sambalpur,15,Kuchinda,220,,,,,,,,308,14,483,41,0,2,5,853,0,7,860,0
3,Sambalpur,15,Kuchinda,221,,,,,,,,345,15,385,225,7,3,4,984,0,10,994,0
