pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total Valid Votes,No. of Rejected Votes (Test votes),Votes for NOTA option,Total,No. of tendered votes
3,Sambalpur,18,Rairakhol,199,,,,,,,,175,26,155,5,0,2,4,2,369,0,2,371,0
3,Sambalpur,18,Rairakhol,200,,,,,,,,289,126,234,7,3,2,6,8,675,0,9,684,0
3,Sambalpur,18,Rairakhol,201,,,,,,,,341,118,314,4,9,3,10,10,809,0,26,835,0
3,Sambalpur,18,Rairakhol,202,,,,,,,,349,160,361,5,2,3,1,4,885,0,13,898,0
3,Sambalpur,18,Rairakhol,203,,,,,,,,325,93,212,8,5,3,4,21,671,0,14,685,0
3,Sambalpur,18,Rairakhol,204,,,,,,,,194,195,325,6,3,3,9,8,743,0,11,754,0
3,Sambalpur,18,Rairakhol,205,,,,,,,,109,151,188,2,3,2,3,1,459,0,7,466,0
3,Sambalpur,18,Rairakhol,206,,,,,,,,212,247,432,5,4,3,5,27,935,0,11,946,0
3,Sambalpur,18,Rairakhol,207,,,,,,,,178,122,229,6,5,5,8,15,568,0,14,582,0
3,Sambalpur,18,Rairakhol,208,,,,,,,,202,180,243,2,3,0,6,3,639,0,5,644,0
3,Sambalpur,18,Rairakhol,209,,,,,,,,174,177,447,5,8,2,9,19,841,0,11,852,0
3,Sambalpur,18,Rairakhol,210,,,,,,,,185,228,400,13,3,5,15,7,856,0,7,863,0
3,Sambalpur,18,Rairakhol,211,,,,,,,,183,253,425,4,8,1,3,4,881,0,4,885,0
3,Sambalpur,18,Rairakhol,212,,,,,,,,220,128,165,1,0,0,1,1,516,0,2,518,0
3,Sambalpur,18,Rairakhol,213,,,,,,,,97,108,103,0,1,1,2,3,315,0,3,318,0
3,Sambalpur,18,Rairakhol,214,,,,,,,,44,98,282,0,1,1,4,2,432,0,2,434,0
3,Sambalpur,18,Rairakhol,215,,,,,,,,205,124,179,4,2,2,5,12,533,0,1,534,0
3,Sambalpur,18,Rairakhol,216,,,,,,,,123,82,171,2,5,1,1,3,388,0,2,390,0
3,Sambalpur,18,Rairakhol,217,,,,,,,,253,278,304,5,7,4,5,6,862,0,11,873,0
3,Sambalpur,18,Rairakhol,218,,,,,,,,108,72,101,3,2,1,4,0,291,0,6,297,0
3,Sambalpur,18,Rairakhol,219,,,,,,,,408,110,163,2,4,1,6,7,701,0,1,702,0
3,Sambalpur,18,Rairakhol,220,,,,,,,,181,99,92,2,6,1,2,2,385,0,4,389,0
3,Sambalpur,18,Rairakhol,221,,,,,,,,238,107,298,9,1,1,5,21,680,0,6,686,0
3,Sambalpur,18,Rairakhol,222,,,,,,,,68,50,233,5,1,0,2,2,361,0,2,363,0
3,Sambalpur,18,Rairakhol,223,,,,,,,,127,72,201,4,6,9,3,6,428,0,9,437,0
3,Sambalpur,18,Rairakhol,224,,,,,,,,288,158,303,4,3,0,5,2,763,0,4,767,0
3,Sambalpur,18,Rairakhol,225,,,,,,,,214,155,202,7,2,0,2,4,586,0,7,593,0
3,Sambalpur,18,Rairakhol,226,,,,,,,,139,77,114,2,2,1,2,6,343,0,4,347,0
3,Sambalpur,18,Rairakhol,227,,,,,,,,325,212,319,4,1,2,1,0,864,0,1,865,0
3,Sambalpur,18,Rairakhol,228,,,,,,,,53,114,189,2,1,2,2,2,365,0,3,368,0
3,Sambalpur,18,Rairakhol,229,,,,,,,,108,120,122,0,3,0,1,1,355,0,1,356,0
3,Sambalpur,18,Rairakhol,230,,,,,,,,396,221,273,10,7,2,9,5,923,0,3,926,0
3,Sambalpur,18,Rairakhol,231,,,,,,,,206,106,121,3,1,6,5,12,460,0,8,468,0
3,Sambalpur,18,Rairakhol,232,,,,,,,,66,191,199,2,1,1,4,4,468,0,20,488,0
3,Sambalpur,18,Rairakhol,233,,,,,,,,146,181,115,1,3,0,8,8,462,0,3,465,0
3,Sambalpur,18,Rairakhol,234,,,,,,,,171,292,377,1,4,2,1,15,863,0,3,866,0
3,Sambalpur,18,Rairakhol,235,,,,,,,,335,189,332,3,1,1,2,11,874,0,4,878,0
3,Sambalpur,18,Rairakhol,236,,,,,,,,267,92,195,2,4,2,1,7,570,0,3,573,0
3,Sambalpur,18,Rairakhol,237,,,,,,,,236,91,312,2,2,0,3,34,680,0,15,695,0
3,Sambalpur,18,Rairakhol,238,,,,,,,,119,36,128,0,1,0,2,15,301,0,3,304,0
3,Sambalpur,18,Rairakhol,239,,,,,,,,322,225,206,11,1,4,7,18,794,0,12,806,0
3,Sambalpur,18,Rairakhol,240,,,,,,,,185,66,93,4,1,0,3,5,357,0,1,358,0
3,Sambalpur,18,Rairakhol,241,,,,,,,,88,297,175,3,2,4,11,16,596,0,14,610,0
3,Sambalpur,18,Rairakhol,242,,,,,,,,232,92,169,7,3,2,3,0,508,0,7,515,0
3,Sambalpur,18,Rairakhol,243,,,,,,,,149,189,310,9,4,4,6,14,685,0,18,703,0
3,Sambalpur,18,Rairakhol,244,,,,,,,,308,159,193,2,5,2,7,6,682,0,4,686,0
3,Sambalpur,18,Rairakhol,245,,,,,,,,337,128,146,1,8,1,4,10,635,0,13,648,0
3,Sambalpur,18,Rairakhol,246,,,,,,,,125,88,161,3,2,1,2,3,385,0,4,389,0
3,Sambalpur,18,Rairakhol,247,,,,,,,,144,90,208,1,0,2,2,6,453,0,7,460,0
