pc_id,pc_name,ac_id,ac_name,Booth,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of Valid Votes,No.of rejected Votes (Test votes),Votes for NOTA option,Total,No. of Tendered Votes
13,Kandhamal,85,Baliguda,140,,,,,,,,34,43,70,14,123,22,306,0,5,311,0
13,Kandhamal,85,Baliguda,141,,,,,,,,270,40,208,16,168,14,716,0,5,721,0
13,Kandhamal,85,Baliguda,142,,,,,,,,324,70,306,19,114,21,854,0,7,861,0
13,Kandhamal,85,Baliguda,143,,,,,,,,151,80,92,7,136,16,482,0,5,487,0
13,Kandhamal,85,Baliguda,144,,,,,,,,148,25,234,0,9,9,425,0,8,433,0
13,Kandhamal,85,Baliguda,145,,,,,,,,360,94,256,9,80,5,804,0,1,805,0
13,Kandhamal,85,Baliguda,146,,,,,,,,59,139,315,17,125,12,667,0,3,670,0
13,Kandhamal,85,Baliguda,147,,,,,,,,37,48,139,9,188,26,447,0,6,453,0
13,Kandhamal,85,Baliguda,148,,,,,,,,48,9,140,2,109,9,317,0,1,318,0
13,Kandhamal,85,Baliguda,149,,,,,,,,43,16,178,3,117,8,365,0,5,370,0
13,Kandhamal,85,Baliguda,150,,,,,,,,146,64,194,10,106,5,525,0,0,525,0
13,Kandhamal,85,Baliguda,151,,,,,,,,135,62,58,25,224,38,542,0,13,555,0
13,Kandhamal,85,Baliguda,152,,,,,,,,74,69,48,2,67,8,268,0,2,270,0
13,Kandhamal,85,Baliguda,153,,,,,,,,277,118,233,12,180,24,844,0,10,854,0
13,Kandhamal,85,Baliguda,154,,,,,,,,117,247,91,10,131,22,618,0,7,625,0
13,Kandhamal,85,Baliguda,155,,,,,,,,42,63,94,32,359,46,636,0,4,640,0
13,Kandhamal,85,Baliguda,156,,,,,,,,64,71,148,16,359,13,671,0,6,677,0
13,Kandhamal,85,Baliguda,157,,,,,,,,71,97,201,13,318,12,712,0,9,721,0
13,Kandhamal,85,Baliguda,158,,,,,,,,126,120,157,9,238,13,663,0,4,667,0
13,Kandhamal,85,Baliguda,159,,,,,,,,102,84,172,17,474,19,868,0,7,875,0
13,Kandhamal,85,Baliguda,160,,,,,,,,154,59,98,26,362,30,729,0,17,746,0
13,Kandhamal,85,Baliguda,161,,,,,,,,114,102,128,13,282,25,664,0,7,671,0
13,Kandhamal,85,Baliguda,162,,,,,,,,107,46,276,2,61,7,499,0,2,501,0
13,Kandhamal,85,Baliguda,163,,,,,,,,169,107,355,7,40,11,689,0,16,705,0
13,Kandhamal,85,Baliguda,164,,,,,,,,69,86,208,9,15,8,395,0,3,398,0
13,Kandhamal,85,Baliguda,165,,,,,,,,69,40,118,2,6,0,235,0,3,238,0
13,Kandhamal,85,Baliguda,166,,,,,,,,33,47,191,4,23,8,306,0,0,306,0
13,Kandhamal,85,Baliguda,167,,,,,,,,106,177,202,7,23,16,531,0,21,552,0
13,Kandhamal,85,Baliguda,168,,,,,,,,272,110,190,22,202,31,827,0,5,832,0
13,Kandhamal,85,Baliguda,169,,,,,,,,88,105,252,14,276,15,750,0,12,762,0
13,Kandhamal,85,Baliguda,170,,,,,,,,70,353,246,7,72,3,751,0,0,751,0
13,Kandhamal,85,Baliguda,171,,,,,,,,87,48,198,13,95,7,448,0,2,450,0
13,Kandhamal,85,Baliguda,172,,,,,,,,183,65,299,5,111,16,679,0,8,687,0
13,Kandhamal,85,Baliguda,173,,,,,,,,209,154,294,12,93,11,773,0,6,779,0
13,Kandhamal,85,Baliguda,174,,,,,,,,187,71,221,12,113,8,612,0,0,612,0
13,Kandhamal,85,Baliguda,175,,,,,,,,274,90,158,17,96,17,652,0,7,659,0
13,Kandhamal,85,Baliguda,176,,,,,,,,53,146,125,25,256,38,643,0,11,654,0
13,Kandhamal,85,Baliguda,177,,,,,,,,240,86,142,6,38,7,519,0,1,520,0
13,Kandhamal,85,Baliguda,178,,,,,,,,311,97,112,11,165,12,708,0,4,712,0
13,Kandhamal,85,Baliguda,179,,,,,,,,230,66,238,14,154,11,713,0,8,721,0
13,Kandhamal,85,Baliguda,180,,,,,,,,138,61,236,8,79,13,535,0,3,538,0
13,Kandhamal,85,Baliguda,181,,,,,,,,47,74,161,8,29,8,327,0,1,328,0
13,Kandhamal,85,Baliguda,182,,,,,,,,144,87,331,21,116,16,715,0,6,721,0
13,Kandhamal,85,Baliguda,183,,,,,,,,242,130,424,13,122,10,941,0,2,943,0
13,Kandhamal,85,Baliguda,184,,,,,,,,88,58,271,4,43,3,467,0,4,471,0
13,Kandhamal,85,Baliguda,185,,,,,,,,177,109,421,4,32,5,748,0,3,751,0
13,Kandhamal,85,Baliguda,186,,,,,,,,176,64,345,17,60,10,672,0,11,683,0
13,Kandhamal,85,Baliguda,187,,,,,,,,96,39,275,10,50,7,477,0,7,484,0
13,Kandhamal,85,Baliguda,188,,,,,,,,67,36,227,12,108,18,468,0,5,473,0
13,Kandhamal,85,Baliguda,189,,,,,,,,246,150,313,12,162,23,906,0,16,922,0
13,Kandhamal,85,Baliguda,190,,,,,,,,109,44,172,16,67,12,420,0,5,425,0
13,Kandhamal,85,Baliguda,191,,,,,,,,65,33,225,16,153,18,510,0,4,514,0
13,Kandhamal,85,Baliguda,192,,,,,,,,106,69,274,21,327,21,818,0,9,827,0
13,Kandhamal,85,Baliguda,193,,,,,,,,220,130,372,11,43,12,788,0,5,793,0
13,Kandhamal,85,Baliguda,194,,,,,,,,263,33,416,5,49,7,773,0,5,778,0
13,Kandhamal,85,Baliguda,195,,,,,,,,124,74,292,10,71,11,582,0,9,591,0
13,Kandhamal,85,Baliguda,196,,,,,,,,122,44,384,22,293,31,896,0,11,907,0
13,Kandhamal,85,Baliguda,197,,,,,,,,124,45,317,1,94,8,589,0,7,596,0
13,Kandhamal,85,Baliguda,198,,,,,,,,108,27,441,2,20,4,602,0,3,605,0
13,Kandhamal,85,Baliguda,199,,,,,,,,45,26,497,8,75,7,658,0,5,663,0
13,Kandhamal,85,Baliguda,201,,,,,,,,7,5,881,2,9,0,904,0,0,904,0
13,Kandhamal,85,Baliguda,202,,,,,,,,322,78,349,6,18,6,779,0,5,784,0
13,Kandhamal,85,Baliguda,203,,,,,,,,199,32,257,5,30,4,527,0,3,530,0
13,Kandhamal,85,Baliguda,204,,,,,,,,129,179,400,21,109,22,860,0,22,882,0
13,Kandhamal,85,Baliguda,205,,,,,,,,42,12,205,2,125,11,397,0,6,403,0
13,Kandhamal,85,Baliguda,206,,,,,,,,69,12,110,2,54,3,250,0,0,250,0
13,Kandhamal,85,Baliguda,207,,,,,,,,183,51,375,4,18,5,636,0,8,644,0
13,Kandhamal,85,Baliguda,208,,,,,,,,32,34,318,10,95,7,496,0,1,497,0
13,Kandhamal,85,Baliguda,209,,,,,,,,170,44,288,7,29,5,543,0,3,546,0
13,Kandhamal,85,Baliguda,210,,,,,,,,39,61,283,8,55,9,455,0,2,457,0
13,Kandhamal,85,Baliguda,212,,,,,,,,140,108,313,17,199,16,793,0,11,804,0
13,Kandhamal,85,Baliguda,213,,,,,,,,37,18,164,7,173,15,414,0,12,426,0
13,Kandhamal,85,Baliguda,214,,,,,,,,212,110,422,17,88,7,856,0,2,858,0
13,Kandhamal,85,Baliguda,215,,,,,,,,151,26,206,6,8,3,400,0,6,406,0
13,Kandhamal,85,Baliguda,216,,,,,,,,219,66,441,23,229,27,1005,0,21,1026,0
13,Kandhamal,85,Baliguda,217,,,,,,,,154,47,323,18,173,17,732,0,7,739,0
