pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Total No. of Valid Votes,No.of Rejected Votes        (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
11,Kalahandi,75,Dharamgarh,200,,,,,,,,0,0,0,0,0,0,0,0,0
11,Kalahandi,75,Dharamgarh,201,,,,,,,,363,159,280,10,812,0,8,820,0
11,Kalahandi,75,Dharamgarh,202,,,,,,,,351,178,229,15,773,0,9,782,0
11,Kalahandi,75,Dharamgarh,203,,,,,,,,177,327,207,10,721,0,10,731,0
11,Kalahandi,75,Dharamgarh,204,,,,,,,,0,0,0,0,0,0,0,0,0
11,Kalahandi,75,Dharamgarh,205,,,,,,,,368,224,260,16,868,0,14,882,0
11,Kalahandi,75,Dharamgarh,206,,,,,,,,230,330,308,17,885,0,36,921,0
11,Kalahandi,75,Dharamgarh,207,,,,,,,,223,157,213,4,597,0,5,602,0
11,Kalahandi,75,Dharamgarh,208,,,,,,,,101,406,202,8,717,0,3,720,0
11,Kalahandi,75,Dharamgarh,209,,,,,,,,690,137,131,11,969,0,16,985,0
11,Kalahandi,75,Dharamgarh,210,,,,,,,,509,360,277,11,1157,0,10,1167,0
11,Kalahandi,75,Dharamgarh,211,,,,,,,,213,75,248,7,543,0,4,547,0
11,Kalahandi,75,Dharamgarh,212,,,,,,,,227,101,210,11,549,0,6,555,0
11,Kalahandi,75,Dharamgarh,213,,,,,,,,107,246,327,18,698,0,16,714,0
11,Kalahandi,75,Dharamgarh,214,,,,,,,,55,202,45,10,312,0,14,326,0
11,Kalahandi,75,Dharamgarh,215,,,,,,,,50,387,179,40,656,0,47,703,0
11,Kalahandi,75,Dharamgarh,216,,,,,,,,125,110,394,9,638,0,7,645,0
11,Kalahandi,75,Dharamgarh,217,,,,,,,,186,261,217,7,671,0,9,680,0
11,Kalahandi,75,Dharamgarh,218,,,,,,,,119,177,105,5,406,0,6,412,0
11,Kalahandi,75,Dharamgarh,219,,,,,,,,165,239,183,16,603,0,22,625,0
11,Kalahandi,75,Dharamgarh,220,,,,,,,,153,143,231,9,536,0,15,551,0
11,Kalahandi,75,Dharamgarh,221,,,,,,,,335,122,78,4,539,0,4,543,0
11,Kalahandi,75,Dharamgarh,222,,,,,,,,332,83,462,23,900,0,13,913,0
11,Kalahandi,75,Dharamgarh,223,,,,,,,,174,224,236,18,652,0,14,666,0
11,Kalahandi,75,Dharamgarh,224,,,,,,,,249,173,206,18,646,0,8,654,0
11,Kalahandi,75,Dharamgarh,225,,,,,,,,412,360,354,19,1145,0,12,1157,0
11,Kalahandi,75,Dharamgarh,226,,,,,,,,183,78,116,5,382,0,11,393,0
11,Kalahandi,75,Dharamgarh,227,,,,,,,,360,196,273,13,842,0,14,856,0
11,Kalahandi,75,Dharamgarh,228,,,,,,,,368,119,232,11,730,0,10,740,0
11,Kalahandi,75,Dharamgarh,229,,,,,,,,115,160,173,15,463,0,10,473,0
11,Kalahandi,75,Dharamgarh,230,,,,,,,,174,254,261,6,695,0,4,699,0
11,Kalahandi,75,Dharamgarh,231,,,,,,,,154,296,237,12,699,0,5,704,0
11,Kalahandi,75,Dharamgarh,232,,,,,,,,113,280,147,11,551,0,8,559,0
11,Kalahandi,75,Dharamgarh,233,,,,,,,,65,275,78,7,425,0,18,443,0
11,Kalahandi,75,Dharamgarh,234,,,,,,,,282,190,547,17,1036,0,3,1039,0
11,Kalahandi,75,Dharamgarh,235,,,,,,,,192,223,172,8,595,0,5,600,0
11,Kalahandi,75,Dharamgarh,236,,,,,,,,55,255,177,16,503,0,10,513,0
11,Kalahandi,75,Dharamgarh,237,,,,,,,,22,104,165,8,299,0,11,310,0
11,Kalahandi,75,Dharamgarh,238,,,,,,,,51,314,114,27,506,0,53,559,0
11,Kalahandi,75,Dharamgarh,239,,,,,,,,108,140,329,22,599,0,27,626,0
11,Kalahandi,75,Dharamgarh,240,,,,,,,,223,305,254,18,800,0,6,806,0
11,Kalahandi,75,Dharamgarh,241,,,,,,,,470,128,301,25,924,0,25,949,0
11,Kalahandi,75,Dharamgarh,242,,,,,,,,168,216,212,9,605,0,11,616,0
11,Kalahandi,75,Dharamgarh,243,,,,,,,,258,116,257,14,645,0,30,675,0
11,Kalahandi,75,Dharamgarh,244,,,,,,,,142,232,244,23,641,0,45,686,0
11,Kalahandi,75,Dharamgarh,245,,,,,,,,239,286,351,27,903,0,31,934,0
11,Kalahandi,75,Dharamgarh,246,,,,,,,,238,85,245,12,580,0,4,584,0
11,Kalahandi,75,Dharamgarh,247,,,,,,,,177,223,62,5,467,0,9,476,0
11,Kalahandi,75,Dharamgarh,248,,,,,,,,130,140,193,8,471,0,8,479,0
11,Kalahandi,75,Dharamgarh,249,,,,,,,,81,76,262,16,435,0,9,444,0
11,Kalahandi,75,Dharamgarh,250,,,,,,,,116,152,138,18,424,0,29,453,0
11,Kalahandi,75,Dharamgarh,251,,,,,,,,36,139,146,16,337,0,17,354,0
11,Kalahandi,75,Dharamgarh,252,,,,,,,,126,118,167,10,421,0,6,427,0
11,Kalahandi,75,Dharamgarh,253,,,,,,,,110,103,35,25,273,0,12,285,0
11,Kalahandi,75,Dharamgarh,254,,,,,,,,74,199,122,8,403,0,9,412,0
11,Kalahandi,75,Dharamgarh,255,,,,,,,,183,83,177,3,446,0,4,450,0
11,Kalahandi,75,Dharamgarh,256,,,,,,,,95,226,170,15,506,0,19,525,0
11,Kalahandi,75,Dharamgarh,257,,,,,,,,247,344,222,20,833,0,6,839,0
11,Kalahandi,75,Dharamgarh,258,,,,,,,,162,127,169,16,474,0,9,483,0
11,Kalahandi,75,Dharamgarh,259,,,,,,,,218,109,211,11,549,0,4,553,0
11,Kalahandi,75,Dharamgarh,260,,,,,,,,201,216,318,24,759,0,40,799,0
11,Kalahandi,75,Dharamgarh,261,,,,,,,,10,256,186,7,459,0,5,464,0
11,Kalahandi,75,Dharamgarh,262,,,,,,,,307,248,155,12,722,0,12,734,0
11,Kalahandi,75,Dharamgarh,263,,,,,,,,111,289,230,49,679,0,42,721,0
11,Kalahandi,75,Dharamgarh,264,,,,,,,,189,118,229,17,553,0,9,562,0
11,Kalahandi,75,Dharamgarh,265,,,,,,,,167,80,146,8,401,0,6,407,0
11,Kalahandi,75,Dharamgarh,266,,,,,,,,184,159,125,5,473,0,10,483,0
11,Kalahandi,75,Dharamgarh,267,,,,,,,,162,103,112,6,383,0,6,389,0
11,Kalahandi,75,Dharamgarh,268,,,,,,,,252,108,110,13,483,0,3,486,0
11,Kalahandi,75,Dharamgarh,269,,,,,,,,157,291,344,13,805,0,11,816,0
11,Kalahandi,75,Dharamgarh,270,,,,,,,,146,260,280,28,714,0,33,747,0
