pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid votes,No. of rejected Votes(Test votes),Votes for NOTA option,Total,No. of tendered votes
2,Sundargar,10,Biramitrapur,200,,,,,,,,5,220,149,234,1,92,4,3,708,nan,3.0,711,nan
2,Sundargar,10,Biramitrapur,201,,,,,,,,11,109,156,86,4,194,9,8,577,nan,6.0,583,nan
2,Sundargar,10,Biramitrapur,202,,,,,,,,7,116,110,254,2,42,79,3,613,nan,4.0,617,nan
2,Sundargar,10,Biramitrapur,203,,,,,,,,6,167,27,246,2,8,0,1,457,nan,1.0,458,nan
2,Sundargar,10,Biramitrapur,204,,,,,,,,8,139,53,218,5,184,8,5,620,nan,8.0,628,nan
2,Sundargar,10,Biramitrapur,205,,,,,,,,8,96,100,91,4,52,1,2,354,nan,4.0,358,nan
2,Sundargar,10,Biramitrapur,206,,,,,,,,18,80,152,398,10,112,9,4,783,nan,11.0,794,nan
2,Sundargar,10,Biramitrapur,207,,,,,,,,5,115,130,63,1,14,1,1,330,nan,3.0,333,nan
2,Sundargar,10,Biramitrapur,208,,,,,,,,1,118,118,430,9,163,1,3,843,nan,4.0,847,nan
2,Sundargar,10,Biramitrapur,209,,,,,,,,5,220,31,396,2,9,71,1,735,nan,1.0,736,nan
2,Sundargar,10,Biramitrapur,210,,,,,,,,9,251,140,176,7,58,4,3,648,nan,8.0,656,nan
2,Sundargar,10,Biramitrapur,211,,,,,,,,7,85,251,199,6,60,4,3,615,nan,0.0,615,nan
2,Sundargar,10,Biramitrapur,212,,,,,,,,18,112,187,187,7,34,5,3,553,nan,4.0,557,nan
2,Sundargar,10,Biramitrapur,213,,,,,,,,9,156,63,158,2,185,5,4,582,nan,2.0,584,nan
2,Sundargar,10,Biramitrapur,214,,,,,,,,8,183,181,103,3,58,28,2,566,nan,2.0,568,nan
2,Sundargar,10,Biramitrapur,215,,,,,,,,5,98,57,337,1,8,24,0,530,nan,0.0,530,nan
2,Sundargar,10,Biramitrapur,216,,,,,,,,21,171,144,224,5,12,6,2,585,nan,7.0,592,nan
2,Sundargar,10,Biramitrapur,217,,,,,,,,9,192,139,150,8,14,9,16,537,nan,11.0,548,nan
2,Sundargar,10,Biramitrapur,218,,,,,,,,5,20,442,112,0,6,5,0,590,nan,2.0,592,nan
2,Sundargar,10,Biramitrapur,219,,,,,,,,6,46,225,207,6,57,177,2,726,nan,5.0,731,nan
2,Sundargar,10,Biramitrapur,220,,,,,,,,11,130,110,236,2,74,23,6,592,nan,6.0,598,nan
2,Sundargar,10,Biramitrapur,221,,,,,,,,10,188,107,326,7,23,2,4,667,nan,5.0,672,nan
2,Sundargar,10,Biramitrapur,222,,,,,,,,9,53,173,238,0,22,28,5,528,nan,12.0,540,nan
2,Sundargar,10,Biramitrapur,223,,,,,,,,5,104,220,251,4,92,15,2,693,nan,6.0,699,nan
2,Sundargar,10,Biramitrapur,224,,,,,,,,6,61,301,217,11,82,8,8,694,nan,16.0,710,nan
2,Sundargar,10,Biramitrapur,225,,,,,,,,4,99,37,428,5,14,1,1,589,nan,4.0,593,nan
2,Sundargar,10,Biramitrapur,226,,,,,,,,1,68,42,64,7,126,3,1,312,nan,0.0,312,nan
2,Sundargar,10,Biramitrapur,227,,,,,,,,24,70,292,186,4,71,3,4,654,nan,6.0,660,nan
2,Sundargar,10,Biramitrapur,228,,,,,,,,5,119,111,97,6,280,2,3,623,nan,2.0,625,nan
2,Sundargar,10,Biramitrapur,229,,,,,,,,8,225,179,400,9,5,1,1,828,nan,10.0,838,nan
2,Sundargar,10,Biramitrapur,230,,,,,,,,12,144,34,514,2,3,3,3,715,nan,3.0,718,nan
2,Sundargar,10,Biramitrapur,231,,,,,,,,11,116,34,136,6,136,6,3,448,nan,14.0,462,nan
2,Sundargar,10,Biramitrapur,232,,,,,,,,4,88,38,311,4,73,5,2,525,nan,0.0,525,nan
2,Sundargar,10,Biramitrapur,233,,,,,,,,2,149,70,164,2,2,2,2,393,nan,9.0,402,nan
2,Sundargar,10,Biramitrapur,234,,,,,,,,1,96,133,62,3,21,10,1,327,nan,1.0,328,nan
2,Sundargar,10,Biramitrapur,235,,,,,,,,15,196,49,121,5,11,56,0,453,nan,2.0,455,nan
2,Sundargar,10,Biramitrapur,236,,,,,,,,4,195,8,323,5,1,0,0,536,nan,1.0,537,nan
2,Sundargar,10,Biramitrapur,237,,,,,,,,7,172,10,332,0,89,2,3,615,nan,8.0,623,nan
2,Sundargar,10,Biramitrapur,238,,,,,,,,31,68,19,197,4,0,0,0,319,nan,4.0,323,nan
2,Sundargar,10,Biramitrapur,239,,,,,,,,5,169,19,255,1,14,4,3,470,nan,7.0,477,nan
