pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
14,Cuttack,93,Banki,POSTAL BALLOT,,,,,,,,15.0,75.0,122.0,2.0,6.0,220.0,0.0,3.0,223.0,0.0
14,Cuttack,93,Banki,1,,,,,,,,79.0,333.0,257.0,4.0,9.0,682.0,0.0,7.0,689.0,0.0
14,Cuttack,93,Banki,2,,,,,,,,110.0,413.0,205.0,3.0,1.0,732.0,0.0,3.0,735.0,0.0
14,Cuttack,93,Banki,3,,,,,,,,38.0,418.0,350.0,4.0,6.0,816.0,0.0,10.0,826.0,0.0
14,Cuttack,93,Banki,4,,,,,,,,33.0,319.0,214.0,1.0,4.0,571.0,0.0,5.0,576.0,0.0
14,Cuttack,93,Banki,5,,,,,,,,38.0,513.0,386.0,5.0,7.0,949.0,0.0,10.0,959.0,0.0
14,Cuttack,93,Banki,6,,,,,,,,58.0,498.0,383.0,4.0,3.0,946.0,0.0,16.0,962.0,0.0
14,Cuttack,93,Banki,7,,,,,,,,32.0,404.0,391.0,6.0,8.0,841.0,0.0,19.0,860.0,0.0
14,Cuttack,93,Banki,8,,,,,,,,46.0,425.0,372.0,8.0,5.0,856.0,0.0,4.0,860.0,0.0
14,Cuttack,93,Banki,9,,,,,,,,15.0,401.0,333.0,3.0,3.0,755.0,0.0,9.0,764.0,0.0
14,Cuttack,93,Banki,10,,,,,,,,15.0,358.0,296.0,5.0,1.0,675.0,0.0,7.0,682.0,0.0
14,Cuttack,93,Banki,11,,,,,,,,19.0,487.0,398.0,8.0,2.0,914.0,0.0,2.0,916.0,0.0
14,Cuttack,93,Banki,12,,,,,,,,52.0,561.0,394.0,5.0,2.0,1014.0,0.0,9.0,1023.0,0.0
14,Cuttack,93,Banki,13,,,,,,,,59.0,419.0,163.0,6.0,0.0,647.0,0.0,9.0,656.0,0.0
14,Cuttack,93,Banki,14,,,,,,,,62.0,358.0,177.0,3.0,3.0,603.0,0.0,4.0,607.0,0.0
14,Cuttack,93,Banki,15,,,,,,,,73.0,520.0,491.0,3.0,11.0,1098.0,0.0,5.0,1103.0,0.0
14,Cuttack,93,Banki,16,,,,,,,,23.0,373.0,400.0,4.0,3.0,803.0,0.0,6.0,809.0,0.0
14,Cuttack,93,Banki,17,,,,,,,,41.0,462.0,352.0,2.0,2.0,859.0,0.0,6.0,865.0,0.0
14,Cuttack,93,Banki,18,,,,,,,,83.0,459.0,363.0,8.0,5.0,918.0,0.0,20.0,938.0,0.0
14,Cuttack,93,Banki,19,,,,,,,,25.0,546.0,335.0,4.0,3.0,913.0,0.0,13.0,926.0,0.0
14,Cuttack,93,Banki,20,,,,,,,,21.0,488.0,362.0,6.0,4.0,881.0,0.0,11.0,892.0,0.0
14,Cuttack,93,Banki,21,,,,,,,,66.0,323.0,339.0,3.0,3.0,734.0,0.0,3.0,737.0,0.0
