pc_id,pc_name,ac_id,ac_name,Sl NO OF POLLING STATION,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,TOTAL OF VALID VOTES,NO OF REJECTED VOTES(TEST VOTES),VOTES FOR NOTA OPTION,TOTAL,NO. OF TENDERED VOTES
3,Sambalpur,20,Chhendipada,250.0,,,,,,,,101.0,99.0,109.0,3.0,1.0,0.0,0.0,313.0,0.0,2.0,315.0,0.0
3,Sambalpur,20,Chhendipada,251.0,,,,,,,,229.0,113.0,218.0,1.0,3.0,0.0,1.0,565.0,0.0,3.0,568.0,0.0
3,Sambalpur,20,Chhendipada,252.0,,,,,,,,306.0,70.0,492.0,5.0,1.0,7.0,7.0,888.0,0.0,8.0,896.0,0.0
3,Sambalpur,20,Chhendipada,253.0,,,,,,,,152.0,21.0,212.0,1.0,0.0,1.0,0.0,387.0,0.0,3.0,390.0,0.0
3,Sambalpur,20,Chhendipada,254.0,,,,,,,,350.0,52.0,227.0,2.0,3.0,1.0,0.0,635.0,0.0,5.0,640.0,0.0
3,Sambalpur,20,Chhendipada,255.0,,,,,,,,219.0,89.0,281.0,2.0,1.0,0.0,3.0,595.0,0.0,7.0,602.0,0.0
3,Sambalpur,20,Chhendipada,256.0,,,,,,,,257.0,300.0,387.0,2.0,2.0,2.0,5.0,955.0,0.0,6.0,961.0,0.0
3,Sambalpur,20,Chhendipada,257.0,,,,,,,,417.0,173.0,326.0,6.0,6.0,4.0,1.0,933.0,0.0,9.0,942.0,0.0
3,Sambalpur,20,Chhendipada,258.0,,,,,,,,141.0,35.0,182.0,1.0,1.0,0.0,0.0,360.0,0.0,0.0,360.0,0.0
3,Sambalpur,20,Chhendipada,259.0,,,,,,,,120.0,175.0,196.0,1.0,1.0,0.0,1.0,494.0,0.0,3.0,497.0,0.0
3,Sambalpur,20,Chhendipada,260.0,,,,,,,,234.0,38.0,338.0,2.0,0.0,2.0,3.0,617.0,0.0,5.0,622.0,0.0
3,Sambalpur,20,Chhendipada,261.0,,,,,,,,242.0,138.0,298.0,1.0,0.0,1.0,1.0,681.0,0.0,2.0,683.0,0.0
3,Sambalpur,20,Chhendipada,262.0,,,,,,,,129.0,58.0,303.0,3.0,1.0,3.0,1.0,498.0,0.0,3.0,501.0,0.0
3,Sambalpur,20,Chhendipada,263.0,,,,,,,,391.0,106.0,412.0,6.0,5.0,4.0,8.0,932.0,0.0,27.0,959.0,0.0
