pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total of Valid Votes,No.of rejected votes       (Test Votes),Votes for NOTA option,Total,No.of Tendered Votes
11,Kalahandi,73,Lanjigarh,82.0,,,,,,,,351.0,9.0,2.0,101.0,1.0,464.0,0.0,0.0,464.0,0.0
11,Kalahandi,73,Lanjigarh,83.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Kalahandi,73,Lanjigarh,84.0,,,,,,,,331.0,94.0,16.0,315.0,14.0,770.0,0.0,34.0,804.0,0.0
11,Kalahandi,73,Lanjigarh,85.0,,,,,,,,154.0,222.0,20.0,222.0,14.0,632.0,0.0,15.0,647.0,0.0
11,Kalahandi,73,Lanjigarh,86.0,,,,,,,,100.0,41.0,5.0,95.0,4.0,245.0,0.0,12.0,257.0,0.0
11,Kalahandi,73,Lanjigarh,87.0,,,,,,,,262.0,59.0,2.0,132.0,4.0,459.0,0.0,10.0,469.0,0.0
11,Kalahandi,73,Lanjigarh,88.0,,,,,,,,474.0,45.0,1.0,44.0,1.0,565.0,0.0,2.0,567.0,0.0
11,Kalahandi,73,Lanjigarh,89.0,,,,,,,,301.0,76.0,12.0,236.0,10.0,635.0,0.0,3.0,638.0,0.0
11,Kalahandi,73,Lanjigarh,90.0,,,,,,,,588.0,19.0,13.0,237.0,5.0,862.0,0.0,7.0,869.0,0.0
11,Kalahandi,73,Lanjigarh,91.0,,,,,,,,88.0,143.0,13.0,518.0,26.0,788.0,0.0,19.0,807.0,0.0
11,Kalahandi,73,Lanjigarh,92.0,,,,,,,,211.0,222.0,29.0,290.0,14.0,766.0,0.0,22.0,788.0,0.0
11,Kalahandi,73,Lanjigarh,93.0,,,,,,,,198.0,34.0,3.0,187.0,11.0,433.0,0.0,6.0,439.0,0.0
11,Kalahandi,73,Lanjigarh,94.0,,,,,,,,99.0,102.0,20.0,149.0,9.0,379.0,0.0,18.0,397.0,0.0
11,Kalahandi,73,Lanjigarh,95.0,,,,,,,,25.0,186.0,17.0,436.0,19.0,683.0,0.0,18.0,701.0,0.0
11,Kalahandi,73,Lanjigarh,96.0,,,,,,,,368.0,109.0,15.0,243.0,6.0,741.0,0.0,13.0,754.0,0.0
11,Kalahandi,73,Lanjigarh,97.0,,,,,,,,244.0,80.0,14.0,326.0,13.0,677.0,0.0,20.0,697.0,0.0
11,Kalahandi,73,Lanjigarh,98.0,,,,,,,,86.0,433.0,30.0,333.0,32.0,914.0,0.0,30.0,944.0,0.0
11,Kalahandi,73,Lanjigarh,99.0,,,,,,,,372.0,87.0,11.0,129.0,2.0,601.0,0.0,4.0,605.0,0.0
11,Kalahandi,73,Lanjigarh,100.0,,,,,,,,296.0,190.0,7.0,77.0,4.0,574.0,0.0,10.0,584.0,0.0
11,Kalahandi,73,Lanjigarh,101.0,,,,,,,,267.0,75.0,7.0,204.0,3.0,556.0,0.0,10.0,566.0,0.0
11,Kalahandi,73,Lanjigarh,102.0,,,,,,,,268.0,87.0,6.0,235.0,1.0,597.0,0.0,10.0,607.0,0.0
11,Kalahandi,73,Lanjigarh,103.0,,,,,,,,228.0,79.0,9.0,122.0,1.0,439.0,0.0,11.0,450.0,0.0
11,Kalahandi,73,Lanjigarh,104.0,,,,,,,,90.0,68.0,14.0,447.0,12.0,631.0,0.0,5.0,636.0,0.0
11,Kalahandi,73,Lanjigarh,105.0,,,,,,,,242.0,339.0,19.0,180.0,14.0,794.0,0.0,18.0,812.0,0.0
11,Kalahandi,73,Lanjigarh,106.0,,,,,,,,132.0,127.0,4.0,117.0,1.0,381.0,0.0,8.0,389.0,0.0
11,Kalahandi,73,Lanjigarh,107.0,,,,,,,,451.0,28.0,16.0,119.0,3.0,617.0,0.0,2.0,619.0,0.0
11,Kalahandi,73,Lanjigarh,108.0,,,,,,,,459.0,25.0,4.0,155.0,1.0,644.0,0.0,5.0,649.0,0.0
11,Kalahandi,73,Lanjigarh,109.0,,,,,,,,63.0,150.0,18.0,471.0,20.0,722.0,0.0,10.0,732.0,0.0
11,Kalahandi,73,Lanjigarh,110.0,,,,,,,,140.0,89.0,14.0,324.0,27.0,594.0,0.0,28.0,622.0,0.0
