pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
14,Cuttack,97,Cuttack Sadar,"POSTAL 
BALLOT",,,,,,,,148.0,0.0,70.0,46.0,0.0,0.0,0.0,0.0,0.0,264.0,40.0,0.0,304.0,0.0
14,Cuttack,97,Cuttack Sadar,1,,,,,,,,244.0,2.0,210.0,50.0,0.0,0.0,0.0,1.0,0.0,507.0,0.0,0.0,507.0,0.0
14,Cuttack,97,Cuttack Sadar,2,,,,,,,,157.0,0.0,134.0,59.0,0.0,0.0,0.0,0.0,0.0,350.0,0.0,0.0,350.0,0.0
14,Cuttack,97,Cuttack Sadar,3,,,,,,,,205.0,4.0,345.0,115.0,2.0,0.0,1.0,0.0,0.0,672.0,0.0,2.0,674.0,0.0
14,Cuttack,97,Cuttack Sadar,4,,,,,,,,293.0,8.0,296.0,71.0,0.0,3.0,0.0,6.0,3.0,680.0,0.0,9.0,689.0,0.0
14,Cuttack,97,Cuttack Sadar,5,,,,,,,,210.0,9.0,442.0,67.0,0.0,2.0,0.0,3.0,0.0,733.0,0.0,2.0,735.0,0.0
14,Cuttack,97,Cuttack Sadar,6,,,,,,,,237.0,5.0,193.0,90.0,2.0,0.0,6.0,2.0,0.0,535.0,0.0,2.0,537.0,0.0
14,Cuttack,97,Cuttack Sadar,7,,,,,,,,316.0,1.0,139.0,76.0,1.0,1.0,4.0,0.0,0.0,538.0,0.0,0.0,538.0,0.0
14,Cuttack,97,Cuttack Sadar,8,,,,,,,,238.0,2.0,275.0,97.0,2.0,0.0,3.0,0.0,0.0,617.0,0.0,0.0,617.0,0.0
14,Cuttack,97,Cuttack Sadar,9,,,,,,,,464.0,6.0,181.0,115.0,1.0,2.0,0.0,0.0,0.0,769.0,0.0,9.0,778.0,0.0
14,Cuttack,97,Cuttack Sadar,10,,,,,,,,297.0,25.0,297.0,90.0,1.0,0.0,4.0,2.0,1.0,717.0,0.0,2.0,719.0,0.0
14,Cuttack,97,Cuttack Sadar,11,,,,,,,,234.0,4.0,269.0,66.0,1.0,1.0,3.0,0.0,0.0,578.0,0.0,1.0,579.0,0.0
