pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Sation,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of Valid votes,No. of rejected votes (Test Votes),Votes for NOTA option,Total,No. of Tender Votes
10,Bolangir,63,Kantabanji,186,,,,,,,,42,27,408,3,1,0,481,0,0,481,0
10,Bolangir,63,Kantabanji,187,,,,,,,,166,106,431,6,4,2,715,0,4,719,0
10,Bolangir,63,Kantabanji,188,,,,,,,,220,104,587,3,6,9,929,0,22,951,0
10,Bolangir,63,Kantabanji,189,,,,,,,,62,194,330,1,2,1,590,0,0,590,0
10,Bolangir,63,Kantabanji,190,,,,,,,,171,246,311,1,2,4,735,0,5,740,0
10,Bolangir,63,Kantabanji,191,,,,,,,,135,125,202,6,3,3,474,0,4,478,0
10,Bolangir,63,Kantabanji,192,,,,,,,,226,249,272,14,1,5,767,0,5,772,0
10,Bolangir,63,Kantabanji,193,,,,,,,,173,244,300,3,0,0,720,0,4,724,0
10,Bolangir,63,Kantabanji,194,,,,,,,,248,204,340,6,3,5,806,0,9,815,0
10,Bolangir,63,Kantabanji,195,,,,,,,,212,210,417,5,2,3,849,0,7,856,0
10,Bolangir,63,Kantabanji,196,,,,,,,,156,298,280,5,12,5,756,0,15,771,0
10,Bolangir,63,Kantabanji,197,,,,,,,,184,181,389,3,1,1,759,0,8,767,0
10,Bolangir,63,Kantabanji,198,,,,,,,,217,195,397,2,4,6,821,0,11,832,0
10,Bolangir,63,Kantabanji,199,,,,,,,,209,74,276,9,1,2,571,0,8,579,0
10,Bolangir,63,Kantabanji,200,,,,,,,,167,141,602,8,5,5,928,0,7,935,0
10,Bolangir,63,Kantabanji,201,,,,,,,,147,120,318,3,2,6,596,0,9,605,0
10,Bolangir,63,Kantabanji,202,,,,,,,,201,196,378,3,3,6,787,0,11,798,0
10,Bolangir,63,Kantabanji,203,,,,,,,,265,175,399,9,7,3,858,0,7,865,0
10,Bolangir,63,Kantabanji,204,,,,,,,,76,73,217,2,0,1,369,0,1,370,0
10,Bolangir,63,Kantabanji,205,,,,,,,,222,216,424,9,4,4,879,0,4,883,0
10,Bolangir,63,Kantabanji,206,,,,,,,,231,171,460,7,4,6,879,0,11,890,0
