pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of Valid votes,No. of rejected Votes(Test votes),Votes for NOTA option,Total,No. of tendered votes
2,Sundargar,12,Rourkela,164.0,,,,,,,,78.0,147.0,2.0,567.0,3.0,0.0,0.0,0.0,1.0,1.0,799.0,0.0,5.0,804.0,0.0
2,Sundargar,12,Rourkela,165.0,,,,,,,,145.0,70.0,4.0,399.0,0.0,1.0,0.0,0.0,3.0,2.0,624.0,0.0,9.0,633.0,0.0
2,Sundargar,12,Rourkela,166.0,,,,,,,,83.0,50.0,0.0,281.0,1.0,0.0,0.0,0.0,4.0,0.0,419.0,0.0,1.0,420.0,0.0
2,Sundargar,12,Rourkela,167.0,,,,,,,,416.0,49.0,4.0,333.0,2.0,0.0,0.0,1.0,1.0,0.0,806.0,0.0,3.0,809.0,0.0
2,Sundargar,12,Rourkela,168.0,,,,,,,,413.0,42.0,2.0,413.0,1.0,1.0,0.0,1.0,0.0,1.0,874.0,0.0,3.0,877.0,0.0
2,Sundargar,12,Rourkela,169.0,,,,,,,,303.0,20.0,0.0,319.0,1.0,0.0,1.0,0.0,0.0,0.0,644.0,0.0,1.0,645.0,0.0
2,Sundargar,12,Rourkela,170.0,,,,,,,,420.0,33.0,3.0,400.0,1.0,1.0,0.0,2.0,0.0,2.0,862.0,0.0,3.0,865.0,0.0
2,Sundargar,12,Rourkela,171.0,,,,,,,,200.0,29.0,2.0,253.0,0.0,0.0,0.0,1.0,0.0,1.0,486.0,0.0,3.0,489.0,0.0
2,Sundargar,12,Rourkela,172.0,,,,,,,,344.0,21.0,2.0,343.0,4.0,0.0,0.0,1.0,0.0,2.0,717.0,0.0,7.0,724.0,0.0
2,Sundargar,12,Rourkela,173.0,,,,,,,,253.0,19.0,1.0,280.0,1.0,0.0,0.0,2.0,2.0,0.0,558.0,0.0,4.0,562.0,0.0
2,Sundargar,12,Rourkela,174.0,,,,,,,,201.0,191.0,7.0,250.0,3.0,6.0,0.0,2.0,4.0,1.0,665.0,0.0,5.0,670.0,0.0
2,Sundargar,12,Rourkela,175.0,,,,,,,,410.0,120.0,4.0,243.0,0.0,1.0,1.0,1.0,2.0,1.0,783.0,0.0,10.0,793.0,0.0
2,Sundargar,12,Rourkela,176.0,,,,,,,,216.0,70.0,1.0,213.0,2.0,0.0,0.0,0.0,0.0,0.0,502.0,0.0,3.0,505.0,0.0
2,Sundargar,12,Rourkela,177.0,,,,,,,,385.0,71.0,5.0,248.0,4.0,1.0,0.0,0.0,1.0,1.0,716.0,0.0,4.0,720.0,0.0
2,Sundargar,12,Rourkela,178.0,,,,,,,,361.0,37.0,21.0,261.0,2.0,2.0,2.0,2.0,2.0,2.0,692.0,0.0,7.0,699.0,0.0
2,Sundargar,12,Rourkela,179.0,,,,,,,,255.0,50.0,2.0,159.0,1.0,4.0,0.0,0.0,3.0,0.0,474.0,0.0,0.0,474.0,0.0
2,Sundargar,12,Rourkela,180.0,,,,,,,,237.0,59.0,6.0,190.0,1.0,3.0,0.0,0.0,0.0,0.0,496.0,0.0,4.0,500.0,0.0
2,Sundargar,12,Rourkela,181.0,,,,,,,,217.0,51.0,2.0,152.0,0.0,1.0,0.0,0.0,2.0,0.0,425.0,0.0,3.0,428.0,0.0
2,Sundargar,12,Rourkela,182.0,,,,,,,,232.0,41.0,2.0,160.0,2.0,0.0,0.0,0.0,3.0,1.0,441.0,0.0,4.0,445.0,0.0
2,Sundargar,12,Rourkela,183.0,,,,,,,,194.0,45.0,1.0,189.0,0.0,0.0,2.0,1.0,3.0,0.0,435.0,0.0,3.0,438.0,0.0
2,Sundargar,12,Rourkela,184.0,,,,,,,,211.0,57.0,7.0,173.0,0.0,0.0,0.0,1.0,3.0,0.0,452.0,0.0,1.0,453.0,0.0
2,Sundargar,12,Rourkela,185.0,,,,,,,,463.0,61.0,1.0,235.0,0.0,0.0,0.0,0.0,0.0,1.0,761.0,0.0,3.0,764.0,0.0
2,Sundargar,12,Rourkela,186.0,,,,,,,,213.0,47.0,2.0,221.0,1.0,1.0,1.0,1.0,0.0,0.0,487.0,0.0,4.0,491.0,0.0
2,Sundargar,12,Rourkela,187.0,,,,,,,,406.0,135.0,3.0,357.0,5.0,2.0,0.0,2.0,3.0,2.0,915.0,0.0,15.0,930.0,0.0
2,Sundargar,12,Rourkela,188.0,,,,,,,,323.0,56.0,11.0,354.0,4.0,5.0,1.0,3.0,3.0,2.0,762.0,0.0,6.0,768.0,0.0
2,Sundargar,12,Rourkela,189.0,,,,,,,,332.0,131.0,14.0,341.0,4.0,3.0,1.0,6.0,5.0,3.0,840.0,0.0,5.0,845.0,0.0
2,Sundargar,12,Rourkela,190.0,,,,,,,,416.0,78.0,16.0,323.0,0.0,3.0,0.0,2.0,3.0,0.0,841.0,0.0,4.0,845.0,0.0
2,Sundargar,12,Rourkela,191.0,,,,,,,,499.0,91.0,6.0,267.0,2.0,2.0,0.0,0.0,1.0,0.0,868.0,0.0,0.0,868.0,0.0
2,Sundargar,12,Rourkela,192.0,,,,,,,,250.0,45.0,3.0,235.0,3.0,0.0,0.0,0.0,0.0,0.0,536.0,0.0,3.0,539.0,0.0
2,Sundargar,12,Rourkela,193.0,,,,,,,,301.0,17.0,6.0,442.0,1.0,0.0,2.0,5.0,3.0,1.0,778.0,0.0,6.0,784.0,0.0
2,Sundargar,12,Rourkela,194.0,,,,,,,,454.0,28.0,7.0,357.0,3.0,2.0,0.0,3.0,4.0,3.0,861.0,0.0,5.0,866.0,0.0
2,Sundargar,12,Rourkela,195.0,,,,,,,,259.0,40.0,1.0,338.0,5.0,0.0,1.0,5.0,2.0,3.0,654.0,0.0,6.0,660.0,0.0
2,Sundargar,12,Rourkela,196.0,,,,,,,,213.0,28.0,3.0,314.0,3.0,0.0,1.0,1.0,2.0,0.0,565.0,0.0,2.0,567.0,0.0
2,Sundargar,12,Rourkela,197.0,,,,,,,,279.0,49.0,2.0,340.0,5.0,2.0,4.0,3.0,2.0,2.0,688.0,0.0,8.0,696.0,0.0
