pc_id,pc_name,ac_id,ac_name,Serial No.of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Total of valid votes,No of rejected votes (Test votes),Voter for NOTA option,Total,No of tendered votes
6,Balasore,38,Bhograi,146,,,,,,,,284,373,92,3,2,0,1,1,1,3.0,0,6,766,nan,5.0,771,nan
6,Balasore,38,Bhograi,147,,,,,,,,181,360,58,3,3,0,3,0,2,0.0,1,1,612,nan,6.0,618,nan
6,Balasore,38,Bhograi,148,,,,,,,,208,299,95,1,0,2,0,0,0,0.0,1,0,606,nan,5.0,611,nan
6,Balasore,38,Bhograi,149,,,,,,,,246,492,34,1,1,0,0,0,0,0.0,0,1,775,nan,2.0,777,nan
6,Balasore,38,Bhograi,150,,,,,,,,171,326,132,0,1,0,0,0,0,0.0,0,1,631,nan,1.0,632,nan
6,Balasore,38,Bhograi,151,,,,,,,,161,221,36,0,0,0,0,0,0,0.0,0,0,418,nan,5.0,423,nan
6,Balasore,38,Bhograi,152,,,,,,,,184,290,106,1,0,0,1,1,2,0.0,0,2,587,nan,6.0,593,nan
6,Balasore,38,Bhograi,153,,,,,,,,153,401,34,1,1,1,2,0,3,2.0,1,1,600,nan,8.0,608,nan
6,Balasore,38,Bhograi,154,,,,,,,,258,580,78,1,1,0,4,2,1,1.0,3,1,930,nan,13.0,943,nan
6,Balasore,38,Bhograi,155,,,,,,,,199,486,29,5,2,3,1,0,1,2.0,0,0,728,nan,6.0,734,nan
6,Balasore,38,Bhograi,156,,,,,,,,240,497,50,1,1,0,1,0,0,0.0,0,3,793,nan,5.0,798,nan
6,Balasore,38,Bhograi,157,,,,,,,,206,363,56,0,0,1,0,0,2,0.0,1,1,630,nan,5.0,635,nan
6,Balasore,38,Bhograi,158,,,,,,,,192,428,71,0,0,1,1,2,1,0.0,1,2,699,nan,4.0,703,nan
6,Balasore,38,Bhograi,159,,,,,,,,190,368,126,2,0,1,0,1,1,0.0,0,0,689,nan,6.0,695,nan
6,Balasore,38,Bhograi,160,,,,,,,,151,450,40,5,0,1,0,3,0,0.0,0,3,653,nan,2.0,655,nan
6,Balasore,38,Bhograi,161,,,,,,,,155,277,62,0,0,0,0,0,0,0.0,1,1,496,nan,1.0,497,nan
6,Balasore,38,Bhograi,162,,,,,,,,259,370,61,0,1,0,0,1,0,0.0,1,4,697,nan,3.0,700,nan
6,Balasore,38,Bhograi,163,,,,,,,,335,406,94,0,0,0,2,0,0,0.0,0,0,837,nan,3.0,840,nan
6,Balasore,38,Bhograi,164,,,,,,,,214,192,79,1,0,1,2,0,0,0.0,1,6,496,nan,2.0,498,nan
6,Balasore,38,Bhograi,165,,,,,,,,282,320,70,3,0,0,0,0,4,0.0,0,2,681,nan,3.0,684,nan
6,Balasore,38,Bhograi,166,,,,,,,,175,441,52,1,0,0,0,1,0,1.0,0,2,673,nan,5.0,678,nan
6,Balasore,38,Bhograi,167,,,,,,,,0,0,0,0,0,0,0,0,0,0.0,0,0,0,nan,nan,0,nan
6,Balasore,38,Bhograi,168,,,,,,,,215,524,54,0,0,0,1,0,1,1.0,0,1,797,nan,5.0,802,nan
6,Balasore,38,Bhograi,169,,,,,,,,250,574,46,1,0,0,0,1,1,0.0,1,1,875,nan,4.0,879,nan
6,Balasore,38,Bhograi,170,,,,,,,,246,528,47,0,1,0,0,1,1,0.0,2,2,828,nan,7.0,835,nan
6,Balasore,38,Bhograi,171,,,,,,,,266,382,62,0,0,1,1,0,0,1.0,0,6,719,nan,8.0,727,nan
6,Balasore,38,Bhograi,172,,,,,,,,182,290,273,1,0,1,0,0,1,1.0,1,2,752,nan,2.0,754,nan
6,Balasore,38,Bhograi,173,,,,,,,,223,631,52,6,6,5,4,3,6,6.0,3,4,949,nan,7.0,956,nan
6,Balasore,38,Bhograi,174,,,,,,,,500,131,253,5,2,0,1,0,4,2.0,3,0,901,nan,8.0,909,nan
6,Balasore,38,Bhograi,175,,,,,,,,530,136,261,4,0,0,0,0,0,0.0,2,0,933,nan,6.0,939,nan
6,Balasore,38,Bhograi,176,,,,,,,,149,532,46,0,3,0,0,0,1,0.0,0,2,733,nan,8.0,741,nan
6,Balasore,38,Bhograi,177,,,,,,,,587,16,261,2,3,1,0,0,0,1.0,0,0,871,nan,1.0,872,nan
6,Balasore,38,Bhograi,178,,,,,,,,278,679,61,3,2,0,0,0,1,12.0,2,3,1041,nan,5.0,1046,nan
6,Balasore,38,Bhograi,179,,,,,,,,533,69,343,1,2,2,2,0,0,1.0,1,4,958,nan,10.0,968,nan
6,Balasore,38,Bhograi,180,,,,,,,,457,61,318,1,0,0,0,0,0,1.0,0,5,843,nan,1.0,844,nan
6,Balasore,38,Bhograi,181,,,,,,,,393,309,227,2,0,1,0,2,0,0.0,0,4,938,nan,6.0,944,nan
6,Balasore,38,Bhograi,182,,,,,,,,540,113,211,0,0,0,0,0,4,0.0,0,0,868,nan,3.0,871,nan
