pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
14,Cuttack,92,Baramba,230,,,,,,,,195.0,379.0,132.0,0.0,2.0,0.0,0.0,0.0,708.0,0.0,3.0,711.0,0.0
14,Cuttack,92,Baramba,231,,,,,,,,104.0,299.0,123.0,4.0,1.0,0.0,2.0,6.0,539.0,0.0,5.0,544.0,0.0
14,Cuttack,92,Baramba,232,,,,,,,,272.0,279.0,38.0,2.0,1.0,0.0,3.0,1.0,596.0,0.0,4.0,600.0,0.0
14,Cuttack,92,Baramba,233,,,,,,,,306.0,157.0,16.0,0.0,0.0,0.0,0.0,0.0,479.0,0.0,3.0,482.0,0.0
14,Cuttack,92,Baramba,234,,,,,,,,260.0,289.0,39.0,1.0,0.0,1.0,1.0,2.0,593.0,0.0,8.0,601.0,0.0
14,Cuttack,92,Baramba,235,,,,,,,,305.0,244.0,43.0,2.0,2.0,0.0,0.0,1.0,597.0,0.0,2.0,599.0,0.0
14,Cuttack,92,Baramba,236,,,,,,,,241.0,180.0,30.0,0.0,0.0,0.0,0.0,0.0,451.0,0.0,2.0,453.0,0.0
14,Cuttack,92,Baramba,237,,,,,,,,261.0,246.0,9.0,0.0,1.0,0.0,1.0,0.0,518.0,0.0,0.0,518.0,0.0
14,Cuttack,92,Baramba,238,,,,,,,,380.0,311.0,46.0,0.0,1.0,0.0,0.0,1.0,739.0,0.0,4.0,743.0,0.0
14,Cuttack,92,Baramba,239,,,,,,,,176.0,378.0,54.0,0.0,2.0,1.0,0.0,0.0,611.0,0.0,3.0,614.0,0.0
14,Cuttack,92,Baramba,240,,,,,,,,412.0,297.0,19.0,1.0,0.0,0.0,0.0,1.0,730.0,0.0,2.0,732.0,0.0
14,Cuttack,92,Baramba,241,,,,,,,,383.0,304.0,10.0,2.0,3.0,0.0,1.0,1.0,704.0,0.0,2.0,706.0,0.0
14,Cuttack,92,Baramba,242,,,,,,,,296.0,272.0,13.0,2.0,1.0,3.0,1.0,4.0,592.0,0.0,10.0,602.0,0.0
14,Cuttack,92,Baramba,243,,,,,,,,371.0,462.0,25.0,2.0,0.0,1.0,2.0,2.0,865.0,0.0,6.0,871.0,0.0
14,Cuttack,92,Baramba,244,,,,,,,,201.0,280.0,30.0,3.0,1.0,1.0,0.0,1.0,517.0,0.0,3.0,520.0,0.0
14,Cuttack,92,Baramba,245,,,,,,,,382.0,457.0,12.0,1.0,0.0,0.0,1.0,2.0,855.0,0.0,2.0,857.0,0.0
14,Cuttack,92,Baramba,246,,,,,,,,103.0,349.0,64.0,2.0,2.0,0.0,0.0,0.0,520.0,0.0,0.0,520.0,0.0
14,Cuttack,92,Baramba,247,,,,,,,,329.0,594.0,16.0,1.0,1.0,0.0,1.0,5.0,947.0,0.0,7.0,954.0,0.0
14,Cuttack,92,Baramba,248,,,,,,,,361.0,567.0,16.0,5.0,3.0,3.0,1.0,6.0,962.0,0.0,5.0,967.0,0.0
14,Cuttack,92,Baramba,249,,,,,,,,422.0,366.0,48.0,2.0,1.0,0.0,0.0,0.0,839.0,0.0,0.0,839.0,0.0
14,Cuttack,92,Baramba,250,,,,,,,,502.0,476.0,64.0,1.0,1.0,1.0,0.0,0.0,1045.0,0.0,2.0,1047.0,0.0
14,Cuttack,92,Baramba,251,,,,,,,,202.0,271.0,8.0,0.0,2.0,4.0,1.0,3.0,491.0,0.0,7.0,498.0,0.0
14,Cuttack,92,Baramba,252,,,,,,,,236.0,362.0,22.0,3.0,0.0,0.0,1.0,1.0,625.0,0.0,0.0,625.0,0.0
14,Cuttack,92,Baramba,253,,,,,,,,201.0,409.0,21.0,1.0,0.0,2.0,0.0,3.0,637.0,0.0,3.0,640.0,0.0
14,Cuttack,92,Baramba,254,,,,,,,,77.0,102.0,10.0,2.0,0.0,0.0,0.0,1.0,192.0,0.0,0.0,192.0,0.0
14,Cuttack,92,Baramba,255,,,,,,,,454.0,440.0,39.0,2.0,2.0,0.0,0.0,0.0,937.0,0.0,1.0,938.0,0.0
