pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of Valid votes,No. of Rejected votes,NOTA,Total,No. of Tendered Votes
9,Dhenkanal,57,Dhenkanal,117,,,,,,,,363,20,79,426,6,6,5,905,0,13,918,0
9,Dhenkanal,57,Dhenkanal,118,,,,,,,,398,4,14,262,3,2,2,685,0,0,685,0
9,Dhenkanal,57,Dhenkanal,119,,,,,,,,353,5,32,372,5,1,1,769,0,6,775,0
9,Dhenkanal,57,Dhenkanal,120,,,,,,,,556,2,8,136,2,1,0,705,0,2,707,0
9,Dhenkanal,57,Dhenkanal,121,,,,,,,,447,7,25,323,4,6,1,813,0,6,819,0
9,Dhenkanal,57,Dhenkanal,122,,,,,,,,398,3,14,475,10,3,9,912,0,11,923,0
9,Dhenkanal,57,Dhenkanal,123,,,,,,,,403,1,9,368,4,0,3,788,0,2,790,0
9,Dhenkanal,57,Dhenkanal,124,,,,,,,,467,2,25,399,6,2,7,908,0,5,913,0
9,Dhenkanal,57,Dhenkanal,125,,,,,,,,413,12,34,369,9,9,8,854,0,20,874,0
9,Dhenkanal,57,Dhenkanal,126,,,,,,,,377,5,21,420,3,2,1,829,0,6,835,0
9,Dhenkanal,57,Dhenkanal,127,,,,,,,,122,1,6,82,1,2,0,214,0,1,215,0
9,Dhenkanal,57,Dhenkanal,128,,,,,,,,341,6,13,310,3,5,0,678,0,2,680,0
9,Dhenkanal,57,Dhenkanal,129,,,,,,,,322,3,25,331,2,1,0,684,0,5,689,0
9,Dhenkanal,57,Dhenkanal,130,,,,,,,,438,5,17,565,2,2,3,1032,0,3,1035,0
9,Dhenkanal,57,Dhenkanal,131,,,,,,,,356,1,4,345,3,0,2,711,0,4,715,0
9,Dhenkanal,57,Dhenkanal,132,,,,,,,,597,45,19,371,2,6,4,1044,0,9,1053,0
9,Dhenkanal,57,Dhenkanal,133,,,,,,,,454,5,33,286,8,7,9,802,0,19,821,0
9,Dhenkanal,57,Dhenkanal,134,,,,,,,,214,5,26,352,2,4,3,606,0,7,613,0
9,Dhenkanal,57,Dhenkanal,135,,,,,,,,214,3,32,370,3,2,3,627,0,1,628,0
9,Dhenkanal,57,Dhenkanal,136,,,,,,,,377,8,36,403,3,7,3,837,0,23,860,0
