pc_id,pc_name,ac_id,ac_name,Sl No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid votes,No of votes rejected,NOTA,Total
10,Bolangir,64,Birmaharajpur,157,,,,,,,,217,376,5,173,2,2,0,10,8,793,0,9,802
10,Bolangir,64,Birmaharajpur,158,,,,,,,,285,106,3,180,5,2,0,8,1,590,0,3,593
10,Bolangir,64,Birmaharajpur,159,,,,,,,,174,106,4,130,4,1,0,7,1,427,0,1,428
10,Bolangir,64,Birmaharajpur,160,,,,,,,,380,162,8,189,1,2,1,9,2,754,0,8,762
10,Bolangir,64,Birmaharajpur,161,,,,,,,,220,158,5,335,1,0,1,15,4,739,0,3,742
10,Bolangir,64,Birmaharajpur,162,,,,,,,,185,109,11,271,1,1,1,12,1,592,0,1,593
10,Bolangir,64,Birmaharajpur,163,,,,,,,,398,139,3,194,0,2,2,3,3,744,0,3,747
10,Bolangir,64,Birmaharajpur,164,,,,,,,,131,103,9,69,2,0,0,2,0,316,0,1,317
10,Bolangir,64,Birmaharajpur,165,,,,,,,,146,82,3,144,2,3,2,9,4,395,0,6,401
10,Bolangir,64,Birmaharajpur,166,,,,,,,,229,92,10,195,10,6,6,15,8,571,0,17,588
10,Bolangir,64,Birmaharajpur,167,,,,,,,,208,136,2,80,5,0,2,9,1,443,0,3,446
10,Bolangir,64,Birmaharajpur,168,,,,,,,,189,158,7,165,5,1,1,14,1,541,0,5,546
10,Bolangir,64,Birmaharajpur,169,,,,,,,,451,112,7,201,5,1,1,2,2,782,0,5,787
10,Bolangir,64,Birmaharajpur,170,,,,,,,,326,209,8,178,9,1,2,7,4,744,0,2,746
10,Bolangir,64,Birmaharajpur,171,,,,,,,,111,263,6,104,4,1,2,8,1,500,0,3,503
10,Bolangir,64,Birmaharajpur,173,,,,,,,,176,52,8,156,1,2,2,8,1,406,0,2,408
10,Bolangir,64,Birmaharajpur,174,,,,,,,,357,256,14,290,7,2,5,26,6,963,0,1,964
