pc_id,pc_name,ac_id,ac_name,Serial No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Total valid votes,No of rejected votes (Test votes),Votes for NOTA option,Total,No of tendered votes
5,Mayurbhanj,29,Jashipur,171,,,,,,,,161,536,9,3,179,9,10,12,20,11,13,963,nan,26,989,nan
5,Mayurbhanj,29,Jashipur,172,,,,,,,,138,199,1,1,116,1,4,1,3,2,2,468,nan,3,471,nan
5,Mayurbhanj,29,Jashipur,173,,,,,,,,240,379,6,5,149,6,5,4,4,8,5,811,nan,6,817,nan
5,Mayurbhanj,29,Jashipur,174,,,,,,,,75,369,4,3,142,7,3,4,6,5,5,623,nan,6,629,nan
5,Mayurbhanj,29,Jashipur,175,,,,,,,,144,308,5,3,142,9,4,3,5,9,7,639,nan,14,653,nan
5,Mayurbhanj,29,Jashipur,176,,,,,,,,88,150,3,2,1,1,1,2,157,1,1,407,nan,2,409,nan
5,Mayurbhanj,29,Jashipur,177,,,,,,,,200,321,2,1,13,1,1,0,0,0,0,539,nan,3,542,nan
5,Mayurbhanj,29,Jashipur,178,,,,,,,,215,179,3,1,18,0,0,2,6,2,2,428,nan,4,432,nan
5,Mayurbhanj,29,Jashipur,179,,,,,,,,359,436,2,5,52,4,6,6,4,8,12,894,nan,18,912,nan
5,Mayurbhanj,29,Jashipur,180,,,,,,,,412,546,7,0,53,1,2,2,6,2,2,1033,nan,3,1036,nan
5,Mayurbhanj,29,Jashipur,181,,,,,,,,265,313,4,0,1,6,1,0,3,0,5,598,nan,13,611,nan
5,Mayurbhanj,29,Jashipur,182,,,,,,,,206,288,3,0,3,6,5,2,42,1,5,561,nan,8,569,nan
5,Mayurbhanj,29,Jashipur,183,,,,,,,,100,243,1,0,70,2,10,4,5,3,6,444,nan,15,459,nan
5,Mayurbhanj,29,Jashipur,184,,,,,,,,397,385,5,1,17,2,0,0,6,2,2,817,nan,2,819,nan
5,Mayurbhanj,29,Jashipur,185,,,,,,,,274,311,1,2,13,4,0,5,24,4,3,641,nan,10,651,nan
5,Mayurbhanj,29,Jashipur,186,,,,,,,,311,566,8,2,11,6,3,8,52,5,8,980,nan,5,985,nan
5,Mayurbhanj,29,Jashipur,187,,,,,,,,185,248,5,5,19,5,2,1,59,1,4,534,nan,9,543,nan
5,Mayurbhanj,29,Jashipur,188,,,,,,,,277,260,5,6,3,158,18,2,12,6,40,787,nan,20,807,nan
5,Mayurbhanj,29,Jashipur,189,,,,,,,,240,301,3,7,15,66,8,3,23,5,104,775,nan,13,788,nan
5,Mayurbhanj,29,Jashipur,190,,,,,,,,107,289,2,21,6,2,2,6,127,1,3,566,nan,3,569,nan
5,Mayurbhanj,29,Jashipur,191,,,,,,,,173,304,2,11,11,4,5,4,49,0,6,569,nan,6,575,nan
5,Mayurbhanj,29,Jashipur,192,,,,,,,,242,242,8,2,297,24,8,7,4,5,12,851,nan,13,864,nan
5,Mayurbhanj,29,Jashipur,194,,,,,,,,273,416,9,5,97,8,1,4,69,7,9,898,nan,11,909,nan
5,Mayurbhanj,29,Jashipur,195,,,,,,,,173,232,6,4,245,77,3,8,12,6,18,784,nan,18,802,nan
5,Mayurbhanj,29,Jashipur,196,,,,,,,,87,358,11,1,146,5,5,2,7,9,4,635,nan,9,644,nan
5,Mayurbhanj,29,Jashipur,197,,,,,,,,175,279,2,2,216,9,2,5,39,9,8,746,nan,14,760,nan
5,Mayurbhanj,29,Jashipur,198,,,,,,,,130,135,3,1,92,215,8,3,5,6,10,608,nan,12,620,nan
5,Mayurbhanj,29,Jashipur,199,,,,,,,,93,275,2,2,75,1,0,3,3,4,2,460,nan,8,468,nan
5,Mayurbhanj,29,Jashipur,200,,,,,,,,322,234,11,4,4,73,54,6,5,3,72,788,nan,15,803,nan
5,Mayurbhanj,29,Jashipur,201,,,,,,,,292,304,2,3,21,18,4,0,7,6,109,766,nan,7,773,nan
5,Mayurbhanj,29,Jashipur,202,,,,,,,,304,437,4,6,20,2,2,1,40,1,0,817,nan,5,822,nan
5,Mayurbhanj,29,Jashipur,203,,,,,,,,383,349,8,1,18,17,5,2,20,1,17,821,nan,2,823,nan
5,Mayurbhanj,29,Jashipur,204,,,,,,,,325,251,3,5,167,18,39,6,9,5,36,864,nan,12,876,nan
5,Mayurbhanj,29,Jashipur,205,,,,,,,,298,174,8,4,29,47,20,4,5,1,34,624,nan,1,625,nan
5,Mayurbhanj,29,Jashipur,206,,,,,,,,192,116,6,5,14,21,11,4,11,5,68,453,nan,11,464,nan
5,Mayurbhanj,29,Jashipur,207,,,,,,,,305,333,6,9,17,139,23,6,2,6,23,869,nan,27,896,nan
5,Mayurbhanj,29,Jashipur,208,,,,,,,,170,113,6,7,11,15,19,3,5,5,109,463,nan,5,468,nan
5,Mayurbhanj,29,Jashipur,209,,,,,,,,199,284,8,7,6,66,59,5,16,9,58,717,nan,19,736,nan
5,Mayurbhanj,29,Jashipur,210,,,,,,,,182,135,6,2,9,50,29,1,4,1,21,440,nan,2,442,nan
5,Mayurbhanj,29,Jashipur,211,,,,,,,,237,224,10,1,10,63,43,9,10,4,81,692,nan,9,701,nan
5,Mayurbhanj,29,Jashipur,212,,,,,,,,239,304,3,2,3,1,2,4,1,3,5,567,nan,5,572,nan
5,Mayurbhanj,29,Jashipur,213,,,,,,,,220,259,5,0,11,49,1,1,2,2,11,561,nan,4,565,nan
5,Mayurbhanj,29,Jashipur,214,,,,,,,,132,263,9,5,10,30,6,3,101,5,13,577,nan,7,584,nan
5,Mayurbhanj,29,Jashipur,215,,,,,,,,354,356,5,0,5,1,2,0,1,2,0,726,nan,6,732,nan
5,Mayurbhanj,29,Jashipur,216,,,,,,,,285,247,2,0,1,6,0,2,0,1,0,544,nan,4,548,nan
5,Mayurbhanj,29,Jashipur,217,,,,,,,,189,194,2,1,6,304,3,2,5,2,8,716,nan,23,739,nan
5,Mayurbhanj,29,Jashipur,218,,,,,,,,575,354,6,5,11,0,5,2,2,5,7,972,nan,16,988,nan
5,Mayurbhanj,29,Jashipur,219,,,,,,,,217,137,3,0,1,0,0,0,1,1,6,366,nan,2,368,nan
5,Mayurbhanj,29,Jashipur,220,,,,,,,,520,180,3,3,7,6,0,2,1,4,1,727,nan,6,733,nan
5,Mayurbhanj,29,Jashipur,221,,,,,,,,204,296,0,0,23,0,0,0,3,3,3,532,nan,5,537,nan
5,Mayurbhanj,29,Jashipur,222,,,,,,,,253,189,1,1,5,1,1,0,0,0,0,451,nan,2,453,nan
5,Mayurbhanj,29,Jashipur,223,,,,,,,,440,328,20,2,2,26,6,3,3,8,11,849,nan,4,853,nan
5,Mayurbhanj,29,Jashipur,224,,,,,,,,421,205,2,1,3,2,2,5,2,1,4,648,nan,4,652,nan
5,Mayurbhanj,29,Jashipur,225,,,,,,,,91,267,8,4,11,33,38,2,1,9,41,505,nan,27,532,nan
5,Mayurbhanj,29,Jashipur,226,,,,,,,,165,290,9,5,31,15,11,7,12,8,76,629,nan,17,646,nan
5,Mayurbhanj,29,Jashipur,227,,,,,,,,121,316,4,3,27,5,4,10,9,7,23,529,nan,5,534,nan
5,Mayurbhanj,29,Jashipur,228,,,,,,,,207,240,5,6,147,37,2,1,6,5,45,701,nan,10,711,nan
5,Mayurbhanj,29,Jashipur,229,,,,,,,,208,352,3,4,87,30,15,6,3,14,16,738,nan,23,761,nan
5,Mayurbhanj,29,Jashipur,230,,,,,,,,298,263,1,4,140,38,9,6,7,16,97,879,nan,12,891,nan
5,Mayurbhanj,29,Jashipur,231,,,,,,,,275,93,1,4,93,13,5,4,1,9,12,510,nan,15,525,nan
5,Mayurbhanj,29,Jashipur,232,,,,,,,,224,127,6,3,93,11,1,4,2,3,2,476,nan,4,480,nan
5,Mayurbhanj,29,Jashipur,233,,,,,,,,110,108,5,6,206,4,36,5,2,3,2,487,nan,5,492,nan
5,Mayurbhanj,29,Jashipur,234,,,,,,,,300,306,0,0,26,6,1,4,2,2,1,648,nan,7,655,nan
5,Mayurbhanj,29,Jashipur,235,,,,,,,,275,148,2,3,6,55,5,7,6,2,14,523,nan,8,531,nan
5,Mayurbhanj,29,Jashipur,236,,,,,,,,247,300,3,1,83,9,1,2,2,5,9,662,nan,9,671,nan
5,Mayurbhanj,29,Jashipur,237,,,,,,,,277,244,4,2,8,13,2,1,1,2,10,564,nan,4,568,nan
5,Mayurbhanj,29,Jashipur,238,,,,,,,,163,323,0,0,47,3,1,0,1,0,2,540,nan,6,546,nan
5,Mayurbhanj,29,Jashipur,239,,,,,,,,222,157,2,1,7,29,5,0,2,1,9,435,nan,1,436,nan
5,Mayurbhanj,29,Jashipur,240,,,,,,,,297,299,3,3,32,23,5,1,4,7,4,678,nan,15,693,nan
5,Mayurbhanj,29,Jashipur,241,,,,,,,,252,156,2,3,6,188,17,4,8,4,29,669,nan,13,682,nan
5,Mayurbhanj,29,Jashipur,242,,,,,,,,219,204,3,9,2,159,10,2,3,4,21,636,nan,12,648,nan
5,Mayurbhanj,29,Jashipur,243,,,,,,,,184,162,2,2,11,99,3,1,2,0,8,474,nan,6,480,nan
5,Mayurbhanj,29,Jashipur,244,,,,,,,,420,364,6,3,6,100,3,2,3,4,5,916,nan,7,923,nan
5,Mayurbhanj,29,Jashipur,245,,,,,,,,434,353,5,2,11,15,5,1,2,2,3,833,nan,6,839,nan
5,Mayurbhanj,29,Jashipur,246,,,,,,,,390,404,0,2,5,13,0,1,1,2,4,822,nan,12,834,nan
5,Mayurbhanj,29,Jashipur,247,,,,,,,,283,352,4,4,11,47,9,2,3,3,7,725,nan,13,738,nan
5,Mayurbhanj,29,Jashipur,248,,,,,,,,645,277,9,5,15,4,3,10,6,11,7,992,nan,19,1011,nan
5,Mayurbhanj,29,Jashipur,249,,,,,,,,575,292,5,2,10,28,6,1,0,3,5,927,nan,13,940,nan
5,Mayurbhanj,29,Jashipur,250,,,,,,,,204,134,1,0,0,18,1,0,0,2,1,361,nan,0,361,nan
5,Mayurbhanj,29,Jashipur,251,,,,,,,,215,159,3,1,3,0,0,0,0,2,0,383,nan,0,383,nan
5,Mayurbhanj,29,Jashipur,252,,,,,,,,123,90,4,1,1,5,1,1,107,0,3,336,nan,2,338,nan
5,Mayurbhanj,29,Jashipur,253,,,,,,,,392,277,6,2,5,57,1,2,1,1,9,753,nan,15,768,nan
5,Mayurbhanj,29,Jashipur,254,,,,,,,,235,216,2,1,2,3,3,0,1,1,0,464,nan,5,469,nan
5,Mayurbhanj,29,Jashipur,255,,,,,,,,335,311,5,3,11,0,4,2,29,6,5,711,nan,12,723,nan
5,Mayurbhanj,29,Jashipur,256,,,,,,,,365,177,2,1,20,6,2,2,6,4,3,588,nan,10,598,nan
5,Mayurbhanj,29,Jashipur,257,,,,,,,,304,154,12,2,3,5,3,4,6,5,2,500,nan,17,517,nan
