pc_id,pc_name,ac_id,ac_name,Sl. No . Of polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,No. of valid votes cast in favour of,No. of Rejected votes,NOTA,Total,No. of tender votes
17,Puri,117,Chilika,213,,,,,,,,265.0,350.0,15.0,1.0,9.0,2.0,2.0,5.0,649.0,0,12.0,661.0,0
17,Puri,117,Chilika,214,,,,,,,,244.0,350.0,7.0,0.0,11.0,1.0,1.0,1.0,615.0,0,4.0,619.0,0
17,Puri,117,Chilika,215,,,,,,,,182.0,112.0,4.0,0.0,16.0,0.0,1.0,0.0,315.0,0,1.0,316.0,0
17,Puri,117,Chilika,216,,,,,,,,254.0,225.0,11.0,0.0,6.0,2.0,2.0,2.0,502.0,0,7.0,509.0,0
17,Puri,117,Chilika,217,,,,,,,,379.0,271.0,32.0,0.0,15.0,16.0,11.0,0.0,724.0,0,3.0,727.0,0
17,Puri,117,Chilika,218,,,,,,,,275.0,310.0,18.0,0.0,16.0,4.0,2.0,1.0,626.0,0,1.0,627.0,0
17,Puri,117,Chilika,219,,,,,,,,327.0,249.0,17.0,2.0,59.0,25.0,1.0,1.0,681.0,0,1.0,682.0,0
17,Puri,117,Chilika,220,,,,,,,,245.0,140.0,13.0,0.0,9.0,4.0,0.0,3.0,414.0,0,6.0,420.0,0
17,Puri,117,Chilika,221,,,,,,,,448.0,225.0,21.0,1.0,36.0,1.0,3.0,4.0,739.0,0,2.0,741.0,0
17,Puri,117,Chilika,222,,,,,,,,494.0,513.0,11.0,2.0,12.0,3.0,8.0,1.0,1044.0,0,5.0,1049.0,0
17,Puri,117,Chilika,223,,,,,,,,363.0,327.0,9.0,2.0,4.0,0.0,1.0,1.0,707.0,0,4.0,711.0,0
17,Puri,117,Chilika,224,,,,,,,,339.0,484.0,11.0,1.0,14.0,1.0,4.0,13.0,867.0,0,24.0,891.0,0
17,Puri,117,Chilika,225,,,,,,,,167.0,190.0,0.0,0.0,3.0,1.0,3.0,0.0,364.0,0,1.0,365.0,0
17,Puri,117,Chilika,226,,,,,,,,159.0,208.0,4.0,0.0,10.0,0.0,0.0,0.0,381.0,0,0.0,381.0,0
17,Puri,117,Chilika,227,,,,,,,,433.0,383.0,20.0,0.0,41.0,1.0,3.0,0.0,881.0,0,7.0,888.0,0
17,Puri,117,Chilika,228,,,,,,,,187.0,274.0,19.0,2.0,11.0,0.0,3.0,2.0,498.0,0,3.0,501.0,0
