pc_id,pc_name,ac_id,ac_name,Sl. No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total No. of Valid Votes,No.of rejected votes      (Test votes),Votes for NOTA option,Total,No of Tendered Votes
11,Kalahandi,76,Bhawanipatna,117,,,,,,,,4,60,469,290,15,838,0,16,854,0
11,Kalahandi,76,Bhawanipatna,118,,,,,,,,8,29,206,162,10,415,0,8,423,0
11,Kalahandi,76,Bhawanipatna,119,,,,,,,,5,53,186,361,12,617,0,10,627,0
11,Kalahandi,76,Bhawanipatna,120,,,,,,,,4,36,233,267,11,551,0,6,557,0
11,Kalahandi,76,Bhawanipatna,121,,,,,,,,5,40,163,357,20,585,0,9,594,0
11,Kalahandi,76,Bhawanipatna,122,,,,,,,,8,60,172,227,17,484,0,10,494,0
11,Kalahandi,76,Bhawanipatna,123,,,,,,,,3,19,282,233,8,545,0,20,565,0
11,Kalahandi,76,Bhawanipatna,124,,,,,,,,8,34,249,391,14,696,0,12,708,0
11,Kalahandi,76,Bhawanipatna,125,,,,,,,,3,36,149,255,1,444,0,5,449,0
11,Kalahandi,76,Bhawanipatna,126,,,,,,,,4,35,350,426,24,839,0,22,861,0
11,Kalahandi,76,Bhawanipatna,127,,,,,,,,4,180,294,364,10,852,0,14,866,0
11,Kalahandi,76,Bhawanipatna,128,,,,,,,,8,20,57,266,11,362,0,13,375,0
11,Kalahandi,76,Bhawanipatna,129,,,,,,,,1,82,177,403,14,677,0,8,685,0
11,Kalahandi,76,Bhawanipatna,130,,,,,,,,13,54,312,317,18,714,0,14,728,0
11,Kalahandi,76,Bhawanipatna,131,,,,,,,,15,139,259,554,22,989,0,8,997,0
11,Kalahandi,76,Bhawanipatna,132,,,,,,,,2,53,95,177,12,339,0,7,346,0
11,Kalahandi,76,Bhawanipatna,133,,,,,,,,18,84,269,554,15,940,0,19,959,0
11,Kalahandi,76,Bhawanipatna,134,,,,,,,,3,42,636,332,9,1022,0,26,1048,0
11,Kalahandi,76,Bhawanipatna,135,,,,,,,,5,42,147,154,9,357,0,15,372,0
11,Kalahandi,76,Bhawanipatna,136,,,,,,,,7,127,197,364,20,715,0,15,730,0
11,Kalahandi,76,Bhawanipatna,137,,,,,,,,6,35,104,313,7,465,0,7,472,0
11,Kalahandi,76,Bhawanipatna,138,,,,,,,,4,67,390,526,19,1006,0,11,1017,0
11,Kalahandi,76,Bhawanipatna,139,,,,,,,,18,91,478,385,31,1003,0,35,1038,0
11,Kalahandi,76,Bhawanipatna,140,,,,,,,,14,55,288,228,13,598,0,14,612,0
11,Kalahandi,76,Bhawanipatna,141,,,,,,,,16,29,203,365,13,626,0,22,648,0
11,Kalahandi,76,Bhawanipatna,142,,,,,,,,5,45,358,311,20,739,0,32,771,0
11,Kalahandi,76,Bhawanipatna,143,,,,,,,,14,63,531,177,23,808,0,28,836,0
11,Kalahandi,76,Bhawanipatna,144,,,,,,,,12,20,114,346,16,508,0,12,520,0
11,Kalahandi,76,Bhawanipatna,145,,,,,,,,14,93,519,158,16,800,0,22,822,0
11,Kalahandi,76,Bhawanipatna,146,,,,,,,,16,50,247,420,18,751,0,19,770,0
