pc_id,pc_name,ac_id,ac_name,Serial No.of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No of rejected votes (Test votes),Voter for NOTA option,Total,No of tendered votes
6,Balasore,37,Jaleswar,200,,,,,,,,4,238,343,0,115,0,0,0,1,0,701,0.0,1,702,nan
6,Balasore,37,Jaleswar,201,,,,,,,,7,304,345,5,98,1,0,0,0,0,760,0.0,3,763,nan
6,Balasore,37,Jaleswar,202,,,,,,,,8,305,366,1,83,1,1,2,0,1,768,0.0,5,773,nan
6,Balasore,37,Jaleswar,203,,,,,,,,4,371,352,1,85,0,0,1,4,0,818,0.0,1,819,nan
6,Balasore,37,Jaleswar,204,,,,,,,,2,384,265,1,61,1,1,0,7,0,722,0.0,1,723,nan
6,Balasore,37,Jaleswar,205,,,,,,,,9,531,296,0,148,1,2,1,0,0,988,0.0,2,990,nan
6,Balasore,37,Jaleswar,206,,,,,,,,5,492,306,5,208,2,1,1,0,4,1024,0.0,2,1026,nan
6,Balasore,37,Jaleswar,207,,,,,,,,1,134,90,0,48,0,0,0,2,0,275,0.0,0,275,nan
6,Balasore,37,Jaleswar,208,,,,,,,,0,717,149,0,125,0,0,0,1,1,993,0.0,0,993,nan
6,Balasore,37,Jaleswar,209,,,,,,,,2,383,394,0,166,1,0,0,3,0,949,0.0,1,950,nan
6,Balasore,37,Jaleswar,210,,,,,,,,0,171,220,0,61,1,0,0,0,0,453,0.0,0,453,nan
6,Balasore,37,Jaleswar,211,,,,,,,,2,431,231,2,76,0,0,0,0,0,742,0.0,0,742,nan
6,Balasore,37,Jaleswar,212,,,,,,,,4,401,392,1,79,0,2,4,1,2,886,0.0,2,888,nan
6,Balasore,37,Jaleswar,213,,,,,,,,0,254,310,0,89,0,0,0,3,0,656,0.0,1,657,nan
6,Balasore,37,Jaleswar,214,,,,,,,,6,500,499,3,65,0,0,0,1,0,1074,0.0,0,1074,nan
6,Balasore,37,Jaleswar,215,,,,,,,,13,482,405,1,84,0,0,0,7,0,992,0.0,2,994,nan
