pc_id,pc_name,ac_id,ac_name,Serion No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid votes,No. of rejected Votes (Test Votes),Votes for NOTA option,Total,No. of tendered votes
5,Mayurbhanj,28,Morada,195,,,,,,,,8,99,249,4,175,4,6,59,9,613,nan,19,632,nan
5,Mayurbhanj,28,Morada,196,,,,,,,,4,101,459,5,26,4,7,32,15,653,nan,29,682,nan
5,Mayurbhanj,28,Morada,197,,,,,,,,4,68,183,3,109,1,4,53,3,428,nan,8,436,nan
5,Mayurbhanj,28,Morada,198,,,,,,,,13,243,190,3,35,2,4,49,4,543,nan,25,568,nan
5,Mayurbhanj,28,Morada,199,,,,,,,,10,236,205,9,7,4,5,56,8,540,nan,9,549,nan
5,Mayurbhanj,28,Morada,200,,,,,,,,6,145,213,1,48,2,7,5,0,427,nan,5,432,nan
5,Mayurbhanj,28,Morada,201,,,,,,,,11,116,366,1,204,2,6,11,1,718,nan,2,720,nan
5,Mayurbhanj,28,Morada,202,,,,,,,,2,116,238,5,9,5,1,105,5,486,nan,10,496,nan
5,Mayurbhanj,28,Morada,203,,,,,,,,10,140,182,5,36,6,7,73,3,462,nan,11,473,nan
5,Mayurbhanj,28,Morada,204,,,,,,,,28,165,190,6,21,3,6,367,5,791,nan,12,803,nan
5,Mayurbhanj,28,Morada,205,,,,,,,,12,245,214,9,16,12,9,260,13,790,nan,42,832,nan
5,Mayurbhanj,28,Morada,206,,,,,,,,11,198,233,10,125,6,26,146,7,762,nan,15,777,nan
5,Mayurbhanj,28,Morada,207,,,,,,,,6,107,161,3,50,3,4,10,6,350,nan,15,365,nan
5,Mayurbhanj,28,Morada,208,,,,,,,,1,75,127,0,77,4,2,5,2,293,nan,3,296,nan
5,Mayurbhanj,28,Morada,209,,,,,,,,9,136,282,5,6,3,8,44,7,500,nan,15,515,nan
5,Mayurbhanj,28,Morada,210,,,,,,,,18,177,346,5,23,4,6,44,8,631,nan,10,641,nan
5,Mayurbhanj,28,Morada,211,,,,,,,,10,149,226,2,12,1,2,7,1,410,nan,6,416,nan
5,Mayurbhanj,28,Morada,212,,,,,,,,7,55,175,19,100,10,13,264,18,661,nan,16,677,nan
5,Mayurbhanj,28,Morada,213,,,,,,,,5,79,331,4,200,6,7,9,7,648,nan,10,658,nan
5,Mayurbhanj,28,Morada,214,,,,,,,,15,236,322,7,69,9,3,6,5,672,nan,18,690,nan
5,Mayurbhanj,28,Morada,215,,,,,,,,11,118,248,7,155,4,6,72,11,632,nan,28,660,nan
5,Mayurbhanj,28,Morada,216,,,,,,,,16,352,300,7,31,4,7,9,2,728,nan,7,735,nan
5,Mayurbhanj,28,Morada,217,,,,,,,,3,150,217,4,178,5,5,9,11,582,nan,15,597,nan
5,Mayurbhanj,28,Morada,218,,,,,,,,5,327,261,4,17,2,3,9,2,630,nan,4,634,nan
5,Mayurbhanj,28,Morada,219,,,,,,,,5,208,104,2,86,2,1,1,2,411,nan,5,416,nan
5,Mayurbhanj,28,Morada,220,,,,,,,,10,68,113,5,107,5,4,7,5,324,nan,9,333,nan
5,Mayurbhanj,28,Morada,221,,,,,,,,6,184,229,7,177,5,20,12,7,647,nan,11,658,nan
5,Mayurbhanj,28,Morada,222,,,,,,,,8,112,135,3,174,1,3,2,1,439,nan,3,442,nan
5,Mayurbhanj,28,Morada,223,,,,,,,,7,140,200,6,150,4,8,11,5,531,nan,6,537,nan
5,Mayurbhanj,28,Morada,224,,,,,,,,13,337,222,4,67,1,4,14,8,670,nan,6,676,nan
5,Mayurbhanj,28,Morada,225,,,,,,,,8,110,84,5,123,3,3,14,15,365,nan,31,396,nan
5,Mayurbhanj,28,Morada,226,,,,,,,,8,66,147,4,42,0,1,23,2,293,nan,5,298,nan
5,Mayurbhanj,28,Morada,227,,,,,,,,3,89,73,1,171,1,8,6,3,355,nan,0,355,nan
5,Mayurbhanj,28,Morada,228,,,,,,,,3,333,166,6,39,0,0,22,1,570,nan,2,572,nan
5,Mayurbhanj,28,Morada,229,,,,,,,,0,2,0,0,0,0,0,0,1,3,nan,0,3,nan
5,Mayurbhanj,28,Morada,230,,,,,,,,7,217,187,5,77,7,2,10,2,514,nan,5,519,nan
5,Mayurbhanj,28,Morada,231,,,,,,,,6,321,228,1,30,7,2,7,7,609,nan,5,614,nan
5,Mayurbhanj,28,Morada,232,,,,,,,,2,119,150,1,23,1,0,3,1,300,nan,1,301,nan
5,Mayurbhanj,28,Morada,233,,,,,,,,9,320,170,0,23,1,1,4,5,533,nan,6,539,nan
5,Mayurbhanj,28,Morada,234,,,,,,,,7,173,213,2,58,3,0,3,1,460,nan,0,460,nan
5,Mayurbhanj,28,Morada,235,,,,,,,,6,299,172,2,16,0,2,8,3,508,nan,5,513,nan
5,Mayurbhanj,28,Morada,236,,,,,,,,5,437,233,4,28,4,5,10,8,734,nan,10,744,nan
5,Mayurbhanj,28,Morada,237,,,,,,,,6,248,216,9,36,2,4,22,7,550,nan,17,567,nan
5,Mayurbhanj,28,Morada,238,,,,,,,,8,272,227,6,26,4,7,26,6,582,nan,22,604,nan
5,Mayurbhanj,28,Morada,239,,,,,,,,5,123,239,2,113,3,4,4,10,503,nan,13,516,nan
5,Mayurbhanj,28,Morada,240,,,,,,,,0,0,0,0,0,0,0,0,0,0,nan,0,0,nan
5,Mayurbhanj,28,Morada,241,,,,,,,,10,376,315,2,8,2,1,6,1,721,nan,6,727,nan
