pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No. of rejected votes (Test votes),Votes for NOTA option,Total No. of tendered votes
3,Sambalpur,14,Athamallik,184,,,,,,,,77,1,86,96,1,2,2,0,265,nan,0,nan
3,Sambalpur,14,Athamallik,185,,,,,,,,277,6,275,35,6,3,95,2,699,nan,6,nan
3,Sambalpur,14,Athamallik,186,,,,,,,,103,4,103,279,4,1,9,2,505,nan,4,nan
3,Sambalpur,14,Athamallik,187,,,,,,,,86,5,81,327,7,5,10,5,526,nan,6,nan
3,Sambalpur,14,Athamallik,188,,,,,,,,185,10,227,398,13,9,8,8,858,nan,11,nan
3,Sambalpur,14,Athamallik,189,,,,,,,,48,0,135,111,2,1,2,1,300,nan,3,nan
3,Sambalpur,14,Athamallik,190,,,,,,,,43,1,74,32,1,2,3,1,157,nan,2,nan
3,Sambalpur,14,Athamallik,191,,,,,,,,150,7,314,287,7,5,34,18,822,nan,6,nan
3,Sambalpur,14,Athamallik,192,,,,,,,,88,6,257,106,4,4,19,5,489,nan,2,nan
3,Sambalpur,14,Athamallik,193,,,,,,,,175,4,242,142,9,5,11,2,590,nan,8,nan
3,Sambalpur,14,Athamallik,194,,,,,,,,62,0,78,68,2,0,4,3,217,nan,1,nan
3,Sambalpur,14,Athamallik,195,,,,,,,,316,3,359,262,7,9,36,9,1001,nan,14,nan
3,Sambalpur,14,Athamallik,197,,,,,,,,97,4,100,144,2,3,6,2,358,nan,5,nan
3,Sambalpur,14,Athamallik,198,,,,,,,,156,2,77,203,6,2,8,1,455,nan,1,nan
3,Sambalpur,14,Athamallik,199,,,,,,,,256,6,319,104,6,3,40,1,735,nan,3,nan
3,Sambalpur,14,Athamallik,200,,,,,,,,259,6,211,314,5,2,10,2,809,nan,7,nan
3,Sambalpur,14,Athamallik,201,,,,,,,,44,0,94,237,7,3,5,1,391,nan,1,nan
3,Sambalpur,14,Athamallik,202,,,,,,,,127,1,85,442,4,5,6,2,672,nan,5,nan
3,Sambalpur,14,Athamallik,203,,,,,,,,194,9,191,139,2,1,11,18,565,nan,0,nan
3,Sambalpur,14,Athamallik,204,,,,,,,,57,7,115,235,8,7,9,22,460,nan,6,nan
3,Sambalpur,14,Athamallik,205,,,,,,,,144,7,86,254,6,7,3,30,537,nan,10,nan
3,Sambalpur,14,Athamallik,206,,,,,,,,160,3,74,171,5,2,8,5,428,nan,2,nan
3,Sambalpur,14,Athamallik,207,,,,,,,,25,6,68,64,2,2,26,147,340,nan,4,nan
3,Sambalpur,14,Athamallik,208,,,,,,,,19,5,277,64,4,0,18,7,394,nan,11,nan
3,Sambalpur,14,Athamallik,209,,,,,,,,31,3,213,67,5,2,38,12,371,nan,7,nan
3,Sambalpur,14,Athamallik,210,,,,,,,,42,14,258,214,11,13,14,82,648,nan,28,nan
3,Sambalpur,14,Athamallik,211,,,,,,,,44,8,33,355,9,7,79,177,712,nan,11,nan
3,Sambalpur,14,Athamallik,212,,,,,,,,39,1,32,259,9,3,117,48,508,nan,4,nan
3,Sambalpur,14,Athamallik,213,,,,,,,,64,4,39,118,6,1,42,5,279,nan,4,nan
3,Sambalpur,14,Athamallik,214,,,,,,,,143,1,74,102,4,4,94,5,427,nan,7,nan
