pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Candidate 14,Candidate 15,Candidate 16,Total of valid votes,No. of rejected votes,NOTA,Total,No of tendered votes
4,Keonjhar,25,Patna,81,,,,,,,,9,331,399,22,6,4,2,4,1,5,1,4,5,2,4,2,801,nan,0,801,nan
4,Keonjhar,25,Patna,82,,,,,,,,12,434,173,13,2,0,1,7,2,2,1,1,0,2,10,6,666,nan,5,671,nan
4,Keonjhar,25,Patna,83,,,,,,,,4,193,475,7,0,2,1,1,2,1,2,1,5,0,3,7,704,nan,0,704,nan
4,Keonjhar,25,Patna,84,,,,,,,,27,285,293,16,5,6,6,12,5,4,7,3,3,4,4,11,691,nan,8,699,nan
4,Keonjhar,25,Patna,85,,,,,,,,11,510,527,9,3,1,0,7,2,10,8,7,2,3,7,5,1112,nan,10,1122,nan
4,Keonjhar,25,Patna,86,,,,,,,,6,315,310,23,1,1,0,8,5,6,0,1,5,2,7,2,692,nan,3,695,nan
4,Keonjhar,25,Patna,87,,,,,,,,8,184,332,10,2,1,1,2,2,1,1,5,4,1,10,3,567,nan,3,570,nan
4,Keonjhar,25,Patna,88,,,,,,,,5,220,317,17,1,0,1,1,0,2,1,2,1,0,3,0,571,nan,7,578,nan
4,Keonjhar,25,Patna,89,,,,,,,,9,239,344,18,0,1,3,4,2,2,3,4,2,1,4,0,636,nan,3,639,nan
4,Keonjhar,25,Patna,90,,,,,,,,2,191,315,11,0,1,4,2,3,3,0,4,0,0,1,1,538,nan,1,539,nan
4,Keonjhar,25,Patna,91,,,,,,,,5,688,154,119,2,2,0,3,0,8,0,0,0,0,12,1,994,nan,4,998,nan
4,Keonjhar,25,Patna,92,,,,,,,,11,274,354,19,2,3,4,5,2,9,1,0,1,0,18,3,706,nan,3,709,nan
4,Keonjhar,25,Patna,93,,,,,,,,10,242,443,12,0,0,0,0,2,1,1,1,1,0,16,0,729,nan,9,738,nan
4,Keonjhar,25,Patna,94,,,,,,,,15,347,502,34,1,0,1,4,0,7,1,4,1,7,16,3,943,nan,2,945,nan
4,Keonjhar,25,Patna,95,,,,,,,,12,321,445,33,3,1,0,7,3,3,0,3,2,2,7,2,844,nan,7,851,nan
4,Keonjhar,25,Patna,96,,,,,,,,5,250,410,14,1,3,0,1,1,7,1,2,2,3,7,6,713,nan,6,719,nan
4,Keonjhar,25,Patna,97,,,,,,,,8,178,302,26,4,3,2,5,0,6,4,3,3,1,4,2,551,nan,2,553,nan
4,Keonjhar,25,Patna,98,,,,,,,,0,165,331,13,0,2,0,0,1,1,1,2,0,1,4,3,524,nan,5,529,nan
4,Keonjhar,25,Patna,99,,,,,,,,12,312,626,15,1,4,4,2,2,14,5,4,4,5,17,4,1031,nan,9,1040,nan
4,Keonjhar,25,Patna,100,,,,,,,,4,187,461,13,0,1,1,0,0,2,0,0,1,0,8,1,679,nan,0,679,nan
4,Keonjhar,25,Patna,101,,,,,,,,5,153,414,17,0,1,1,2,1,2,0,0,0,2,2,0,600,nan,4,604,nan
4,Keonjhar,25,Patna,102,,,,,,,,4,211,437,25,2,2,1,0,1,3,0,0,2,1,3,2,694,nan,5,699,nan
4,Keonjhar,25,Patna,103,,,,,,,,3,223,444,25,3,0,2,0,0,2,0,1,1,0,2,2,708,nan,7,715,nan
