pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total Valid Votes,Number of Rejected Votes (Test Votes),Votes for NOTA option,Total,No of Tendered Votes
6,Balasore,35,Nilgiri,108,,,,,,,,250.0,315.0,5.0,183.0,0.0,1.0,1.0,0.0,1.0,756.0,0.0,2.0,758.0,0.0
6,Balasore,35,Nilgiri,109,,,,,,,,312.0,262.0,2.0,63.0,0.0,1.0,1.0,1.0,7.0,649.0,0.0,6.0,655.0,0.0
6,Balasore,35,Nilgiri,110,,,,,,,,153.0,189.0,0.0,54.0,0.0,0.0,0.0,0.0,5.0,401.0,0.0,2.0,403.0,0.0
6,Balasore,35,Nilgiri,111,,,,,,,,298.0,284.0,1.0,126.0,1.0,1.0,4.0,2.0,10.0,727.0,0.0,4.0,731.0,0.0
6,Balasore,35,Nilgiri,112,,,,,,,,378.0,226.0,1.0,37.0,19.0,0.0,0.0,0.0,0.0,661.0,0.0,1.0,662.0,0.0
6,Balasore,35,Nilgiri,114,,,,,,,,472.0,373.0,2.0,189.0,2.0,1.0,1.0,2.0,10.0,1052.0,0.0,2.0,1054.0,0.0
6,Balasore,35,Nilgiri,115,,,,,,,,391.0,395.0,3.0,247.0,2.0,2.0,4.0,3.0,24.0,1071.0,0.0,5.0,1076.0,0.0
6,Balasore,35,Nilgiri,116,,,,,,,,172.0,72.0,0.0,134.0,0.0,0.0,0.0,1.0,6.0,385.0,0.0,0.0,385.0,0.0
6,Balasore,35,Nilgiri,117,,,,,,,,408.0,251.0,3.0,119.0,0.0,0.0,0.0,0.0,3.0,784.0,0.0,5.0,789.0,0.0
6,Balasore,35,Nilgiri,118,,,,,,,,318.0,276.0,0.0,67.0,0.0,0.0,0.0,0.0,3.0,664.0,0.0,3.0,667.0,0.0
6,Balasore,35,Nilgiri,119,,,,,,,,466.0,421.0,5.0,115.0,1.0,1.0,4.0,2.0,24.0,1039.0,0.0,5.0,1044.0,0.0
6,Balasore,35,Nilgiri,120,,,,,,,,343.0,467.0,6.0,161.0,2.0,0.0,3.0,3.0,62.0,1047.0,0.0,6.0,1053.0,0.0
6,Balasore,35,Nilgiri,121,,,,,,,,497.0,258.0,2.0,203.0,2.0,2.0,0.0,4.0,4.0,972.0,0.0,11.0,983.0,0.0
6,Balasore,35,Nilgiri,122,,,,,,,,306.0,350.0,3.0,44.0,0.0,1.0,1.0,2.0,25.0,732.0,0.0,2.0,734.0,0.0
6,Balasore,35,Nilgiri,123,,,,,,,,219.0,326.0,4.0,55.0,0.0,2.0,1.0,2.0,83.0,692.0,0.0,3.0,695.0,0.0
6,Balasore,35,Nilgiri,124,,,,,,,,303.0,273.0,1.0,162.0,1.0,1.0,0.0,0.0,11.0,752.0,0.0,2.0,754.0,0.0
6,Balasore,35,Nilgiri,125,,,,,,,,304.0,217.0,2.0,207.0,2.0,0.0,0.0,0.0,11.0,743.0,0.0,0.0,743.0,0.0
6,Balasore,35,Nilgiri,126,,,,,,,,363.0,181.0,5.0,250.0,2.0,2.0,3.0,2.0,3.0,811.0,0.0,5.0,816.0,0.0
6,Balasore,35,Nilgiri,127,,,,,,,,449.0,259.0,1.0,150.0,1.0,1.0,1.0,0.0,5.0,867.0,0.0,2.0,869.0,0.0
6,Balasore,35,Nilgiri,128,,,,,,,,200.0,66.0,2.0,45.0,1.0,0.0,1.0,1.0,6.0,322.0,0.0,3.0,325.0,0.0
6,Balasore,35,Nilgiri,129,,,,,,,,479.0,328.0,4.0,46.0,0.0,14.0,2.0,0.0,9.0,882.0,0.0,4.0,886.0,0.0
6,Balasore,35,Nilgiri,130,,,,,,,,198.0,48.0,0.0,101.0,0.0,0.0,0.0,0.0,2.0,349.0,0.0,0.0,349.0,0.0
6,Balasore,35,Nilgiri,131,,,,,,,,448.0,273.0,0.0,157.0,1.0,0.0,1.0,1.0,0.0,881.0,0.0,4.0,885.0,0.0
6,Balasore,35,Nilgiri,132,,,,,,,,328.0,347.0,6.0,155.0,2.0,1.0,8.0,2.0,158.0,1007.0,0.0,7.0,1014.0,0.0
6,Balasore,35,Nilgiri,133,,,,,,,,271.0,91.0,0.0,98.0,3.0,0.0,1.0,0.0,0.0,464.0,0.0,1.0,465.0,0.0
6,Balasore,35,Nilgiri,134,,,,,,,,602.0,194.0,2.0,165.0,1.0,3.0,0.0,2.0,11.0,980.0,0.0,3.0,983.0,0.0
6,Balasore,35,Nilgiri,135,,,,,,,,251.0,149.0,1.0,66.0,0.0,1.0,0.0,0.0,11.0,479.0,0.0,2.0,481.0,0.0
6,Balasore,35,Nilgiri,136,,,,,,,,190.0,85.0,0.0,116.0,0.0,0.0,0.0,0.0,1.0,392.0,0.0,1.0,393.0,0.0
6,Balasore,35,Nilgiri,137,,,,,,,,257.0,169.0,1.0,118.0,2.0,2.0,3.0,0.0,45.0,597.0,0.0,2.0,599.0,0.0
6,Balasore,35,Nilgiri,138,,,,,,,,259.0,194.0,2.0,108.0,0.0,3.0,7.0,2.0,118.0,693.0,0.0,12.0,705.0,0.0
6,Balasore,35,Nilgiri,139,,,,,,,,252.0,179.0,0.0,122.0,1.0,1.0,2.0,2.0,55.0,614.0,0.0,8.0,622.0,0.0
6,Balasore,35,Nilgiri,140,,,,,,,,249.0,147.0,2.0,104.0,0.0,0.0,1.0,0.0,6.0,509.0,0.0,0.0,509.0,0.0
6,Balasore,35,Nilgiri,141,,,,,,,,393.0,209.0,4.0,169.0,0.0,0.0,2.0,0.0,10.0,787.0,0.0,1.0,788.0,0.0
6,Balasore,35,Nilgiri,142,,,,,,,,406.0,134.0,3.0,197.0,2.0,1.0,3.0,1.0,39.0,786.0,0.0,4.0,790.0,0.0
6,Balasore,35,Nilgiri,143,,,,,,,,438.0,126.0,3.0,256.0,2.0,0.0,1.0,5.0,45.0,876.0,0.0,3.0,879.0,0.0
6,Balasore,35,Nilgiri,144,,,,,,,,406.0,199.0,1.0,93.0,0.0,0.0,3.0,2.0,73.0,777.0,0.0,13.0,790.0,0.0
6,Balasore,35,Nilgiri,145,,,,,,,,416.0,172.0,4.0,91.0,2.0,0.0,4.0,6.0,93.0,788.0,0.0,2.0,790.0,0.0
6,Balasore,35,Nilgiri,146,,,,,,,,449.0,136.0,1.0,175.0,0.0,0.0,3.0,0.0,14.0,778.0,0.0,3.0,781.0,0.0
6,Balasore,35,Nilgiri,147,,,,,,,,352.0,152.0,1.0,179.0,2.0,0.0,0.0,0.0,0.0,686.0,0.0,0.0,686.0,0.0
6,Balasore,35,Nilgiri,148,,,,,,,,315.0,175.0,1.0,146.0,0.0,1.0,1.0,0.0,2.0,641.0,0.0,6.0,647.0,0.0
6,Balasore,35,Nilgiri,149,,,,,,,,234.0,201.0,1.0,117.0,0.0,3.0,0.0,1.0,0.0,557.0,0.0,0.0,557.0,0.0
6,Balasore,35,Nilgiri,150,,,,,,,,285.0,50.0,1.0,102.0,2.0,0.0,0.0,0.0,13.0,453.0,0.0,1.0,454.0,0.0
6,Balasore,35,Nilgiri,151,,,,,,,,234.0,139.0,0.0,147.0,1.0,1.0,0.0,0.0,2.0,524.0,0.0,6.0,530.0,0.0
6,Balasore,35,Nilgiri,152,,,,,,,,197.0,104.0,1.0,258.0,2.0,3.0,2.0,0.0,8.0,575.0,0.0,4.0,579.0,0.0
6,Balasore,35,Nilgiri,153,,,,,,,,378.0,70.0,2.0,502.0,1.0,2.0,2.0,5.0,6.0,968.0,0.0,1.0,969.0,0.0
6,Balasore,35,Nilgiri,154,,,,,,,,362.0,151.0,0.0,157.0,2.0,0.0,1.0,1.0,0.0,674.0,0.0,3.0,677.0,0.0
6,Balasore,35,Nilgiri,155,,,,,,,,281.0,69.0,1.0,218.0,0.0,0.0,2.0,0.0,5.0,576.0,0.0,0.0,576.0,0.0
6,Balasore,35,Nilgiri,156,,,,,,,,529.0,268.0,1.0,156.0,1.0,0.0,2.0,4.0,22.0,983.0,0.0,1.0,984.0,0.0
6,Balasore,35,Nilgiri,157,,,,,,,,503.0,314.0,3.0,90.0,1.0,0.0,0.0,0.0,4.0,915.0,0.0,0.0,915.0,0.0
6,Balasore,35,Nilgiri,158,,,,,,,,332.0,255.0,4.0,369.0,2.0,3.0,2.0,4.0,5.0,976.0,0.0,3.0,979.0,0.0
6,Balasore,35,Nilgiri,159,,,,,,,,506.0,110.0,3.0,141.0,0.0,0.0,1.0,0.0,17.0,778.0,0.0,0.0,778.0,0.0
6,Balasore,35,Nilgiri,160,,,,,,,,136.0,110.0,0.0,238.0,1.0,0.0,0.0,1.0,5.0,491.0,0.0,3.0,494.0,0.0
6,Balasore,35,Nilgiri,161,,,,,,,,357.0,393.0,3.0,163.0,1.0,1.0,2.0,2.0,4.0,926.0,0.0,1.0,927.0,0.0
6,Balasore,35,Nilgiri,162,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Balasore,35,Nilgiri,163,,,,,,,,181.0,195.0,3.0,160.0,3.0,1.0,6.0,2.0,74.0,625.0,0.0,7.0,632.0,0.0
6,Balasore,35,Nilgiri,164,,,,,,,,252.0,197.0,1.0,81.0,0.0,1.0,0.0,0.0,16.0,548.0,0.0,1.0,549.0,0.0
6,Balasore,35,Nilgiri,165,,,,,,,,296.0,241.0,3.0,168.0,0.0,0.0,0.0,0.0,3.0,711.0,0.0,1.0,712.0,0.0
6,Balasore,35,Nilgiri,166,,,,,,,,73.0,46.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,0.0,120.0,0.0
6,Balasore,35,Nilgiri,167,,,,,,,,221.0,202.0,3.0,72.0,1.0,0.0,1.0,2.0,0.0,502.0,0.0,0.0,502.0,0.0
6,Balasore,35,Nilgiri,168,,,,,,,,218.0,279.0,5.0,33.0,0.0,0.0,0.0,1.0,1.0,537.0,0.0,6.0,543.0,0.0
6,Balasore,35,Nilgiri,169,,,,,,,,242.0,255.0,0.0,48.0,0.0,0.0,1.0,2.0,0.0,548.0,0.0,4.0,552.0,0.0
6,Balasore,35,Nilgiri,170,,,,,,,,401.0,467.0,5.0,51.0,2.0,0.0,1.0,1.0,0.0,928.0,0.0,1.0,929.0,0.0
6,Balasore,35,Nilgiri,171,,,,,,,,488.0,341.0,2.0,19.0,1.0,1.0,0.0,1.0,3.0,856.0,0.0,2.0,858.0,0.0
6,Balasore,35,Nilgiri,172,,,,,,,,389.0,437.0,3.0,20.0,1.0,0.0,4.0,0.0,1.0,855.0,0.0,8.0,863.0,0.0
6,Balasore,35,Nilgiri,173,,,,,,,,317.0,314.0,3.0,27.0,1.0,0.0,1.0,0.0,5.0,668.0,0.0,3.0,671.0,0.0
6,Balasore,35,Nilgiri,174,,,,,,,,212.0,320.0,5.0,122.0,1.0,0.0,0.0,3.0,10.0,673.0,0.0,1.0,674.0,0.0
6,Balasore,35,Nilgiri,175,,,,,,,,360.0,173.0,8.0,46.0,6.0,6.0,8.0,5.0,9.0,621.0,0.0,11.0,632.0,0.0
6,Balasore,35,Nilgiri,176,,,,,,,,280.0,333.0,7.0,49.0,2.0,0.0,1.0,3.0,8.0,683.0,0.0,1.0,684.0,0.0
6,Balasore,35,Nilgiri,177,,,,,,,,409.0,237.0,5.0,184.0,1.0,0.0,0.0,13.0,1.0,850.0,0.0,1.0,851.0,0.0
6,Balasore,35,Nilgiri,178,,,,,,,,367.0,263.0,4.0,71.0,0.0,1.0,0.0,14.0,2.0,722.0,0.0,1.0,723.0,0.0
6,Balasore,35,Nilgiri,179,,,,,,,,130.0,124.0,0.0,54.0,0.0,0.0,1.0,4.0,1.0,314.0,0.0,0.0,314.0,0.0
6,Balasore,35,Nilgiri,180,,,,,,,,533.0,184.0,3.0,263.0,1.0,0.0,3.0,2.0,6.0,995.0,0.0,1.0,996.0,0.0
6,Balasore,35,Nilgiri,181,,,,,,,,364.0,193.0,3.0,185.0,1.0,1.0,1.0,2.0,10.0,760.0,0.0,5.0,765.0,0.0
6,Balasore,35,Nilgiri,182,,,,,,,,412.0,287.0,1.0,164.0,0.0,0.0,1.0,2.0,0.0,867.0,0.0,10.0,877.0,0.0
6,Balasore,35,Nilgiri,183,,,,,,,,362.0,161.0,1.0,262.0,2.0,0.0,0.0,0.0,3.0,791.0,0.0,0.0,791.0,0.0
6,Balasore,35,Nilgiri,184,,,,,,,,175.0,155.0,0.0,226.0,0.0,1.0,0.0,0.0,19.0,576.0,0.0,3.0,579.0,0.0
6,Balasore,35,Nilgiri,185,,,,,,,,435.0,179.0,3.0,120.0,0.0,0.0,1.0,2.0,24.0,764.0,0.0,0.0,764.0,0.0
6,Balasore,35,Nilgiri,186,,,,,,,,460.0,364.0,5.0,58.0,0.0,0.0,0.0,2.0,8.0,897.0,0.0,0.0,897.0,0.0
6,Balasore,35,Nilgiri,187,,,,,,,,459.0,24.0,2.0,155.0,2.0,0.0,1.0,4.0,3.0,650.0,0.0,4.0,654.0,0.0
6,Balasore,35,Nilgiri,188,,,,,,,,748.0,1.0,1.0,26.0,0.0,0.0,0.0,0.0,0.0,776.0,0.0,0.0,776.0,0.0
6,Balasore,35,Nilgiri,189,,,,,,,,704.0,9.0,1.0,87.0,0.0,0.0,0.0,0.0,1.0,802.0,0.0,0.0,802.0,0.0
6,Balasore,35,Nilgiri,190,,,,,,,,711.0,1.0,0.0,29.0,0.0,0.0,0.0,0.0,1.0,742.0,0.0,1.0,743.0,0.0
6,Balasore,35,Nilgiri,191,,,,,,,,526.0,204.0,3.0,73.0,0.0,1.0,0.0,1.0,0.0,808.0,0.0,3.0,811.0,0.0
6,Balasore,35,Nilgiri,192,,,,,,,,439.0,166.0,0.0,101.0,1.0,1.0,1.0,0.0,0.0,709.0,0.0,1.0,710.0,0.0
6,Balasore,35,Nilgiri,193,,,,,,,,271.0,153.0,2.0,104.0,0.0,0.0,1.0,1.0,1.0,533.0,0.0,1.0,534.0,0.0
6,Balasore,35,Nilgiri,194,,,,,,,,438.0,239.0,0.0,181.0,1.0,0.0,0.0,1.0,7.0,867.0,0.0,1.0,868.0,0.0
6,Balasore,35,Nilgiri,195,,,,,,,,222.0,143.0,0.0,81.0,0.0,0.0,1.0,1.0,0.0,448.0,0.0,0.0,448.0,0.0
6,Balasore,35,Nilgiri,196,,,,,,,,129.0,140.0,1.0,327.0,0.0,1.0,1.0,1.0,20.0,620.0,0.0,6.0,626.0,0.0
6,Balasore,35,Nilgiri,197,,,,,,,,334.0,237.0,1.0,62.0,1.0,0.0,1.0,4.0,13.0,653.0,0.0,1.0,654.0,0.0
6,Balasore,35,Nilgiri,198,,,,,,,,528.0,107.0,2.0,113.0,1.0,2.0,1.0,3.0,4.0,761.0,0.0,8.0,769.0,0.0
6,Balasore,35,Nilgiri,199,,,,,,,,292.0,143.0,2.0,285.0,0.0,0.0,1.0,0.0,40.0,763.0,0.0,3.0,766.0,0.0
6,Balasore,35,Nilgiri,200,,,,,,,,370.0,337.0,3.0,125.0,2.0,0.0,2.0,0.0,11.0,850.0,0.0,3.0,853.0,0.0
6,Balasore,35,Nilgiri,201,,,,,,,,296.0,211.0,0.0,98.0,1.0,1.0,0.0,0.0,1.0,608.0,0.0,0.0,608.0,0.0
6,Balasore,35,Nilgiri,202,,,,,,,,250.0,395.0,2.0,115.0,0.0,0.0,0.0,0.0,4.0,766.0,0.0,2.0,768.0,0.0
6,Balasore,35,Nilgiri,203,,,,,,,,380.0,333.0,3.0,101.0,3.0,0.0,2.0,2.0,12.0,836.0,0.0,3.0,839.0,0.0
6,Balasore,35,Nilgiri,204,,,,,,,,353.0,235.0,2.0,116.0,0.0,2.0,2.0,6.0,19.0,735.0,0.0,4.0,739.0,0.0
6,Balasore,35,Nilgiri,205,,,,,,,,200.0,256.0,0.0,122.0,0.0,1.0,3.0,1.0,7.0,590.0,0.0,5.0,595.0,0.0
6,Balasore,35,Nilgiri,206,,,,,,,,322.0,404.0,2.0,174.0,1.0,0.0,0.0,2.0,5.0,910.0,0.0,2.0,912.0,0.0
6,Balasore,35,Nilgiri,207,,,,,,,,182.0,138.0,1.0,15.0,0.0,0.0,0.0,1.0,0.0,337.0,0.0,0.0,337.0,0.0
6,Balasore,35,Nilgiri,208,,,,,,,,590.0,363.0,2.0,43.0,0.0,0.0,3.0,3.0,1.0,1005.0,0.0,5.0,1010.0,0.0
6,Balasore,35,Nilgiri,209,,,,,,,,513.0,332.0,1.0,48.0,3.0,0.0,0.0,1.0,1.0,899.0,0.0,2.0,901.0,0.0
