pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No. of rejected votes,NOTA,Total,No. of Tendered votes
8,Jajpur,51,Bari,129,,,,,,,,2.0,321.0,79.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,412.0,0.0,5.0,417.0,0.0
8,Jajpur,51,Bari,130,,,,,,,,0.0,296.0,86.0,37.0,0.0,1.0,0.0,0.0,1.0,1.0,422.0,0.0,0.0,422.0,0.0
8,Jajpur,51,Bari,131,,,,,,,,1.0,609.0,127.0,41.0,1.0,2.0,0.0,1.0,0.0,0.0,782.0,0.0,3.0,785.0,0.0
8,Jajpur,51,Bari,132,,,,,,,,3.0,510.0,176.0,17.0,3.0,2.0,1.0,1.0,0.0,0.0,713.0,0.0,2.0,715.0,0.0
8,Jajpur,51,Bari,133,,,,,,,,2.0,602.0,106.0,12.0,0.0,1.0,0.0,0.0,0.0,0.0,723.0,0.0,7.0,730.0,0.0
8,Jajpur,51,Bari,134,,,,,,,,3.0,362.0,105.0,68.0,1.0,2.0,1.0,0.0,0.0,0.0,542.0,0.0,1.0,543.0,0.0
8,Jajpur,51,Bari,135,,,,,,,,3.0,479.0,135.0,91.0,5.0,3.0,2.0,1.0,1.0,0.0,720.0,0.0,4.0,724.0,0.0
8,Jajpur,51,Bari,136,,,,,,,,2.0,505.0,104.0,10.0,1.0,0.0,1.0,1.0,0.0,0.0,624.0,0.0,0.0,624.0,0.0
8,Jajpur,51,Bari,137,,,,,,,,0.0,479.0,31.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,516.0,0.0,0.0,516.0,0.0
8,Jajpur,51,Bari,138,,,,,,,,1.0,354.0,73.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,446.0,0.0,1.0,447.0,0.0
8,Jajpur,51,Bari,139,,,,,,,,2.0,622.0,119.0,13.0,1.0,3.0,3.0,0.0,0.0,0.0,763.0,0.0,0.0,763.0,0.0
8,Jajpur,51,Bari,140,,,,,,,,2.0,428.0,135.0,7.0,0.0,1.0,1.0,0.0,1.0,0.0,575.0,0.0,0.0,575.0,0.0
8,Jajpur,51,Bari,141,,,,,,,,3.0,440.0,401.0,19.0,4.0,0.0,0.0,1.0,1.0,2.0,871.0,0.0,1.0,872.0,0.0
8,Jajpur,51,Bari,142,,,,,,,,4.0,266.0,230.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,515.0,0.0,0.0,515.0,0.0
8,Jajpur,51,Bari,143,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Jajpur,51,Bari,144,,,,,,,,4.0,497.0,184.0,96.0,2.0,0.0,0.0,1.0,0.0,0.0,784.0,0.0,6.0,790.0,0.0
8,Jajpur,51,Bari,145,,,,,,,,7.0,538.0,199.0,84.0,1.0,3.0,1.0,0.0,1.0,1.0,835.0,0.0,5.0,840.0,0.0
8,Jajpur,51,Bari,146,,,,,,,,6.0,472.0,227.0,9.0,1.0,1.0,0.0,2.0,0.0,0.0,718.0,0.0,1.0,719.0,0.0
8,Jajpur,51,Bari,147,,,,,,,,0.0,410.0,59.0,16.0,0.0,2.0,1.0,0.0,0.0,0.0,488.0,0.0,0.0,488.0,0.0
8,Jajpur,51,Bari,148,,,,,,,,5.0,545.0,237.0,93.0,0.0,2.0,2.0,3.0,1.0,1.0,889.0,0.0,9.0,898.0,0.0
8,Jajpur,51,Bari,149,,,,,,,,4.0,321.0,236.0,41.0,2.0,0.0,1.0,1.0,0.0,0.0,606.0,0.0,5.0,611.0,0.0
8,Jajpur,51,Bari,150,,,,,,,,3.0,253.0,134.0,40.0,3.0,1.0,1.0,0.0,2.0,0.0,437.0,0.0,1.0,438.0,0.0
8,Jajpur,51,Bari,151,,,,,,,,4.0,369.0,144.0,24.0,1.0,0.0,1.0,0.0,0.0,0.0,543.0,0.0,4.0,547.0,0.0
8,Jajpur,51,Bari,152,,,,,,,,6.0,325.0,115.0,43.0,1.0,0.0,1.0,2.0,0.0,4.0,497.0,0.0,5.0,502.0,0.0
8,Jajpur,51,Bari,153,,,,,,,,15.0,659.0,297.0,94.0,2.0,1.0,1.0,1.0,1.0,1.0,1072.0,0.0,4.0,1076.0,0.0
8,Jajpur,51,Bari,154,,,,,,,,8.0,370.0,251.0,18.0,0.0,31.0,0.0,0.0,1.0,1.0,680.0,0.0,4.0,684.0,0.0
8,Jajpur,51,Bari,155,,,,,,,,3.0,302.0,159.0,20.0,1.0,0.0,0.0,1.0,0.0,0.0,486.0,0.0,4.0,490.0,0.0
8,Jajpur,51,Bari,156,,,,,,,,7.0,334.0,323.0,23.0,4.0,11.0,0.0,1.0,1.0,1.0,705.0,0.0,9.0,714.0,0.0
8,Jajpur,51,Bari,157,,,,,,,,3.0,437.0,215.0,7.0,0.0,1.0,0.0,0.0,0.0,1.0,664.0,0.0,8.0,672.0,0.0
8,Jajpur,51,Bari,158,,,,,,,,1.0,742.0,44.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,789.0,0.0,2.0,791.0,0.0
8,Jajpur,51,Bari,159,,,,,,,,5.0,521.0,208.0,20.0,4.0,3.0,2.0,1.0,3.0,0.0,767.0,0.0,2.0,769.0,0.0
8,Jajpur,51,Bari,160,,,,,,,,7.0,450.0,375.0,13.0,1.0,0.0,0.0,0.0,1.0,1.0,848.0,0.0,4.0,852.0,0.0
8,Jajpur,51,Bari,161,,,,,,,,0.0,225.0,164.0,14.0,1.0,0.0,0.0,0.0,2.0,0.0,406.0,0.0,2.0,408.0,0.0
8,Jajpur,51,Bari,162,,,,,,,,9.0,578.0,359.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,961.0,0.0,1.0,962.0,0.0
8,Jajpur,51,Bari,163,,,,,,,,2.0,230.0,131.0,8.0,0.0,1.0,0.0,0.0,1.0,0.0,373.0,0.0,2.0,375.0,0.0
8,Jajpur,51,Bari,164,,,,,,,,7.0,511.0,338.0,40.0,5.0,2.0,1.0,1.0,2.0,4.0,911.0,0.0,2.0,913.0,0.0
8,Jajpur,51,Bari,165,,,,,,,,2.0,250.0,104.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,362.0,0.0,1.0,363.0,0.0
8,Jajpur,51,Bari,166,,,,,,,,3.0,400.0,161.0,30.0,1.0,1.0,0.0,0.0,2.0,0.0,598.0,0.0,4.0,602.0,0.0
8,Jajpur,51,Bari,167,,,,,,,,6.0,504.0,268.0,29.0,0.0,0.0,1.0,0.0,1.0,0.0,809.0,0.0,7.0,816.0,1.0
