pc_id,pc_name,ac_id,ac_name,Sl.No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
19,Aska,127,Polasara,81,,,,,,,,29.0,27.0,1.0,150.0,2.0,2.0,0.0,0.0,211.0,0,1.0,212.0,0
19,Aska,127,Polasara,82,,,,,,,,93.0,260.0,5.0,271.0,7.0,2.0,5.0,4.0,647.0,0,7.0,654.0,0
19,Aska,127,Polasara,83,,,,,,,,157.0,178.0,2.0,329.0,7.0,5.0,8.0,4.0,690.0,0,10.0,700.0,0
19,Aska,127,Polasara,84,,,,,,,,4.0,69.0,0.0,157.0,1.0,1.0,1.0,2.0,235.0,0,2.0,237.0,0
19,Aska,127,Polasara,85,,,,,,,,16.0,193.0,2.0,273.0,5.0,5.0,1.0,0.0,495.0,0,4.0,499.0,0
19,Aska,127,Polasara,86,,,,,,,,15.0,339.0,21.0,437.0,5.0,5.0,0.0,2.0,824.0,0,10.0,834.0,0
19,Aska,127,Polasara,87,,,,,,,,23.0,238.0,6.0,393.0,6.0,4.0,2.0,2.0,674.0,0,1.0,675.0,0
19,Aska,127,Polasara,88,,,,,,,,12.0,131.0,4.0,271.0,4.0,1.0,3.0,0.0,426.0,0,4.0,430.0,0
19,Aska,127,Polasara,89,,,,,,,,3.0,132.0,2.0,252.0,1.0,0.0,0.0,0.0,390.0,0,0.0,390.0,0
19,Aska,127,Polasara,90,,,,,,,,61.0,268.0,10.0,369.0,5.0,7.0,5.0,0.0,725.0,0,5.0,730.0,0
19,Aska,127,Polasara,91,,,,,,,,20.0,259.0,10.0,202.0,3.0,4.0,6.0,3.0,507.0,0,6.0,513.0,0
19,Aska,127,Polasara,92,,,,,,,,37.0,234.0,7.0,224.0,10.0,2.0,4.0,6.0,524.0,0,7.0,531.0,0
19,Aska,127,Polasara,nan,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,nan,0,nan,nan,0
19,Aska,127,Polasara,93,,,,,,,,25.0,167.0,11.0,472.0,6.0,8.0,5.0,1.0,695.0,0,16.0,711.0,0
19,Aska,127,Polasara,94,,,,,,,,20.0,162.0,4.0,278.0,1.0,1.0,3.0,5.0,474.0,0,6.0,480.0,0
19,Aska,127,Polasara,95,,,,,,,,112.0,321.0,5.0,444.0,8.0,6.0,9.0,4.0,909.0,0,9.0,918.0,0
19,Aska,127,Polasara,96,,,,,,,,13.0,87.0,1.0,92.0,0.0,0.0,0.0,0.0,193.0,0,5.0,198.0,0
19,Aska,127,Polasara,97,,,,,,,,279.0,59.0,2.0,49.0,5.0,4.0,4.0,4.0,406.0,0,7.0,413.0,0
19,Aska,127,Polasara,98,,,,,,,,20.0,57.0,1.0,442.0,5.0,7.0,5.0,7.0,544.0,0,11.0,555.0,0
19,Aska,127,Polasara,99,,,,,,,,17.0,231.0,4.0,459.0,9.0,8.0,7.0,4.0,739.0,0,9.0,748.0,0
19,Aska,127,Polasara,100,,,,,,,,29.0,478.0,7.0,387.0,8.0,9.0,4.0,3.0,925.0,0,6.0,931.0,0
19,Aska,127,Polasara,101,,,,,,,,23.0,383.0,6.0,305.0,4.0,5.0,4.0,2.0,732.0,0,4.0,736.0,0
19,Aska,127,Polasara,102,,,,,,,,17.0,479.0,13.0,505.0,13.0,7.0,5.0,0.0,1039.0,0,4.0,1043.0,0
19,Aska,127,Polasara,103,,,,,,,,20.0,384.0,10.0,460.0,11.0,8.0,8.0,12.0,913.0,0,12.0,925.0,0
19,Aska,127,Polasara,104,,,,,,,,13.0,356.0,11.0,329.0,5.0,5.0,8.0,6.0,733.0,0,13.0,746.0,0
19,Aska,127,Polasara,105,,,,,,,,1.0,328.0,3.0,56.0,1.0,2.0,2.0,0.0,393.0,0,1.0,394.0,0
19,Aska,127,Polasara,106,,,,,,,,9.0,189.0,0.0,586.0,2.0,1.0,2.0,0.0,789.0,0,2.0,791.0,0
19,Aska,127,Polasara,107,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0,nan,0.0,0
19,Aska,127,Polasara,108,,,,,,,,30.0,326.0,9.0,311.0,13.0,4.0,5.0,9.0,707.0,0,8.0,715.0,0
19,Aska,127,Polasara,109,,,,,,,,29.0,271.0,6.0,190.0,2.0,4.0,3.0,2.0,507.0,0,10.0,517.0,0
19,Aska,127,Polasara,110,,,,,,,,25.0,245.0,2.0,219.0,1.0,1.0,0.0,1.0,494.0,0,2.0,496.0,0
19,Aska,127,Polasara,111,,,,,,,,13.0,250.0,2.0,258.0,3.0,1.0,0.0,5.0,532.0,0,12.0,544.0,0
19,Aska,127,Polasara,nan,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,nan,0,nan,nan,0
19,Aska,127,Polasara,112,,,,,,,,64.0,336.0,6.0,428.0,1.0,2.0,9.0,2.0,848.0,0,14.0,862.0,0
19,Aska,127,Polasara,113,,,,,,,,41.0,356.0,8.0,360.0,3.0,3.0,2.0,5.0,778.0,0,12.0,790.0,0
19,Aska,127,Polasara,114,,,,,,,,46.0,199.0,4.0,545.0,2.0,1.0,0.0,5.0,802.0,0,6.0,808.0,0
19,Aska,127,Polasara,115,,,,,,,,27.0,398.0,8.0,387.0,1.0,2.0,5.0,4.0,832.0,0,8.0,840.0,0
19,Aska,127,Polasara,116,,,,,,,,33.0,201.0,6.0,637.0,7.0,3.0,1.0,7.0,895.0,0,6.0,901.0,0
19,Aska,127,Polasara,117,,,,,,,,8.0,188.0,1.0,232.0,0.0,2.0,3.0,1.0,435.0,0,9.0,444.0,0
19,Aska,127,Polasara,118,,,,,,,,35.0,344.0,5.0,247.0,2.0,3.0,1.0,2.0,639.0,0,10.0,649.0,0
19,Aska,127,Polasara,119,,,,,,,,26.0,356.0,3.0,392.0,3.0,2.0,1.0,0.0,783.0,0,11.0,794.0,0
19,Aska,127,Polasara,120,,,,,,,,26.0,257.0,3.0,383.0,2.0,2.0,4.0,3.0,680.0,0,16.0,696.0,0
19,Aska,127,Polasara,121,,,,,,,,28.0,278.0,2.0,335.0,1.0,1.0,2.0,0.0,647.0,0,8.0,655.0,0
19,Aska,127,Polasara,122,,,,,,,,40.0,307.0,2.0,287.0,1.0,3.0,3.0,0.0,643.0,0,11.0,654.0,0
19,Aska,127,Polasara,123,,,,,,,,32.0,232.0,5.0,324.0,3.0,1.0,7.0,3.0,607.0,0,6.0,613.0,0
19,Aska,127,Polasara,124,,,,,,,,32.0,358.0,2.0,415.0,4.0,1.0,1.0,0.0,813.0,0,5.0,818.0,0
19,Aska,127,Polasara,125,,,,,,,,14.0,288.0,4.0,434.0,2.0,2.0,0.0,0.0,744.0,0,6.0,750.0,0
19,Aska,127,Polasara,126,,,,,,,,24.0,75.0,5.0,278.0,4.0,0.0,0.0,0.0,386.0,0,2.0,388.0,0
19,Aska,127,Polasara,127,,,,,,,,22.0,265.0,8.0,480.0,6.0,3.0,6.0,4.0,794.0,0,11.0,805.0,0
19,Aska,127,Polasara,128,,,,,,,,23.0,241.0,10.0,295.0,9.0,4.0,5.0,2.0,589.0,0,11.0,600.0,0
19,Aska,127,Polasara,129,,,,,,,,10.0,250.0,5.0,305.0,6.0,1.0,3.0,0.0,580.0,0,6.0,586.0,0
19,Aska,127,Polasara,130,,,,,,,,33.0,318.0,7.0,336.0,6.0,1.0,3.0,6.0,710.0,0,4.0,714.0,0
19,Aska,127,Polasara,nan,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,nan,0,nan,nan,0
19,Aska,127,Polasara,131,,,,,,,,2.0,237.0,2.0,191.0,3.0,2.0,4.0,0.0,441.0,0,3.0,444.0,0
19,Aska,127,Polasara,132,,,,,,,,12.0,518.0,6.0,60.0,6.0,8.0,6.0,2.0,618.0,0,3.0,621.0,0
19,Aska,127,Polasara,133,,,,,,,,15.0,548.0,9.0,102.0,25.0,13.0,19.0,12.0,743.0,0,14.0,757.0,0
19,Aska,127,Polasara,134,,,,,,,,12.0,580.0,16.0,164.0,8.0,8.0,10.0,12.0,810.0,0,8.0,818.0,0
19,Aska,127,Polasara,135,,,,,,,,12.0,296.0,7.0,526.0,7.0,5.0,5.0,3.0,861.0,0,12.0,873.0,0
19,Aska,127,Polasara,136,,,,,,,,78.0,203.0,14.0,273.0,15.0,10.0,3.0,3.0,599.0,0,8.0,607.0,0
19,Aska,127,Polasara,137,,,,,,,,91.0,240.0,26.0,324.0,9.0,6.0,2.0,7.0,705.0,0,8.0,713.0,0
19,Aska,127,Polasara,138,,,,,,,,51.0,132.0,8.0,318.0,2.0,4.0,7.0,2.0,524.0,0,4.0,528.0,0
19,Aska,127,Polasara,139,,,,,,,,60.0,165.0,9.0,375.0,14.0,4.0,4.0,1.0,632.0,0,2.0,634.0,0
19,Aska,127,Polasara,140,,,,,,,,31.0,211.0,8.0,234.0,8.0,7.0,4.0,2.0,505.0,0,7.0,512.0,0
19,Aska,127,Polasara,141,,,,,,,,40.0,342.0,10.0,411.0,10.0,5.0,0.0,1.0,819.0,0,1.0,820.0,0
19,Aska,127,Polasara,142,,,,,,,,30.0,338.0,10.0,356.0,6.0,8.0,2.0,0.0,750.0,0,7.0,757.0,0
19,Aska,127,Polasara,143,,,,,,,,70.0,344.0,1.0,233.0,7.0,9.0,4.0,8.0,676.0,0,9.0,685.0,0
19,Aska,127,Polasara,144,,,,,,,,44.0,301.0,6.0,298.0,9.0,7.0,4.0,6.0,675.0,0,4.0,679.0,0
19,Aska,127,Polasara,145,,,,,,,,14.0,207.0,9.0,417.0,5.0,3.0,5.0,2.0,662.0,0,8.0,670.0,0
19,Aska,127,Polasara,146,,,,,,,,14.0,226.0,18.0,457.0,4.0,3.0,6.0,7.0,735.0,0,8.0,743.0,0
19,Aska,127,Polasara,147,,,,,,,,18.0,91.0,7.0,125.0,2.0,5.0,0.0,3.0,251.0,0,4.0,255.0,0
19,Aska,127,Polasara,148,,,,,,,,28.0,253.0,4.0,335.0,3.0,6.0,4.0,5.0,638.0,0,10.0,648.0,0
19,Aska,127,Polasara,149,,,,,,,,18.0,217.0,4.0,269.0,10.0,3.0,2.0,3.0,526.0,0,10.0,536.0,0
19,Aska,127,Polasara,nan,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,nan,0,nan,nan,0
19,Aska,127,Polasara,150,,,,,,,,28.0,259.0,4.0,349.0,5.0,3.0,3.0,23.0,674.0,0,6.0,680.0,0
19,Aska,127,Polasara,151,,,,,,,,9.0,150.0,2.0,301.0,3.0,5.0,1.0,9.0,480.0,0,5.0,485.0,0
19,Aska,127,Polasara,152,,,,,,,,26.0,325.0,2.0,248.0,4.0,1.0,4.0,8.0,618.0,0,17.0,635.0,0
19,Aska,127,Polasara,153,,,,,,,,13.0,326.0,2.0,143.0,1.0,0.0,2.0,0.0,487.0,0,3.0,490.0,0
19,Aska,127,Polasara,154,,,,,,,,26.0,327.0,3.0,207.0,5.0,2.0,4.0,1.0,575.0,0,2.0,577.0,0
19,Aska,127,Polasara,155,,,,,,,,24.0,222.0,3.0,198.0,1.0,3.0,4.0,4.0,459.0,0,7.0,466.0,0
19,Aska,127,Polasara,156,,,,,,,,22.0,272.0,5.0,293.0,10.0,6.0,1.0,13.0,622.0,0,10.0,632.0,0
19,Aska,127,Polasara,157,,,,,,,,36.0,253.0,4.0,336.0,1.0,5.0,1.0,4.0,640.0,0,5.0,645.0,0
19,Aska,127,Polasara,158,,,,,,,,133.0,273.0,1.0,183.0,3.0,3.0,1.0,2.0,599.0,0,4.0,603.0,0
19,Aska,127,Polasara,159,,,,,,,,203.0,110.0,8.0,116.0,2.0,6.0,2.0,6.0,453.0,0,8.0,461.0,0
19,Aska,127,Polasara,160,,,,,,,,41.0,167.0,2.0,106.0,4.0,2.0,2.0,0.0,324.0,0,2.0,326.0,0
19,Aska,127,Polasara,161,,,,,,,,8.0,83.0,1.0,141.0,2.0,1.0,0.0,2.0,238.0,0,1.0,239.0,0
19,Aska,127,Polasara,162,,,,,,,,72.0,433.0,16.0,359.0,10.0,10.0,8.0,13.0,921.0,0,16.0,937.0,0
19,Aska,127,Polasara,163,,,,,,,,40.0,341.0,18.0,258.0,6.0,6.0,7.0,4.0,680.0,0,5.0,685.0,0
19,Aska,127,Polasara,164,,,,,,,,37.0,240.0,6.0,321.0,6.0,1.0,3.0,2.0,616.0,0,1.0,617.0,0
19,Aska,127,Polasara,165,,,,,,,,14.0,138.0,2.0,222.0,3.0,0.0,1.0,1.0,381.0,0,1.0,382.0,0
19,Aska,127,Polasara,166,,,,,,,,18.0,114.0,8.0,294.0,6.0,3.0,6.0,3.0,452.0,0,5.0,457.0,0
19,Aska,127,Polasara,167,,,,,,,,38.0,324.0,8.0,429.0,7.0,4.0,3.0,5.0,818.0,0,12.0,830.0,0
19,Aska,127,Polasara,168,,,,,,,,12.0,132.0,4.0,243.0,4.0,0.0,2.0,0.0,397.0,0,1.0,398.0,0
19,Aska,127,Polasara,nan,,,,,,,,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,nan,0,nan,nan,0
19,Aska,127,Polasara,169,,,,,,,,29.0,320.0,4.0,280.0,2.0,4.0,0.0,12.0,651.0,0,4.0,655.0,0
19,Aska,127,Polasara,170,,,,,,,,12.0,233.0,4.0,165.0,7.0,0.0,0.0,7.0,428.0,0,3.0,431.0,0
19,Aska,127,Polasara,171,,,,,,,,11.0,229.0,2.0,198.0,6.0,2.0,0.0,0.0,448.0,0,1.0,449.0,0
19,Aska,127,Polasara,172,,,,,,,,4.0,134.0,3.0,193.0,0.0,0.0,1.0,1.0,336.0,0,1.0,337.0,0
19,Aska,127,Polasara,173,,,,,,,,12.0,292.0,0.0,251.0,1.0,3.0,3.0,1.0,563.0,0,1.0,564.0,0
19,Aska,127,Polasara,174,,,,,,,,1.0,15.0,2.0,481.0,2.0,0.0,0.0,1.0,502.0,0,0.0,502.0,0
