pc_id,pc_name,ac_id,ac_name,Sl. No. Of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total valid votes,No. Of rejected votes (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
9,Dhenkanal,62,Talcher,112,,,,,,,,103.0,2.0,166.0,169.0,0.0,3.0,4.0,2.0,449.0,0.0,3.0,452.0,0.0
9,Dhenkanal,62,Talcher,113,,,,,,,,127.0,4.0,123.0,327.0,3.0,2.0,4.0,3.0,593.0,0.0,5.0,598.0,0.0
9,Dhenkanal,62,Talcher,114,,,,,,,,49.0,1.0,39.0,323.0,0.0,0.0,1.0,0.0,413.0,0.0,2.0,415.0,0.0
9,Dhenkanal,62,Talcher,115,,,,,,,,248.0,9.0,126.0,397.0,5.0,2.0,2.0,9.0,798.0,0.0,9.0,807.0,0.0
9,Dhenkanal,62,Talcher,116,,,,,,,,200.0,4.0,80.0,367.0,1.0,1.0,2.0,0.0,655.0,0.0,4.0,659.0,0.0
9,Dhenkanal,62,Talcher,117,,,,,,,,205.0,2.0,42.0,362.0,2.0,4.0,0.0,0.0,617.0,0.0,5.0,622.0,0.0
9,Dhenkanal,62,Talcher,118,,,,,,,,256.0,7.0,121.0,299.0,4.0,7.0,1.0,2.0,697.0,0.0,3.0,700.0,0.0
9,Dhenkanal,62,Talcher,119,,,,,,,,197.0,3.0,62.0,202.0,1.0,6.0,2.0,1.0,474.0,0.0,3.0,477.0,0.0
9,Dhenkanal,62,Talcher,120,,,,,,,,148.0,2.0,46.0,327.0,1.0,0.0,1.0,1.0,526.0,0.0,4.0,530.0,0.0
9,Dhenkanal,62,Talcher,121,,,,,,,,267.0,2.0,118.0,315.0,5.0,4.0,2.0,7.0,720.0,0.0,7.0,727.0,0.0
9,Dhenkanal,62,Talcher,122,,,,,,,,119.0,4.0,47.0,265.0,0.0,1.0,2.0,5.0,443.0,0.0,5.0,448.0,0.0
9,Dhenkanal,62,Talcher,123,,,,,,,,166.0,3.0,273.0,354.0,14.0,5.0,4.0,3.0,822.0,0.0,5.0,827.0,0.0
