pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of Valid votes,No. of Rejected votes,NOTA,Total,No. of Tendered Votes
11,Kalahandi,70,Narla,265,,,,,,,,43,1,157,194,9,4,408,0,5,413,0
11,Kalahandi,70,Narla,266,,,,,,,,77,3,398,336,9,11,834,0,7,841,0
11,Kalahandi,70,Narla,267,,,,,,,,136,1,273,118,8,10,546,0,9,555,0
11,Kalahandi,70,Narla,268,,,,,,,,180,2,234,218,7,6,647,0,1,648,0
11,Kalahandi,70,Narla,269,,,,,,,,115,3,141,221,6,7,493,0,1,494,0
11,Kalahandi,70,Narla,270,,,,,,,,162,5,413,258,6,6,850,0,7,857,0
11,Kalahandi,70,Narla,271,,,,,,,,39,5,121,131,2,3,301,0,2,303,0
11,Kalahandi,70,Narla,272,,,,,,,,58,1,134,192,9,6,400,0,10,410,0
11,Kalahandi,70,Narla,273,,,,,,,,78,4,164,345,14,3,608,0,8,616,0
11,Kalahandi,70,Narla,274,,,,,,,,270,7,275,253,10,4,819,0,18,837,0
11,Kalahandi,70,Narla,275,,,,,,,,154,5,111,328,11,4,613,0,17,630,0
11,Kalahandi,70,Narla,276,,,,,,,,201,6,169,239,8,7,630,0,15,645,0
11,Kalahandi,70,Narla,277,,,,,,,,214,2,102,271,9,3,601,0,15,616,0
11,Kalahandi,70,Narla,278,,,,,,,,230,4,311,108,9,6,668,0,5,673,0
11,Kalahandi,70,Narla,279,,,,,,,,85,4,159,243,6,12,509,0,3,512,0
11,Kalahandi,70,Narla,280,,,,,,,,79,4,255,192,3,7,540,0,1,541,0
11,Kalahandi,70,Narla,281,,,,,,,,216,2,230,270,5,15,738,0,13,751,0
11,Kalahandi,70,Narla,282,,,,,,,,143,3,286,261,14,5,712,0,5,717,0
11,Kalahandi,70,Narla,283,,,,,,,,178,4,178,291,9,0,660,0,4,664,0
11,Kalahandi,70,Narla,284,,,,,,,,232,9,185,158,7,8,599,0,6,605,0
11,Kalahandi,70,Narla,285,,,,,,,,66,0,369,138,2,3,578,0,7,585,0
11,Kalahandi,70,Narla,286,,,,,,,,112,5,237,253,7,6,620,0,5,625,0
11,Kalahandi,70,Narla,287,,,,,,,,52,6,129,230,10,3,430,0,8,438,0
11,Kalahandi,70,Narla,288,,,,,,,,17,1,138,216,6,2,380,0,5,385,0
11,Kalahandi,70,Narla,289,,,,,,,,149,4,220,211,9,6,599,0,6,605,0
11,Kalahandi,70,Narla,290,,,,,,,,159,3,191,202,4,2,561,0,1,562,0
11,Kalahandi,70,Narla,291,,,,,,,,95,4,273,198,3,6,579,0,10,589,0
11,Kalahandi,70,Narla,292,,,,,,,,230,4,308,145,6,9,702,0,6,708,0
11,Kalahandi,70,Narla,293,,,,,,,,82,4,48,92,15,4,245,0,24,269,0
11,Kalahandi,70,Narla,294,,,,,,,,117,4,116,95,2,1,335,0,6,341,0
11,Kalahandi,70,Narla,295,,,,,,,,212,5,228,340,19,0,804,0,5,809,0
11,Kalahandi,70,Narla,296,,,,,,,,103,9,122,269,5,2,510,0,3,513,0
11,Kalahandi,70,Narla,297,,,,,,,,209,2,60,224,10,9,514,0,4,518,0
11,Kalahandi,70,Narla,298,,,,,,,,169,1,167,297,8,4,646,0,3,649,0
11,Kalahandi,70,Narla,299,,,,,,,,58,4,83,182,6,2,335,0,0,335,0
11,Kalahandi,70,Narla,300,,,,,,,,254,7,126,136,12,6,541,0,10,551,0
11,Kalahandi,70,Narla,301,,,,,,,,171,4,168,385,14,11,753,0,13,766,0
11,Kalahandi,70,Narla,302,,,,,,,,145,1,95,220,3,4,468,0,6,474,0
11,Kalahandi,70,Narla,303,,,,,,,,188,3,85,322,8,8,614,0,4,618,0
11,Kalahandi,70,Narla,304,,,,,,,,157,5,132,231,7,5,537,0,5,542,0
11,Kalahandi,70,Narla,305,,,,,,,,196,5,244,295,10,12,762,0,18,780,0
11,Kalahandi,70,Narla,306,,,,,,,,237,7,209,434,6,11,904,0,14,918,0
11,Kalahandi,70,Narla,307,,,,,,,,164,0,83,323,8,2,580,0,12,592,0
11,Kalahandi,70,Narla,308,,,,,,,,179,5,194,109,4,5,496,0,2,498,0
11,Kalahandi,70,Narla,309,,,,,,,,259,6,213,156,5,6,645,0,5,650,0
11,Kalahandi,70,Narla,310,,,,,,,,297,7,210,122,3,0,639,0,5,644,0
11,Kalahandi,70,Narla,311,,,,,,,,214,2,140,143,4,1,504,0,2,506,0
11,Kalahandi,70,Narla,312,,,,,,,,196,3,241,110,1,3,554,0,1,555,0
11,Kalahandi,70,Narla,313,,,,,,,,212,2,188,208,10,2,622,0,7,629,0
11,Kalahandi,70,Narla,314,,,,,,,,218,2,90,187,0,1,498,0,7,505,0
11,Kalahandi,70,Narla,315,,,,,,,,54,1,68,161,3,2,289,0,3,292,0
11,Kalahandi,70,Narla,316,,,,,,,,87,0,79,106,2,12,286,0,3,289,0
11,Kalahandi,70,Narla,317,,,,,,,,153,2,35,70,0,1,261,0,7,268,0
11,Kalahandi,70,Narla,318,,,,,,,,324,9,327,235,12,4,911,0,7,918,0
11,Kalahandi,70,Narla,319,,,,,,,,320,2,123,176,5,10,636,0,3,639,0
11,Kalahandi,70,Narla,320,,,,,,,,54,3,121,192,4,2,376,0,2,378,0
11,Kalahandi,70,Narla,321,,,,,,,,141,5,172,185,7,4,514,0,4,518,0
11,Kalahandi,70,Narla,322,,,,,,,,221,4,178,217,6,2,628,0,3,631,0
11,Kalahandi,70,Narla,323,,,,,,,,181,6,162,455,7,0,811,0,4,815,0
11,Kalahandi,70,Narla,324,,,,,,,,242,7,138,158,7,2,554,0,6,560,0
11,Kalahandi,70,Narla,325,,,,,,,,271,4,94,236,15,7,627,0,25,652,0
11,Kalahandi,70,Narla,326,,,,,,,,243,5,186,178,3,1,616,0,3,619,0
11,Kalahandi,70,Narla,327,,,,,,,,159,4,112,107,5,1,388,0,3,391,0
11,Kalahandi,70,Narla,328,,,,,,,,70,3,162,189,8,5,437,0,8,445,0
11,Kalahandi,70,Narla,329,,,,,,,,116,4,93,119,5,4,341,0,10,351,0
11,Kalahandi,70,Narla,330,,,,,,,,117,8,145,197,14,18,499,0,13,512,0
11,Kalahandi,70,Narla,331,,,,,,,,60,3,162,182,5,4,416,0,1,417,0
11,Kalahandi,70,Narla,332,,,,,,,,262,6,181,521,18,9,997,0,7,1004,0
11,Kalahandi,70,Narla,333,,,,,,,,129,7,258,185,8,13,600,0,5,605,0
11,Kalahandi,70,Narla,334,,,,,,,,169,4,167,207,6,3,556,0,4,560,0
