pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total Valid Votes,No. of rejected votes,Votes for NOTA,Total no. of tendered votes,Total votes
20,Berhampur,138,Chikiti,203,,,,,,,,8.0,68.0,113.0,12.0,4.0,38.0,243.0,0.0,1.0,0.0,244.0
20,Berhampur,138,Chikiti,204,,,,,,,,5.0,87.0,89.0,11.0,11.0,170.0,373.0,0.0,14.0,0.0,387.0
20,Berhampur,138,Chikiti,205,,,,,,,,3.0,30.0,19.0,15.0,7.0,279.0,353.0,0.0,3.0,0.0,356.0
20,Berhampur,138,Chikiti,206,,,,,,,,8.0,110.0,67.0,28.0,12.0,37.0,262.0,0.0,19.0,0.0,281.0
20,Berhampur,138,Chikiti,207,,,,,,,,17.0,122.0,50.0,15.0,11.0,119.0,334.0,0.0,43.0,0.0,377.0
20,Berhampur,138,Chikiti,208,,,,,,,,14.0,165.0,92.0,20.0,9.0,47.0,347.0,0.0,27.0,0.0,374.0
20,Berhampur,138,Chikiti,209,,,,,,,,12.0,120.0,184.0,54.0,16.0,30.0,416.0,0.0,11.0,0.0,427.0
20,Berhampur,138,Chikiti,210,,,,,,,,5.0,39.0,69.0,29.0,3.0,113.0,258.0,0.0,11.0,0.0,269.0
20,Berhampur,138,Chikiti,211,,,,,,,,4.0,67.0,55.0,8.0,19.0,59.0,212.0,0.0,12.0,0.0,224.0
20,Berhampur,138,Chikiti,212,,,,,,,,18.0,116.0,383.0,117.0,46.0,15.0,695.0,0.0,7.0,0.0,702.0
20,Berhampur,138,Chikiti,213,,,,,,,,16.0,37.0,241.0,28.0,59.0,12.0,393.0,0.0,9.0,0.0,402.0
20,Berhampur,138,Chikiti,214,,,,,,,,12.0,115.0,160.0,53.0,84.0,23.0,447.0,0.0,45.0,0.0,492.0
20,Berhampur,138,Chikiti,215,,,,,,,,10.0,54.0,101.0,34.0,120.0,11.0,330.0,0.0,6.0,0.0,336.0
20,Berhampur,138,Chikiti,216,,,,,,,,4.0,13.0,155.0,74.0,85.0,11.0,342.0,0.0,18.0,0.0,360.0
20,Berhampur,138,Chikiti,217,,,,,,,,10.0,82.0,106.0,70.0,91.0,38.0,397.0,0.0,5.0,0.0,402.0
20,Berhampur,138,Chikiti,218,,,,,,,,18.0,61.0,352.0,91.0,202.0,15.0,739.0,0.0,16.0,0.0,755.0
20,Berhampur,138,Chikiti,219,,,,,,,,15.0,56.0,76.0,47.0,274.0,21.0,489.0,0.0,42.0,0.0,531.0
20,Berhampur,138,Chikiti,220,,,,,,,,10.0,45.0,78.0,17.0,90.0,6.0,246.0,0.0,6.0,0.0,252.0
20,Berhampur,138,Chikiti,221,,,,,,,,13.0,162.0,76.0,26.0,217.0,16.0,510.0,0.0,4.0,0.0,514.0
20,Berhampur,138,Chikiti,222,,,,,,,,20.0,59.0,130.0,34.0,207.0,26.0,476.0,0.0,39.0,0.0,515.0
20,Berhampur,138,Chikiti,223,,,,,,,,13.0,24.0,125.0,83.0,171.0,5.0,421.0,0.0,8.0,0.0,429.0
20,Berhampur,138,Chikiti,224,,,,,,,,1.0,11.0,109.0,60.0,177.0,0.0,358.0,0.0,3.0,0.0,361.0
20,Berhampur,138,Chikiti,225,,,,,,,,6.0,76.0,307.0,203.0,256.0,15.0,863.0,0.0,9.0,0.0,872.0
20,Berhampur,138,Chikiti,226,,,,,,,,2.0,50.0,192.0,119.0,92.0,6.0,461.0,0.0,10.0,0.0,471.0
20,Berhampur,138,Chikiti,227,,,,,,,,4.0,39.0,171.0,103.0,133.0,10.0,460.0,0.0,4.0,0.0,464.0
20,Berhampur,138,Chikiti,228,,,,,,,,6.0,56.0,270.0,107.0,157.0,23.0,619.0,0.0,10.0,0.0,629.0
20,Berhampur,138,Chikiti,229,,,,,,,,9.0,63.0,339.0,76.0,129.0,4.0,620.0,0.0,6.0,0.0,626.0
20,Berhampur,138,Chikiti,230,,,,,,,,3.0,37.0,137.0,66.0,168.0,2.0,413.0,0.0,8.0,0.0,421.0
20,Berhampur,138,Chikiti,231,,,,,,,,5.0,54.0,133.0,48.0,311.0,11.0,562.0,0.0,5.0,0.0,567.0
20,Berhampur,138,Chikiti,232,,,,,,,,4.0,96.0,178.0,111.0,322.0,2.0,713.0,0.0,7.0,0.0,720.0
20,Berhampur,138,Chikiti,233,,,,,,,,11.0,167.0,221.0,63.0,342.0,16.0,820.0,0.0,15.0,0.0,835.0
20,Berhampur,138,Chikiti,234,,,,,,,,10.0,44.0,133.0,69.0,374.0,22.0,652.0,0.0,16.0,0.0,668.0
20,Berhampur,138,Chikiti,235,,,,,,,,9.0,113.0,210.0,79.0,343.0,23.0,777.0,0.0,12.0,0.0,789.0
20,Berhampur,138,Chikiti,236,,,,,,,,18.0,220.0,221.0,119.0,282.0,24.0,884.0,0.0,18.0,0.0,902.0
20,Berhampur,138,Chikiti,237,,,,,,,,9.0,62.0,179.0,82.0,206.0,7.0,545.0,0.0,8.0,0.0,553.0
20,Berhampur,138,Chikiti,238,,,,,,,,7.0,59.0,247.0,48.0,272.0,9.0,642.0,0.0,7.0,0.0,649.0
20,Berhampur,138,Chikiti,239,,,,,,,,5.0,37.0,144.0,38.0,219.0,5.0,448.0,0.0,9.0,0.0,457.0
20,Berhampur,138,Chikiti,240,,,,,,,,6.0,43.0,200.0,43.0,244.0,3.0,539.0,0.0,8.0,0.0,547.0
