pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid votes,No. of rejected Votes (Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,79,Jharigam,183,,,,,,,,220.0,89.0,241.0,8.0,3.0,0.0,10.0,5.0,12.0,588,0,17.0,605,0
12,Nabarangpur,79,Jharigam,184,,,,,,,,119.0,237.0,195.0,7.0,6.0,5.0,11.0,8.0,8.0,596,0,14.0,610,0
12,Nabarangpur,79,Jharigam,185,,,,,,,,215.0,53.0,316.0,1.0,0.0,3.0,2.0,1.0,13.0,604,0,3.0,607,0
12,Nabarangpur,79,Jharigam,186,,,,,,,,170.0,163.0,267.0,4.0,1.0,6.0,5.0,7.0,9.0,632,0,9.0,641,0
12,Nabarangpur,79,Jharigam,187,,,,,,,,43.0,151.0,153.0,18.0,12.0,17.0,7.0,9.0,12.0,422,0,12.0,434,0
12,Nabarangpur,79,Jharigam,188,,,,,,,,136.0,106.0,353.0,5.0,2.0,6.0,6.0,6.0,25.0,645,0,46.0,691,0
12,Nabarangpur,79,Jharigam,189,,,,,,,,116.0,215.0,123.0,4.0,0.0,4.0,4.0,7.0,9.0,482,0,0.0,482,0
12,Nabarangpur,79,Jharigam,190,,,,,,,,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0.0,1,0
12,Nabarangpur,79,Jharigam,191,,,,,,,,270.0,156.0,552.0,10.0,9.0,10.0,10.0,14.0,12.0,1043,0,14.0,1057,0
12,Nabarangpur,79,Jharigam,192,,,,,,,,60.0,23.0,67.0,3.0,2.0,0.0,2.0,4.0,11.0,172,0,9.0,181,0
12,Nabarangpur,79,Jharigam,193,,,,,,,,210.0,88.0,288.0,4.0,2.0,1.0,3.0,3.0,6.0,605,0,2.0,607,0
12,Nabarangpur,79,Jharigam,194,,,,,,,,253.0,46.0,153.0,4.0,2.0,1.0,3.0,4.0,136.0,602,0,4.0,606,0
12,Nabarangpur,79,Jharigam,195,,,,,,,,140.0,175.0,112.0,1.0,7.0,4.0,5.0,7.0,46.0,497,0,10.0,507,0
12,Nabarangpur,79,Jharigam,196,,,,,,,,301.0,201.0,332.0,12.0,5.0,1.0,11.0,7.0,15.0,885,0,15.0,900,0
12,Nabarangpur,79,Jharigam,197,,,,,,,,260.0,244.0,248.0,6.0,7.0,6.0,26.0,8.0,79.0,884,0,4.0,888,0
12,Nabarangpur,79,Jharigam,198,,,,,,,,298.0,101.0,323.0,9.0,5.0,3.0,6.0,7.0,42.0,794,0,7.0,801,0
12,Nabarangpur,79,Jharigam,199,,,,,,,,319.0,184.0,275.0,6.0,6.0,5.0,9.0,4.0,51.0,859,0,3.0,862,0
12,Nabarangpur,79,Jharigam,200,,,,,,,,197.0,97.0,281.0,3.0,2.0,1.0,3.0,2.0,9.0,595,0,2.0,597,0
12,Nabarangpur,79,Jharigam,201,,,,,,,,94.0,253.0,182.0,9.0,4.0,7.0,5.0,4.0,40.0,598,0,6.0,604,0
12,Nabarangpur,79,Jharigam,202,,,,,,,,178.0,117.0,222.0,14.0,4.0,7.0,9.0,3.0,20.0,574,0,10.0,584,0
12,Nabarangpur,79,Jharigam,203,,,,,,,,169.0,199.0,112.0,0.0,1.0,3.0,1.0,2.0,2.0,489,0,5.0,494,0
12,Nabarangpur,79,Jharigam,204,,,,,,,,69.0,143.0,199.0,34.0,3.0,22.0,3.0,4.0,9.0,486,0,4.0,490,0
12,Nabarangpur,79,Jharigam,205,,,,,,,,112.0,36.0,302.0,6.0,2.0,8.0,4.0,8.0,40.0,518,0,9.0,527,0
12,Nabarangpur,79,Jharigam,206,,,,,,,,126.0,188.0,153.0,2.0,12.0,7.0,9.0,5.0,224.0,726,0,4.0,730,0
12,Nabarangpur,79,Jharigam,207,,,,,,,,171.0,125.0,238.0,4.0,10.0,2.0,5.0,5.0,281.0,841,0,6.0,847,0
12,Nabarangpur,79,Jharigam,208,,,,,,,,227.0,32.0,124.0,1.0,3.0,2.0,0.0,1.0,21.0,411,0,2.0,413,0
12,Nabarangpur,79,Jharigam,209,,,,,,,,137.0,116.0,236.0,3.0,2.0,0.0,5.0,4.0,64.0,567,0,9.0,576,0
12,Nabarangpur,79,Jharigam,210,,,,,,,,388.0,55.0,320.0,10.0,2.0,5.0,5.0,3.0,97.0,885,0,0.0,885,0
12,Nabarangpur,79,Jharigam,211,,,,,,,,181.0,218.0,185.0,7.0,3.0,11.0,8.0,11.0,103.0,727,0,7.0,734,0
12,Nabarangpur,79,Jharigam,212,,,,,,,,122.0,200.0,185.0,4.0,3.0,3.0,2.0,10.0,28.0,557,0,7.0,564,0
12,Nabarangpur,79,Jharigam,213,,,,,,,,84.0,309.0,92.0,4.0,2.0,1.0,1.0,5.0,48.0,546,0,2.0,548,0
12,Nabarangpur,79,Jharigam,214,,,,,,,,161.0,60.0,263.0,8.0,8.0,17.0,4.0,9.0,52.0,582,0,11.0,593,0
12,Nabarangpur,79,Jharigam,215,,,,,,,,78.0,212.0,159.0,9.0,5.0,18.0,3.0,4.0,36.0,524,0,8.0,532,0
12,Nabarangpur,79,Jharigam,216,,,,,,,,93.0,104.0,421.0,13.0,14.0,14.0,11.0,11.0,185.0,866,0,16.0,882,0
12,Nabarangpur,79,Jharigam,217,,,,,,,,111.0,428.0,78.0,5.0,12.0,5.0,9.0,5.0,51.0,704,0,2.0,706,0
12,Nabarangpur,79,Jharigam,218,,,,,,,,109.0,75.0,327.0,5.0,3.0,0.0,9.0,6.0,20.0,554,0,6.0,560,0
12,Nabarangpur,79,Jharigam,219,,,,,,,,36.0,255.0,98.0,4.0,3.0,3.0,0.0,0.0,93.0,492,0,5.0,497,0
12,Nabarangpur,79,Jharigam,220,,,,,,,,165.0,107.0,213.0,8.0,4.0,9.0,7.0,1.0,62.0,576,0,5.0,581,0
12,Nabarangpur,79,Jharigam,221,,,,,,,,115.0,45.0,385.0,4.0,1.0,6.0,9.0,10.0,82.0,657,0,12.0,669,0
12,Nabarangpur,79,Jharigam,222,,,,,,,,283.0,181.0,199.0,4.0,6.0,4.0,4.0,5.0,137.0,823,0,14.0,837,0
12,Nabarangpur,79,Jharigam,223,,,,,,,,161.0,298.0,261.0,10.0,9.0,10.0,5.0,10.0,125.0,889,0,2.0,891,0
12,Nabarangpur,79,Jharigam,224,,,,,,,,149.0,298.0,201.0,12.0,16.0,5.0,11.0,7.0,193.0,892,0,9.0,901,0
12,Nabarangpur,79,Jharigam,225,,,,,,,,196.0,405.0,113.0,10.0,15.0,14.0,5.0,8.0,142.0,908,0,7.0,915,0
12,Nabarangpur,79,Jharigam,226,,,,,,,,330.0,156.0,222.0,12.0,10.0,12.0,8.0,7.0,98.0,855,0,16.0,871,0
12,Nabarangpur,79,Jharigam,227,,,,,,,,60.0,63.0,131.0,3.0,3.0,7.0,4.0,3.0,17.0,291,0,8.0,299,0
12,Nabarangpur,79,Jharigam,228,,,,,,,,126.0,103.0,264.0,11.0,3.0,6.0,5.0,6.0,45.0,569,0,10.0,579,0
12,Nabarangpur,79,Jharigam,229,,,,,,,,133.0,178.0,258.0,6.0,32.0,5.0,12.0,5.0,50.0,679,0,15.0,694,0
12,Nabarangpur,79,Jharigam,230,,,,,,,,267.0,114.0,189.0,8.0,6.0,3.0,7.0,6.0,156.0,756,0,10.0,766,0
12,Nabarangpur,79,Jharigam,231,,,,,,,,156.0,182.0,184.0,15.0,16.0,6.0,4.0,3.0,268.0,834,0,3.0,837,0
12,Nabarangpur,79,Jharigam,232,,,,,,,,202.0,286.0,163.0,2.0,2.0,3.0,5.0,4.0,75.0,742,0,12.0,754,0
12,Nabarangpur,79,Jharigam,233,,,,,,,,174.0,70.0,163.0,5.0,5.0,1.0,3.0,6.0,19.0,446,0,2.0,448,0
12,Nabarangpur,79,Jharigam,234,,,,,,,,294.0,298.0,166.0,10.0,5.0,8.0,10.0,4.0,87.0,882,0,12.0,894,0
12,Nabarangpur,79,Jharigam,235,,,,,,,,167.0,150.0,239.0,7.0,11.0,8.0,6.0,12.0,79.0,679,0,18.0,697,0
12,Nabarangpur,79,Jharigam,236,,,,,,,,242.0,144.0,372.0,10.0,5.0,5.0,5.0,5.0,39.0,827,0,10.0,837,0
12,Nabarangpur,79,Jharigam,237,,,,,,,,230.0,116.0,347.0,13.0,9.0,3.0,7.0,3.0,65.0,793,0,7.0,800,0
12,Nabarangpur,79,Jharigam,238,,,,,,,,344.0,132.0,227.0,7.0,0.0,8.0,9.0,6.0,7.0,740,0,9.0,749,0
12,Nabarangpur,79,Jharigam,239,,,,,,,,150.0,110.0,63.0,6.0,3.0,3.0,8.0,5.0,7.0,355,0,4.0,359,0
12,Nabarangpur,79,Jharigam,240,,,,,,,,118.0,103.0,291.0,5.0,4.0,4.0,6.0,1.0,59.0,591,0,4.0,595,0
12,Nabarangpur,79,Jharigam,241,,,,,,,,236.0,197.0,311.0,11.0,3.0,4.0,4.0,0.0,9.0,775,0,9.0,784,0
12,Nabarangpur,79,Jharigam,242,,,,,,,,192.0,304.0,387.0,9.0,7.0,18.0,9.0,10.0,12.0,948,0,9.0,957,0
12,Nabarangpur,79,Jharigam,243,,,,,,,,157.0,287.0,191.0,4.0,2.0,10.0,3.0,1.0,3.0,658,0,3.0,661,0
12,Nabarangpur,79,Jharigam,244,,,,,,,,137.0,100.0,348.0,6.0,1.0,4.0,3.0,2.0,22.0,623,0,5.0,628,0
12,Nabarangpur,79,Jharigam,245,,,,,,,,223.0,213.0,214.0,7.0,3.0,7.0,7.0,1.0,10.0,685,0,8.0,693,0
12,Nabarangpur,79,Jharigam,246,,,,,,,,159.0,411.0,376.0,7.0,4.0,1.0,5.0,5.0,16.0,984,0,1.0,985,0
12,Nabarangpur,79,Jharigam,247,,,,,,,,297.0,74.0,269.0,4.0,2.0,3.0,1.0,0.0,18.0,668,0,2.0,670,0
12,Nabarangpur,79,Jharigam,248,,,,,,,,231.0,89.0,254.0,4.0,6.0,1.0,2.0,5.0,10.0,602,0,3.0,605,0
12,Nabarangpur,79,Jharigam,249,,,,,,,,256.0,169.0,258.0,5.0,14.0,9.0,13.0,7.0,87.0,818,0,9.0,827,0
12,Nabarangpur,79,Jharigam,250,,,,,,,,401.0,175.0,146.0,15.0,0.0,21.0,3.0,7.0,13.0,781,0,1.0,782,0
12,Nabarangpur,79,Jharigam,251,,,,,,,,191.0,167.0,274.0,10.0,6.0,4.0,5.0,6.0,20.0,683,0,5.0,688,0
12,Nabarangpur,79,Jharigam,252,,,,,,,,149.0,248.0,169.0,4.0,4.0,0.0,2.0,2.0,9.0,587,0,1.0,588,0
12,Nabarangpur,79,Jharigam,253,,,,,,,,59.0,101.0,53.0,1.0,0.0,1.0,1.0,2.0,2.0,220,0,3.0,223,0
12,Nabarangpur,79,Jharigam,254,,,,,,,,127.0,189.0,160.0,8.0,5.0,3.0,10.0,6.0,13.0,521,0,7.0,528,0
12,Nabarangpur,79,Jharigam,255,,,,,,,,299.0,125.0,224.0,6.0,3.0,3.0,9.0,4.0,20.0,693,0,8.0,701,0
12,Nabarangpur,79,Jharigam,256,,,,,,,,153.0,139.0,163.0,8.0,2.0,4.0,7.0,5.0,51.0,532,0,5.0,537,0
12,Nabarangpur,79,Jharigam,257,,,,,,,,63.0,174.0,127.0,2.0,3.0,1.0,3.0,2.0,1.0,376,0,0.0,376,0
12,Nabarangpur,79,Jharigam,258,,,,,,,,228.0,186.0,245.0,2.0,5.0,2.0,4.0,6.0,15.0,693,0,10.0,703,0
12,Nabarangpur,79,Jharigam,259,,,,,,,,255.0,184.0,96.0,2.0,5.0,2.0,4.0,2.0,28.0,578,0,7.0,585,0
12,Nabarangpur,79,Jharigam,260,,,,,,,,363.0,212.0,170.0,5.0,8.0,5.0,4.0,3.0,104.0,874,0,7.0,881,0
12,Nabarangpur,79,Jharigam,261,,,,,,,,240.0,283.0,233.0,6.0,3.0,3.0,10.0,9.0,15.0,802,0,10.0,812,0
12,Nabarangpur,79,Jharigam,262,,,,,,,,98.0,175.0,70.0,2.0,2.0,2.0,4.0,3.0,7.0,363,0,10.0,373,0
12,Nabarangpur,79,Jharigam,263,,,,,,,,236.0,443.0,162.0,10.0,5.0,9.0,7.0,2.0,32.0,906,0,10.0,916,0
12,Nabarangpur,79,Jharigam,264,,,,,,,,236.0,153.0,156.0,3.0,5.0,3.0,1.0,0.0,26.0,583,0,5.0,588,0
12,Nabarangpur,79,Jharigam,265,,,,,,,,347.0,178.0,299.0,2.0,4.0,8.0,7.0,6.0,30.0,881,0,5.0,886,0
12,Nabarangpur,79,Jharigam,266,,,,,,,,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,0,nan,0,0
12,Nabarangpur,79,Jharigam,267,,,,,,,,172.0,238.0,152.0,6.0,2.0,8.0,5.0,4.0,10.0,597,0,12.0,609,0
12,Nabarangpur,79,Jharigam,268,,,,,,,,321.0,15.0,209.0,4.0,0.0,0.0,3.0,7.0,5.0,564,0,6.0,570,0
12,Nabarangpur,79,Jharigam,269,,,,,,,,220.0,127.0,246.0,2.0,4.0,5.0,4.0,9.0,27.0,644,0,8.0,652,0
12,Nabarangpur,79,Jharigam,270,,,,,,,,257.0,124.0,181.0,2.0,1.0,2.0,2.0,2.0,54.0,625,0,12.0,637,0
12,Nabarangpur,79,Jharigam,271,,,,,,,,196.0,44.0,235.0,3.0,7.0,0.0,1.0,5.0,19.0,510,0,3.0,513,0
12,Nabarangpur,79,Jharigam,272,,,,,,,,57.0,96.0,226.0,7.0,4.0,0.0,11.0,1.0,52.0,454,0,3.0,457,0
12,Nabarangpur,79,Jharigam,273,,,,,,,,124.0,202.0,202.0,4.0,10.0,6.0,7.0,4.0,68.0,627,0,5.0,632,0
12,Nabarangpur,79,Jharigam,274,,,,,,,,262.0,81.0,136.0,5.0,10.0,3.0,5.0,5.0,12.0,519,0,9.0,528,0
12,Nabarangpur,79,Jharigam,275,,,,,,,,260.0,101.0,203.0,8.0,10.0,7.0,4.0,8.0,91.0,692,0,12.0,704,0
12,Nabarangpur,79,Jharigam,276,,,,,,,,228.0,134.0,132.0,9.0,4.0,5.0,5.0,5.0,13.0,535,0,8.0,543,0
12,Nabarangpur,79,Jharigam,277,,,,,,,,273.0,199.0,377.0,4.0,9.0,4.0,5.0,5.0,33.0,909,0,3.0,912,0
12,Nabarangpur,79,Jharigam,278,,,,,,,,288.0,301.0,223.0,13.0,6.0,3.0,5.0,2.0,20.0,861,0,2.0,863,0
12,Nabarangpur,79,Jharigam,279,,,,,,,,163.0,225.0,130.0,12.0,2.0,5.0,4.0,2.0,19.0,562,0,2.0,564,0
12,Nabarangpur,79,Jharigam,280,,,,,,,,81.0,54.0,188.0,1.0,4.0,1.0,2.0,3.0,33.0,367,0,4.0,371,0
12,Nabarangpur,79,Jharigam,281,,,,,,,,237.0,147.0,273.0,11.0,5.0,1.0,5.0,4.0,87.0,770,0,4.0,774,0
12,Nabarangpur,79,Jharigam,282,,,,,,,,156.0,136.0,199.0,3.0,0.0,7.0,5.0,1.0,9.0,516,0,1.0,517,0
12,Nabarangpur,79,Jharigam,283,,,,,,,,106.0,239.0,106.0,12.0,0.0,3.0,3.0,1.0,8.0,478,0,6.0,484,0
12,Nabarangpur,79,Jharigam,284,,,,,,,,209.0,176.0,227.0,7.0,0.0,1.0,4.0,7.0,8.0,639,0,4.0,643,0
12,Nabarangpur,79,Jharigam,285,,,,,,,,110.0,290.0,80.0,22.0,4.0,3.0,1.0,1.0,38.0,549,0,1.0,550,0
12,Nabarangpur,79,Jharigam,286,,,,,,,,64.0,51.0,123.0,7.0,6.0,4.0,5.0,4.0,110.0,374,0,6.0,380,0
12,Nabarangpur,79,Jharigam,287,,,,,,,,400.0,146.0,251.0,10.0,18.0,4.0,12.0,7.0,132.0,980,0,10.0,990,0
12,Nabarangpur,79,Jharigam,288,,,,,,,,216.0,87.0,219.0,2.0,7.0,2.0,1.0,3.0,77.0,614,0,3.0,617,0
12,Nabarangpur,79,Jharigam,289,,,,,,,,169.0,173.0,206.0,4.0,10.0,8.0,4.0,6.0,29.0,609,0,8.0,617,0
12,Nabarangpur,79,Jharigam,290,,,,,,,,266.0,153.0,244.0,11.0,7.0,6.0,6.0,3.0,55.0,751,0,0.0,751,0
12,Nabarangpur,79,Jharigam,291,,,,,,,,73.0,232.0,127.0,7.0,5.0,7.0,9.0,10.0,98.0,568,0,3.0,571,0
12,Nabarangpur,79,Jharigam,292,,,,,,,,155.0,220.0,279.0,2.0,8.0,6.0,11.0,2.0,57.0,740,0,8.0,748,0
12,Nabarangpur,79,Jharigam,293,,,,,,,,307.0,225.0,310.0,5.0,2.0,5.0,7.0,3.0,13.0,877,0,6.0,883,0
