pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,No. ofValid Votes,No. ofrejected votes (Test,"Votes for""NOTA""option",No. oftende red votes,Total Votes
20,Berhampur,139,Mohana,249,,,,,,,,58.0,107.0,229.0,35.0,4.0,433.0,0.0,2.0,0.0,435.0
20,Berhampur,139,Mohana,250,,,,,,,,81.0,278.0,156.0,18.0,7.0,540.0,0.0,5.0,0.0,545.0
20,Berhampur,139,Mohana,251,,,,,,,,149.0,102.0,200.0,89.0,8.0,548.0,0.0,14.0,0.0,562.0
20,Berhampur,139,Mohana,252,,,,,,,,140.0,139.0,276.0,43.0,27.0,625.0,0.0,31.0,0.0,656.0
20,Berhampur,139,Mohana,253,,,,,,,,92.0,77.0,186.0,31.0,12.0,398.0,0.0,17.0,0.0,415.0
20,Berhampur,139,Mohana,254,,,,,,,,18.0,190.0,57.0,3.0,0.0,268.0,0.0,2.0,0.0,270.0
20,Berhampur,139,Mohana,255,,,,,,,,195.0,70.0,299.0,59.0,20.0,643.0,0.0,21.0,0.0,664.0
20,Berhampur,139,Mohana,256,,,,,,,,278.0,30.0,122.0,81.0,5.0,516.0,0.0,1.0,0.0,517.0
20,Berhampur,139,Mohana,257,,,,,,,,277.0,10.0,208.0,184.0,2.0,681.0,0.0,3.0,0.0,684.0
20,Berhampur,139,Mohana,258,,,,,,,,292.0,14.0,363.0,92.0,10.0,771.0,0.0,22.0,0.0,793.0
20,Berhampur,139,Mohana,259,,,,,,,,261.0,141.0,146.0,86.0,18.0,652.0,0.0,30.0,0.0,682.0
20,Berhampur,139,Mohana,260,,,,,,,,159.0,9.0,456.0,66.0,8.0,698.0,0.0,3.0,0.0,701.0
20,Berhampur,139,Mohana,261,,,,,,,,104.0,51.0,266.0,19.0,8.0,448.0,0.0,32.0,0.0,480.0
20,Berhampur,139,Mohana,262,,,,,,,,225.0,11.0,117.0,26.0,7.0,386.0,0.0,26.0,0.0,412.0
20,Berhampur,139,Mohana,263,,,,,,,,142.0,74.0,329.0,80.0,35.0,660.0,0.0,37.0,0.0,697.0
20,Berhampur,139,Mohana,264,,,,,,,,136.0,11.0,69.0,38.0,5.0,259.0,0.0,4.0,0.0,263.0
20,Berhampur,139,Mohana,265,,,,,,,,145.0,11.0,261.0,234.0,23.0,674.0,0.0,62.0,0.0,736.0
20,Berhampur,139,Mohana,266,,,,,,,,13.0,4.0,266.0,84.0,10.0,377.0,0.0,7.0,0.0,384.0
20,Berhampur,139,Mohana,267,,,,,,,,80.0,81.0,226.0,84.0,9.0,480.0,0.0,10.0,0.0,490.0
20,Berhampur,139,Mohana,268,,,,,,,,144.0,10.0,71.0,96.0,7.0,328.0,0.0,13.0,0.0,341.0
20,Berhampur,139,Mohana,269,,,,,,,,58.0,40.0,164.0,41.0,49.0,352.0,0.0,1.0,0.0,353.0
20,Berhampur,139,Mohana,270,,,,,,,,72.0,72.0,166.0,150.0,13.0,473.0,0.0,22.0,0.0,495.0
20,Berhampur,139,Mohana,271,,,,,,,,183.0,23.0,356.0,43.0,11.0,616.0,0.0,11.0,0.0,627.0
20,Berhampur,139,Mohana,272,,,,,,,,50.0,9.0,395.0,38.0,3.0,495.0,0.0,7.0,0.0,502.0
20,Berhampur,139,Mohana,273,,,,,,,,230.0,151.0,274.0,145.0,4.0,804.0,0.0,5.0,0.0,809.0
20,Berhampur,139,Mohana,274,,,,,,,,370.0,21.0,152.0,65.0,19.0,627.0,0.0,70.0,0.0,697.0
20,Berhampur,139,Mohana,275,,,,,,,,384.0,15.0,241.0,29.0,4.0,673.0,0.0,20.0,0.0,693.0
20,Berhampur,139,Mohana,276,,,,,,,,71.0,23.0,417.0,35.0,14.0,560.0,0.0,38.0,0.0,598.0
20,Berhampur,139,Mohana,277,,,,,,,,196.0,18.0,126.0,112.0,11.0,463.0,0.0,32.0,0.0,495.0
20,Berhampur,139,Mohana,278,,,,,,,,100.0,14.0,313.0,135.0,18.0,580.0,0.0,7.0,0.0,587.0
20,Berhampur,139,Mohana,279,,,,,,,,105.0,14.0,451.0,69.0,21.0,660.0,0.0,30.0,0.0,690.0
20,Berhampur,139,Mohana,280,,,,,,,,109.0,24.0,321.0,53.0,9.0,516.0,0.0,5.0,0.0,521.0
20,Berhampur,139,Mohana,281,,,,,,,,114.0,7.0,562.0,36.0,9.0,728.0,0.0,21.0,0.0,749.0
20,Berhampur,139,Mohana,282,,,,,,,,110.0,17.0,430.0,74.0,18.0,649.0,0.0,19.0,0.0,668.0
20,Berhampur,139,Mohana,283,,,,,,,,158.0,24.0,416.0,84.0,21.0,703.0,0.0,24.0,0.0,727.0
20,Berhampur,139,Mohana,284,,,,,,,,154.0,23.0,379.0,172.0,25.0,753.0,0.0,17.0,0.0,770.0
20,Berhampur,139,Mohana,285,,,,,,,,73.0,46.0,317.0,72.0,37.0,545.0,0.0,62.0,0.0,607.0
20,Berhampur,139,Mohana,286,,,,,,,,358.0,15.0,154.0,41.0,15.0,583.0,0.0,15.0,0.0,598.0
20,Berhampur,139,Mohana,287,,,,,,,,488.0,101.0,76.0,22.0,6.0,693.0,0.0,3.0,0.0,696.0
20,Berhampur,139,Mohana,288,,,,,,,,5.0,5.0,366.0,34.0,8.0,418.0,0.0,10.0,0.0,428.0
20,Berhampur,139,Mohana,289,,,,,,,,212.0,10.0,96.0,9.0,8.0,335.0,0.0,30.0,0.0,365.0
