pc_id,pc_name,ac_id,ac_name,Serial No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total Valid Votes,No fo rejected Votes(Test votes),Votes for NOTA Option,Total,No of Tendered votes
7,Bhadrak,45,Bhandaripokhari,104,,,,,,,,349,3,3,299,173,0,827,0,3,830,0.0
7,Bhadrak,45,Bhandaripokhari,105,,,,,,,,295,3,1,418,139,0,856,0,2,858,0.0
7,Bhadrak,45,Bhandaripokhari,106,,,,,,,,227,3,2,228,86,2,548,0,3,551,0.0
7,Bhadrak,45,Bhandaripokhari,107,,,,,,,,175,0,0,275,43,1,494,0,0,494,0.0
7,Bhadrak,45,Bhandaripokhari,108,,,,,,,,309,0,3,401,71,0,784,0,3,787,0.0
7,Bhadrak,45,Bhandaripokhari,109,,,,,,,,361,0,2,400,106,0,869,0,1,870,0.0
7,Bhadrak,45,Bhandaripokhari,110,,,,,,,,226,1,4,481,53,0,765,0,9,774,0.0
7,Bhadrak,45,Bhandaripokhari,111,,,,,,,,262,2,0,289,58,2,613,0,0,613,0.0
7,Bhadrak,45,Bhandaripokhari,112,,,,,,,,294,4,0,238,138,1,675,0,3,678,0.0
7,Bhadrak,45,Bhandaripokhari,113,,,,,,,,280,3,3,218,81,1,586,0,1,587,0.0
7,Bhadrak,45,Bhandaripokhari,114,,,,,,,,325,1,5,345,171,1,848,0,6,854,0.0
7,Bhadrak,45,Bhandaripokhari,115,,,,,,,,374,3,8,295,129,1,810,0,5,815,0.0
7,Bhadrak,45,Bhandaripokhari,116,,,,,,,,517,5,7,241,147,4,921,0,7,928,0.0
7,Bhadrak,45,Bhandaripokhari,117,,,,,,,,239,2,2,222,112,2,579,0,2,581,0.0
7,Bhadrak,45,Bhandaripokhari,118,,,,,,,,237,2,4,189,91,1,524,0,1,525,0.0
7,Bhadrak,45,Bhandaripokhari,119,,,,,,,,269,7,2,231,73,4,586,0,7,593,0.0
7,Bhadrak,45,Bhandaripokhari,120,,,,,,,,450,4,5,394,102,3,958,0,12,970,0.0
7,Bhadrak,45,Bhandaripokhari,121,,,,,,,,293,1,3,214,50,0,561,0,3,564,0.0
7,Bhadrak,45,Bhandaripokhari,122,,,,,,,,357,3,4,164,58,1,587,0,1,588,0.0
7,Bhadrak,45,Bhandaripokhari,123,,,,,,,,444,2,2,270,99,2,819,0,1,820,0.0
7,Bhadrak,45,Bhandaripokhari,124,,,,,,,,413,3,0,282,88,1,787,0,3,790,0.0
7,Bhadrak,45,Bhandaripokhari,125,,,,,,,,530,3,1,155,37,0,726,0,2,728,0.0
7,Bhadrak,45,Bhandaripokhari,126,,,,,,,,500,1,0,359,13,1,874,0,2,876,0.0
7,Bhadrak,45,Bhandaripokhari,127,,,,,,,,369,1,3,326,26,0,725,0,1,726,0.0
7,Bhadrak,45,Bhandaripokhari,128,,,,,,,,367,7,9,119,36,6,544,0,7,551,0.0
7,Bhadrak,45,Bhandaripokhari,129,,,,,,,,356,3,0,393,142,3,897,0,4,901,0.0
7,Bhadrak,45,Bhandaripokhari,130,,,,,,,,415,2,1,468,241,3,1130,0,7,1137,0.0
7,Bhadrak,45,Bhandaripokhari,131,,,,,,,,301,0,0,350,163,1,815,0,8,823,0.0
7,Bhadrak,45,Bhandaripokhari,132,,,,,,,,243,2,4,406,139,3,797,0,4,801,0.0
7,Bhadrak,45,Bhandaripokhari,133,,,,,,,,310,3,5,405,70,0,793,0,1,794,0.0
7,Bhadrak,45,Bhandaripokhari,134,,,,,,,,247,0,0,322,56,0,625,0,0,625,0.0
7,Bhadrak,45,Bhandaripokhari,135,,,,,,,,487,14,11,403,54,9,978,0,5,983,0.0
7,Bhadrak,45,Bhandaripokhari,136,,,,,,,,147,3,3,448,45,3,649,0,2,651,0.0
7,Bhadrak,45,Bhandaripokhari,137,,,,,,,,505,3,5,481,145,0,1139,0,6,1145,0.0
7,Bhadrak,45,Bhandaripokhari,138,,,,,,,,421,4,5,288,89,4,811,0,6,817,0.0
7,Bhadrak,45,Bhandaripokhari,139,,,,,,,,312,1,8,237,66,1,625,0,9,634,0.0
7,Bhadrak,45,Bhandaripokhari,140,,,,,,,,310,3,0,171,78,1,563,0,1,564,0.0
7,Bhadrak,45,Bhandaripokhari,141,,,,,,,,491,3,1,267,48,2,812,0,1,813,0.0
7,Bhadrak,45,Bhandaripokhari,142,,,,,,,,302,3,2,467,129,1,904,0,1,905,0.0
7,Bhadrak,45,Bhandaripokhari,143,,,,,,,,249,3,1,265,34,0,552,0,3,555,0.0
7,Bhadrak,45,Bhandaripokhari,144,,,,,,,,479,2,4,482,88,0,1055,0,5,1060,0.0
7,Bhadrak,45,Bhandaripokhari,145,,,,,,,,392,1,1,283,34,0,711,0,3,714,0.0
7,Bhadrak,45,Bhandaripokhari,146,,,,,,,,215,0,0,183,22,1,421,0,0,421,0.0
7,Bhadrak,45,Bhandaripokhari,147,,,,,,,,280,2,0,175,95,2,554,0,3,557,0.0
7,Bhadrak,45,Bhandaripokhari,148,,,,,,,,241,1,0,343,45,3,633,0,0,633,0.0
7,Bhadrak,45,Bhandaripokhari,149,,,,,,,,84,1,0,281,117,1,484,0,0,484,0.0
7,Bhadrak,45,Bhandaripokhari,150,,,,,,,,257,4,1,257,58,2,579,0,4,583,0.0
7,Bhadrak,45,Bhandaripokhari,151,,,,,,,,167,1,1,195,42,0,406,0,0,406,0.0
7,Bhadrak,45,Bhandaripokhari,152,,,,,,,,0,0,0,0,0,0,0,0,0,0,0.0
7,Bhadrak,45,Bhandaripokhari,153,,,,,,,,341,1,2,452,47,0,843,0,2,845,0.0
