pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Unnamed: 10,Total Valid Votes,No. of Rejected Votes,NOTA,Total,No. of tendered votes
3,Sambalpur,17,Sambalpur,nan,,,,,,,,nan,"Dr. Aswini 
Kumar 
Pujahari","Jaya 
Narayan 
Mishra",Dilip Singh,"Dr. 
Raseswari 
Panigrahi","Laxman 
Kumar 
Bhoi","Jayabrata 
Dey","Jayashree 
Mishra","Prabhas 
Pruseth","Pragnya 
Patnaik",nan,nan,nan,nan,nan
3,Sambalpur,17,Sambalpur,110.0,,,,,,,,Saralakani - 2,71,284,13,275,4,24,1,3,9,684.0,0.0,8.0,692.0,0.0
3,Sambalpur,17,Sambalpur,111.0,,,,,,,,Saralakani - 4,78,300,4,236,3,29,2,0,2,654.0,0.0,11.0,665.0,0.0
3,Sambalpur,17,Sambalpur,112.0,,,,,,,,Sakshigopinath - 160,nan,358,10,300,7,47,3,0,4,789.0,0.0,6.0,795.0,0.0
3,Sambalpur,17,Sambalpur,113.0,,,,,,,,Sakshigopinath - 255,nan,256,4,243,2,89,0,0,0,649.0,0.0,6.0,655.0,0.0
3,Sambalpur,17,Sambalpur,114.0,,,,,,,,Sakshigopinath - 441,nan,340,5,220,2,77,0,2,3,690.0,0.0,4.0,694.0,0.0
3,Sambalpur,17,Sambalpur,115.0,,,,,,,,Sakshigopinath -342,nan,282,0,267,0,70,2,1,10,674.0,0.0,2.0,676.0,0.0
3,Sambalpur,17,Sambalpur,116.0,,,,,,,,Ashapali - 1,46,269,1,183,1,7,0,0,7,514.0,0.0,12.0,526.0,0.0
3,Sambalpur,17,Sambalpur,117.0,,,,,,,,Ashapali - 1,57,224,5,271,0,5,1,3,2,568.0,0.0,3.0,571.0,0.0
3,Sambalpur,17,Sambalpur,118.0,,,,,,,,Ashapali - 2,90,237,2,326,1,5,2,1,1,665.0,0.0,8.0,673.0,0.0
3,Sambalpur,17,Sambalpur,119.0,,,,,,,,Ashapali - 3,93,336,6,296,2,7,1,5,3,749.0,0.0,15.0,764.0,0.0
3,Sambalpur,17,Sambalpur,120.0,,,,,,,,Ashapali - 5,56,293,10,321,5,16,2,3,1,707.0,0.0,6.0,713.0,0.0
3,Sambalpur,17,Sambalpur,121.0,,,,,,,,Ashapali - 4,78,289,12,324,0,15,3,3,6,730.0,0.0,25.0,755.0,0.0
3,Sambalpur,17,Sambalpur,122.0,,,,,,,,Modipada - 1,40,327,8,425,2,4,1,2,14,823.0,0.0,9.0,832.0,0.0
3,Sambalpur,17,Sambalpur,123.0,,,,,,,,Modipada - 2,37,309,4,325,1,5,2,0,6,689.0,0.0,9.0,698.0,0.0
3,Sambalpur,17,Sambalpur,124.0,,,,,,,,Modipada - 3,41,344,27,286,3,9,3,2,3,718.0,0.0,5.0,723.0,0.0
3,Sambalpur,17,Sambalpur,125.0,,,,,,,,Modipada - 4,26,281,4,387,0,4,1,1,3,707.0,0.0,5.0,712.0,0.0
3,Sambalpur,17,Sambalpur,126.0,,,,,,,,Modipada - 5,28,252,1,321,2,4,2,1,6,617.0,0.0,9.0,626.0,0.0
3,Sambalpur,17,Sambalpur,127.0,,,,,,,,Modipada - 6,31,251,4,245,3,6,4,2,5,551.0,0.0,3.0,554.0,0.0
3,Sambalpur,17,Sambalpur,128.0,,,,,,,,Modipada - 8,20,342,1,287,0,10,0,4,1,665.0,0.0,5.0,670.0,0.0
3,Sambalpur,17,Sambalpur,129.0,,,,,,,,Modipada - 7,28,414,2,344,2,11,1,0,1,803.0,0.0,4.0,807.0,0.0
3,Sambalpur,17,Sambalpur,130.0,,,,,,,,Cheruapada - 1 26,nan,527,5,367,2,8,1,4,3,943.0,0.0,10.0,953.0,0.0
3,Sambalpur,17,Sambalpur,131.0,,,,,,,,Cheruapada - 2 36,nan,326,7,313,1,7,2,0,2,694.0,0.0,6.0,700.0,0.0
3,Sambalpur,17,Sambalpur,132.0,,,,,,,,Cheruapada - 4 20,nan,206,10,203,0,6,0,0,4,449.0,0.0,3.0,452.0,0.0
