pc_id,pc_name,ac_id,ac_name,Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total no of valid votes,No of rejected votes,NOTA,Total,No of tendered votes
3,Sambalpur,19,Deogarh,295,,,,,,,,100,4,237,164,2,3,0,0,1,1,0,1,3,516,nan,0,516,nan
3,Sambalpur,19,Deogarh,296,,,,,,,,62,7,197,189,1,2,1,1,3,0,1,2,0,466,nan,3,469,nan
3,Sambalpur,19,Deogarh,297,,,,,,,,82,12,348,181,3,2,0,1,0,1,3,6,3,642,nan,6,648,nan
3,Sambalpur,19,Deogarh,298,,,,,,,,137,7,227,196,2,1,0,1,0,3,1,2,4,581,nan,8,589,nan
3,Sambalpur,19,Deogarh,299,,,,,,,,58,8,319,200,7,6,0,1,0,1,3,1,1,605,nan,2,607,nan
3,Sambalpur,19,Deogarh,300,,,,,,,,39,10,242,250,5,2,6,4,4,2,4,4,6,578,nan,14,592,nan
3,Sambalpur,19,Deogarh,301,,,,,,,,97,6,251,205,1,1,0,1,0,1,3,1,2,569,nan,11,580,nan
3,Sambalpur,19,Deogarh,302,,,,,,,,11,4,91,52,1,1,0,1,1,1,1,0,1,165,nan,10,175,nan
3,Sambalpur,19,Deogarh,303,,,,,,,,41,3,257,129,3,1,3,2,4,7,3,5,11,469,nan,15,484,nan
3,Sambalpur,19,Deogarh,304,,,,,,,,58,6,330,220,3,3,3,0,1,1,2,2,3,632,nan,0,632,nan
3,Sambalpur,19,Deogarh,305,,,,,,,,24,4,175,97,4,4,0,1,6,1,1,1,0,318,nan,6,324,nan
3,Sambalpur,19,Deogarh,306,,,,,,,,55,7,453,173,3,0,1,4,1,3,1,4,2,707,nan,11,718,nan
3,Sambalpur,19,Deogarh,307,,,,,,,,53,5,271,268,2,0,2,0,2,0,1,5,0,609,nan,3,612,nan
3,Sambalpur,19,Deogarh,308,,,,,,,,69,5,134,153,1,2,1,2,3,0,6,3,4,383,nan,11,394,nan
3,Sambalpur,19,Deogarh,309,,,,,,,,39,6,206,242,3,6,1,0,6,3,0,2,3,517,nan,6,523,nan
3,Sambalpur,19,Deogarh,310,,,,,,,,140,7,208,213,5,0,1,0,1,0,0,0,1,576,nan,1,577,nan
3,Sambalpur,19,Deogarh,311,,,,,,,,4,0,108,127,0,0,0,0,1,0,0,0,2,242,nan,1,243,nan
3,Sambalpur,19,Deogarh,312,,,,,,,,28,2,113,132,0,0,0,0,2,0,0,2,1,280,nan,0,280,nan
3,Sambalpur,19,Deogarh,313,,,,,,,,65,14,559,357,2,2,2,1,3,3,2,3,6,1019,nan,2,1021,nan
