pc_id,pc_name,ac_id,ac_name,Sl No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of Valid Votes,No.of Rejected Votes (Test Votes),Votes for NOTA Option,Total,No.of Tendered Votes
21,Koraput,143,Rayagada,157,,,,,,,,6.0,100.0,278.0,172.0,3.0,1.0,3.0,1.0,564,0,4.0,568,0
21,Koraput,143,Rayagada,158,,,,,,,,4.0,11.0,477.0,118.0,2.0,2.0,0.0,3.0,617,0,4.0,621,0
21,Koraput,143,Rayagada,159,,,,,,,,13.0,31.0,501.0,199.0,7.0,0.0,3.0,2.0,756,0,2.0,758,0
21,Koraput,143,Rayagada,160,,,,,,,,8.0,23.0,719.0,214.0,1.0,1.0,4.0,2.0,972,0,8.0,980,0
21,Koraput,143,Rayagada,161,,,,,,,,9.0,159.0,253.0,259.0,3.0,2.0,4.0,5.0,694,0,19.0,713,0
21,Koraput,143,Rayagada,162,,,,,,,,8.0,138.0,253.0,93.0,1.0,3.0,1.0,0.0,497,0,4.0,501,0
21,Koraput,143,Rayagada,163,,,,,,,,14.0,208.0,312.0,144.0,2.0,0.0,3.0,0.0,683,0,3.0,686,0
21,Koraput,143,Rayagada,164,,,,,,,,20.0,232.0,292.0,177.0,5.0,4.0,4.0,2.0,736,0,9.0,745,0
21,Koraput,143,Rayagada,165,,,,,,,,17.0,489.0,298.0,229.0,3.0,1.0,9.0,7.0,1053,0,12.0,1065,0
21,Koraput,143,Rayagada,166,,,,,,,,17.0,332.0,390.0,152.0,8.0,8.0,6.0,3.0,916,0,14.0,930,0
21,Koraput,143,Rayagada,167,,,,,,,,8.0,296.0,345.0,262.0,2.0,4.0,4.0,0.0,921,0,6.0,927,0
21,Koraput,143,Rayagada,168,,,,,,,,11.0,350.0,344.0,166.0,4.0,5.0,6.0,3.0,889,0,8.0,897,0
21,Koraput,143,Rayagada,169,,,,,,,,8.0,263.0,272.0,289.0,2.0,1.0,2.0,1.0,838,0,12.0,850,0
21,Koraput,143,Rayagada,170,,,,,,,,7.0,72.0,195.0,102.0,2.0,1.0,1.0,0.0,380,0,4.0,384,0
21,Koraput,143,Rayagada,171,,,,,,,,2.0,61.0,274.0,74.0,1.0,0.0,0.0,0.0,412,0,0.0,412,0
21,Koraput,143,Rayagada,172,,,,,,,,2.0,190.0,375.0,132.0,6.0,7.0,1.0,3.0,716,0,4.0,720,0
21,Koraput,143,Rayagada,173,,,,,,,,3.0,131.0,340.0,170.0,2.0,3.0,4.0,1.0,654,0,1.0,655,0
