pc_id,pc_name,ac_id,ac_name,Serial Number of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total Valid Votes,Total,No. of tendered votes,Serial Number of Polling StationNo. of,Votes for NOTA option
5,Mayurbhanj,34,Baripada,141,,,,,,,,196.0,2.0,2.0,1.0,3.0,2.0,3.0,64.0,119.0,21.0,4.0,2.0,1.0,420,425,nan,nan,5.0
5,Mayurbhanj,34,Baripada,142,,,,,,,,198.0,2.0,2.0,1.0,4.0,4.0,88.0,194.0,236.0,58.0,1.0,4.0,1.0,793,802,nan,nan,9.0
5,Mayurbhanj,34,Baripada,143,,,,,,,,157.0,3.0,2.0,0.0,0.0,2.0,10.0,60.0,92.0,12.0,2.0,1.0,0.0,341,341,nan,nan,0.0
5,Mayurbhanj,34,Baripada,144,,,,,,,,136.0,4.0,2.0,1.0,4.0,7.0,9.0,177.0,148.0,150.0,3.0,5.0,1.0,647,652,nan,nan,5.0
5,Mayurbhanj,34,Baripada,145,,,,,,,,157.0,6.0,3.0,3.0,2.0,5.0,2.0,173.0,173.0,12.0,6.0,2.0,2.0,546,557,nan,nan,11.0
5,Mayurbhanj,34,Baripada,146,,,,,,,,237.0,3.0,1.0,3.0,3.0,12.0,3.0,85.0,207.0,13.0,1.0,0.0,2.0,570,575,nan,nan,5.0
5,Mayurbhanj,34,Baripada,147,,,,,,,,294.0,0.0,5.0,7.0,2.0,2.0,8.0,70.0,373.0,9.0,9.0,2.0,2.0,783,785,nan,nan,2.0
5,Mayurbhanj,34,Baripada,148,,,,,,,,170.0,1.0,1.0,0.0,0.0,2.0,1.0,16.0,40.0,3.0,90.0,0.0,1.0,325,327,nan,nan,2.0
5,Mayurbhanj,34,Baripada,149,,,,,,,,244.0,1.0,2.0,8.0,3.0,7.0,4.0,110.0,480.0,7.0,3.0,8.0,4.0,881,887,nan,nan,6.0
5,Mayurbhanj,34,Baripada,150,,,,,,,,210.0,1.0,2.0,3.0,3.0,2.0,2.0,87.0,265.0,12.0,5.0,5.0,2.0,599,607,nan,nan,8.0
5,Mayurbhanj,34,Baripada,151,,,,,,,,125.0,6.0,4.0,3.0,3.0,4.0,8.0,237.0,151.0,7.0,2.0,1.0,1.0,552,555,nan,nan,3.0
5,Mayurbhanj,34,Baripada,152,,,,,,,,196.0,3.0,0.0,3.0,6.0,7.0,3.0,93.0,233.0,7.0,2.0,1.0,2.0,556,563,nan,nan,7.0
5,Mayurbhanj,34,Baripada,153,,,,,,,,421.0,1.0,0.0,2.0,0.0,4.0,3.0,68.0,287.0,27.0,0.0,0.0,1.0,814,816,nan,nan,2.0
5,Mayurbhanj,34,Baripada,154,,,,,,,,284.0,7.0,2.0,2.0,1.0,6.0,12.0,60.0,229.0,40.0,1.0,1.0,0.0,645,650,nan,nan,5.0
5,Mayurbhanj,34,Baripada,155,,,,,,,,140.0,1.0,0.0,4.0,3.0,12.0,63.0,136.0,223.0,106.0,1.0,3.0,3.0,695,699,nan,nan,4.0
5,Mayurbhanj,34,Baripada,156,,,,,,,,194.0,12.0,7.0,10.0,6.0,10.0,37.0,152.0,236.0,125.0,9.0,3.0,5.0,806,817,nan,nan,11.0
5,Mayurbhanj,34,Baripada,157,,,,,,,,175.0,5.0,5.0,1.0,2.0,14.0,17.0,302.0,222.0,129.0,2.0,5.0,2.0,881,884,nan,nan,3.0
5,Mayurbhanj,34,Baripada,158,,,,,,,,66.0,2.0,6.0,1.0,3.0,5.0,12.0,85.0,92.0,55.0,2.0,3.0,0.0,332,337,nan,nan,5.0
5,Mayurbhanj,34,Baripada,159,,,,,,,,119.0,0.0,0.0,2.0,0.0,8.0,4.0,77.0,126.0,13.0,3.0,26.0,0.0,378,380,nan,nan,2.0
5,Mayurbhanj,34,Baripada,160,,,,,,,,367.0,2.0,4.0,1.0,3.0,7.0,17.0,133.0,173.0,48.0,2.0,6.0,1.0,764,769,nan,nan,5.0
5,Mayurbhanj,34,Baripada,161,,,,,,,,158.0,3.0,1.0,4.0,3.0,14.0,47.0,204.0,102.0,109.0,4.0,4.0,5.0,658,671,nan,nan,13.0
5,Mayurbhanj,34,Baripada,162,,,,,,,,240.0,0.0,0.0,1.0,1.0,6.0,2.0,81.0,236.0,26.0,2.0,3.0,2.0,600,602,nan,nan,2.0
5,Mayurbhanj,34,Baripada,163,,,,,,,,161.0,1.0,2.0,1.0,0.0,4.0,2.0,86.0,46.0,7.0,3.0,0.0,1.0,314,317,nan,nan,3.0
5,Mayurbhanj,34,Baripada,164,,,,,,,,195.0,1.0,1.0,1.0,1.0,2.0,1.0,36.0,131.0,14.0,0.0,0.0,0.0,383,383,nan,nan,0.0
5,Mayurbhanj,34,Baripada,165,,,,,,,,241.0,2.0,1.0,1.0,2.0,12.0,2.0,148.0,300.0,26.0,0.0,4.0,2.0,741,744,nan,nan,3.0
5,Mayurbhanj,34,Baripada,166,,,,,,,,349.0,2.0,2.0,0.0,1.0,9.0,1.0,131.0,264.0,7.0,1.0,3.0,0.0,770,781,nan,nan,11.0
5,Mayurbhanj,34,Baripada,167,,,,,,,,382.0,5.0,7.0,4.0,7.0,12.0,2.0,59.0,314.0,46.0,2.0,6.0,5.0,851,865,nan,nan,14.0
5,Mayurbhanj,34,Baripada,168,,,,,,,,172.0,0.0,0.0,3.0,0.0,2.0,0.0,54.0,181.0,1.0,0.0,0.0,0.0,413,416,nan,nan,3.0
5,Mayurbhanj,34,Baripada,169,,,,,,,,266.0,2.0,4.0,0.0,2.0,7.0,3.0,117.0,239.0,15.0,1.0,2.0,3.0,661,663,nan,nan,2.0
5,Mayurbhanj,34,Baripada,170,,,,,,,,37.0,0.0,3.0,2.0,4.0,9.0,7.0,67.0,199.0,145.0,1.0,1.0,0.0,475,480,nan,nan,5.0
5,Mayurbhanj,34,Baripada,171,,,,,,,,241.0,4.0,2.0,5.0,9.0,30.0,1.0,113.0,232.0,29.0,7.0,7.0,3.0,683,691,nan,nan,8.0
5,Mayurbhanj,34,Baripada,172,,,,,,,,420.0,1.0,1.0,2.0,2.0,8.0,1.0,114.0,349.0,10.0,1.0,3.0,1.0,913,918,nan,nan,5.0
5,Mayurbhanj,34,Baripada,173,,,,,,,,266.0,1.0,0.0,2.0,0.0,4.0,1.0,44.0,171.0,2.0,2.0,0.0,0.0,493,493,nan,nan,0.0
5,Mayurbhanj,34,Baripada,174,,,,,,,,100.0,1.0,1.0,0.0,2.0,5.0,1.0,199.0,262.0,5.0,1.0,0.0,1.0,578,582,nan,nan,4.0
5,Mayurbhanj,34,Baripada,175,,,,,,,,270.0,0.0,4.0,2.0,2.0,15.0,3.0,76.0,203.0,100.0,3.0,2.0,2.0,682,689,nan,nan,7.0
5,Mayurbhanj,34,Baripada,176,,,,,,,,212.0,7.0,3.0,4.0,4.0,9.0,9.0,218.0,209.0,111.0,7.0,3.0,2.0,798,807,nan,nan,9.0
5,Mayurbhanj,34,Baripada,177,,,,,,,,155.0,2.0,0.0,1.0,5.0,6.0,2.0,179.0,168.0,8.0,1.0,3.0,1.0,531,535,nan,nan,4.0
5,Mayurbhanj,34,Baripada,178,,,,,,,,168.0,1.0,1.0,0.0,5.0,2.0,25.0,199.0,127.0,37.0,3.0,0.0,0.0,568,569,nan,nan,1.0
5,Mayurbhanj,34,Baripada,179,,,,,,,,329.0,0.0,3.0,1.0,4.0,7.0,0.0,117.0,192.0,22.0,2.0,3.0,0.0,680,684,nan,nan,4.0
5,Mayurbhanj,34,Baripada,180,,,,,,,,287.0,0.0,2.0,2.0,0.0,2.0,1.0,31.0,240.0,12.0,5.0,2.0,2.0,586,588,nan,nan,2.0
