pc_id,pc_name,ac_id,ac_name,Booth,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of Valid Votes,No.of rejected Votes (Test votes),Votes for NOTA option,Total,No. of Tendered Votes
13,Kandhamal,86,G. Udayagiri,1,,,,,,,,20,8,445,270,7,4,754,0,2,756,0
13,Kandhamal,86,G. Udayagiri,2,,,,,,,,37,3,213,223,5,0,481,0,3,484,0
13,Kandhamal,86,G. Udayagiri,3,,,,,,,,48,3,335,166,5,7,564,0,1,565,0
13,Kandhamal,86,G. Udayagiri,4,,,,,,,,14,9,222,716,31,14,1006,0,22,1028,0
13,Kandhamal,86,G. Udayagiri,5,,,,,,,,30,6,355,421,35,12,859,0,5,864,0
13,Kandhamal,86,G. Udayagiri,6,,,,,,,,23,10,485,308,13,6,845,0,13,858,0
13,Kandhamal,86,G. Udayagiri,7,,,,,,,,47,8,325,250,19,11,660,0,4,664,0
13,Kandhamal,86,G. Udayagiri,8,,,,,,,,23,6,252,368,7,4,660,0,6,666,0
13,Kandhamal,86,G. Udayagiri,9,,,,,,,,39,3,114,204,6,4,370,0,2,372,0
13,Kandhamal,86,G. Udayagiri,10,,,,,,,,48,7,376,390,4,3,828,0,2,830,0
13,Kandhamal,86,G. Udayagiri,11,,,,,,,,60,1,251,240,4,2,558,0,4,562,0
13,Kandhamal,86,G. Udayagiri,12,,,,,,,,24,8,362,332,6,5,737,0,8,745,0
13,Kandhamal,86,G. Udayagiri,13,,,,,,,,21,7,264,275,5,1,573,0,5,578,0
13,Kandhamal,86,G. Udayagiri,14,,,,,,,,20,4,465,365,10,8,872,0,10,882,0
13,Kandhamal,86,G. Udayagiri,15,,,,,,,,24,8,284,324,3,3,646,0,7,653,0
13,Kandhamal,86,G. Udayagiri,16,,,,,,,,14,2,272,370,0,1,659,0,7,666,0
13,Kandhamal,86,G. Udayagiri,17,,,,,,,,28,3,283,214,6,1,535,0,7,542,0
13,Kandhamal,86,G. Udayagiri,18,,,,,,,,14,6,274,399,2,2,697,0,6,703,0
13,Kandhamal,86,G. Udayagiri,19,,,,,,,,15,13,408,414,9,4,863,0,8,871,0
13,Kandhamal,86,G. Udayagiri,20,,,,,,,,13,7,309,265,2,5,601,0,5,606,0
13,Kandhamal,86,G. Udayagiri,22,,,,,,,,27,1,248,343,2,2,623,0,7,630,0
13,Kandhamal,86,G. Udayagiri,23,,,,,,,,7,0,188,378,1,2,576,0,2,578,0
13,Kandhamal,86,G. Udayagiri,24,,,,,,,,11,4,276,358,1,12,662,0,4,666,0
13,Kandhamal,86,G. Udayagiri,25,,,,,,,,29,1,423,430,6,45,934,0,4,938,0
13,Kandhamal,86,G. Udayagiri,26,,,,,,,,25,5,406,460,6,8,910,0,10,920,0
13,Kandhamal,86,G. Udayagiri,27,,,,,,,,19,9,425,548,1,8,1010,0,7,1017,0
13,Kandhamal,86,G. Udayagiri,28,,,,,,,,12,5,712,244,4,8,985,0,15,1000,0
13,Kandhamal,86,G. Udayagiri,29,,,,,,,,27,2,406,341,4,2,782,0,6,788,0
13,Kandhamal,86,G. Udayagiri,30,,,,,,,,26,7,384,246,4,4,671,0,1,672,0
13,Kandhamal,86,G. Udayagiri,31,,,,,,,,18,6,248,86,0,3,361,0,0,361,0
13,Kandhamal,86,G. Udayagiri,32,,,,,,,,17,0,338,331,18,6,710,0,4,714,0
13,Kandhamal,86,G. Udayagiri,33,,,,,,,,18,7,216,372,16,5,634,0,5,639,0
13,Kandhamal,86,G. Udayagiri,34,,,,,,,,35,7,459,350,4,3,858,0,5,863,0
13,Kandhamal,86,G. Udayagiri,35,,,,,,,,25,6,289,230,10,4,564,0,5,569,0
13,Kandhamal,86,G. Udayagiri,36,,,,,,,,9,1,214,146,3,2,375,0,1,376,0
13,Kandhamal,86,G. Udayagiri,37,,,,,,,,29,6,302,370,16,7,730,0,9,739,0
13,Kandhamal,86,G. Udayagiri,38,,,,,,,,19,5,175,178,7,3,387,0,0,387,0
13,Kandhamal,86,G. Udayagiri,39,,,,,,,,17,4,189,294,8,5,517,0,2,519,0
13,Kandhamal,86,G. Udayagiri,40,,,,,,,,26,5,257,227,1,3,519,0,0,519,0
13,Kandhamal,86,G. Udayagiri,41,,,,,,,,14,1,182,168,0,2,367,0,1,368,0
13,Kandhamal,86,G. Udayagiri,42,,,,,,,,12,1,253,137,1,3,407,0,1,408,0
13,Kandhamal,86,G. Udayagiri,43,,,,,,,,7,4,364,270,6,1,652,0,5,657,0
13,Kandhamal,86,G. Udayagiri,44,,,,,,,,21,4,438,243,2,4,712,0,4,716,0
13,Kandhamal,86,G. Udayagiri,45,,,,,,,,27,2,379,210,3,3,624,0,0,624,0
13,Kandhamal,86,G. Udayagiri,46,,,,,,,,30,7,378,262,4,6,687,0,4,691,0
13,Kandhamal,86,G. Udayagiri,47,,,,,,,,17,2,220,186,4,6,435,0,9,444,0
13,Kandhamal,86,G. Udayagiri,48,,,,,,,,12,2,246,149,3,2,414,0,5,419,0
13,Kandhamal,86,G. Udayagiri,49,,,,,,,,8,2,200,356,4,1,571,0,3,574,0
13,Kandhamal,86,G. Udayagiri,50,,,,,,,,52,5,326,503,10,3,899,0,4,903,0
13,Kandhamal,86,G. Udayagiri,51,,,,,,,,21,1,262,218,5,9,516,0,2,518,0
13,Kandhamal,86,G. Udayagiri,52,,,,,,,,25,4,214,321,4,6,574,0,7,581,0
13,Kandhamal,86,G. Udayagiri,53,,,,,,,,21,7,372,444,6,3,853,0,7,860,0
13,Kandhamal,86,G. Udayagiri,54,,,,,,,,37,9,348,396,4,6,800,0,3,803,0
13,Kandhamal,86,G. Udayagiri,55,,,,,,,,21,2,342,471,3,4,843,0,1,844,0
13,Kandhamal,86,G. Udayagiri,56,,,,,,,,12,4,259,276,3,2,556,0,0,556,0
13,Kandhamal,86,G. Udayagiri,57,,,,,,,,15,1,193,261,3,4,477,0,2,479,0
13,Kandhamal,86,G. Udayagiri,59,,,,,,,,15,2,366,85,2,2,472,0,2,474,0
13,Kandhamal,86,G. Udayagiri,60,,,,,,,,15,2,194,103,4,1,319,0,3,322,0
13,Kandhamal,86,G. Udayagiri,61,,,,,,,,17,6,384,272,4,7,690,0,11,701,0
13,Kandhamal,86,G. Udayagiri,62,,,,,,,,39,10,354,232,5,6,646,0,4,650,0
13,Kandhamal,86,G. Udayagiri,63,,,,,,,,12,4,259,254,8,3,540,0,7,547,0
13,Kandhamal,86,G. Udayagiri,64,,,,,,,,15,9,176,202,8,5,415,0,5,420,0
13,Kandhamal,86,G. Udayagiri,65,,,,,,,,16,1,234,166,3,6,426,0,1,427,0
13,Kandhamal,86,G. Udayagiri,66,,,,,,,,43,6,345,165,3,7,569,0,2,571,0
13,Kandhamal,86,G. Udayagiri,67,,,,,,,,24,7,384,183,5,4,607,0,3,610,0
13,Kandhamal,86,G. Udayagiri,68,,,,,,,,59,4,503,220,5,1,792,0,4,796,0
13,Kandhamal,86,G. Udayagiri,69,,,,,,,,15,4,302,114,1,6,442,0,6,448,0
13,Kandhamal,86,G. Udayagiri,70,,,,,,,,16,2,382,406,9,11,826,0,8,834,0
13,Kandhamal,86,G. Udayagiri,71,,,,,,,,33,6,246,363,6,3,657,0,6,663,0
13,Kandhamal,86,G. Udayagiri,72,,,,,,,,32,3,249,341,11,10,646,0,8,654,0
13,Kandhamal,86,G. Udayagiri,73,,,,,,,,54,6,421,362,12,4,859,0,9,868,0
13,Kandhamal,86,G. Udayagiri,74,,,,,,,,40,4,366,344,9,0,763,0,0,763,0
13,Kandhamal,86,G. Udayagiri,75,,,,,,,,27,6,202,199,2,2,438,0,0,438,0
13,Kandhamal,86,G. Udayagiri,76,,,,,,,,46,6,226,164,5,3,450,0,6,456,0
13,Kandhamal,86,G. Udayagiri,78,,,,,,,,57,8,454,293,17,10,839,0,13,852,0
13,Kandhamal,86,G. Udayagiri,79,,,,,,,,78,3,211,248,8,3,551,0,7,558,0
13,Kandhamal,86,G. Udayagiri,80,,,,,,,,17,1,369,293,2,4,686,0,6,692,0
13,Kandhamal,86,G. Udayagiri,81,,,,,,,,46,4,405,461,7,9,932,0,8,940,0
13,Kandhamal,86,G. Udayagiri,82,,,,,,,,7,2,242,250,4,1,506,0,0,506,0
13,Kandhamal,86,G. Udayagiri,83,,,,,,,,98,7,399,351,11,8,874,0,11,885,0
13,Kandhamal,86,G. Udayagiri,84,,,,,,,,42,10,401,489,14,10,966,0,4,970,0
13,Kandhamal,86,G. Udayagiri,85,,,,,,,,15,9,434,456,7,4,925,0,5,930,0
13,Kandhamal,86,G. Udayagiri,86,,,,,,,,55,0,519,369,4,1,948,0,4,952,0
13,Kandhamal,86,G. Udayagiri,88,,,,,,,,30,10,404,379,7,7,837,0,3,840,0
13,Kandhamal,86,G. Udayagiri,89,,,,,,,,10,2,258,150,3,7,430,0,6,436,0
13,Kandhamal,86,G. Udayagiri,90,,,,,,,,35,7,522,336,8,6,914,0,9,923,0
13,Kandhamal,86,G. Udayagiri,91,,,,,,,,22,5,265,137,4,9,442,0,5,447,0
13,Kandhamal,86,G. Udayagiri,92,,,,,,,,40,5,378,228,3,10,664,0,3,667,0
13,Kandhamal,86,G. Udayagiri,93,,,,,,,,9,4,162,170,2,2,349,0,1,350,0
13,Kandhamal,86,G. Udayagiri,94,,,,,,,,53,8,362,416,3,13,855,0,11,866,0
13,Kandhamal,86,G. Udayagiri,95,,,,,,,,27,15,382,475,10,6,915,0,11,926,0
13,Kandhamal,86,G. Udayagiri,96,,,,,,,,6,4,205,74,0,2,291,0,1,292,0
13,Kandhamal,86,G. Udayagiri,97,,,,,,,,19,3,225,231,1,4,483,0,2,485,0
13,Kandhamal,86,G. Udayagiri,98,,,,,,,,10,2,516,303,1,4,836,0,2,838,0
13,Kandhamal,86,G. Udayagiri,99,,,,,,,,33,3,339,269,3,4,651,0,6,657,0
13,Kandhamal,86,G. Udayagiri,100,,,,,,,,84,7,594,255,5,3,948,0,11,959,0
13,Kandhamal,86,G. Udayagiri,101,,,,,,,,11,2,237,335,2,5,592,0,1,593,0
13,Kandhamal,86,G. Udayagiri,102,,,,,,,,13,2,417,326,4,1,763,0,5,768,0
13,Kandhamal,86,G. Udayagiri,103,,,,,,,,26,4,296,218,7,3,554,0,4,558,0
13,Kandhamal,86,G. Udayagiri,104,,,,,,,,71,4,430,294,2,2,803,0,2,805,0
13,Kandhamal,86,G. Udayagiri,105,,,,,,,,5,1,180,276,2,1,465,0,0,465,0
13,Kandhamal,86,G. Udayagiri,106,,,,,,,,431,3,69,39,9,8,559,0,4,563,0
13,Kandhamal,86,G. Udayagiri,107,,,,,,,,8,5,256,181,4,5,459,0,5,464,0
13,Kandhamal,86,G. Udayagiri,108,,,,,,,,5,0,128,187,2,2,324,0,1,325,0
13,Kandhamal,86,G. Udayagiri,109,,,,,,,,26,3,360,250,3,1,643,0,0,643,0
13,Kandhamal,86,G. Udayagiri,110,,,,,,,,47,11,565,307,6,5,941,0,9,950,0
13,Kandhamal,86,G. Udayagiri,111,,,,,,,,33,4,327,230,3,3,600,0,2,602,0
13,Kandhamal,86,G. Udayagiri,112,,,,,,,,4,1,203,222,1,2,433,0,1,434,0
13,Kandhamal,86,G. Udayagiri,113,,,,,,,,73,4,338,406,12,9,842,0,10,852,0
13,Kandhamal,86,G. Udayagiri,114,,,,,,,,28,6,254,250,13,2,553,0,3,556,0
13,Kandhamal,86,G. Udayagiri,115,,,,,,,,68,12,363,236,9,8,696,0,8,704,0
13,Kandhamal,86,G. Udayagiri,116,,,,,,,,96,24,231,88,2,8,449,0,4,453,0
13,Kandhamal,86,G. Udayagiri,117,,,,,,,,24,9,203,273,10,3,522,0,2,524,0
13,Kandhamal,86,G. Udayagiri,118,,,,,,,,50,8,426,216,12,16,728,0,13,741,0
13,Kandhamal,86,G. Udayagiri,119,,,,,,,,58,15,435,257,6,9,780,0,4,784,0
13,Kandhamal,86,G. Udayagiri,120,,,,,,,,112,6,302,150,7,7,584,0,7,591,0
13,Kandhamal,86,G. Udayagiri,121,,,,,,,,58,8,494,381,7,11,959,0,10,969,0
13,Kandhamal,86,G. Udayagiri,122,,,,,,,,3,1,73,284,2,0,363,0,1,364,0
13,Kandhamal,86,G. Udayagiri,123,,,,,,,,34,4,353,420,5,5,821,0,4,825,0
13,Kandhamal,86,G. Udayagiri,124,,,,,,,,12,3,314,335,3,4,671,0,2,673,0
13,Kandhamal,86,G. Udayagiri,125,,,,,,,,33,3,335,273,2,3,649,0,4,653,0
13,Kandhamal,86,G. Udayagiri,126,,,,,,,,30,1,329,207,7,1,575,0,3,578,0
13,Kandhamal,86,G. Udayagiri,127,,,,,,,,52,4,416,400,9,14,895,0,10,905,0
13,Kandhamal,86,G. Udayagiri,128,,,,,,,,22,2,427,336,7,3,797,0,5,802,0
13,Kandhamal,86,G. Udayagiri,129,,,,,,,,25,5,601,282,4,8,925,0,7,932,0
13,Kandhamal,86,G. Udayagiri,130,,,,,,,,6,0,150,145,3,0,304,0,0,304,0
13,Kandhamal,86,G. Udayagiri,131,,,,,,,,3,0,151,240,1,0,395,0,0,395,0
13,Kandhamal,86,G. Udayagiri,132,,,,,,,,5,1,203,60,2,0,271,0,1,272,0
13,Kandhamal,86,G. Udayagiri,133,,,,,,,,12,3,368,424,4,1,812,0,0,812,0
