pc_id,pc_name,ac_id,ac_name,S.No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of Valid Votes,No. of Rejected Votes (Test Votes),Votes for NOTA Option,Total,Total No. of Tender Votes
15,Kendrapara ,103,Aul,206,,,,,,,,220,0,500,126,0,0,0,0,1,847,0,0,847,0
15,Kendrapara ,103,Aul,207,,,,,,,,66,0,254,185,2,0,0,0,1,508,0,2,510,0
15,Kendrapara ,103,Aul,208,,,,,,,,324,5,431,42,2,1,1,0,0,806,0,1,807,0
15,Kendrapara ,103,Aul,209,,,,,,,,255,1,264,168,1,2,1,2,0,694,0,4,698,0
15,Kendrapara ,103,Aul,210,,,,,,,,206,4,498,110,2,1,0,2,1,824,0,2,826,0
15,Kendrapara ,103,Aul,211,,,,,,,,213,2,433,45,1,0,1,1,5,701,0,2,703,0
15,Kendrapara ,103,Aul,212,,,,,,,,140,1,535,82,1,1,0,1,0,761,0,6,767,0
15,Kendrapara ,103,Aul,213,,,,,,,,58,3,414,240,3,0,3,1,1,723,0,2,725,0
15,Kendrapara ,103,Aul,214,,,,,,,,147,1,268,114,0,1,1,2,1,535,0,5,540,0
15,Kendrapara ,103,Aul,215,,,,,,,,62,2,301,150,0,1,1,0,0,517,0,0,517,0
15,Kendrapara ,103,Aul,216,,,,,,,,74,1,276,189,0,0,0,0,0,540,0,1,541,0
15,Kendrapara ,103,Aul,217,,,,,,,,109,5,293,324,4,2,2,1,1,741,0,2,743,0
15,Kendrapara ,103,Aul,218,,,,,,,,185,3,376,201,0,2,3,1,2,773,0,7,780,0
15,Kendrapara ,103,Aul,219,,,,,,,,102,0,468,168,0,0,2,0,0,740,0,1,741,0
15,Kendrapara ,103,Aul,220,,,,,,,,66,0,147,32,0,0,0,0,0,245,0,0,245,0
15,Kendrapara ,103,Aul,221,,,,,,,,186,2,343,85,0,0,2,0,1,619,0,4,623,0
15,Kendrapara ,103,Aul,222,,,,,,,,178,4,488,136,2,3,1,1,1,814,0,6,820,0
15,Kendrapara ,103,Aul,223,,,,,,,,253,2,384,188,1,0,2,1,0,831,0,3,834,0
15,Kendrapara ,103,Aul,224,,,,,,,,67,1,296,62,0,2,0,1,2,431,0,2,433,0
15,Kendrapara ,103,Aul,225,,,,,,,,81,0,357,138,1,1,0,0,1,579,0,3,582,0
15,Kendrapara ,103,Aul,226,,,,,,,,114,3,308,135,0,0,0,0,1,561,0,1,562,0
15,Kendrapara ,103,Aul,227,,,,,,,,39,0,178,118,0,0,0,0,0,335,0,1,336,0
15,Kendrapara ,103,Aul,228,,,,,,,,48,1,268,277,0,0,0,0,0,594,0,0,594,0
15,Kendrapara ,103,Aul,229,,,,,,,,12,1,271,248,0,1,0,0,0,533,0,2,535,0
15,Kendrapara ,103,Aul,230,,,,,,,,42,0,215,157,0,0,0,0,0,414,0,0,414,0
15,Kendrapara ,103,Aul,231,,,,,,,,199,0,316,154,0,0,0,0,0,669,0,1,670,0
15,Kendrapara ,103,Aul,232,,,,,,,,194,1,264,211,1,0,2,0,1,674,0,1,675,0
15,Kendrapara ,103,Aul,233,,,,,,,,101,2,292,129,1,1,0,0,0,526,0,0,526,0
15,Kendrapara ,103,Aul,234,,,,,,,,159,2,315,101,1,0,1,1,0,580,0,0,580,0
15,Kendrapara ,103,Aul,235,,,,,,,,167,1,448,181,0,1,0,0,0,798,0,1,799,0
15,Kendrapara ,103,Aul,236,,,,,,,,107,0,265,230,0,0,0,0,0,602,0,0,602,0
15,Kendrapara ,103,Aul,237,,,,,,,,172,3,456,157,2,0,0,1,2,793,0,11,804,0
15,Kendrapara ,103,Aul,238,,,,,,,,105,1,555,134,0,0,0,0,1,796,0,1,797,0
15,Kendrapara ,103,Aul,239,,,,,,,,68,0,412,336,1,0,0,0,0,817,0,2,819,0
15,Kendrapara ,103,Aul,240,,,,,,,,68,1,420,229,0,0,2,0,1,721,0,0,721,0
15,Kendrapara ,103,Aul,241,,,,,,,,62,1,225,104,0,0,0,0,0,392,0,0,392,0
15,Kendrapara ,103,Aul,242,,,,,,,,34,1,349,254,1,0,0,0,0,639,0,0,639,0
15,Kendrapara ,103,Aul,243,,,,,,,,117,2,391,99,0,0,0,0,0,609,0,0,609,0
15,Kendrapara ,103,Aul,244,,,,,,,,126,1,374,67,0,0,5,0,1,574,0,6,580,0
15,Kendrapara ,103,Aul,245,,,,,,,,114,2,377,147,0,2,20,2,1,665,0,3,668,0
15,Kendrapara ,103,Aul,246,,,,,,,,141,0,365,209,0,0,3,0,2,720,0,2,722,0
15,Kendrapara ,103,Aul,247,,,,,,,,100,0,280,119,0,2,3,0,1,505,0,0,505,0
15,Kendrapara ,103,Aul,248,,,,,,,,22,0,154,39,0,0,0,0,1,216,0,1,217,0
15,Kendrapara ,103,Aul,249,,,,,,,,78,1,346,103,0,0,0,0,1,529,0,1,530,0
15,Kendrapara ,103,Aul,250,,,,,,,,67,0,380,112,2,0,1,0,2,564,0,2,566,0
15,Kendrapara ,103,Aul,251,,,,,,,,92,1,330,82,1,0,0,0,0,506,0,1,507,0
15,Kendrapara ,103,Aul,252,,,,,,,,73,0,321,101,1,0,0,1,1,498,0,2,500,0
15,Kendrapara ,103,Aul,253,,,,,,,,43,0,365,153,2,1,0,4,0,568,0,1,569,0
