pc_id,pc_name,ac_id,ac_name,Serial No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No.of rejected votes,NOTA,Total,No.of tendered votes
12,Nabarangpur,82,Kotpad,88,,,,,,,,96.0,4.0,378.0,23.0,8.0,10.0,519,0,11.0,530,0
12,Nabarangpur,82,Kotpad,89,,,,,,,,172.0,6.0,261.0,300.0,5.0,4.0,748,0,6.0,754,0
12,Nabarangpur,82,Kotpad,90,,,,,,,,138.0,5.0,144.0,326.0,4.0,3.0,620,0,2.0,622,0
12,Nabarangpur,82,Kotpad,91,,,,,,,,267.0,3.0,158.0,301.0,9.0,3.0,741,0,2.0,743,0
12,Nabarangpur,82,Kotpad,92,,,,,,,,205.0,6.0,146.0,227.0,4.0,4.0,592,0,6.0,598,0
12,Nabarangpur,82,Kotpad,93,,,,,,,,215.0,2.0,403.0,54.0,5.0,2.0,681,0,6.0,687,0
12,Nabarangpur,82,Kotpad,94,,,,,,,,115.0,6.0,267.0,191.0,7.0,2.0,588,0,5.0,593,0
12,Nabarangpur,82,Kotpad,95,,,,,,,,69.0,3.0,103.0,67.0,4.0,2.0,248,0,4.0,252,0
12,Nabarangpur,82,Kotpad,96,,,,,,,,189.0,7.0,313.0,220.0,6.0,1.0,736,0,1.0,737,0
12,Nabarangpur,82,Kotpad,97,,,,,,,,50.0,3.0,106.0,137.0,1.0,2.0,299,0,4.0,303,0
12,Nabarangpur,82,Kotpad,98,,,,,,,,147.0,9.0,142.0,157.0,7.0,6.0,468,0,5.0,473,0
12,Nabarangpur,82,Kotpad,99,,,,,,,,67.0,4.0,133.0,181.0,3.0,2.0,390,0,4.0,394,0
12,Nabarangpur,82,Kotpad,100,,,,,,,,117.0,2.0,159.0,102.0,10.0,1.0,391,0,7.0,398,0
12,Nabarangpur,82,Kotpad,101,,,,,,,,149.0,0.0,119.0,13.0,5.0,3.0,289,0,6.0,295,0
12,Nabarangpur,82,Kotpad,102,,,,,,,,152.0,9.0,352.0,193.0,7.0,12.0,725,0,18.0,743,0
12,Nabarangpur,82,Kotpad,103,,,,,,,,102.0,5.0,238.0,348.0,9.0,1.0,703,0,8.0,711,0
12,Nabarangpur,82,Kotpad,104,,,,,,,,226.0,4.0,159.0,162.0,4.0,2.0,557,0,5.0,562,0
12,Nabarangpur,82,Kotpad,105,,,,,,,,184.0,5.0,154.0,205.0,5.0,8.0,561,0,8.0,569,0
12,Nabarangpur,82,Kotpad,106,,,,,,,,101.0,13.0,275.0,376.0,6.0,2.0,773,0,6.0,779,0
12,Nabarangpur,82,Kotpad,2,,,,,,,,3.0,4.0,5.0,6.0,7.0,8.0,9,10,11.0,12,13
12,Nabarangpur,82,Kotpad,107,,,,,,,,137.0,8.0,418.0,284.0,6.0,4.0,857,0,4.0,861,0
12,Nabarangpur,82,Kotpad,108,,,,,,,,77.0,3.0,129.0,188.0,5.0,2.0,404,0,4.0,408,0
12,Nabarangpur,82,Kotpad,109,,,,,,,,90.0,5.0,106.0,83.0,5.0,2.0,291,0,3.0,294,0
12,Nabarangpur,82,Kotpad,110,,,,,,,,186.0,4.0,179.0,316.0,4.0,1.0,690,0,2.0,692,0
12,Nabarangpur,82,Kotpad,111,,,,,,,,84.0,2.0,167.0,59.0,6.0,2.0,320,0,5.0,325,0
12,Nabarangpur,82,Kotpad,112,,,,,,,,231.0,6.0,69.0,117.0,4.0,6.0,433,0,11.0,444,0
12,Nabarangpur,82,Kotpad,113,,,,,,,,251.0,3.0,216.0,247.0,2.0,1.0,720,0,4.0,724,0
12,Nabarangpur,82,Kotpad,114,,,,,,,,156.0,5.0,68.0,332.0,8.0,4.0,573,0,11.0,584,0
12,Nabarangpur,82,Kotpad,115,,,,,,,,216.0,11.0,112.0,427.0,26.0,8.0,800,0,24.0,824,0
12,Nabarangpur,82,Kotpad,116,,,,,,,,119.0,6.0,83.0,469.0,9.0,4.0,690,0,4.0,694,0
12,Nabarangpur,82,Kotpad,117,,,,,,,,294.0,14.0,378.0,249.0,16.0,8.0,959,0,15.0,974,0
12,Nabarangpur,82,Kotpad,118,,,,,,,,275.0,20.0,235.0,64.0,15.0,9.0,618,0,13.0,631,0
12,Nabarangpur,82,Kotpad,119,,,,,,,,306.0,14.0,401.0,63.0,15.0,7.0,806,0,18.0,824,0
12,Nabarangpur,82,Kotpad,120,,,,,,,,186.0,8.0,379.0,147.0,15.0,7.0,742,0,8.0,750,0
12,Nabarangpur,82,Kotpad,121,,,,,,,,110.0,7.0,283.0,220.0,7.0,3.0,630,0,4.0,634,0
12,Nabarangpur,82,Kotpad,122,,,,,,,,129.0,11.0,184.0,105.0,15.0,5.0,449,0,8.0,457,0
12,Nabarangpur,82,Kotpad,123,,,,,,,,143.0,5.0,196.0,79.0,2.0,1.0,426,0,8.0,434,0
12,Nabarangpur,82,Kotpad,124,,,,,,,,179.0,9.0,214.0,148.0,12.0,10.0,572,0,16.0,588,0
12,Nabarangpur,82,Kotpad,125,,,,,,,,33.0,10.0,584.0,63.0,7.0,5.0,702,0,8.0,710,0
12,Nabarangpur,82,Kotpad,126,,,,,,,,425.0,6.0,200.0,36.0,6.0,6.0,679,0,9.0,688,0
12,Nabarangpur,82,Kotpad,127,,,,,,,,367.0,17.0,73.0,43.0,16.0,20.0,536,0,19.0,555,0
12,Nabarangpur,82,Kotpad,128,,,,,,,,292.0,14.0,327.0,100.0,10.0,8.0,751,0,8.0,759,0
12,Nabarangpur,82,Kotpad,129,,,,,,,,98.0,9.0,492.0,106.0,2.0,2.0,709,0,8.0,717,0
12,Nabarangpur,82,Kotpad,2,,,,,,,,3.0,4.0,5.0,6.0,7.0,8.0,9,10,11.0,12,13
12,Nabarangpur,82,Kotpad,130,,,,,,,,221.0,28.0,132.0,54.0,15.0,18.0,468,0,17.0,485,0
12,Nabarangpur,82,Kotpad,131,,,,,,,,270.0,19.0,323.0,201.0,19.0,21.0,853,0,51.0,904,0
12,Nabarangpur,82,Kotpad,132,,,,,,,,272.0,15.0,256.0,188.0,17.0,10.0,758,0,10.0,768,0
12,Nabarangpur,82,Kotpad,133,,,,,,,,126.0,8.0,380.0,214.0,6.0,4.0,738,0,8.0,746,0
12,Nabarangpur,82,Kotpad,134,,,,,,,,147.0,20.0,243.0,246.0,22.0,15.0,693,0,33.0,726,0
12,Nabarangpur,82,Kotpad,135,,,,,,,,126.0,7.0,322.0,54.0,0.0,3.0,512,0,10.0,522,0
