pc_id,pc_name,ac_id,ac_name,Abani Kuamr Gaya,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total,Total Valid votes,Unnamed: 1,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Votes for NOTA option
20,Berhampur,133,Paralakhemundi,nan,,,,,,,,nan,nan,"Sl. No. Polling 
Station No.",nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,"Ashok 
Kumar 
Sahoo",Sumit Patro,"Total Valid 
votes","Reject 
votes
 (Test 
Vote)","Votes for 
NOTA 
option",Total,"No. of 
Tendered 
votes","Kanhu 
Charan Pati","Bikram 
Kumar 
Panda","Lingaraj 
Chaudhury","Gobinda 
Chandra 
Sahu","Siba sankar 
Mishra","Abani 
Kuamr 
Gaya","Jeebano 
Patro","Siva 
Shankar 
Dash",nan
20,Berhampur,133,Paralakhemundi,3,,,,,,,,0,373,nan,1,0,267,33,0,0,2,23,23.0,0,707,702,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,2,,,,,,,,1,405,nan,0,1,256,26,0,0,2,28,24.0,0,723,721,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
20,Berhampur,133,Paralakhemundi,1,,,,,,,,0,299,nan,0,0,170,15,0,0,1,26,25.0,0,517,512,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,1,,,,,,,,6,579,nan,1,2,221,35,0,0,1,45,26.0,7,904,898,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
20,Berhampur,133,Paralakhemundi,4,,,,,,,,3,465,nan,0,0,211,26,0,0,0,29,27.0,2,745,740,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,2,,,,,,,,4,467,nan,1,1,238,21,0,0,4,14,28.0,1,766,753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13
20,Berhampur,133,Paralakhemundi,0,,,,,,,,6,421,nan,2,0,205,21,0,0,0,19,29.0,1,682,675,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
20,Berhampur,133,Paralakhemundi,2,,,,,,,,1,496,nan,0,1,245,29,0,0,0,26,30.0,0,810,800,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10
20,Berhampur,133,Paralakhemundi,0,,,,,,,,1,553,nan,3,0,194,41,0,0,1,18,31.0,2,820,813,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
20,Berhampur,133,Paralakhemundi,1,,,,,,,,4,527,nan,0,0,253,26,0,0,1,30,32.0,1,853,843,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10
20,Berhampur,133,Paralakhemundi,6,,,,,,,,3,559,nan,3,4,332,31,0,0,1,51,33.0,0,999,990,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9
20,Berhampur,133,Paralakhemundi,2,,,,,,,,4,517,nan,0,9,216,40,0,0,2,46,34.0,0,846,836,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10
20,Berhampur,133,Paralakhemundi,6,,,,,,,,4,526,nan,2,3,274,24,0,0,3,23,35.0,3,873,868,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,2,,,,,,,,5,511,nan,0,1,326,37,0,0,2,45,36.0,6,944,935,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9
20,Berhampur,133,Paralakhemundi,1,,,,,,,,0,377,nan,0,1,161,19,0,0,3,31,37.0,2,599,595,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4
20,Berhampur,133,Paralakhemundi,3,,,,,,,,3,403,nan,1,0,227,12,0,0,3,27,38.0,0,689,679,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10
20,Berhampur,133,Paralakhemundi,1,,,,,,,,4,408,nan,1,3,163,24,0,0,2,38,39.0,2,649,646,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
20,Berhampur,133,Paralakhemundi,5,,,,,,,,1,484,nan,2,1,145,48,0,0,2,64,40.0,1,758,753,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,3,,,,,,,,3,394,nan,2,1,98,33,0,0,2,19,41.0,2,565,557,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8
20,Berhampur,133,Paralakhemundi,5,,,,,,,,3,468,nan,4,1,142,33,0,0,1,30,42.0,5,702,692,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10
20,Berhampur,133,Paralakhemundi,2,,,,,,,,4,591,nan,5,0,214,20,0,0,2,33,43.0,0,879,871,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8
20,Berhampur,133,Paralakhemundi,2,,,,,,,,2,281,nan,1,2,180,13,0,0,2,37,44.0,2,527,522,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,3,,,,,,,,3,500,nan,1,0,200,46,0,0,3,31,45.0,1,790,788,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
20,Berhampur,133,Paralakhemundi,G,,,,,,,,A,C,nan,E,H,B,D,O,L,F,I,nan,J,N,K,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,M
20,Berhampur,133,Paralakhemundi,7,,,,,,,,4,638,nan,5,4,247,28,0,0,3,43,46.0,4,989,983,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
20,Berhampur,133,Paralakhemundi,4,,,,,,,,3,433,nan,1,4,195,22,0,0,2,30,47.0,1,704,695,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9
20,Berhampur,133,Paralakhemundi,0,,,,,,,,3,370,nan,2,1,128,11,0,0,2,22,48.0,3,544,542,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
20,Berhampur,133,Paralakhemundi,1,,,,,,,,2,467,nan,0,3,134,25,0,0,0,43,49.0,2,682,677,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,0,,,,,,,,1,430,nan,0,1,123,20,0,0,0,14,50.0,2,593,591,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
20,Berhampur,133,Paralakhemundi,0,,,,,,,,4,289,nan,0,0,220,32,0,0,0,21,51.0,0,572,566,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
20,Berhampur,133,Paralakhemundi,3,,,,,,,,3,490,nan,1,1,220,19,0,0,1,43,52.0,3,792,784,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8
20,Berhampur,133,Paralakhemundi,2,,,,,,,,8,562,nan,1,2,175,43,0,0,1,43,53.0,2,849,839,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,10
20,Berhampur,133,Paralakhemundi,0,,,,,,,,4,418,nan,1,1,212,19,0,0,3,34,54.0,1,696,693,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
20,Berhampur,133,Paralakhemundi,0,,,,,,,,3,523,nan,2,1,288,24,0,0,0,46,55.0,1,895,888,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,7
20,Berhampur,133,Paralakhemundi,3,,,,,,,,5,485,nan,3,1,280,32,0,0,3,60,56.0,1,877,873,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4
20,Berhampur,133,Paralakhemundi,0,,,,,,,,1,355,nan,1,1,191,25,0,0,1,32,57.0,2,614,609,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,2,,,,,,,,1,268,nan,1,1,172,23,0,0,1,37,58.0,2,510,508,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2
20,Berhampur,133,Paralakhemundi,0,,,,,,,,0,338,nan,1,0,190,20,0,0,0,19,59.0,1,574,569,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,1,,,,,,,,1,431,nan,0,0,265,22,0,0,3,41,60.0,0,770,764,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,6
20,Berhampur,133,Paralakhemundi,1,,,,,,,,6,487,nan,3,3,260,31,0,0,1,49,61.0,1,847,842,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
20,Berhampur,133,Paralakhemundi,1,,,,,,,,3,354,nan,0,0,168,25,0,0,1,14,62.0,2,571,568,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
20,Berhampur,133,Paralakhemundi,0,,,,,,,,1,297,nan,0,1,175,27,0,0,0,34,63.0,1,539,536,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
20,Berhampur,133,Paralakhemundi,6,,,,,,,,2,373,nan,2,2,176,22,0,0,3,16,64.0,1,612,603,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9
