pc_id,pc_name,ac_id,ac_name,Sl. No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,NOTA,No. of Rejected votes,No. of Tendered Votes,Serial No. of Polling Station,Total,Total of Valid votes
10,Bolangir,69,Titlagarh,204,,,,,,,,236,462,12,199,4,3,9,4,12,0,0,204.0,941,929
10,Bolangir,69,Titlagarh,205,,,,,,,,125,229,6,358,8,3,4,6,1,0,0,205.0,740,739
10,Bolangir,69,Titlagarh,206,,,,,,,,129,220,15,196,11,0,4,2,8,0,0,206.0,585,577
10,Bolangir,69,Titlagarh,207,,,,,,,,88,246,11,214,4,1,6,3,5,0,0,207.0,578,573
10,Bolangir,69,Titlagarh,208,,,,,,,,89,257,6,349,7,8,5,3,1,0,0,208.0,725,724
10,Bolangir,69,Titlagarh,209,,,,,,,,90,193,15,261,6,1,2,4,2,0,0,209.0,574,572
10,Bolangir,69,Titlagarh,210,,,,,,,,197,378,8,276,7,3,8,6,9,0,0,210.0,892,883
10,Bolangir,69,Titlagarh,211,,,,,,,,177,330,34,387,14,6,12,3,14,0,0,211.0,977,963
10,Bolangir,69,Titlagarh,212,,,,,,,,66,204,4,330,6,2,1,5,6,0,0,212.0,624,618
10,Bolangir,69,Titlagarh,213,,,,,,,,134,221,7,166,4,0,0,1,1,0,0,213.0,534,533
10,Bolangir,69,Titlagarh,214,,,,,,,,161,277,5,218,4,1,4,8,15,0,0,214.0,693,678
10,Bolangir,69,Titlagarh,215,,,,,,,,202,394,20,290,5,3,1,3,4,0,0,215.0,922,918
10,Bolangir,69,Titlagarh,216,,,,,,,,178,411,10,248,5,3,7,6,5,0,0,216.0,873,868
10,Bolangir,69,Titlagarh,217,,,,,,,,207,189,9,241,9,3,4,4,11,0,0,217.0,677,666
10,Bolangir,69,Titlagarh,218,,,,,,,,180,507,10,225,4,2,2,6,5,0,0,218.0,941,936
