pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Total of valid Votes,No. of rejected Votes ( Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,77,Chitrakonda,195,,,,,,,,203,155,122,5,2,1,2,3,493,0,3,496,0
12,Nabarangpur,77,Chitrakonda,196,,,,,,,,270,156,44,5,2,2,3,0,482,0,1,483,0
12,Nabarangpur,77,Chitrakonda,197,,,,,,,,103,80,56,2,0,1,1,0,243,0,5,248,0
12,Nabarangpur,77,Chitrakonda,198,,,,,,,,83,104,73,1,0,1,0,0,262,0,6,268,0
12,Nabarangpur,77,Chitrakonda,199,,,,,,,,115,123,36,1,0,1,0,0,276,0,2,278,0
12,Nabarangpur,77,Chitrakonda,200,,,,,,,,91,110,27,1,0,0,0,0,229,0,2,231,0
12,Nabarangpur,77,Chitrakonda,201,,,,,,,,137,177,37,6,5,0,1,1,364,0,5,369,0
12,Nabarangpur,77,Chitrakonda,202,,,,,,,,265,370,143,13,5,1,6,3,806,0,7,813,0
12,Nabarangpur,77,Chitrakonda,203,,,,,,,,42,106,129,6,0,3,0,1,287,0,1,288,0
12,Nabarangpur,77,Chitrakonda,204,,,,,,,,121,168,173,13,2,3,3,2,485,0,4,489,0
12,Nabarangpur,77,Chitrakonda,205,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Nabarangpur,77,Chitrakonda,206,,,,,,,,146,181,204,9,4,4,3,4,555,0,6,561,0
12,Nabarangpur,77,Chitrakonda,207,,,,,,,,70,188,149,16,0,1,3,3,430,0,9,439,0
12,Nabarangpur,77,Chitrakonda,208,,,,,,,,59,80,37,10,3,5,3,0,197,0,4,201,0
12,Nabarangpur,77,Chitrakonda,209,,,,,,,,351,318,301,16,4,9,9,8,1016,0,8,1024,0
12,Nabarangpur,77,Chitrakonda,210,,,,,,,,119,175,133,13,2,3,2,1,448,0,4,452,0
12,Nabarangpur,77,Chitrakonda,211,,,,,,,,185,126,207,10,5,2,1,1,537,0,0,537,0
12,Nabarangpur,77,Chitrakonda,212,,,,,,,,419,137,47,4,1,2,1,7,618,0,5,623,0
12,Nabarangpur,77,Chitrakonda,213,,,,,,,,244,374,137,3,2,1,6,1,768,0,5,773,0
12,Nabarangpur,77,Chitrakonda,214,,,,,,,,247,214,99,26,2,2,0,1,591,0,2,593,0
12,Nabarangpur,77,Chitrakonda,215,,,,,,,,235,239,66,7,4,4,3,4,562,0,6,568,0
12,Nabarangpur,77,Chitrakonda,216,,,,,,,,190,225,192,6,0,2,3,3,621,0,10,631,0
