pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total Valid Votes,No. of Rejected Votes,NOTA,Total,No. of tendered votes,Polling Station Name
3,Sambalpur,16,Rengali,108,,,,,,,,184.0,49,274,3,3,513,0,13,526,0,Sasan 1
3,Sambalpur,16,Rengali,109,,,,,,,,391.0,65,378,10,7,851,0,17,868,0,Sasan 2
3,Sambalpur,16,Rengali,110,,,,,,,,290.0,36,252,2,2,582,0,6,588,0,Sasan 3
3,Sambalpur,16,Rengali,111,,,,,,,,253.0,42,243,6,3,547,0,5,552,0,Kankhinda
3,Sambalpur,16,Rengali,112,,,,,,,,225.0,9,191,2,2,429,0,6,435,0,Kankhinda
3,Sambalpur,16,Rengali,113,,,,,,,,325.0,51,244,4,2,626,0,8,634,0,Bhalubahal
3,Sambalpur,16,Rengali,114,,,,,,,,267.0,56,218,2,1,544,0,3,547,0,Bhalubahal-2
3,Sambalpur,16,Rengali,115,,,,,,,,nan,40,359,3,9,669,0,14,683,0,Lammal Camp
3,Sambalpur,16,Rengali,116,,,,,,,,nan,32,361,9,8,769,0,10,779,0,Sanatitheipali
3,Sambalpur,16,Rengali,117,,,,,,,,231.0,58,257,2,1,549,0,14,563,0,Pandiapali
3,Sambalpur,16,Rengali,118,,,,,,,,248.0,19,166,4,0,437,0,4,441,0,Pandripali
3,Sambalpur,16,Rengali,119,,,,,,,,327.0,120,328,7,4,786,0,6,792,0,Tabadabahal
3,Sambalpur,16,Rengali,120,,,,,,,,376.0,57,319,9,7,768,0,22,790,0,Kusumdihi
3,Sambalpur,16,Rengali,121,,,,,,,,nan,75,301,11,11,731,0,20,751,0,Tamparkela -1
3,Sambalpur,16,Rengali,122,,,,,,,,nan,49,151,6,4,419,0,8,427,0,Tamparkela -4
3,Sambalpur,16,Rengali,123,,,,,,,,nan,57,293,8,6,804,0,30,834,0,Tamparkela -2
3,Sambalpur,16,Rengali,124,,,,,,,,nan,120,390,12,9,786,0,14,800,0,Tamparkela -3
3,Sambalpur,16,Rengali,125,,,,,,,,353.0,59,428,5,3,848,0,9,857,0,Bardunguri
3,Sambalpur,16,Rengali,126,,,,,,,,256.0,43,308,3,2,612,0,8,620,0,Sangramal 1
3,Sambalpur,16,Rengali,127,,,,,,,,301.0,11,475,4,1,792,0,1,793,0,Sangramal 2
3,Sambalpur,16,Rengali,128,,,,,,,,483.0,27,409,11,8,938,0,11,949,0,Mura
3,Sambalpur,16,Rengali,129,,,,,,,,314.0,36,411,6,4,771,0,13,784,0,Rasiapali
3,Sambalpur,16,Rengali,131,,,,,,,,424.0,30,327,7,3,791,0,16,807,0,Bhikampur 1
3,Sambalpur,16,Rengali,132,,,,,,,,300.0,67,236,2,1,606,0,9,615,0,Bhikampur 3
3,Sambalpur,16,Rengali,133,,,,,,,,377.0,82,413,8,6,886,0,3,889,0,Bhikampur 2
3,Sambalpur,16,Rengali,134,,,,,,,,609.0,38,359,5,4,1015,0,8,1023,0,Parmanpur 1
3,Sambalpur,16,Rengali,135,,,,,,,,334.0,69,312,10,6,731,0,6,737,0,Parmanpur 2
3,Sambalpur,16,Rengali,136,,,,,,,,258.0,68,355,5,0,686,0,2,688,0,Parmanpur-3
3,Sambalpur,16,Rengali,137,,,,,,,,nan,21,235,7,3,563,0,7,570,0,Bishalkhinda -1
3,Sambalpur,16,Rengali,138,,,,,,,,nan,33,261,6,3,540,0,7,547,0,Bishalkhinda -3
3,Sambalpur,16,Rengali,139,,,,,,,,nan,28,288,4,3,647,0,9,656,0,Bishalkhinda -2
3,Sambalpur,16,Rengali,140,,,,,,,,313.0,26,214,3,7,563,0,12,575,0,Pithampur
3,Sambalpur,16,Rengali,141,,,,,,,,422.0,39,276,3,0,740,0,8,748,0,Tabla
3,Sambalpur,16,Rengali,142,,,,,,,,233.0,53,440,1,1,728,0,6,734,0,Tabla
3,Sambalpur,16,Rengali,143,,,,,,,,265.0,87,219,5,7,583,0,18,601,0,Gudesingha
3,Sambalpur,16,Rengali,144,,,,,,,,nan,55,208,8,5,606,0,22,628,0,Gudesingha-2
3,Sambalpur,16,Rengali,145,,,,,,,,268.0,69,310,6,2,655,0,26,681,0,Khulia
3,Sambalpur,16,Rengali,146,,,,,,,,232.0,36,271,3,0,542,0,3,545,0,Khulia-2
3,Sambalpur,16,Rengali,147,,,,,,,,367.0,32,213,7,6,625,0,5,630,0,Kultanuapali
3,Sambalpur,16,Rengali,148,,,,,,,,0.0,0,0,0,0,0,0,0,0,0,Kultanuapali
3,Sambalpur,16,Rengali,149,,,,,,,,349.0,17,391,3,0,760,0,6,766,0,Gambharkata
3,Sambalpur,16,Rengali,150,,,,,,,,283.0,21,198,3,6,511,0,7,518,0,Kolapali
3,Sambalpur,16,Rengali,151,,,,,,,,416.0,28,227,4,5,680,0,10,690,0,Themra -1
3,Sambalpur,16,Rengali,152,,,,,,,,433.0,21,243,2,3,702,0,16,718,0,Themra -3
3,Sambalpur,16,Rengali,153,,,,,,,,353.0,39,341,7,12,752,0,19,771,0,Themra -2
3,Sambalpur,16,Rengali,154,,,,,,,,358.0,27,182,10,3,580,0,8,588,0,Themra -4
3,Sambalpur,16,Rengali,155,,,,,,,,257.0,24,296,1,7,585,0,5,590,0,Kudopali
3,Sambalpur,16,Rengali,156,,,,,,,,203.0,21,165,1,0,390,0,2,392,0,Dandeipali
3,Sambalpur,16,Rengali,157,,,,,,,,418.0,26,230,4,6,684,0,9,693,0,Takba-1
3,Sambalpur,16,Rengali,158,,,,,,,,246.0,57,145,4,2,454,0,8,462,0,Takba-2
3,Sambalpur,16,Rengali,159,,,,,,,,nan,29,210,3,3,730,0,12,742,0,Dhankauda -1
3,Sambalpur,16,Rengali,160,,,,,,,,nan,28,179,1,0,567,0,13,580,0,Dhankauda -3 
3,Sambalpur,16,Rengali,161,,,,,,,,nan,31,245,6,1,719,0,10,729,0,Dhankauda -2
3,Sambalpur,16,Rengali,162,,,,,,,,nan,22,195,11,3,488,0,14,502,0,Dhankauda -4
3,Sambalpur,16,Rengali,163,,,,,,,,283.0,19,225,3,2,532,0,6,538,0,Tumbesingha
3,Sambalpur,16,Rengali,164,,,,,,,,410.0,35,286,6,3,740,0,19,759,0,Putibandh
3,Sambalpur,16,Rengali,165,,,,,,,,440.0,17,250,1,2,710,0,13,723,0,Putibandh-2
3,Sambalpur,16,Rengali,166,,,,,,,,nan,31,239,8,3,848,0,5,853,0,Sindurpanka - 1
3,Sambalpur,16,Rengali,167,,,,,,,,nan,65,253,9,5,751,0,17,768,0,Sindurpank - 2 
3,Sambalpur,16,Rengali,168,,,,,,,,321.0,60,416,6,4,807,0,6,813,0,Khairapali
3,Sambalpur,16,Rengali,169,,,,,,,,212.0,23,205,4,7,451,0,10,461,0,Chandmunda
3,Sambalpur,16,Rengali,170,,,,,,,,322.0,23,133,1,5,484,0,5,489,0,Talpali
3,Sambalpur,16,Rengali,171,,,,,,,,421.0,37,248,17,6,729,0,21,750,0,Bhoipali
3,Sambalpur,16,Rengali,172,,,,,,,,348.0,45,349,4,7,753,0,20,773,0,Rasanapur
3,Sambalpur,16,Rengali,173,,,,,,,,418.0,35,227,9,3,692,0,20,712,0,Rasanapur
3,Sambalpur,16,Rengali,174,,,,,,,,399.0,34,307,4,2,746,0,18,764,0,Sudunga
3,Sambalpur,16,Rengali,175,,,,,,,,416.0,43,201,5,6,671,0,24,695,0,Brahmanipali
3,Sambalpur,16,Rengali,176,,,,,,,,nan,46,261,4,0,636,0,8,644,0,Maneswar - 1
3,Sambalpur,16,Rengali,177,,,,,,,,nan,34,206,1,0,431,0,13,444,0,Maneswar - 3
3,Sambalpur,16,Rengali,178,,,,,,,,nan,26,138,2,2,416,0,5,421,0,Maneswar - 2
3,Sambalpur,16,Rengali,179,,,,,,,,327.0,34,319,6,4,690,0,24,714,0,Naxapali
3,Sambalpur,16,Rengali,180,,,,,,,,282.0,20,292,1,1,596,0,4,600,0,Naxapali
3,Sambalpur,16,Rengali,181,,,,,,,,314.0,50,328,10,4,706,0,19,725,0,Mathpali
3,Sambalpur,16,Rengali,182,,,,,,,,225.0,62,253,8,4,552,0,15,567,0,Khandual-1
3,Sambalpur,16,Rengali,183,,,,,,,,316.0,18,240,2,1,577,0,4,581,0,Khandual-2
3,Sambalpur,16,Rengali,184,,,,,,,,227.0,26,181,4,5,443,0,5,448,0,Jharapali
3,Sambalpur,16,Rengali,185,,,,,,,,490.0,33,263,2,4,792,0,2,794,0,Chaunrpur
3,Sambalpur,16,Rengali,186,,,,,,,,432.0,42,293,7,7,781,0,8,789,0,Chaunrpur-2
3,Sambalpur,16,Rengali,187,,,,,,,,293.0,34,324,3,4,658,0,6,664,0,Mundoghat
3,Sambalpur,16,Rengali,188,,,,,,,,125.0,5,155,1,0,286,0,6,292,0,Potapali
3,Sambalpur,16,Rengali,189,,,,,,,,308.0,24,353,5,6,696,0,4,700,0,Sikirdi
3,Sambalpur,16,Rengali,190,,,,,,,,428.0,31,348,4,6,817,0,10,827,0,A.Katapali - 1
3,Sambalpur,16,Rengali,191,,,,,,,,324.0,22,291,5,0,642,0,8,650,0,A.Katapali - 3
3,Sambalpur,16,Rengali,192,,,,,,,,546.0,38,343,7,10,944,0,24,968,0,A.Katapali - 2
3,Sambalpur,16,Rengali,193,,,,,,,,351.0,44,273,0,0,668,0,5,673,0,Baijamunda
3,Sambalpur,16,Rengali,194,,,,,,,,253.0,37,290,4,5,589,0,12,601,0,Jharmunda
3,Sambalpur,16,Rengali,195,,,,,,,,529.0,45,393,5,3,975,0,5,980,0,Sansinghari
3,Sambalpur,16,Rengali,196,,,,,,,,140.0,19,228,1,0,388,0,6,394,0,Badsinghari
3,Sambalpur,16,Rengali,197,,,,,,,,368.0,47,273,6,10,704,0,16,720,0,Babubandh
3,Sambalpur,16,Rengali,198,,,,,,,,392.0,35,255,3,8,693,0,12,705,0,Babubandh
3,Sambalpur,16,Rengali,199,,,,,,,,293.0,59,218,1,2,573,0,7,580,0,Kalamati - 1
3,Sambalpur,16,Rengali,200,,,,,,,,248.0,68,290,13,10,629,0,17,646,0,Kalamati - 3
3,Sambalpur,16,Rengali,201,,,,,,,,382.0,50,380,4,1,817,0,13,830,0,Kalamati - 2
3,Sambalpur,16,Rengali,202,,,,,,,,284.0,32,249,3,3,571,0,11,582,0,Ladukhai - 1
3,Sambalpur,16,Rengali,203,,,,,,,,282.0,29,263,3,2,579,0,5,584,0,Ladukhai - 3
3,Sambalpur,16,Rengali,204,,,,,,,,425.0,24,270,1,4,724,0,7,731,0,Ladukhai - 2
3,Sambalpur,16,Rengali,205,,,,,,,,393.0,27,411,7,3,841,0,12,853,0,Sahajbahal
3,Sambalpur,16,Rengali,206,,,,,,,,312.0,14,199,6,6,537,0,24,561,0,Sahajbahal
3,Sambalpur,16,Rengali,207,,,,,,,,389.0,10,292,2,2,695,0,3,698,0,Satupali
3,Sambalpur,16,Rengali,208,,,,,,,,358.0,29,306,1,1,695,0,1,696,0,Gadmunda
3,Sambalpur,16,Rengali,209,,,,,,,,251.0,8,135,2,2,398,0,2,400,0,Govindpali
3,Sambalpur,16,Rengali,210,,,,,,,,218.0,42,300,3,4,567,0,7,574,0,Chipilima - 1
3,Sambalpur,16,Rengali,211,,,,,,,,194.0,33,166,1,2,396,0,6,402,0,Chipilima - 3
3,Sambalpur,16,Rengali,212,,,,,,,,386.0,86,439,5,3,919,0,7,926,0,Chipilima - 2
3,Sambalpur,16,Rengali,213,,,,,,,,382.0,31,432,6,1,852,0,4,856,0,Kardola
3,Sambalpur,16,Rengali,214,,,,,,,,543.0,42,358,6,3,952,0,4,956,0,Charpali
3,Sambalpur,16,Rengali,215,,,,,,,,314.0,67,237,4,5,627,0,5,632,0,Marangola
3,Sambalpur,16,Rengali,216,,,,,,,,377.0,29,213,4,2,625,0,8,633,0,Tulundi
3,Sambalpur,16,Rengali,217,,,,,,,,nan,47,285,4,1,715,0,9,724,0,Kud-Gunderpur
3,Sambalpur,16,Rengali,218,,,,,,,,141.0,82,114,1,0,338,0,2,340,0,Kud-Amlipali
3,Sambalpur,16,Rengali,219,,,,,,,,124.0,26,140,1,1,292,0,4,296,0,Kud-Mahada
3,Sambalpur,16,Rengali,220,,,,,,,,363.0,70,301,1,1,736,0,2,738,0,Tihikipali
3,Sambalpur,16,Rengali,221,,,,,,,,472.0,54,181,10,2,719,0,14,733,0,Senhapali
3,Sambalpur,16,Rengali,222,,,,,,,,310.0,24,350,7,6,697,0,15,712,0,Barahampura
3,Sambalpur,16,Rengali,223,,,,,,,,316.0,40,300,2,6,664,0,20,684,0,Gunderapur
3,Sambalpur,16,Rengali,224,,,,,,,,nan,71,191,5,3,514,0,5,519,0,Gunderapur-1
3,Sambalpur,16,Rengali,225,,,,,,,,379.0,65,285,9,2,740,0,7,747,0,Gulunda
3,Sambalpur,16,Rengali,226,,,,,,,,281.0,28,357,3,2,671,0,6,677,0,Gulunda 2
3,Sambalpur,16,Rengali,227,,,,,,,,174.0,13,189,2,1,379,0,3,382,0,Kirtipur
3,Sambalpur,16,Rengali,228,,,,,,,,284.0,26,157,5,3,475,0,10,485,0,Surda
3,Sambalpur,16,Rengali,229,,,,,,,,458.0,73,304,9,5,849,0,28,877,0,Chhatabar
3,Sambalpur,16,Rengali,230,,,,,,,,472.0,29,245,10,7,763,0,8,771,0,Golabandh
3,Sambalpur,16,Rengali,231,,,,,,,,125.0,13,159,1,0,298,0,8,306,0,Jayaghanta
3,Sambalpur,16,Rengali,232,,,,,,,,195.0,9,165,1,1,371,0,6,377,0,Khunti
