pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of Rejected votes,NOTA,Total,No. of tendered votes
16,Jagatsinghpur,107,Paradeep,60,,,,,,,,16,402,285,1,3,0,712,0,5,715,0
16,Jagatsinghpur,107,Paradeep,61,,,,,,,,14,262,269,3,1,3,557,0,5,558,0
16,Jagatsinghpur,107,Paradeep,62,,,,,,,,19,446,306,3,4,2,787,0,7,788,0
16,Jagatsinghpur,107,Paradeep,63,,,,,,,,7,361,298,2,5,6,700,0,21,701,0
16,Jagatsinghpur,107,Paradeep,64,,,,,,,,24,343,242,3,2,4,624,0,6,629,0
16,Jagatsinghpur,107,Paradeep,65,,,,,,,,17,317,129,1,0,5,476,0,7,478,0
16,Jagatsinghpur,107,Paradeep,66,,,,,,,,15,305,188,2,3,1,520,0,6,530,0
16,Jagatsinghpur,107,Paradeep,67,,,,,,,,7,513,398,1,4,6,936,0,7,938,0
16,Jagatsinghpur,107,Paradeep,68,,,,,,,,18,433,289,0,0,1,747,0,6,749,0
16,Jagatsinghpur,107,Paradeep,69,,,,,,,,25,358,290,5,0,4,690,0,8,698,0
16,Jagatsinghpur,107,Paradeep,70,,,,,,,,5,295,239,2,3,4,550,0,2,551,0
16,Jagatsinghpur,107,Paradeep,71,,,,,,,,16,370,249,1,3,0,645,0,6,650,0
16,Jagatsinghpur,107,Paradeep,72,,,,,,,,11,320,244,6,3,5,596,0,7,603,0
16,Jagatsinghpur,107,Paradeep,73,,,,,,,,12,474,260,2,4,0,762,0,10,770,0
16,Jagatsinghpur,107,Paradeep,74,,,,,,,,13,395,187,0,0,3,604,0,6,609,0
16,Jagatsinghpur,107,Paradeep,75,,,,,,,,13,388,238,1,2,5,651,0,4,653,0
16,Jagatsinghpur,107,Paradeep,76,,,,,,,,27,464,208,1,3,2,711,0,6,714,0
16,Jagatsinghpur,107,Paradeep,77,,,,,,,,18,329,188,2,1,5,549,0,6,552,0
16,Jagatsinghpur,107,Paradeep,78,,,,,,,,11,238,150,0,0,0,402,0,3,402,0
16,Jagatsinghpur,107,Paradeep,79,,,,,,,,23,291,226,1,1,0,546,0,4,549,0
16,Jagatsinghpur,107,Paradeep,80,,,,,,,,33,406,260,1,2,3,709,0,4,710,0
16,Jagatsinghpur,107,Paradeep,81,,,,,,,,17,418,248,2,1,2,695,0,7,699,0
16,Jagatsinghpur,107,Paradeep,82,,,,,,,,33,342,276,2,2,2,669,0,12,671,0
16,Jagatsinghpur,107,Paradeep,83,,,,,,,,24,213,261,4,1,0,506,0,3,507,0
16,Jagatsinghpur,107,Paradeep,84,,,,,,,,16,349,391,4,5,2,782,0,15,784,0
