pc_id,pc_name,ac_id,ac_name,Sl. No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Total of valid votes,No. of rejected Votes (Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,78,Umerkote,217,,,,,,,,122,368,82,4,3,3,1,583,0,2,585,0
12,Nabarangpur,78,Umerkote,218,,,,,,,,143,665,195,8,6,10,1,1028,0,8,1036,0
12,Nabarangpur,78,Umerkote,219,,,,,,,,205,202,102,1,2,5,0,517,0,4,521,0
12,Nabarangpur,78,Umerkote,220,,,,,,,,41,449,221,8,8,12,2,741,0,11,752,0
12,Nabarangpur,78,Umerkote,221,,,,,,,,55,203,112,1,5,7,6,389,0,8,397,0
12,Nabarangpur,78,Umerkote,222,,,,,,,,207,165,355,13,9,9,5,763,0,10,773,0
12,Nabarangpur,78,Umerkote,223,,,,,,,,344,145,316,9,13,6,11,844,0,11,855,0
12,Nabarangpur,78,Umerkote,224,,,,,,,,263,268,209,5,8,10,8,771,0,8,779,0
12,Nabarangpur,78,Umerkote,225,,,,,,,,134,240,158,12,20,5,4,573,0,1,574,0
12,Nabarangpur,78,Umerkote,226,,,,,,,,228,227,73,13,5,6,7,559,0,31,590,0
12,Nabarangpur,78,Umerkote,227,,,,,,,,58,300,198,6,3,5,9,579,0,4,583,0
12,Nabarangpur,78,Umerkote,228,,,,,,,,146,239,88,7,5,15,6,506,0,6,512,0
12,Nabarangpur,78,Umerkote,229,,,,,,,,67,434,199,8,6,22,5,741,0,9,750,0
12,Nabarangpur,78,Umerkote,230,,,,,,,,118,194,206,9,13,29,14,583,0,9,592,0
12,Nabarangpur,78,Umerkote,231,,,,,,,,186,305,308,14,13,30,5,861,0,20,881,0
12,Nabarangpur,78,Umerkote,232,,,,,,,,243,212,161,3,9,22,2,652,0,5,657,0
12,Nabarangpur,78,Umerkote,233,,,,,,,,139,216,196,10,11,40,5,617,0,5,622,0
12,Nabarangpur,78,Umerkote,234,,,,,,,,148,272,294,6,10,15,2,747,0,10,757,0
12,Nabarangpur,78,Umerkote,235,,,,,,,,143,336,176,7,5,22,3,692,0,5,697,0
12,Nabarangpur,78,Umerkote,236,,,,,,,,36,281,413,7,14,44,7,802,0,25,827,0
12,Nabarangpur,78,Umerkote,237,,,,,,,,67,238,267,16,9,11,2,610,0,5,615,0
12,Nabarangpur,78,Umerkote,238,,,,,,,,48,419,425,21,12,17,6,948,0,10,958,0
12,Nabarangpur,78,Umerkote,239,,,,,,,,104,273,344,21,10,5,2,759,0,5,764,0
12,Nabarangpur,78,Umerkote,240,,,,,,,,250,278,123,2,8,6,21,688,0,7,695,0
