pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,NOTA,No. of Tendered votes,No. of rejected votes,Total,Total votespolled,Total of valid votes
7,Bhadrak,48,Dhamnagar,1,,,,,,,,309,368.0,7.0,3.0,3.0,5.0,0.0,0.0,695.0,nan,690.0
7,Bhadrak,48,Dhamnagar,2,,,,,,,,234,224.0,5.0,1.0,0.0,1.0,0.0,0.0,465.0,nan,464.0
7,Bhadrak,48,Dhamnagar,3,,,,,,,,520,291.0,11.0,4.0,9.0,23.0,0.0,0.0,858.0,nan,835.0
7,Bhadrak,48,Dhamnagar,4,,,,,,,,374,240.0,7.0,2.0,2.0,7.0,0.0,0.0,632.0,nan,625.0
7,Bhadrak,48,Dhamnagar,5,,,,,,,,465,307.0,12.0,2.0,5.0,1.0,0.0,0.0,792.0,nan,791.0
7,Bhadrak,48,Dhamnagar,6,,,,,,,,557,463.0,22.0,3.0,1.0,3.0,0.0,0.0,1049.0,nan,1046.0
7,Bhadrak,48,Dhamnagar,7,,,,,,,,452,401.0,14.0,5.0,0.0,2.0,0.0,0.0,874.0,nan,872.0
7,Bhadrak,48,Dhamnagar,8,,,,,,,,411,353.0,15.0,4.0,4.0,9.0,0.0,0.0,796.0,nan,787.0
7,Bhadrak,48,Dhamnagar,9,,,,,,,,475,292.0,15.0,4.0,4.0,7.0,0.0,0.0,797.0,nan,790.0
7,Bhadrak,48,Dhamnagar,10,,,,,,,,514,345.0,9.0,1.0,0.0,1.0,0.0,0.0,870.0,nan,869.0
7,Bhadrak,48,Dhamnagar,11,,,,,,,,293,187.0,4.0,0.0,0.0,0.0,0.0,0.0,484.0,nan,484.0
7,Bhadrak,48,Dhamnagar,12,,,,,,,,296,284.0,17.0,1.0,2.0,3.0,0.0,0.0,603.0,nan,600.0
7,Bhadrak,48,Dhamnagar,13,,,,,,,,413,136.0,32.0,2.0,2.0,7.0,0.0,0.0,592.0,nan,585.0
7,Bhadrak,48,Dhamnagar,14,,,,,,,,196,276.0,4.0,0.0,6.0,4.0,0.0,0.0,486.0,nan,482.0
7,Bhadrak,48,Dhamnagar,15,,,,,,,,433,391.0,3.0,3.0,1.0,6.0,0.0,0.0,837.0,nan,831.0
7,Bhadrak,48,Dhamnagar,16,,,,,,,,406,384.0,20.0,2.0,6.0,9.0,0.0,0.0,827.0,nan,818.0
7,Bhadrak,48,Dhamnagar,17,,,,,,,,284,509.0,11.0,3.0,4.0,7.0,0.0,0.0,818.0,nan,811.0
7,Bhadrak,48,Dhamnagar,18,,,,,,,,343,169.0,14.0,0.0,1.0,0.0,0.0,0.0,527.0,nan,527.0
7,Bhadrak,48,Dhamnagar,19,,,,,,,,220,70.0,5.0,0.0,1.0,0.0,0.0,0.0,296.0,nan,296.0
7,Bhadrak,48,Dhamnagar,20,,,,,,,,287,232.0,10.0,1.0,1.0,1.0,0.0,0.0,532.0,nan,531.0
7,Bhadrak,48,Dhamnagar,21,,,,,,,,483,365.0,4.0,1.0,4.0,1.0,0.0,0.0,858.0,nan,857.0
7,Bhadrak,48,Dhamnagar,22,,,,,,,,281,448.0,10.0,2.0,7.0,3.0,0.0,0.0,751.0,nan,748.0
7,Bhadrak,48,Dhamnagar,23,,,,,,,,497,353.0,18.0,2.0,1.0,3.0,0.0,0.0,874.0,nan,871.0
7,Bhadrak,48,Dhamnagar,24,,,,,,,,283,195.0,5.0,0.0,5.0,1.0,0.0,0.0,489.0,nan,488.0
7,Bhadrak,48,Dhamnagar,25,,,,,,,,527,131.0,14.0,0.0,2.0,0.0,0.0,0.0,674.0,nan,674.0
7,Bhadrak,48,Dhamnagar,26,,,,,,,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,0.0
7,Bhadrak,48,Dhamnagar,27,,,,,,,,205,114.0,4.0,1.0,0.0,0.0,0.0,0.0,324.0,nan,324.0
7,Bhadrak,48,Dhamnagar,28,,,,,,,,239,174.0,10.0,0.0,0.0,0.0,0.0,0.0,423.0,nan,423.0
7,Bhadrak,48,Dhamnagar,29,,,,,,,,225,152.0,55.0,10.0,7.0,8.0,0.0,0.0,457.0,nan,449.0
7,Bhadrak,48,Dhamnagar,30,,,,,,,,336,179.0,2.0,2.0,1.0,3.0,0.0,0.0,523.0,nan,520.0
7,Bhadrak,48,Dhamnagar,31,,,,,,,,274,204.0,10.0,0.0,0.0,3.0,0.0,0.0,491.0,nan,488.0
7,Bhadrak,48,Dhamnagar,32,,,,,,,,398,316.0,42.0,3.0,8.0,5.0,0.0,0.0,772.0,nan,767.0
7,Bhadrak,48,Dhamnagar,33,,,,,,,,376,259.0,8.0,3.0,2.0,7.0,1.0,0.0,655.0,nan,648.0
7,Bhadrak,48,Dhamnagar,34,,,,,,,,301,321.0,15.0,1.0,10.0,2.0,0.0,0.0,650.0,nan,648.0
7,Bhadrak,48,Dhamnagar,35,,,,,,,,314,372.0,8.0,3.0,4.0,1.0,0.0,0.0,702.0,nan,701.0
7,Bhadrak,48,Dhamnagar,36,,,,,,,,309,294.0,15.0,1.0,7.0,1.0,0.0,0.0,627.0,nan,626.0
7,Bhadrak,48,Dhamnagar,37,,,,,,,,348,337.0,11.0,2.0,4.0,2.0,0.0,0.0,704.0,nan,702.0
7,Bhadrak,48,Dhamnagar,38,,,,,,,,383,258.0,1.0,0.0,7.0,5.0,0.0,0.0,654.0,nan,649.0
7,Bhadrak,48,Dhamnagar,39,,,,,,,,400,292.0,16.0,2.0,0.0,1.0,0.0,0.0,711.0,nan,710.0
7,Bhadrak,48,Dhamnagar,40,,,,,,,,182,275.0,4.0,1.0,2.0,2.0,0.0,0.0,466.0,nan,464.0
7,Bhadrak,48,Dhamnagar,41,,,,,,,,405,290.0,11.0,5.0,5.0,8.0,0.0,0.0,724.0,nan,716.0
7,Bhadrak,48,Dhamnagar,42,,,,,,,,233,243.0,6.0,0.0,2.0,7.0,0.0,0.0,491.0,nan,484.0
7,Bhadrak,48,Dhamnagar,43,,,,,,,,391,302.0,20.0,1.0,5.0,5.0,0.0,0.0,724.0,nan,719.0
7,Bhadrak,48,Dhamnagar,44,,,,,,,,220,123.0,7.0,0.0,0.0,1.0,0.0,0.0,351.0,nan,350.0
7,Bhadrak,48,Dhamnagar,45,,,,,,,,250,335.0,13.0,2.0,7.0,2.0,0.0,0.0,609.0,nan,607.0
7,Bhadrak,48,Dhamnagar,46,,,,,,,,339,352.0,15.0,0.0,6.0,6.0,0.0,0.0,718.0,nan,712.0
7,Bhadrak,48,Dhamnagar,47,,,,,,,,217,279.0,12.0,0.0,4.0,4.0,0.0,0.0,516.0,nan,512.0
7,Bhadrak,48,Dhamnagar,48,,,,,,,,259,311.0,7.0,2.0,0.0,6.0,0.0,0.0,585.0,nan,579.0
7,Bhadrak,48,Dhamnagar,49,,,,,,,,413,171.0,7.0,2.0,1.0,5.0,0.0,0.0,599.0,nan,594.0
7,Bhadrak,48,Dhamnagar,50,,,,,,,,303,146.0,0.0,0.0,1.0,2.0,0.0,0.0,452.0,nan,450.0
7,Bhadrak,48,Dhamnagar,51,,,,,,,,376,228.0,11.0,2.0,2.0,1.0,0.0,0.0,620.0,nan,619.0
7,Bhadrak,48,Dhamnagar,52,,,,,,,,261,286.0,5.0,1.0,3.0,0.0,0.0,0.0,556.0,nan,556.0
7,Bhadrak,48,Dhamnagar,53,,,,,,,,318,254.0,12.0,1.0,3.0,2.0,0.0,0.0,590.0,nan,588.0
7,Bhadrak,48,Dhamnagar,54,,,,,,,,294,126.0,12.0,1.0,2.0,4.0,0.0,0.0,439.0,nan,435.0
7,Bhadrak,48,Dhamnagar,55,,,,,,,,324,196.0,4.0,3.0,3.0,3.0,0.0,0.0,533.0,nan,530.0
7,Bhadrak,48,Dhamnagar,56,,,,,,,,439,322.0,19.0,5.0,8.0,7.0,0.0,0.0,800.0,nan,793.0
7,Bhadrak,48,Dhamnagar,57,,,,,,,,194,136.0,4.0,1.0,0.0,2.0,0.0,0.0,337.0,nan,335.0
7,Bhadrak,48,Dhamnagar,58,,,,,,,,354,366.0,15.0,2.0,2.0,6.0,0.0,0.0,745.0,nan,739.0
7,Bhadrak,48,Dhamnagar,59,,,,,,,,193,228.0,15.0,2.0,2.0,1.0,0.0,0.0,441.0,nan,440.0
7,Bhadrak,48,Dhamnagar,60,,,,,,,,438,255.0,22.0,4.0,2.0,9.0,0.0,0.0,730.0,nan,721.0
7,Bhadrak,48,Dhamnagar,61,,,,,,,,367,241.0,21.0,4.0,4.0,2.0,0.0,0.0,639.0,nan,637.0
7,Bhadrak,48,Dhamnagar,62,,,,,,,,442,292.0,16.0,6.0,8.0,9.0,0.0,0.0,773.0,nan,764.0
7,Bhadrak,48,Dhamnagar,63,,,,,,,,281,267.0,14.0,1.0,1.0,3.0,0.0,0.0,567.0,nan,564.0
7,Bhadrak,48,Dhamnagar,64,,,,,,,,279,164.0,4.0,1.0,0.0,4.0,0.0,0.0,452.0,nan,448.0
7,Bhadrak,48,Dhamnagar,65,,,,,,,,255,186.0,6.0,0.0,0.0,1.0,0.0,0.0,448.0,nan,447.0
7,Bhadrak,48,Dhamnagar,66,,,,,,,,412,274.0,6.0,3.0,1.0,9.0,0.0,0.0,705.0,nan,696.0
7,Bhadrak,48,Dhamnagar,67,,,,,,,,318,195.0,24.0,2.0,1.0,0.0,0.0,0.0,540.0,nan,540.0
7,Bhadrak,48,Dhamnagar,68,,,,,,,,285,201.0,30.0,3.0,1.0,0.0,0.0,0.0,520.0,nan,520.0
