pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid votes,No. of rejected votes,NOTA,Total,No. of tendered votes
13,Kandhamal,89,Boudh,201,,,,,,,,62,165,556,3,2,1,119,4,4,2,918,0,5,923,0
13,Kandhamal,89,Boudh,202,,,,,,,,44,94,623,2,0,2,119,0,1,2,887,0,1,888,0
13,Kandhamal,89,Boudh,203,,,,,,,,28,167,471,2,0,0,20,1,0,0,689,0,2,691,0
13,Kandhamal,89,Boudh,204,,,,,,,,10,59,703,5,0,0,2,1,1,0,781,0,1,782,0
13,Kandhamal,89,Boudh,205,,,,,,,,21,217,452,4,0,3,50,0,1,2,750,0,2,752,0
13,Kandhamal,89,Boudh,206,,,,,,,,11,138,373,4,1,0,11,2,2,7,549,0,10,559,0
13,Kandhamal,89,Boudh,207,,,,,,,,19,153,551,2,1,1,9,1,2,2,741,0,5,746,0
13,Kandhamal,89,Boudh,208,,,,,,,,75,335,469,9,2,3,27,2,2,2,926,0,6,932,0
13,Kandhamal,89,Boudh,209,,,,,,,,29,90,140,0,0,0,14,1,0,0,274,0,1,275,0
13,Kandhamal,89,Boudh,210,,,,,,,,44,105,300,0,1,1,13,0,1,0,465,0,9,474,0
13,Kandhamal,89,Boudh,211,,,,,,,,43,249,393,3,3,1,28,0,2,4,726,0,7,733,0
13,Kandhamal,89,Boudh,212,,,,,,,,26,159,448,1,1,0,2,0,1,1,639,0,0,639,0
13,Kandhamal,89,Boudh,213,,,,,,,,266,137,430,0,0,1,7,3,3,3,850,0,7,857,0
13,Kandhamal,89,Boudh,214,,,,,,,,176,138,424,1,1,0,7,1,0,1,749,0,3,752,0
13,Kandhamal,89,Boudh,215,,,,,,,,20,151,523,4,7,1,59,0,4,4,773,0,7,780,0
13,Kandhamal,89,Boudh,216,,,,,,,,32,180,464,0,1,0,56,2,0,0,735,0,2,737,0
13,Kandhamal,89,Boudh,217,,,,,,,,15,89,375,3,0,0,24,0,0,0,506,0,1,507,0
13,Kandhamal,89,Boudh,218,,,,,,,,49,195,487,2,2,2,147,1,2,0,887,0,3,890,0
13,Kandhamal,89,Boudh,219,,,,,,,,18,93,290,0,0,1,63,2,0,2,469,0,2,471,0
13,Kandhamal,89,Boudh,220,,,,,,,,28,24,348,2,0,0,26,0,0,0,428,0,1,429,0
13,Kandhamal,89,Boudh,221,,,,,,,,66,115,527,5,1,0,7,1,4,2,728,0,6,734,0
13,Kandhamal,89,Boudh,222,,,,,,,,2,31,267,2,0,0,0,0,0,0,302,0,2,304,0
13,Kandhamal,89,Boudh,223,,,,,,,,10,116,254,2,1,1,51,2,1,1,439,0,1,440,0
13,Kandhamal,89,Boudh,224,,,,,,,,24,218,513,8,2,2,115,3,3,3,891,0,5,896,0
13,Kandhamal,89,Boudh,225,,,,,,,,28,158,431,6,2,2,102,6,2,1,738,0,4,742,0
13,Kandhamal,89,Boudh,226,,,,,,,,20,51,591,5,1,2,55,3,4,5,737,0,21,758,0
13,Kandhamal,89,Boudh,227,,,,,,,,8,18,409,5,3,1,14,4,5,5,472,0,22,494,0
13,Kandhamal,89,Boudh,228,,,,,,,,0,27,160,2,0,2,24,2,2,1,220,0,2,222,0
13,Kandhamal,89,Boudh,229,,,,,,,,3,83,439,4,1,0,23,1,1,1,556,0,4,560,0
13,Kandhamal,89,Boudh,230,,,,,,,,8,42,293,1,1,0,22,2,1,0,370,0,1,371,0
13,Kandhamal,89,Boudh,231,,,,,,,,6,52,485,5,10,0,314,2,1,0,875,0,2,877,0
13,Kandhamal,89,Boudh,232,,,,,,,,8,61,443,0,1,0,42,1,1,1,558,0,2,560,0
13,Kandhamal,89,Boudh,233,,,,,,,,16,94,284,0,1,2,310,6,0,0,713,0,4,717,0
13,Kandhamal,89,Boudh,234,,,,,,,,6,102,535,3,1,2,78,3,5,3,738,0,5,743,0
13,Kandhamal,89,Boudh,235,,,,,,,,25,52,557,7,2,2,199,7,12,8,871,0,25,896,0
13,Kandhamal,89,Boudh,236,,,,,,,,12,52,594,3,2,3,240,5,4,3,918,0,4,922,0
13,Kandhamal,89,Boudh,237,,,,,,,,5,83,631,4,2,1,170,2,1,1,900,0,3,903,0
13,Kandhamal,89,Boudh,238,,,,,,,,3,40,252,1,0,1,241,7,0,2,547,0,3,550,0
13,Kandhamal,89,Boudh,239,,,,,,,,12,55,317,3,2,0,313,3,1,1,707,0,4,711,0
13,Kandhamal,89,Boudh,240,,,,,,,,18,42,341,2,1,3,74,1,2,3,487,0,2,489,0
13,Kandhamal,89,Boudh,241,,,,,,,,30,57,170,2,3,1,104,2,3,0,372,0,6,378,0
13,Kandhamal,89,Boudh,242,,,,,,,,22,63,421,3,0,0,230,0,1,0,740,0,5,745,0
13,Kandhamal,89,Boudh,243,,,,,,,,10,76,557,5,0,0,76,2,6,1,733,0,1,734,0
13,Kandhamal,89,Boudh,244,,,,,,,,6,68,529,6,1,0,144,2,0,1,757,0,0,757,0
13,Kandhamal,89,Boudh,245,,,,,,,,11,42,337,1,0,0,132,2,1,1,527,0,1,528,0
13,Kandhamal,89,Boudh,246,,,,,,,,3,49,490,3,0,0,90,2,0,1,638,0,2,640,0
13,Kandhamal,89,Boudh,247,,,,,,,,2,10,107,1,0,1,74,1,1,1,198,0,1,199,0
13,Kandhamal,89,Boudh,248,,,,,,,,30,105,666,3,3,2,95,1,1,1,907,0,1,908,0
13,Kandhamal,89,Boudh,249,,,,,,,,15,30,213,0,1,0,33,0,0,1,293,0,2,295,0
13,Kandhamal,89,Boudh,250,,,,,,,,22,69,424,2,1,2,198,2,4,8,732,0,7,739,0
13,Kandhamal,89,Boudh,251,,,,,,,,11,25,283,7,4,3,183,6,7,6,535,0,11,546,0
13,Kandhamal,89,Boudh,252,,,,,,,,1,33,392,2,2,0,200,1,2,0,633,0,0,633,0
13,Kandhamal,89,Boudh,253,,,,,,,,13,93,449,4,1,3,152,2,1,2,720,0,2,722,0
13,Kandhamal,89,Boudh,254,,,,,,,,32,96,364,2,1,2,147,6,2,0,652,0,10,662,0
