pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
5,Mayurbhanj,31,Rairangpur,110,,,,,,,,28,270,174,1,1,474,0,2,476,0
5,Mayurbhanj,31,Rairangpur,111,,,,,,,,18,240,269,1,0,528,0,0,528,0
5,Mayurbhanj,31,Rairangpur,112,,,,,,,,17,330,362,2,2,713,0,1,714,0
5,Mayurbhanj,31,Rairangpur,113,,,,,,,,45,443,430,6,3,927,0,13,940,0
5,Mayurbhanj,31,Rairangpur,114,,,,,,,,31,247,195,3,1,477,0,4,481,0
5,Mayurbhanj,31,Rairangpur,115,,,,,,,,17,359,205,5,8,594,0,8,602,0
5,Mayurbhanj,31,Rairangpur,116,,,,,,,,3,180,123,1,1,308,0,0,308,0
5,Mayurbhanj,31,Rairangpur,117,,,,,,,,34,366,458,5,2,865,0,8,873,0
5,Mayurbhanj,31,Rairangpur,118,,,,,,,,28,303,240,1,5,577,0,4,581,0
5,Mayurbhanj,31,Rairangpur,119,,,,,,,,82,470,249,8,7,816,0,11,827,0
5,Mayurbhanj,31,Rairangpur,120,,,,,,,,6,188,222,1,1,418,0,0,418,0
5,Mayurbhanj,31,Rairangpur,121,,,,,,,,22,301,403,14,3,743,0,21,764,0
5,Mayurbhanj,31,Rairangpur,122,,,,,,,,29,363,439,4,4,839,0,6,845,0
5,Mayurbhanj,31,Rairangpur,123,,,,,,,,16,372,228,4,3,623,0,5,628,0
5,Mayurbhanj,31,Rairangpur,124,,,,,,,,10,200,175,1,4,390,0,7,397,0
5,Mayurbhanj,31,Rairangpur,125,,,,,,,,21,164,181,3,4,373,0,12,385,0
5,Mayurbhanj,31,Rairangpur,126,,,,,,,,2,173,126,0,2,303,0,1,304,0
5,Mayurbhanj,31,Rairangpur,127,,,,,,,,17,211,205,1,2,436,0,20,456,0
5,Mayurbhanj,31,Rairangpur,128,,,,,,,,79,463,396,5,10,953,0,13,966,0
5,Mayurbhanj,31,Rairangpur,129,,,,,,,,23,200,431,5,4,663,0,3,666,0
5,Mayurbhanj,31,Rairangpur,130,,,,,,,,8,208,129,0,2,347,0,7,354,0
5,Mayurbhanj,31,Rairangpur,131,,,,,,,,51,270,428,22,12,783,0,12,795,0
5,Mayurbhanj,31,Rairangpur,132,,,,,,,,18,324,344,5,4,695,0,2,697,0
5,Mayurbhanj,31,Rairangpur,133,,,,,,,,30,494,494,2,0,1020,0,3,1023,0
5,Mayurbhanj,31,Rairangpur,134,,,,,,,,30,455,431,6,5,927,0,8,935,0
5,Mayurbhanj,31,Rairangpur,135,,,,,,,,9,146,266,5,3,429,0,1,430,0
5,Mayurbhanj,31,Rairangpur,136,,,,,,,,24,263,447,6,3,743,0,3,746,0
5,Mayurbhanj,31,Rairangpur,137,,,,,,,,32,159,504,4,2,701,0,1,702,0
5,Mayurbhanj,31,Rairangpur,138,,,,,,,,17,165,540,4,4,730,0,3,733,0
5,Mayurbhanj,31,Rairangpur,139,,,,,,,,15,296,354,1,1,667,0,6,673,0
5,Mayurbhanj,31,Rairangpur,140,,,,,,,,37,192,263,1,10,503,0,8,511,0
5,Mayurbhanj,31,Rairangpur,141,,,,,,,,27,265,176,10,6,484,0,17,501,0
5,Mayurbhanj,31,Rairangpur,142,,,,,,,,31,467,280,1,9,788,0,10,798,0
5,Mayurbhanj,31,Rairangpur,143,,,,,,,,5,122,150,0,1,278,0,2,280,0
5,Mayurbhanj,31,Rairangpur,144,,,,,,,,17,269,162,3,3,454,0,8,462,0
5,Mayurbhanj,31,Rairangpur,145,,,,,,,,31,327,222,7,10,597,0,12,609,0
5,Mayurbhanj,31,Rairangpur,146,,,,,,,,35,287,263,20,7,612,0,16,628,0
5,Mayurbhanj,31,Rairangpur,147,,,,,,,,11,207,328,9,4,559,0,5,564,0
