pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total No. of valid votes,No. of rejected votes (Test votes),Votes for NOTA option,Total No. of tendered votes.,Total No. of votes.
19,Aska,128,Kabisuryanagar,200,,,,,,,,224,65,314,7,10,3,623,0,6,0,629
19,Aska,128,Kabisuryanagar,201,,,,,,,,351,63,252,11,7,17,701,0,17,0,718
19,Aska,128,Kabisuryanagar,202,,,,,,,,68,10,165,1,4,1,249,0,3,0,252
19,Aska,128,Kabisuryanagar,203,,,,,,,,275,49,386,4,6,5,725,0,20,0,745
19,Aska,128,Kabisuryanagar,204,,,,,,,,431,25,232,9,5,5,707,0,12,0,719
19,Aska,128,Kabisuryanagar,205,,,,,,,,116,21,238,2,1,1,379,0,4,0,383
19,Aska,128,Kabisuryanagar,206,,,,,,,,242,91,326,8,3,4,674,0,12,0,686
19,Aska,128,Kabisuryanagar,207,,,,,,,,275,47,554,2,3,3,884,0,5,0,889
19,Aska,128,Kabisuryanagar,208,,,,,,,,271,23,456,4,2,2,758,0,2,0,760
19,Aska,128,Kabisuryanagar,209,,,,,,,,258,99,345,7,12,8,729,0,8,0,737
