pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of rejected votes (Test Votes),Votes for NOTA Option,Total,No. of Tendered votes
9,Dhenkanal,56,Angul,155,,,,,,,,138.0,0.0,9.0,248.0,0.0,1.0,396.0,0.0,0.0,396.0,0.0
9,Dhenkanal,56,Angul,156,,,,,,,,224.0,9.0,41.0,547.0,5.0,2.0,828.0,0.0,4.0,832.0,0.0
9,Dhenkanal,56,Angul,157,,,,,,,,197.0,7.0,17.0,468.0,7.0,10.0,706.0,0.0,3.0,709.0,0.0
9,Dhenkanal,56,Angul,158,,,,,,,,320.0,5.0,18.0,496.0,1.0,4.0,844.0,0.0,2.0,846.0,0.0
9,Dhenkanal,56,Angul,159,,,,,,,,336.0,4.0,35.0,447.0,8.0,1.0,831.0,0.0,3.0,834.0,0.0
9,Dhenkanal,56,Angul,160,,,,,,,,253.0,7.0,32.0,528.0,4.0,7.0,831.0,0.0,17.0,848.0,0.0
9,Dhenkanal,56,Angul,161,,,,,,,,60.0,1.0,15.0,138.0,0.0,4.0,218.0,0.0,1.0,219.0,0.0
9,Dhenkanal,56,Angul,162,,,,,,,,281.0,2.0,29.0,349.0,6.0,3.0,670.0,0.0,7.0,677.0,0.0
9,Dhenkanal,56,Angul,163,,,,,,,,380.0,7.0,24.0,316.0,6.0,2.0,735.0,0.0,4.0,739.0,0.0
9,Dhenkanal,56,Angul,164,,,,,,,,177.0,3.0,16.0,354.0,9.0,5.0,564.0,0.0,3.0,567.0,0.0
9,Dhenkanal,56,Angul,165,,,,,,,,186.0,1.0,26.0,302.0,6.0,5.0,526.0,0.0,11.0,537.0,0.0
9,Dhenkanal,56,Angul,166,,,,,,,,305.0,6.0,22.0,478.0,4.0,3.0,818.0,0.0,7.0,825.0,0.0
9,Dhenkanal,56,Angul,167,,,,,,,,247.0,3.0,27.0,381.0,5.0,4.0,667.0,0.0,10.0,677.0,0.0
9,Dhenkanal,56,Angul,168,,,,,,,,196.0,14.0,22.0,412.0,9.0,17.0,670.0,0.0,13.0,683.0,0.0
9,Dhenkanal,56,Angul,169,,,,,,,,164.0,0.0,12.0,343.0,2.0,1.0,522.0,0.0,4.0,526.0,0.0
9,Dhenkanal,56,Angul,170,,,,,,,,97.0,0.0,13.0,165.0,2.0,2.0,279.0,0.0,6.0,285.0,0.0
9,Dhenkanal,56,Angul,171,,,,,,,,196.0,6.0,37.0,363.0,3.0,5.0,610.0,0.0,5.0,615.0,0.0
9,Dhenkanal,56,Angul,172,,,,,,,,110.0,0.0,14.0,123.0,2.0,2.0,251.0,0.0,2.0,253.0,0.0
9,Dhenkanal,56,Angul,173,,,,,,,,267.0,2.0,10.0,339.0,3.0,5.0,626.0,0.0,9.0,635.0,0.0
9,Dhenkanal,56,Angul,174,,,,,,,,189.0,4.0,31.0,448.0,3.0,3.0,678.0,0.0,9.0,687.0,0.0
9,Dhenkanal,56,Angul,175,,,,,,,,352.0,9.0,29.0,383.0,7.0,1.0,781.0,0.0,11.0,792.0,0.0
9,Dhenkanal,56,Angul,176,,,,,,,,290.0,5.0,19.0,406.0,13.0,5.0,738.0,0.0,5.0,743.0,0.0
9,Dhenkanal,56,Angul,177,,,,,,,,176.0,2.0,10.0,288.0,6.0,5.0,487.0,0.0,11.0,498.0,0.0
9,Dhenkanal,56,Angul,178,,,,,,,,246.0,3.0,15.0,204.0,6.0,2.0,476.0,0.0,5.0,481.0,0.0
9,Dhenkanal,56,Angul,179,,,,,,,,274.0,3.0,26.0,188.0,4.0,3.0,498.0,0.0,9.0,507.0,0.0
9,Dhenkanal,56,Angul,180,,,,,,,,250.0,11.0,49.0,488.0,8.0,6.0,812.0,0.0,9.0,821.0,0.0
9,Dhenkanal,56,Angul,181,,,,,,,,66.0,1.0,28.0,269.0,3.0,9.0,376.0,0.0,3.0,379.0,0.0
9,Dhenkanal,56,Angul,182,,,,,,,,187.0,1.0,12.0,456.0,1.0,10.0,667.0,0.0,3.0,670.0,0.0
9,Dhenkanal,56,Angul,183,,,,,,,,275.0,8.0,57.0,437.0,4.0,7.0,788.0,0.0,8.0,796.0,0.0
9,Dhenkanal,56,Angul,184,,,,,,,,107.0,3.0,20.0,153.0,1.0,2.0,286.0,0.0,1.0,287.0,0.0
9,Dhenkanal,56,Angul,185,,,,,,,,232.0,4.0,27.0,356.0,7.0,7.0,633.0,0.0,3.0,636.0,0.0
9,Dhenkanal,56,Angul,186,,,,,,,,266.0,8.0,54.0,362.0,7.0,9.0,706.0,0.0,6.0,712.0,0.0
9,Dhenkanal,56,Angul,187,,,,,,,,130.0,8.0,23.0,394.0,4.0,69.0,628.0,0.0,9.0,637.0,0.0
9,Dhenkanal,56,Angul,188,,,,,,,,272.0,0.0,13.0,543.0,5.0,7.0,840.0,0.0,2.0,842.0,0.0
9,Dhenkanal,56,Angul,189,,,,,,,,190.0,2.0,23.0,569.0,2.0,1.0,787.0,0.0,5.0,792.0,0.0
9,Dhenkanal,56,Angul,190,,,,,,,,67.0,1.0,11.0,295.0,3.0,3.0,380.0,0.0,0.0,380.0,0.0
9,Dhenkanal,56,Angul,191,,,,,,,,359.0,3.0,21.0,406.0,4.0,10.0,803.0,0.0,13.0,816.0,0.0
9,Dhenkanal,56,Angul,192,,,,,,,,232.0,5.0,19.0,471.0,9.0,5.0,741.0,0.0,12.0,753.0,0.0
9,Dhenkanal,56,Angul,193,,,,,,,,302.0,2.0,57.0,403.0,3.0,2.0,769.0,0.0,11.0,780.0,0.0
9,Dhenkanal,56,Angul,194,,,,,,,,156.0,0.0,21.0,340.0,4.0,4.0,525.0,0.0,1.0,526.0,0.0
9,Dhenkanal,56,Angul,195,,,,,,,,282.0,11.0,40.0,450.0,11.0,9.0,803.0,0.0,7.0,810.0,0.0
9,Dhenkanal,56,Angul,196,,,,,,,,278.0,3.0,20.0,369.0,2.0,0.0,672.0,0.0,0.0,672.0,0.0
