pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of valid Votes,No. of rejected Votes (Test Votes),Votes for NOTA option,Total,No. of Tendered Votes
13,Kandhamal,90,Daspalla,148,,,,,,,,119,333,188,1,1,1,0,5,2,650,0,3,653,0
13,Kandhamal,90,Daspalla,149,,,,,,,,167,198,251,1,2,0,0,2,1,622,0,4,626,0
13,Kandhamal,90,Daspalla,150,,,,,,,,177,213,125,0,2,1,0,1,2,521,0,4,525,0
13,Kandhamal,90,Daspalla,151,,,,,,,,331,267,196,1,2,1,0,1,5,804,0,6,810,0
13,Kandhamal,90,Daspalla,152,,,,,,,,86,91,84,1,0,1,1,0,3,267,0,5,272,0
13,Kandhamal,90,Daspalla,153,,,,,,,,209,348,239,3,1,0,1,2,4,807,0,9,816,0
13,Kandhamal,90,Daspalla,154,,,,,,,,163,209,191,0,0,0,1,0,2,566,0,9,575,0
13,Kandhamal,90,Daspalla,155,,,,,,,,292,272,177,0,0,2,0,1,1,745,0,3,748,0
13,Kandhamal,90,Daspalla,156,,,,,,,,184,139,135,0,2,1,0,1,0,462,0,7,469,0
13,Kandhamal,90,Daspalla,157,,,,,,,,221,134,338,1,2,0,0,0,1,697,0,7,704,0
13,Kandhamal,90,Daspalla,158,,,,,,,,247,320,147,1,3,2,0,3,3,726,0,5,731,0
13,Kandhamal,90,Daspalla,159,,,,,,,,286,218,328,1,2,1,2,2,1,841,0,6,847,0
13,Kandhamal,90,Daspalla,160,,,,,,,,314,146,348,1,0,0,1,4,2,816,0,6,822,0
13,Kandhamal,90,Daspalla,161,,,,,,,,120,279,69,1,1,1,1,1,2,475,0,9,484,0
13,Kandhamal,90,Daspalla,162,,,,,,,,162,245,124,1,1,3,0,6,0,542,0,5,547,0
13,Kandhamal,90,Daspalla,163,,,,,,,,154,70,114,0,0,1,0,1,0,340,0,2,342,0
13,Kandhamal,90,Daspalla,164,,,,,,,,433,184,285,0,0,2,3,0,2,909,0,12,921,0
13,Kandhamal,90,Daspalla,165,,,,,,,,312,136,219,0,0,0,2,2,1,672,0,9,681,0
13,Kandhamal,90,Daspalla,166,,,,,,,,235,126,296,0,0,0,0,1,2,660,0,9,669,0
13,Kandhamal,90,Daspalla,167,,,,,,,,143,533,71,0,4,0,0,4,3,758,0,4,762,0
13,Kandhamal,90,Daspalla,168,,,,,,,,213,196,206,4,3,1,0,0,0,623,0,4,627,0
13,Kandhamal,90,Daspalla,169,,,,,,,,246,177,171,1,0,0,3,0,0,598,0,7,605,0
13,Kandhamal,90,Daspalla,170,,,,,,,,305,234,178,2,0,1,1,0,1,722,0,10,732,0
13,Kandhamal,90,Daspalla,171,,,,,,,,172,257,88,2,2,0,3,1,0,525,0,7,532,0
13,Kandhamal,90,Daspalla,172,,,,,,,,197,272,103,1,1,1,2,2,8,587,0,8,595,0
13,Kandhamal,90,Daspalla,173,,,,,,,,239,247,189,1,1,2,2,2,1,684,0,7,691,0
13,Kandhamal,90,Daspalla,174,,,,,,,,159,156,164,0,2,2,1,0,1,485,0,4,489,0
13,Kandhamal,90,Daspalla,175,,,,,,,,190,176,125,0,0,0,2,1,5,499,0,10,509,0
13,Kandhamal,90,Daspalla,176,,,,,,,,174,195,123,0,0,0,1,0,1,494,0,8,502,0
13,Kandhamal,90,Daspalla,177,,,,,,,,277,304,134,3,0,2,1,0,0,721,0,6,727,0
13,Kandhamal,90,Daspalla,178,,,,,,,,322,303,143,3,4,3,1,3,5,787,0,12,799,0
13,Kandhamal,90,Daspalla,179,,,,,,,,115,100,46,0,1,0,1,0,0,263,0,7,270,0
13,Kandhamal,90,Daspalla,180,,,,,,,,380,205,175,1,1,1,0,2,0,765,0,9,774,0
13,Kandhamal,90,Daspalla,181,,,,,,,,288,195,140,1,0,0,1,0,0,625,0,7,632,0
13,Kandhamal,90,Daspalla,182,,,,,,,,191,142,108,0,1,0,2,0,1,445,0,6,451,0
13,Kandhamal,90,Daspalla,183,,,,,,,,200,242,175,1,1,1,3,2,2,627,0,11,638,0
13,Kandhamal,90,Daspalla,184,,,,,,,,270,282,187,0,1,0,3,0,1,744,0,5,749,0
13,Kandhamal,90,Daspalla,185,,,,,,,,259,181,149,0,1,1,3,0,0,594,0,6,600,0
13,Kandhamal,90,Daspalla,186,,,,,,,,263,253,203,0,1,0,1,1,0,722,0,10,732,0
13,Kandhamal,90,Daspalla,187,,,,,,,,374,256,255,0,4,1,0,0,0,890,0,4,894,0
13,Kandhamal,90,Daspalla,188,,,,,,,,211,102,278,1,1,0,1,0,1,595,0,5,600,0
13,Kandhamal,90,Daspalla,189,,,,,,,,135,177,176,2,0,0,5,0,0,495,0,3,498,0
13,Kandhamal,90,Daspalla,190,,,,,,,,266,228,195,0,1,0,0,1,2,693,0,8,701,0
13,Kandhamal,90,Daspalla,191,,,,,,,,290,190,250,0,3,2,1,3,6,745,0,6,751,0
13,Kandhamal,90,Daspalla,192,,,,,,,,204,275,156,0,1,1,0,4,1,642,0,15,657,0
13,Kandhamal,90,Daspalla,193,,,,,,,,106,172,96,0,2,1,0,1,0,378,0,5,383,0
13,Kandhamal,90,Daspalla,194,,,,,,,,206,316,183,2,4,2,1,1,5,720,0,3,723,0
13,Kandhamal,90,Daspalla,195,,,,,,,,205,354,134,5,3,6,0,0,2,709,0,13,722,0
13,Kandhamal,90,Daspalla,196,,,,,,,,393,304,100,1,0,0,0,0,2,800,0,1,801,0
13,Kandhamal,90,Daspalla,197,,,,,,,,228,197,149,1,2,1,3,0,6,587,0,4,591,0
