pc_id,pc_name,ac_id,ac_name,Sl. No of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Total of valid votes,No. of Rejected votes,NOTA,Total,No. of tendered votes
16,Jagatsinghpur,108,Tirtol,164,,,,,,,,3,6,304,331,644,0,3.0,647,0
16,Jagatsinghpur,108,Tirtol,165,,,,,,,,15,1,423,312,751,0,2.0,753,0
16,Jagatsinghpur,108,Tirtol,166,,,,,,,,2,1,240,275,518,0,2.0,520,0
16,Jagatsinghpur,108,Tirtol,167,,,,,,,,6,0,164,191,361,0,1.0,362,0
16,Jagatsinghpur,108,Tirtol,168,,,,,,,,16,2,251,375,644,0,4.0,648,0
16,Jagatsinghpur,108,Tirtol,169,,,,,,,,3,1,196,254,454,0,0.0,454,0
16,Jagatsinghpur,108,Tirtol,170,,,,,,,,2,1,288,219,510,0,1.0,511,0
16,Jagatsinghpur,108,Tirtol,171,,,,,,,,5,4,400,265,674,0,2.0,676,0
16,Jagatsinghpur,108,Tirtol,172,,,,,,,,5,3,251,155,414,0,2.0,416,0
16,Jagatsinghpur,108,Tirtol,173,,,,,,,,10,2,226,359,597,0,3.0,600,0
16,Jagatsinghpur,108,Tirtol,174,,,,,,,,1,2,153,229,385,0,0.0,385,0
16,Jagatsinghpur,108,Tirtol,175,,,,,,,,15,6,266,278,565,0,1.0,566,0
16,Jagatsinghpur,108,Tirtol,176,,,,,,,,7,3,322,413,745,0,1.0,746,0
16,Jagatsinghpur,108,Tirtol,177,,,,,,,,7,5,393,354,759,0,7.0,766,0
16,Jagatsinghpur,108,Tirtol,178,,,,,,,,3,1,273,321,598,0,0.0,598,0
16,Jagatsinghpur,108,Tirtol,179,,,,,,,,1,1,479,181,662,0,2.0,664,0
16,Jagatsinghpur,108,Tirtol,180,,,,,,,,3,4,240,486,733,0,2.0,735,0
16,Jagatsinghpur,108,Tirtol,181,,,,,,,,3,4,488,510,1005,0,0.0,1005,0
