pc_id,pc_name,ac_id,ac_name,Serial No.of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Total of valid Votes,No. of rejected Votes ( Test votes),Votes for NOTA option,Total,No. of tendered votes
12,Nabarangpur,81,Dabugam,140,,,,,,,,187.0,310.0,12.0,169.0,7.0,1.0,3.0,21.0,26.0,26.0,762,0,5.0,767,0
12,Nabarangpur,81,Dabugam,141,,,,,,,,63.0,38.0,1.0,63.0,1.0,0.0,0.0,3.0,47.0,38.0,254,0,1.0,255,0
12,Nabarangpur,81,Dabugam,142,,,,,,,,218.0,95.0,3.0,124.0,19.0,5.0,6.0,7.0,309.0,46.0,832,0,6.0,838,0
12,Nabarangpur,81,Dabugam,143,,,,,,,,215.0,50.0,2.0,184.0,6.0,1.0,2.0,2.0,81.0,10.0,553,0,1.0,554,0
12,Nabarangpur,81,Dabugam,144,,,,,,,,117.0,116.0,2.0,95.0,2.0,2.0,3.0,0.0,182.0,39.0,558,0,4.0,562,0
12,Nabarangpur,81,Dabugam,145,,,,,,,,278.0,186.0,9.0,148.0,7.0,7.0,9.0,12.0,237.0,43.0,936,0,4.0,940,0
12,Nabarangpur,81,Dabugam,146,,,,,,,,56.0,166.0,5.0,149.0,0.0,2.0,7.0,7.0,87.0,1.0,480,0,4.0,484,0
12,Nabarangpur,81,Dabugam,147,,,,,,,,38.0,222.0,4.0,82.0,2.0,0.0,0.0,0.0,19.0,11.0,378,0,2.0,380,0
12,Nabarangpur,81,Dabugam,148,,,,,,,,114.0,75.0,4.0,230.0,13.0,7.0,4.0,4.0,128.0,13.0,592,0,3.0,595,0
12,Nabarangpur,81,Dabugam,149,,,,,,,,139.0,61.0,1.0,248.0,2.0,0.0,0.0,1.0,32.0,3.0,487,0,1.0,488,0
12,Nabarangpur,81,Dabugam,150,,,,,,,,47.0,152.0,1.0,118.0,4.0,2.0,1.0,3.0,48.0,7.0,383,0,2.0,385,0
12,Nabarangpur,81,Dabugam,151,,,,,,,,83.0,91.0,5.0,127.0,10.0,4.0,4.0,6.0,127.0,8.0,465,0,1.0,466,0
12,Nabarangpur,81,Dabugam,152,,,,,,,,144.0,108.0,2.0,173.0,7.0,4.0,5.0,2.0,303.0,9.0,757,0,6.0,763,0
12,Nabarangpur,81,Dabugam,153,,,,,,,,46.0,72.0,3.0,92.0,3.0,0.0,4.0,2.0,126.0,2.0,350,0,3.0,353,0
12,Nabarangpur,81,Dabugam,154,,,,,,,,103.0,84.0,7.0,126.0,2.0,4.0,1.0,1.0,70.0,5.0,403,0,2.0,405,0
