pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Total of valid votes,No. of rejected votes(Test,Votes for NOTA option,Total,No of tendered votes
6,Balasore,41,Remuna,215,,,,,,,,48,1,285,159,0,0,493,0,0,493,nan
6,Balasore,41,Remuna,216,,,,,,,,95,2,230,133,1,1,462,0,1,463,nan
6,Balasore,41,Remuna,217,,,,,,,,58,2,107,78,0,2,247,0,3,250,nan
6,Balasore,41,Remuna,218,,,,,,,,94,0,181,93,0,0,368,0,2,370,nan
6,Balasore,41,Remuna,219,,,,,,,,173,0,89,106,0,0,368,0,1,369,nan
6,Balasore,41,Remuna,220,,,,,,,,217,4,256,255,3,2,737,0,1,738,nan
6,Balasore,41,Remuna,221,,,,,,,,230,3,196,201,3,1,634,0,3,637,nan
6,Balasore,41,Remuna,222,,,,,,,,231,5,253,244,1,0,734,0,2,736,nan
6,Balasore,41,Remuna,223,,,,,,,,167,2,316,178,2,1,666,0,1,667,nan
6,Balasore,41,Remuna,224,,,,,,,,313,6,319,166,0,0,804,0,2,806,nan
6,Balasore,41,Remuna,225,,,,,,,,254,1,293,263,1,1,813,0,0,813,nan
6,Balasore,41,Remuna,226,,,,,,,,308,5,307,227,4,1,852,0,0,852,nan
6,Balasore,41,Remuna,38,,,,,,,,272,2,211,275,4,0,764,0,1,765,nan
