pc_id,pc_name,ac_id,ac_name,Serial No. Of Polling station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Total of vaild votes(Test votes),Total of rejected votes (test Votes),Votes for NOTA option,Total No of Votes,Total No of tendered votes
19,Aska,129,Khalikote,100,,,,,,,,202.0,196.0,19.0,2.0,2.0,421,0,2.0,423,0
19,Aska,129,Khalikote,101,,,,,,,,344.0,367.0,24.0,5.0,11.0,751,0,19.0,770,0
19,Aska,129,Khalikote,102,,,,,,,,nan,nan,nan,nan,nan,0,0,nan,0,0
19,Aska,129,Khalikote,103,,,,,,,,259.0,413.0,17.0,4.0,5.0,698,0,10.0,708,0
19,Aska,129,Khalikote,104,,,,,,,,199.0,156.0,15.0,4.0,4.0,378,0,5.0,383,0
19,Aska,129,Khalikote,105,,,,,,,,347.0,395.0,25.0,2.0,1.0,770,0,13.0,783,0
19,Aska,129,Khalikote,106,,,,,,,,289.0,283.0,10.0,2.0,3.0,587,0,9.0,596,0
19,Aska,129,Khalikote,107,,,,,,,,246.0,304.0,10.0,3.0,2.0,565,0,6.0,571,0
19,Aska,129,Khalikote,108,,,,,,,,361.0,370.0,16.0,8.0,9.0,764,0,10.0,774,0
19,Aska,129,Khalikote,109,,,,,,,,289.0,405.0,25.0,5.0,16.0,740,0,15.0,755,0
19,Aska,129,Khalikote,110,,,,,,,,181.0,488.0,19.0,7.0,9.0,704,0,16.0,720,0
19,Aska,129,Khalikote,111,,,,,,,,580.0,146.0,10.0,4.0,1.0,741,0,4.0,745,0
19,Aska,129,Khalikote,112,,,,,,,,101.0,128.0,6.0,4.0,1.0,240,0,8.0,248,0
19,Aska,129,Khalikote,113,,,,,,,,170.0,262.0,16.0,11.0,5.0,464,0,13.0,477,0
19,Aska,129,Khalikote,114,,,,,,,,257.0,427.0,22.0,10.0,12.0,728,0,16.0,744,0
19,Aska,129,Khalikote,115,,,,,,,,322.0,400.0,84.0,9.0,7.0,822,0,36.0,858,0
19,Aska,129,Khalikote,116,,,,,,,,346.0,418.0,13.0,1.0,4.0,782,0,3.0,785,0
19,Aska,129,Khalikote,117,,,,,,,,417.0,349.0,31.0,5.0,10.0,812,0,23.0,835,0
19,Aska,129,Khalikote,118,,,,,,,,483.0,157.0,17.0,7.0,6.0,670,0,12.0,682,0
19,Aska,129,Khalikote,119,,,,,,,,374.0,339.0,45.0,6.0,4.0,768,0,13.0,781,0
19,Aska,129,Khalikote,120,,,,,,,,323.0,424.0,46.0,10.0,14.0,817,0,16.0,833,0
19,Aska,129,Khalikote,121,,,,,,,,279.0,408.0,31.0,14.0,16.0,748,0,10.0,758,0
19,Aska,129,Khalikote,122,,,,,,,,282.0,224.0,14.0,9.0,6.0,535,0,7.0,542,0
19,Aska,129,Khalikote,123,,,,,,,,370.0,342.0,22.0,9.0,14.0,757,0,10.0,767,0
19,Aska,129,Khalikote,124,,,,,,,,283.0,415.0,26.0,5.0,11.0,740,0,13.0,753,0
19,Aska,129,Khalikote,125,,,,,,,,151.0,185.0,7.0,8.0,4.0,355,0,10.0,365,0
19,Aska,129,Khalikote,126,,,,,,,,347.0,352.0,13.0,3.0,11.0,726,0,21.0,747,0
19,Aska,129,Khalikote,127,,,,,,,,397.0,247.0,18.0,4.0,6.0,672,0,8.0,680,0
19,Aska,129,Khalikote,128,,,,,,,,231.0,145.0,18.0,2.0,6.0,402,0,13.0,415,0
19,Aska,129,Khalikote,129,,,,,,,,165.0,172.0,10.0,0.0,3.0,350,0,6.0,356,0
19,Aska,129,Khalikote,130,,,,,,,,190.0,143.0,5.0,1.0,0.0,339,0,4.0,343,0
19,Aska,129,Khalikote,131,,,,,,,,199.0,210.0,22.0,2.0,6.0,439,0,7.0,446,0
19,Aska,129,Khalikote,132,,,,,,,,417.0,191.0,13.0,7.0,3.0,631,0,5.0,636,0
19,Aska,129,Khalikote,133,,,,,,,,292.0,235.0,10.0,4.0,4.0,545,0,3.0,548,0
19,Aska,129,Khalikote,134,,,,,,,,122.0,111.0,3.0,1.0,1.0,238,0,6.0,244,0
19,Aska,129,Khalikote,135,,,,,,,,246.0,146.0,4.0,2.0,3.0,401,0,5.0,406,0
19,Aska,129,Khalikote,136,,,,,,,,588.0,200.0,22.0,7.0,7.0,824,0,26.0,850,0
19,Aska,129,Khalikote,137,,,,,,,,490.0,215.0,35.0,5.0,5.0,750,0,5.0,755,0
19,Aska,129,Khalikote,138,,,,,,,,289.0,323.0,33.0,13.0,12.0,670,0,10.0,680,0
19,Aska,129,Khalikote,139,,,,,,,,311.0,345.0,23.0,15.0,5.0,699,0,10.0,709,0
19,Aska,129,Khalikote,140,,,,,,,,347.0,251.0,22.0,9.0,12.0,641,0,11.0,652,0
19,Aska,129,Khalikote,141,,,,,,,,155.0,180.0,13.0,1.0,1.0,350,0,1.0,351,0
19,Aska,129,Khalikote,142,,,,,,,,505.0,211.0,8.0,3.0,3.0,730,0,13.0,743,0
19,Aska,129,Khalikote,143,,,,,,,,218.0,188.0,24.0,6.0,8.0,444,0,10.0,454,0
19,Aska,129,Khalikote,144,,,,,,,,292.0,167.0,24.0,7.0,7.0,497,0,10.0,507,0
