pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Total of valid votes,No. of rejected votes,NOTA,Total,No. of Tendered votes
8,Jajpur,54,Jajpur,174,,,,,,,,487,177,38,0,1,0,0,1,0,1,0,705.0,0.0,1.0,706.0,0.0
8,Jajpur,54,Jajpur,175,,,,,,,,276,288,15,1,0,0,0,0,0,1,0,581.0,0.0,0.0,581.0,0.0
8,Jajpur,54,Jajpur,176,,,,,,,,614,351,39,1,1,4,2,0,1,1,1,1015.0,0.0,3.0,1018.0,0.0
8,Jajpur,54,Jajpur,177,,,,,,,,436,426,65,0,1,0,0,1,1,1,1,932.0,0.0,3.0,935.0,0.0
8,Jajpur,54,Jajpur,178,,,,,,,,304,345,80,0,1,1,1,4,0,3,0,739.0,0.0,4.0,743.0,0.0
8,Jajpur,54,Jajpur,179,,,,,,,,381,460,66,1,0,0,0,4,0,0,0,912.0,0.0,2.0,914.0,0.0
8,Jajpur,54,Jajpur,180,,,,,,,,401,316,47,1,0,0,0,3,2,0,0,770.0,0.0,0.0,770.0,0.0
8,Jajpur,54,Jajpur,181,,,,,,,,164,498,12,1,2,0,0,7,3,2,0,689.0,0.0,1.0,690.0,0.0
8,Jajpur,54,Jajpur,182,,,,,,,,111,564,10,2,0,0,0,0,0,0,0,687.0,0.0,0.0,687.0,0.0
8,Jajpur,54,Jajpur,183,,,,,,,,169,437,22,1,1,0,3,1,3,1,2,640.0,0.0,4.0,644.0,0.0
8,Jajpur,54,Jajpur,184,,,,,,,,305,274,42,2,0,1,2,1,1,1,1,630.0,0.0,2.0,632.0,0.0
8,Jajpur,54,Jajpur,185,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
8,Jajpur,54,Jajpur,186,,,,,,,,285,466,96,0,2,0,1,0,0,0,1,851.0,0.0,0.0,851.0,0.0
8,Jajpur,54,Jajpur,187,,,,,,,,298,438,39,0,0,0,0,3,1,0,1,780.0,0.0,6.0,786.0,0.0
8,Jajpur,54,Jajpur,188,,,,,,,,91,291,43,0,0,0,0,0,0,0,3,428.0,0.0,1.0,429.0,0.0
8,Jajpur,54,Jajpur,189,,,,,,,,198,365,58,0,1,1,0,1,0,0,0,624.0,0.0,3.0,627.0,0.0
8,Jajpur,54,Jajpur,190,,,,,,,,206,514,131,4,4,2,1,1,0,0,1,864.0,0.0,3.0,867.0,0.0
8,Jajpur,54,Jajpur,191,,,,,,,,258,658,49,2,1,4,0,3,2,3,2,982.0,0.0,6.0,988.0,0.0
8,Jajpur,54,Jajpur,192,,,,,,,,133,459,218,0,4,10,0,5,0,1,0,830.0,0.0,7.0,837.0,0.0
8,Jajpur,54,Jajpur,193,,,,,,,,197,311,102,4,0,0,0,1,0,2,2,619.0,0.0,4.0,623.0,0.0
8,Jajpur,54,Jajpur,194,,,,,,,,263,444,306,2,0,1,2,1,2,4,1,1026.0,0.0,3.0,1029.0,0.0
8,Jajpur,54,Jajpur,195,,,,,,,,304,470,120,2,7,2,0,0,0,2,1,908.0,0.0,1.0,909.0,0.0
8,Jajpur,54,Jajpur,196,,,,,,,,278,333,68,0,10,0,1,1,0,2,2,695.0,0.0,3.0,698.0,0.0
8,Jajpur,54,Jajpur,197,,,,,,,,134,204,148,1,2,0,0,1,0,0,0,490.0,0.0,2.0,492.0,0.0
8,Jajpur,54,Jajpur,198,,,,,,,,275,329,137,0,1,0,0,0,0,1,0,743.0,0.0,5.0,748.0,0.0
8,Jajpur,54,Jajpur,199,,,,,,,,256,392,81,1,1,1,0,0,0,2,1,735.0,0.0,5.0,740.0,0.0
8,Jajpur,54,Jajpur,200,,,,,,,,353,311,113,4,1,0,1,1,0,2,1,787.0,0.0,3.0,790.0,0.0
8,Jajpur,54,Jajpur,201,,,,,,,,277,377,76,2,7,1,2,2,0,1,2,747.0,0.0,0.0,747.0,0.0
8,Jajpur,54,Jajpur,202,,,,,,,,469,401,133,5,1,0,6,2,1,1,6,1025.0,0.0,10.0,1035.0,0.0
8,Jajpur,54,Jajpur,203,,,,,,,,360,365,88,2,1,1,0,1,1,1,2,822.0,0.0,3.0,825.0,0.0
8,Jajpur,54,Jajpur,204,,,,,,,,153,281,181,3,2,0,3,3,1,0,1,628.0,0.0,5.0,633.0,0.0
8,Jajpur,54,Jajpur,205,,,,,,,,144,193,207,4,7,0,0,1,0,1,0,557.0,0.0,2.0,559.0,0.0
8,Jajpur,54,Jajpur,206,,,,,,,,487,452,25,0,3,1,1,0,2,2,0,973.0,0.0,3.0,976.0,0.0
8,Jajpur,54,Jajpur,207,,,,,,,,236,229,84,0,1,2,0,0,0,0,0,552.0,0.0,3.0,555.0,0.0
8,Jajpur,54,Jajpur,208,,,,,,,,184,237,95,0,0,0,0,0,0,0,0,516.0,0.0,1.0,517.0,0.0
