pc_id,pc_name,ac_id,ac_name,BOOTH NO,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,TOTAL VALID VOTES,No of rejected votes,NOTA,Total,No of Tendered votes
1,Bargarh,4,Attabira,1,,,,,,,,102,148,1,298,1,550,0,10,560,0
1,Bargarh,4,Attabira,2,,,,,,,,132,96,7,251,8,494,0,9,503,0
1,Bargarh,4,Attabira,3,,,,,,,,42,72,4,197,1,316,0,10,326,0
1,Bargarh,4,Attabira,4,,,,,,,,124,128,3,406,3,664,0,0,664,0
1,Bargarh,4,Attabira,5,,,,,,,,126,89,4,154,0,373,0,4,377,0
1,Bargarh,4,Attabira,6,,,,,,,,142,201,14,443,5,805,0,15,820,0
1,Bargarh,4,Attabira,7,,,,,,,,57,332,8,441,4,842,0,8,850,0
1,Bargarh,4,Attabira,8,,,,,,,,70,302,5,387,3,767,0,5,772,0
1,Bargarh,4,Attabira,9,,,,,,,,101,498,8,182,5,794,0,7,801,0
1,Bargarh,4,Attabira,10,,,,,,,,61,390,16,290,13,770,0,24,794,0
1,Bargarh,4,Attabira,11,,,,,,,,373,138,2,125,8,646,0,7,653,0
1,Bargarh,4,Attabira,12,,,,,,,,118,394,8,170,4,694,0,7,701,0
1,Bargarh,4,Attabira,13,,,,,,,,145,205,7,263,18,638,0,14,652,0
1,Bargarh,4,Attabira,14,,,,,,,,122,89,5,288,4,508,0,14,522,0
1,Bargarh,4,Attabira,15,,,,,,,,83,90,6,243,1,423,0,5,428,0
1,Bargarh,4,Attabira,16,,,,,,,,51,133,4,463,4,655,0,4,659,0
1,Bargarh,4,Attabira,17,,,,,,,,149,144,12,422,8,735,0,13,748,0
1,Bargarh,4,Attabira,18,,,,,,,,234,194,8,364,4,804,0,0,804,0
1,Bargarh,4,Attabira,19,,,,,,,,101,172,11,428,6,718,0,5,723,0
1,Bargarh,4,Attabira,20,,,,,,,,133,158,5,339,5,640,0,8,648,0
1,Bargarh,4,Attabira,21,,,,,,,,98,161,4,192,7,462,0,8,470,0
1,Bargarh,4,Attabira,22,,,,,,,,154,243,4,295,3,699,0,2,701,0
1,Bargarh,4,Attabira,23,,,,,,,,93,153,10,183,4,443,0,11,454,0
1,Bargarh,4,Attabira,24,,,,,,,,113,335,8,374,5,835,0,12,847,0
1,Bargarh,4,Attabira,25,,,,,,,,36,135,3,217,3,394,0,3,397,0
1,Bargarh,4,Attabira,26,,,,,,,,56,344,7,309,5,721,0,10,731,0
1,Bargarh,4,Attabira,27,,,,,,,,102,305,9,443,3,862,0,2,864,0
1,Bargarh,4,Attabira,28,,,,,,,,64,377,9,422,10,882,0,4,886,0
1,Bargarh,4,Attabira,29,,,,,,,,113,243,7,350,3,716,0,5,721,0
1,Bargarh,4,Attabira,30,,,,,,,,232,258,7,274,9,780,0,8,788,0
1,Bargarh,4,Attabira,31,,,,,,,,154,62,6,347,2,571,0,3,574,0
1,Bargarh,4,Attabira,32,,,,,,,,183,123,5,280,2,593,0,5,598,0
1,Bargarh,4,Attabira,33,,,,,,,,92,174,8,431,4,709,0,3,712,0
1,Bargarh,4,Attabira,34,,,,,,,,164,56,5,150,1,376,0,1,377,0
1,Bargarh,4,Attabira,35,,,,,,,,129,235,8,302,2,676,0,7,683,0
1,Bargarh,4,Attabira,36,,,,,,,,274,249,10,335,1,869,0,1,870,0
1,Bargarh,4,Attabira,37,,,,,,,,58,418,5,355,3,839,0,5,844,0
1,Bargarh,4,Attabira,38,,,,,,,,58,237,6,153,3,457,0,0,457,0
1,Bargarh,4,Attabira,39,,,,,,,,19,298,11,559,4,891,0,0,891,0
1,Bargarh,4,Attabira,40,,,,,,,,44,450,12,400,8,914,0,10,924,0
1,Bargarh,4,Attabira,41,,,,,,,,76,293,5,443,5,822,0,11,833,0
1,Bargarh,4,Attabira,42,,,,,,,,65,216,8,332,6,627,0,5,632,0
1,Bargarh,4,Attabira,43,,,,,,,,33,295,5,316,2,651,0,11,662,0
1,Bargarh,4,Attabira,44,,,,,,,,21,269,2,481,5,778,0,9,787,0
1,Bargarh,4,Attabira,45,,,,,,,,28,284,13,385,15,725,0,10,735,0
1,Bargarh,4,Attabira,46,,,,,,,,271,233,12,257,2,775,0,21,796,0
1,Bargarh,4,Attabira,47,,,,,,,,136,276,14,484,8,918,0,18,936,0
1,Bargarh,4,Attabira,48,,,,,,,,246,234,17,322,10,829,0,8,837,0
1,Bargarh,4,Attabira,49,,,,,,,,128,252,5,198,1,584,0,7,591,0
1,Bargarh,4,Attabira,50,,,,,,,,38,302,4,417,3,764,0,6,770,0
1,Bargarh,4,Attabira,51,,,,,,,,36,312,3,229,0,580,0,5,585,0
1,Bargarh,4,Attabira,52,,,,,,,,34,297,4,343,12,690,0,9,699,0
1,Bargarh,4,Attabira,53,,,,,,,,55,121,5,232,5,418,0,7,425,0
1,Bargarh,4,Attabira,54,,,,,,,,167,337,7,310,5,826,0,15,841,0
1,Bargarh,4,Attabira,55,,,,,,,,72,190,0,265,4,531,0,7,538,0
1,Bargarh,4,Attabira,56,,,,,,,,51,369,10,275,4,709,0,9,718,0
1,Bargarh,4,Attabira,57,,,,,,,,36,250,9,310,5,610,0,9,619,0
1,Bargarh,4,Attabira,58,,,,,,,,101,252,19,380,3,755,0,7,762,0
1,Bargarh,4,Attabira,59,,,,,,,,87,239,7,445,2,780,0,6,786,0
1,Bargarh,4,Attabira,60,,,,,,,,110,267,6,447,6,836,0,7,843,0
1,Bargarh,4,Attabira,61,,,,,,,,129,193,3,402,6,733,0,7,740,0
1,Bargarh,4,Attabira,62,,,,,,,,27,98,0,178,2,305,0,3,308,0
1,Bargarh,4,Attabira,63,,,,,,,,38,259,6,327,1,631,0,9,640,0
1,Bargarh,4,Attabira,64,,,,,,,,118,301,11,406,9,845,0,5,850,0
1,Bargarh,4,Attabira,65,,,,,,,,93,342,10,415,4,864,0,5,869,0
1,Bargarh,4,Attabira,66,,,,,,,,72,368,10,505,6,961,0,10,971,0
1,Bargarh,4,Attabira,67,,,,,,,,113,267,9,420,10,819,0,15,834,0
1,Bargarh,4,Attabira,68,,,,,,,,108,263,3,186,4,564,0,6,570,0
1,Bargarh,4,Attabira,69,,,,,,,,132,230,2,276,3,643,0,5,648,0
1,Bargarh,4,Attabira,70,,,,,,,,83,236,4,383,7,713,0,14,727,0
1,Bargarh,4,Attabira,71,,,,,,,,99,318,7,284,3,711,0,5,716,0
1,Bargarh,4,Attabira,72,,,,,,,,138,274,7,195,2,616,0,6,622,0
1,Bargarh,4,Attabira,73,,,,,,,,103,516,5,243,2,869,0,8,877,0
1,Bargarh,4,Attabira,74,,,,,,,,130,303,2,276,5,716,0,8,724,0
1,Bargarh,4,Attabira,75,,,,,,,,147,449,6,381,7,990,0,7,997,0
1,Bargarh,4,Attabira,76,,,,,,,,144,390,5,327,8,874,0,6,880,0
1,Bargarh,4,Attabira,77,,,,,,,,20,351,6,279,4,660,0,5,665,0
1,Bargarh,4,Attabira,78,,,,,,,,32,373,6,226,3,640,0,4,644,0
1,Bargarh,4,Attabira,79,,,,,,,,52,333,6,346,2,739,0,5,744,0
1,Bargarh,4,Attabira,80,,,,,,,,64,284,10,349,2,709,0,8,717,0
1,Bargarh,4,Attabira,81,,,,,,,,387,275,4,176,3,845,0,7,852,0
1,Bargarh,4,Attabira,82,,,,,,,,172,73,3,149,2,399,0,5,404,0
1,Bargarh,4,Attabira,83,,,,,,,,17,360,3,495,3,878,0,4,882,0
1,Bargarh,4,Attabira,84,,,,,,,,37,353,6,446,5,847,0,13,860,0
