pc_id,pc_name,ac_id,ac_name,Polling Booth No.,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Candidate 13,Total Valid Votes,No of rejected votes,NOTA,Total,No of tendered Votes
17,Puri,112,Nayagarh,28,,,,,,,,211,188.0,0.0,0.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,411.0,0.0,3.0,414.0,0.0
17,Puri,112,Nayagarh,29,,,,,,,,188,209.0,0.0,0.0,11.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,410.0,0.0,2.0,412.0,0.0
17,Puri,112,Nayagarh,30,,,,,,,,237,205.0,0.0,0.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,452.0,0.0,4.0,456.0,0.0
17,Puri,112,Nayagarh,31,,,,,,,,199,192.0,0.0,1.0,34.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,427.0,0.0,9.0,436.0,0.0
17,Puri,112,Nayagarh,32,,,,,,,,177,172.0,1.0,0.0,35.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,388.0,0.0,4.0,392.0,0.0
17,Puri,112,Nayagarh,33,,,,,,,,314,304.0,0.0,1.0,25.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,1.0,652.0,0.0,1.0,653.0,0.0
17,Puri,112,Nayagarh,34,,,,,,,,179,166.0,0.0,1.0,15.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,367.0,0.0,7.0,374.0,0.0
17,Puri,112,Nayagarh,35,,,,,,,,383,130.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,527.0,0.0,3.0,530.0,0.0
17,Puri,112,Nayagarh,36,,,,,,,,394,169.0,1.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,585.0,0.0,0.0,585.0,0.0
17,Puri,112,Nayagarh,37,,,,,,,,438,134.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,589.0,0.0,4.0,593.0,0.0
17,Puri,112,Nayagarh,38,,,,,,,,463,211.0,0.0,1.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,692.0,0.0,5.0,697.0,0.0
17,Puri,112,Nayagarh,39,,,,,,,,354,187.0,1.0,0.0,14.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,561.0,0.0,3.0,564.0,0.0
17,Puri,112,Nayagarh,40,,,,,,,,309,205.0,1.0,2.0,22.0,0.0,0.0,3.0,4.0,0.0,0.0,1.0,1.0,548.0,0.0,5.0,553.0,0.0
17,Puri,112,Nayagarh,41,,,,,,,,243,173.0,1.0,1.0,22.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,0.0,451.0,0.0,7.0,458.0,0.0
17,Puri,112,Nayagarh,42,,,,,,,,127,123.0,0.0,0.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,261.0,0.0,3.0,264.0,0.0
17,Puri,112,Nayagarh,43,,,,,,,,259,206.0,2.0,0.0,22.0,0.0,2.0,0.0,2.0,0.0,1.0,2.0,1.0,497.0,0.0,3.0,500.0,0.0
17,Puri,112,Nayagarh,44,,,,,,,,254,189.0,1.0,0.0,10.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,458.0,0.0,4.0,462.0,0.0
17,Puri,112,Nayagarh,45,,,,,,,,224,148.0,2.0,0.0,11.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,390.0,0.0,5.0,395.0,0.0
17,Puri,112,Nayagarh,46,,,,,,,,290,135.0,0.0,0.0,12.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,443.0,0.0,5.0,448.0,0.0
17,Puri,112,Nayagarh,47,,,,,,,,266,176.0,0.0,0.0,19.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,465.0,0.0,2.0,467.0,0.0
17,Puri,112,Nayagarh,48,,,,,,,,194,106.0,1.0,1.0,7.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,0.0,314.0,0.0,2.0,316.0,0.0
17,Puri,112,Nayagarh,49,,,,,,,,208,128.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.0,0.0,1.0,348.0,0.0
17,Puri,112,Nayagarh,50,,,,,,,,111,70.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,189.0,0.0,0.0,189.0,0.0
17,Puri,112,Nayagarh,51,,,,,,,,126,97.0,0.0,0.0,16.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,243.0,0.0,5.0,248.0,0.0
17,Puri,112,Nayagarh,52,,,,,,,,222,208.0,1.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,444.0,0.0,3.0,447.0,0.0
17,Puri,112,Nayagarh,53,,,,,,,,270,214.0,0.0,0.0,16.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,505.0,0.0,4.0,509.0,0.0
17,Puri,112,Nayagarh,54,,,,,,,,290,228.0,0.0,1.0,10.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,531.0,0.0,7.0,538.0,0.0
17,Puri,112,Nayagarh,55,,,,,,,,256,185.0,0.0,1.0,8.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,454.0,0.0,5.0,459.0,0.0
17,Puri,112,Nayagarh,56,,,,,,,,220,152.0,1.0,1.0,12.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,388.0,0.0,2.0,390.0,0.0
17,Puri,112,Nayagarh,57,,,,,,,,254,169.0,0.0,0.0,7.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,434.0,0.0,8.0,442.0,0.0
17,Puri,112,Nayagarh,58,,,,,,,,265,205.0,1.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,485.0,0.0,4.0,489.0,0.0
17,Puri,112,Nayagarh,59,,,,,,,,98,96.0,1.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,216.0,0.0,2.0,218.0,0.0
17,Puri,112,Nayagarh,60,,,,,,,,274,206.0,0.0,1.0,10.0,1.0,3.0,1.0,0.0,0.0,0.0,3.0,0.0,499.0,0.0,8.0,507.0,0.0
17,Puri,112,Nayagarh,61,,,,,,,,378,173.0,1.0,0.0,12.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,568.0,0.0,4.0,572.0,0.0
