pc_id,pc_name,ac_id,ac_name,SL NO OF POLLING STATION,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,TOTAL VALID VOTES,NO. OF VOTES REJECTED (TEST VOTES),VOTES FOR NOTA OPTION,TOTAL,TOTAL NO. OF TENDERED VOTES
10,Bolangir,67,Patnagarh,207,,,,,,,,232,42,202,8,484,0,3,487,0
10,Bolangir,67,Patnagarh,208,,,,,,,,182,21,168,5,376,0,5,381,0
10,Bolangir,67,Patnagarh,209,,,,,,,,253,20,186,18,477,0,8,485,0
10,Bolangir,67,Patnagarh,210,,,,,,,,178,23,249,12,462,0,4,466,0
10,Bolangir,67,Patnagarh,211,,,,,,,,243,174,157,11,585,0,27,612,0
10,Bolangir,67,Patnagarh,212,,,,,,,,78,112,96,8,294,0,6,300,0
10,Bolangir,67,Patnagarh,213,,,,,,,,380,97,351,14,842,0,8,850,0
10,Bolangir,67,Patnagarh,214,,,,,,,,263,51,69,2,385,0,2,387,0
10,Bolangir,67,Patnagarh,215,,,,,,,,238,54,224,11,527,0,18,545,0
10,Bolangir,67,Patnagarh,216,,,,,,,,255,82,153,16,506,0,8,514,0
10,Bolangir,67,Patnagarh,217,,,,,,,,114,112,207,5,438,0,6,444,0
10,Bolangir,67,Patnagarh,218,,,,,,,,18,115,64,1,198,0,1,199,0
10,Bolangir,67,Patnagarh,219,,,,,,,,61,124,70,2,257,0,8,265,0
10,Bolangir,67,Patnagarh,220,,,,,,,,204,222,204,6,636,0,5,641,0
10,Bolangir,67,Patnagarh,221,,,,,,,,195,71,262,14,542,0,4,546,0
10,Bolangir,67,Patnagarh,222,,,,,,,,144,130,162,19,455,0,5,460,0
10,Bolangir,67,Patnagarh,223,,,,,,,,284,84,293,17,678,0,27,705,0
10,Bolangir,67,Patnagarh,224,,,,,,,,274,378,235,9,896,0,3,899,0
10,Bolangir,67,Patnagarh,225,,,,,,,,116,86,63,14,279,0,1,280,0
10,Bolangir,67,Patnagarh,226,,,,,,,,131,72,125,4,332,0,1,333,0
10,Bolangir,67,Patnagarh,227,,,,,,,,160,44,101,12,317,0,7,324,0
10,Bolangir,67,Patnagarh,228,,,,,,,,137,68,264,23,492,0,16,508,0
10,Bolangir,67,Patnagarh,229,,,,,,,,164,117,222,4,507,0,3,510,0
10,Bolangir,67,Patnagarh,230,,,,,,,,127,43,158,1,329,0,2,331,0
10,Bolangir,67,Patnagarh,231,,,,,,,,290,72,338,10,710,0,7,717,0
10,Bolangir,67,Patnagarh,232,,,,,,,,185,156,257,21,619,0,24,643,0
10,Bolangir,67,Patnagarh,233,,,,,,,,200,61,392,8,661,0,13,674,0
10,Bolangir,67,Patnagarh,234,,,,,,,,235,117,271,9,632,0,6,638,0
10,Bolangir,67,Patnagarh,235,,,,,,,,399,218,211,26,854,0,10,864,0
10,Bolangir,67,Patnagarh,236,,,,,,,,228,48,107,0,383,0,3,386,0
10,Bolangir,67,Patnagarh,237,,,,,,,,340,78,252,33,703,0,15,718,0
10,Bolangir,67,Patnagarh,238,,,,,,,,314,14,315,7,650,0,6,656,0
10,Bolangir,67,Patnagarh,239,,,,,,,,222,125,348,104,799,0,7,806,0
10,Bolangir,67,Patnagarh,240,,,,,,,,470,56,318,22,866,0,43,909,0
10,Bolangir,67,Patnagarh,241,,,,,,,,351,63,369,27,810,0,12,822,0
10,Bolangir,67,Patnagarh,242,,,,,,,,506,76,363,10,955,0,7,962,0
10,Bolangir,67,Patnagarh,243,,,,,,,,225,41,157,12,435,0,8,443,0
10,Bolangir,67,Patnagarh,244,,,,,,,,257,90,230,15,592,0,9,601,0
10,Bolangir,67,Patnagarh,245,,,,,,,,92,54,114,37,297,0,7,304,0
10,Bolangir,67,Patnagarh,246,,,,,,,,121,195,149,9,474,0,6,480,0
10,Bolangir,67,Patnagarh,247,,,,,,,,246,114,131,10,501,0,6,507,0
10,Bolangir,67,Patnagarh,248,,,,,,,,198,65,171,6,440,0,15,455,0
10,Bolangir,67,Patnagarh,249,,,,,,,,320,96,220,14,650,0,10,660,0
10,Bolangir,67,Patnagarh,250,,,,,,,,275,72,324,9,680,0,15,695,0
10,Bolangir,67,Patnagarh,251,,,,,,,,177,59,237,15,488,0,5,493,0
10,Bolangir,67,Patnagarh,252,,,,,,,,108,59,151,3,321,0,2,323,0
10,Bolangir,67,Patnagarh,253,,,,,,,,122,158,209,7,496,0,5,501,0
10,Bolangir,67,Patnagarh,254,,,,,,,,173,56,209,1,439,0,3,442,0
10,Bolangir,67,Patnagarh,255,,,,,,,,242,72,323,17,654,0,19,673,0
