pc_id,pc_name,ac_id,ac_name,Serial No. of Polling Station,Elec_male,Elec_Female,Elec_other,Elec_total,Votes_male,Votes_Female,vote_Other,Candidate 1,Candidate 2,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Total of Valid Votes,No. of rejected Votes(Test Votes),Votes for NOTA option,Total,No. of tendered votes
6,Balasore,40,Balasore,165,,,,,,,,19,57,503,269,1,0,0,3,1,853,nan,1,854,nan
6,Balasore,40,Balasore,166,,,,,,,,53,115,288,260,1,0,2,0,0,719,nan,0,719,nan
6,Balasore,40,Balasore,167,,,,,,,,39,14,214,185,2,0,0,1,1,456,nan,2,458,nan
6,Balasore,40,Balasore,168,,,,,,,,23,7,148,179,1,0,0,0,0,358,nan,1,359,nan
6,Balasore,40,Balasore,169,,,,,,,,102,103,463,259,4,0,2,0,3,936,nan,9,945,nan
6,Balasore,40,Balasore,170,,,,,,,,97,43,337,301,1,1,1,5,1,787,nan,9,796,nan
6,Balasore,40,Balasore,171,,,,,,,,76,88,358,306,4,2,1,6,4,845,nan,20,865,nan
6,Balasore,40,Balasore,172,,,,,,,,136,45,360,229,0,1,1,0,2,774,nan,2,776,nan
6,Balasore,40,Balasore,173,,,,,,,,79,8,217,131,0,0,0,2,0,437,nan,1,438,nan
6,Balasore,40,Balasore,174,,,,,,,,62,3,290,213,3,2,0,0,1,574,nan,1,575,nan
6,Balasore,40,Balasore,175,,,,,,,,115,6,411,353,1,1,3,2,3,895,nan,5,900,nan
6,Balasore,40,Balasore,176,,,,,,,,99,5,452,328,1,2,4,1,1,893,nan,5,898,nan
6,Balasore,40,Balasore,177,,,,,,,,62,4,626,381,2,0,0,1,0,1076,nan,8,1084,nan
6,Balasore,40,Balasore,178,,,,,,,,39,1,292,305,0,0,0,0,0,637,nan,6,643,nan
6,Balasore,40,Balasore,179,,,,,,,,11,3,142,160,1,0,0,0,1,318,nan,2,320,nan
6,Balasore,40,Balasore,180,,,,,,,,108,14,378,332,3,1,1,1,2,840,nan,4,844,nan
